# product                 SHA1                                      Version                       
BUILD=b4701
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_decam            ceb8033df3cfb72258b34257bac1b2649f7282dc  19.0.0-1-gceb8033                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
validation_data_cfht      38570ab94a8ba00dd785eb6b9a58600aff02e694  19.0.0-2-g38570ab                        
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
daf_base                  49a97f9b6dba30d9f445da803e06e9b3f555cafb  19.0.0-1-g49a97f9                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+6                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+6                                 daf_base,utils,pybind11,python
pex_config                c4f6e04fdae3c56f2a8640952cbdb4bb4742a63a  19.0.0-3-gc4f6e04+3                      numpy,pybind11,python,daf_base,pex_policy
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  19.0.0-1-g6fe20d0+5                      log,pex_policy,astropy,pyyaml,pybind11,python
astro_metadata_translator b976306e3e6fb85232cc838a145475ae8f16ca31  0.1.0-10-gb976306                        scons,sconsUtils,pyyaml,astropy,daf_base
afw                       03a29998fca799d18f471abb81d09a36e58e5b1d  19.0.0-12-g03a29998f                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_matplotlib        580fafe5d73f258a6ba867592a09f9efef8d13fb  19.0.0-1-g580fafe+15                     afw,matplotlib
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+7                      utils,pex_config,daf_persistence,log
daf_butler                a17dedf27a0e88e27421d65e20aab35e437729f5  19.0.0-24-ga17dedf2                      sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
pipe_base                 2584c99e7128ec19dfe7e21eb8f44491fa852cc8  19.0.0-7-g2584c99                        daf_butler,daf_persistence,log,pex_config,utils,afw
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+15                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
coadd_utils               efe1d0da3a5767432c665339311a179f8b65e26e  19.0.0-1-gefe1d0d+9                      afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+7                      ctrl_orca,pex_config,utils
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+36                                ctrl_execute
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  19.0.0-1-g20d9b18+15                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  19.0.0-1-gdc0e4a7+27                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  19.0.0+29                                scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+28                                numpy,sphgeom,geom,afw,daf_butler,healpy
verify                    8226a54a130b8b0fa9c77b778b084d3a62e78f2d  19.0.0-10-g8226a54+18                    astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+59                                afw,xpa,pybind11
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+15                     afw,geom,log,firefly_client
ctrl_pool                 260436e5942073d83ef12ecad5cbacc21e5167e5  19.0.0-2-g260436e+13                     daf_persistence,pipe_base,log,utils,mpi4py
ctrl_mpexec               354b53835552210ed8e21d1adf9721306764d1ae  19.0.0-8-g354b538+3                      daf_butler,log,pex_config,pipe_base
obs_base                  6de566f32d0b14507285929a4ba122a9edb5339b  19.0.0-20-g6de566f+5                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+29                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_algorithms           a57c468973fa5370a12dda87d6760835b5e4d84f  19.0.0-7-ga57c4689+3                     astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  19.0.0+31                                meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  19.0.0+31                                meas_base,pybind11,meas_algorithms
meas_extensions_scarlet   5a9b9d422dc0308887f1057508a6bab07a798a37  19.0.0-4-g5a9b9d4+4                      base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+31                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
ip_isr                    8509940b2a1b8f8e52f704d34dfc78beeccefce8  19.0.0-9-g8509940+3                      meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+31                                obs_test
meas_modelfit             9b11441b0efae7ac93cf076b5b828c58fbe46a81  19.0.0-2-g9b11441+16                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
cp_pipe                   f4bae50d8f804fd33a5320835dda8044b91ecdbb  19.0.0-5-gf4bae50+9                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  19.0.0+36                                afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  19.0.0+31                                geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
ap_association            a27869033af8173289a8e62573d6ddfdcd713522  19.0.0-11-ga278690+18                    afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  19.0.0+31                                afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
ip_diffim                 0745e3f4f999e7217e16c8e75b5dac2666750bc5  19.0.0-5-g0745e3f+13                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  19.0.0+35                                afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
pipe_tasks                5d8da22d1b1828d6abb8021818e44a1a3fdd421e  19.0.0-23-g5d8da22d                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  3a1ca26540ee34009b5b5f5abb0e5cb91984dcac  19.0.0-19-g3a1ca26                       afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_cfht                  c6cf8f7b9f06f3b10bb84e4e540e4257cedacbf8  19.0.0-1-gc6cf8f7+35                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
synpipe                   bfe0924a0c6021c906e6612ed51a47dd4de490d5  19.0.0-1-gbfe0924+13                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  19.0.0+39                                obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_decam                 b5bb71e77f103fa39774929769f4fca4167b0192  19.0.0-6-gb5bb71e+4                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
pipe_drivers              ce3f959b9ab7df9eab0e5b67082194816776efd8  19.0.0-3-gce3f959                        ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+206                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+126                               obs_decam
lsst_dm_stack_demo        cf6bc4ae2b6220f041fb1035dd578ed5f57067de  19.0.0-1-gcf6bc4a+31                     python,utils,sconsUtils,obs_sdss
obs_subaru                0cfa8c50a7992163598c5d0b8bc7c3b0f239c9f0  19.0.0-18-g0cfa8c50+1                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  19.0.0-1-ga8543ac+41                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  19.0.0+39                                obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   3cdbc4fb3d037651eb819916d58f4e0fae235bd3  19.0.0-5-g3cdbc4f+24                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
validate_drp              12b746e2f3dc2c6f64eaeb67bc9dc8786f328511  19.0.0-7-g12b746e+4                      python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_verify                 f386f0101426dc412037da944a2a3028dd4cc4b0  19.0.0-6-gf386f01+24                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+212                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
testdata_jointcal         6096a76cb05a63b84311f634a9b9f1aa6f029137  19.0.0-1-g6096a76+23                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  65139202ee1298fc555b055462ce5b6b77caa46c  19.0.0-3-g6513920+13                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   0948b49faaa60f28ad047c5fa65369c66f09cd94  19.0.0-12-g0948b49+2                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  19.0.0+42                                lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   e4f73514a4ffd50af23465235dc4e6e5a416db76  19.0.0-2-ge4f7351+38                     lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
