# product                 SHA1                                      Version                       
BUILD=b5086
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
alert_packet              8277e36f1963996f6e53683c950757cc745aef10  master-g8277e36f19                       
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
fgcm                      b15be42c1cdf17db873bac48270535f2e50eb56f  lsst-dev-gb15be42c1c                     
firefly_client            508dc7262a76850e0095defb6fae06e0adb234e0  lsst-dev-g508dc7262a                     
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  20.0.0-1-g7048e9c                        
obs_lsst_data             1010acae735ccaa1f27868e803e7790505d34e02  20.0.0-6-g1010aca                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  20.0.0                                   
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
testdata_decam            47917b28e7eff24162f0ba898a02c9e606ef4a4f  20.0.0-2-g47917b2                        
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  20.0.0-2-gaafa04d                        
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
astro_metadata_translator 03ebef752875f9f588f645166a0ddca9ba410c91  0.1.0-12-g03ebef7+f48bb53858             sconsUtils,daf_base
pex_config                2b7511a59cdb15a0b7515bb53be6336bd1c5294d  20.0.0-1-g2b7511a+f48bb53858             daf_base
pex_policy                3b2f90d2d5de21d5c31736b6a5652509379f35f3  20.0.0+f48bb53858                        daf_base,utils
daf_persistence           bea9075146e63e413e218781ea1034888a172bcf  20.0.0+dbd2281351                        log,pex_policy
afw                       eef20c81129c91b00d5d252a613a7c487a2ceecd  20.0.0-7-geef20c811+63f5489896           daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
ctrl_orca                 a18918569f758cb2bbb1f2d69ddbb6439dc54a83  20.0.0+563bef3f01                        utils,pex_config,daf_persistence,log
cbp                       e319b44137a96ff988209d041d710a369e64a734  20.0.0-1-ge319b44+a304cc33fd             geom,sphgeom,afw
ctrl_execute              637769e54ab186bbaaec5c6c47ce9bf1a4a4265f  20.0.0+32da9d7868                        ctrl_orca,pex_config,utils
dax_apdb                  253301aa6cef94a1860a0adc84002e26b2a6a1a1  20.0.0-1-g253301a+a304cc33fd             afw,pex_config,sconsUtils,sphgeom,utils
display_ds9               2b32d65e7ec24b526e9b433ec5d66a085732f01d  20.0.0+a304cc33fd                        afw
display_firefly           d6714190a066a65907e516477fe740967449ecd6  20.0.0+dc80ba143c                        afw,geom,log,firefly_client
display_matplotlib        06f596319d54ed350da1ab9b6fa0a2e029695f90  20.0.0+a304cc33fd                        afw
pipe_base                 abd0d4c33db0992f45e4e0f814eee5646db85dde  20.0.0-9-gabd0d4c+41f17f4aa0             daf_butler,daf_persistence,log,pex_config,utils,afw
shapelet                  cfc5f51f83a6add5a1b0b5929e4f97abf26e6c7d  20.0.0+a304cc33fd                        afw,sconsUtils,geom
skymap                    5ad09837578828da6ee30c12709108313d7f3f9b  20.0.0-2-g5ad0983+41f17f4aa0             sphgeom,geom,afw,daf_butler
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  20.0.0+91e89be2b5                        afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      ae98d27b2fb3dd9155f1277a5584699a51fc26e4  20.0.0+a4d73aceae                        ctrl_execute
ctrl_pool                 e404a01e6f1af9a754885946117f9ff954f82a6f  20.0.0+91e89be2b5                        daf_persistence,pipe_base,log,utils
obs_base                  75a4215754a39e98e565e4c15aaed4afee203cb0  20.0.0-39-g75a4215+9415be299c            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    d0fabbe0078baf8ec01a76bec0f76413461d7f33  20.0.0-2-gd0fabbe+a51a580d93             sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               18fd799673c2e901c899c10a91300fdbf1b59a3b  20.0.0-14-g18fd799+b0f8c145fa            daf_butler,log,obs_base,pex_config,pipe_base
meas_base                 daeb0e83abf2c284de7b6215cb10d20161468aff  20.0.0-2-gdaeb0e8+6415fe575a             utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
obs_test                  edffbd8b30f0eae80981ed0d4ef2517efee52a37  20.0.0-1-gedffbd8+5f43f78f21             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           01203fffbbb96df2746ac7e25ee97756a279bb51  20.0.0-6-g01203fff+667bb1b83d            astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_extensions_simpleShape 9c54d0d45d64a81b6e1fe4dc8c1448be8fdef35d  20.0.0+4c2251d6ae                        sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
ap_association            ce1eccd3d89a07c223baf601cc109fdcef7b554c  20.0.0-14-gce1eccd+c7da450434            afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,verify
ip_isr                    8900d00030a7f973598e457fac1d76254d3802f5  20.0.0-12-g8900d00+9c27ca4b5f            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               c96f8cbbf3fde07e620d09e3b609308a3ae3cfa9  20.0.0-1-gc96f8cb+9c27ca4b5f             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            4d801e7655dc70a39eb05b071cac296a2493c0e2  20.0.0-1-g4d801e7+0f9cebdc32             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron ca68e65fcabc1b968985300b227187c8754fc5be  20.0.0+9c27ca4b5f                        meas_base,meas_algorithms
meas_extensions_psfex     10df615c8f23760fc6fee733d395efa4abc01cbf  20.0.0-1-g10df615+d379f47139             afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   5f9188047938830b7208248fbd0a62abcddba74a  20.0.0-1-g5f91880+72acac9f09             base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
meas_extensions_shapeHSM  5191324ed3f8dbb727a85d17e695c6a1a143bc61  20.0.0+9c27ca4b5f                        meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_modelfit             c567de5ed63f0559e16be5bd26185944fa7f9a40  20.0.0+8b54c6fa1b                        afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom
ip_diffim                 e4b52530a911ce02cd1d96eef132112360fb71c7  20.0.0-5-ge4b5253+1e054d4500             afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
meas_extensions_convolved c390c3c845068864752f1dd9b39b87f9ed5cf448  20.0.0+90da21820d                        meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
obs_ctio0m9               65713022bd599d3f59ce8f345d2e48b3667547ba  20.0.0+d9318dc479                        afw,daf_base,obs_base,pex_config,utils,ip_isr
pipe_tasks                7fb4cbd3a7399f08e71794da334e58ac88cd23af  20.0.0-21-g7fb4cbd3+74c724a5d3           afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,kht,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_cfht                  38158d1c352e1d543462e80290bcfd231b4b671c  20.0.0+d105a1aa38                        daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
obs_decam                 199c89406d5d9be4f2d563f078344f47d5b709bf  20.0.0-14-g199c894+f2497a9dfc            utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_lsst                  6f85c6df76977a8b484c5188fb6a6e09e690614f  19.0.0-90-g6f85c6d+708315317b            afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_sdss                  631c6ba8ceb2c89b485f49cf055d12f50fdb9b55  20.0.0+0eed08e425                        obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,geom
obs_subaru                5a970cec4db77534b64680c88b44c13d2095d51e  19.0.0-76-g5a970cec+0f43c56dd7           daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              5b95a8cae66b6883fcf91191e3c614d00ee4035e  20.0.0-1-g5b95a8c+ce01493b23             ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
synpipe                   3d1650172eeda82e2f7d64c2860513625779cc30  20.0.0+0eed08e425                        daf_persistence,pex_config,afw,pipe_base,pipe_tasks
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  20.0.0+19cde74054                        obs_decam
ap_verify_testdata        3efa1e5a78c24ff9baa83c9295cf64b56acfe714  20.0.0-7-g3efa1e5+62f3480b2e             obs_lsst
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+d5c4d22d64                          obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
cp_pipe                   d915bd2da7c5b0094caae2f7dca09401f4416fa2  20.0.0-9-gd915bd2+11ba0b5481             pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_drivers,pipe_tasks
jointcal                  b0260a253f12c1163ce8d58d079ca711a7106de1  19.0.0-14-gb0260a2+f925bd47bc            sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal,obs_subaru,obs_decam,obs_cfht
lsst_dm_stack_demo        51ec697d17ca47f39e79b59d1897267351ec0a5f  20.0.0+297ead342f                        utils,sconsUtils,obs_sdss
lsst_obs                  9569ba20bd3ab20600da9162cd220cca1e594859  20.0.0+1cb1d581f1                        obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
pipelines_check           2fcbebfa2d08a63c97842e4f5b25ec229988670e  master-g2fcbebfa2d+416c61cc27            pipe_tasks,daf_butler,obs_subaru,ctrl_mpexec,meas_extensions_convolved,meas_extensions_photometryKron,ip_isr
validate_drp              5b123b5b1b29601c855f1fff82a883f5c28978ed  20.0.0+f395ea36b3                        utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_pipe                   df0b5a9a8d16072966219f9779b5296ed6d3284c  20.0.0-3-gdf0b5a9+877311262a             utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
fgcmcal                   fcebe3588b7daa5af74743de476d01cfad1e5a40  20.0.0-5-gfcebe35+4bd6c726e0             sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal,obs_subaru
ap_verify                 dab84e88216791d196af7344f50d9740dcd9f21e  20.0.0-14-gdab84e8+1d9f5a819f            utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ctrl_mpexec,ap_verify_testdata,ip_diffim,ap_association
lsst_apps                 b3c0038b24fdbb7d2fec4a9d1fafdb31beb6da64  20.0.0+b1e251227d                        meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_distrib              0037e037a3ac81e14dde678e2612614c124b803d  20.0.0-1-g0037e03+d0838b8b24             lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,sdm_schemas,validate_drp,fgcmcal
lsst_ci                   e0579581cad8670f7abf234ac20862e1f79d5543  20.0.0-1-ge057958+494c04cce5             lsst_apps,lsst_distrib,lsst_obs,lsst_dm_stack_demo,pipelines_check,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
