# product                 SHA1                                      Version                       
BUILD=b3752
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
mariadbclient             c3b9d248e6b9b8c51c348b80d50dd198b28cd921  10.2.14.lsst2                            
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pybind11                  ea7092a4090fd59ade4e396c01408907fd249ee9  2.2.3                                    
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2+2                             python,libyaml
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12+3                                   python
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1                                    python,pytest,python_coverage
jsonschema                6410e3dfae6138eaef0e44ed26d8c2cf88206a4d  2.6.0+2                                  python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1+2                                 python
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+3                                  python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
python_mysqlclient        adfec1ab86b7fc86aadbdb0489e749789c501db4  1.3.12.lsst2+2                           python,mariadbclient
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+1                              python,pytest
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+6                           python,numpy,pykg_config,cfitsio,astropy
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+9                                  python,pytest
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1+2                          python,numpy
ndarray                   b3fb59ae4e34a86aa2a1cfb81b1f5af2660c9842  1.5.1.lsst1+3                            boost,python,numpy,eigen,pybind11,fftw
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+9                                  python,pytest
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+7                            python,numpy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2+2                                  python,numpy
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+1                           python,pytest,pytest_forked,python_execnet
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+8                     cfitsio,wcslib,gsl,numpy
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+8                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+8                                  python,pytest,flake8
sconsUtils                d93e90d9fce3aa05aa0571bdd09814aaf465396e  16.0-1-gd93e90d                          scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,pytest_cov,doxygen
dax_webservcommon         5b3c1492ed0972ac63211423b7c55aeabc49b074  12.1-3-g5b3c149+9                        python,scons,sconsUtils,flask
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+37                               sconsUtils
astshim                   44ebaf53d3c058072606a737ac06e6928a08bcbe  16.0-1-g44ebaf5+2                        sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      928b0412fba77ab7c10c1ee22d1759f8ff2d3440  16.0-1-g928b041+1                        sconsUtils,pybind11,python,python_future,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf                          sconsUtils
pex_exceptions            988424033e172967ff5310548687587781bf0187  16.0-1-g9884240+1                        base,boost,pybind11,python,python_future
utils                     d6aeecefe409ad76c594a43fb762953f63ddc788  16.0-4-gd6aeece+1                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+1                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
sphgeom                   32814cc7c5cf7fdc1eb96d11c997c563b9d72112  16.0-3-g32814cc                          base,sconsUtils,pybind11,doxygen
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+42                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
geom                      0fa37f0839405c171049d48725bd751884ab4368  16.0-5-g0fa37f0+3                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  50d071edccb46fc388ca6f676387ce40f81feca0  16.0-4-g50d071e+1                        utils,pex_exceptions,pybind11,python,numpy
dax_dbserv                ca24859dad674241d3468c8549dbf2c53aaa2211  tickets.DM-15169-gca24859dad             dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
dax_metaserv              030ccdde8b3741abf5a64ca6fdb16ce6d8f44f33  12.1-7-g030ccdd+2                        dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
pex_policy                16dcc352219a5fec1afeb87e19309b9793fd2ac1  16.0-1-g16dcc35+1                        daf_base,utils,python_future,pybind11,python
pex_config                943889dbcf50a4b53efdb5e2ec00b7a5bad5eefb  16.0-1-g943889d+1                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
daf_persistence           3806c63f90834607b630fc774f9f267444510539  16.0-3-g3806c63+1                        log,pex_policy,astropy,pyyaml,pybind11,python
afw                       96efb542bfaf070335a5e52cc48a1a3edf4d4e09  16.0-21-g96efb542b                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
daf_butler                467470235adb41e37601d66d9d7705064a794d48  master-g467470235a+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,daf_persistence,afw
obs_base                  2664ab24dda85992bede613817d997946e095239  16.0-7-g2664ab2+4                        daf_base,log,pex_policy,daf_persistence,afw,astropy,utils
skymap                    4515a79c948cb60a510861fe871ab9a50330eca5  16.0-1-g4515a79+13                       numpy,sphgeom,afw,healpy
obs_test                  c6a11d11b2c77559067094afe2f237badd3f361a  16.0-3-gc6a11d1+5                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 41f434e87db9916451fbba1b1137bdd069805652  16.0-9-g41f434e+2                        daf_butler,daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               5dc86b7d486ca734b91f0e02ce3517490e47e655  16.0-3-g5dc86b7+6                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 6fe5e6aacdfd9df058e695758777f5c36ce275b3  16.0-10-g6fe5e6a                         utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           36053158f3fdd35ed381217464e748d2b54887c3  16.0-10-g36053158                        astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
coadd_chisquared          839ba837ce4a9dc49a930c7af54f43f78ec67327  16.0-2-g839ba83+6                        coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_astrom               6a038b98b5a07b1527c02cdcfb4b2341196d14de  16.0-8-g6a038b9                          geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_deblender            2851537e7b6636c00aff8f38dadfe2eb353f631f  16.0-5-g2851537+3                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib,testdata_deblender
meas_extensions_astrometryNet 347813efea3778e16147d63a132275d078525764  16.0-4-g347813e                          afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    6c14c47f0895a403210feee49b36554ad6ae3d85  16.0-4-g6c14c47+2                        meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
ip_diffim                 bb3e3415779d690bfd82c07cbd7ad7d63403117b  16.0-7-gbb3e341                          afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
pipe_tasks                ea219bf20af5adad8a0d714a74347134af0ea04c  16.0-7-gea219bf2                         afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_sdss                  44ea68fe555ac4e03ba8b0fffcd087cf5af1c151  16.0-3-g44ea68f+13                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
dax_imgserv               e3995cf070cae6f50f79ca31d06dfe2756f2a4a3  12.1-26-ge3995cf+2                       afw,base,boost,daf_base,daf_persistence,db,doxygen,flask,log,python_mysqlclient,obs_sdss,scons,sconsUtils,skymap,sqlalchemy,jsonschema
dax_webserv               f15dc10355793b284beb25501b71065a34f2c89b  12.1-17-gf15dc10+1                       db,flask,dax_dbserv,dax_imgserv,dax_metaserv,python_mysqlclient
