# product                 SHA1                                      Version                       
BUILD=b3824
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+8                     cfitsio,wcslib,gsl,numpy
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+9                                  python,pytest
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+6                           python,numpy,pykg_config,cfitsio,astropy
ndarray                   b3fb59ae4e34a86aa2a1cfb81b1f5af2660c9842  1.5.1.lsst1+6                            boost,python,numpy,eigen,pybind11,fftw
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1                                    python,pytest,python_coverage
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+8                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb                     numpy,scipy
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+8                                  python,pytest,flake8
scarlet                   fdfbe1c24037acfb2a9f7f87f3f505e4df92f041  lsst-dev-gfdfbe1c240+2                   pybind11,scipy,numpy,eigen,proxmin
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2                              python,numpy,astropy,astropy_helpers
sconsUtils                aa5940740df34ec04916b703d7d930c92da65cf9  16.0-7-gaa59407                          scons,pytest,pytest_flake8,pytest_xdist,pytest_session2file,pytest_cov,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+123                                 sconsUtils
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+8                        sconsUtils,ndarray,numpy,starlink_ast,pybind11
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+5                        sconsUtils
base                      2cc461ccfc0cecc86fcd70d6fa40795b4070dd3f  16.0-4-g2cc461c                          sconsUtils,pybind11,python,doxygen
pex_exceptions            aa49eb336f1afbf186d3d492d28327a6008dd1de  16.0-3-gaa49eb3                          base,boost,pybind11,python
utils                     f4ebffa1bbf92a21f1d499ba166b7cd7f3fe67b4  16.0-7-gf4ebffa                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
sims_utils                deebf7fbc7a8e15b787fb63ba5a5c957a5ec2803  2.10.0.sims+3                            utils,python,python_future,palpy,astropy,healpy,sims_data
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+8                        base,sconsUtils,pybind11,doxygen
daf_base                  c37096434ebb42e4c36c4bd3e86498c7b06d6b98  16.0-7-gc370964                          utils,pex_exceptions,pybind11,python,numpy,pyyaml
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+3                             numpy,python,utils
pex_policy                404ea43d43b00bc6d085da84f02580eb1ddd4c69  16.0-3-g404ea43+1                        daf_base,utils,pybind11,python
sims_photUtils            32b3c836a60e37d43bf9184150ebf9c535ea6f68  2.10.0.sims-1-g32b3c83                   utils,sims_utils,python,throughputs,astropy
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+10                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_skybrightness        fdd58c7eb0414e89f5c7fa12eccf8809acabcf92  2.10.0.sims-1-gfdd58c7+2                 base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
daf_persistence           10498df05d4db0320b046681b17bff260eff3bd1  16.0-5-g10498df+1                        log,pex_policy,astropy,pyyaml,pybind11,python
geom                      230e10e24db3d8aea844638d7593131379fcf83b  16.0-10-g230e10e+2                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
sims_catalogs             1065295deb294d3b2660623b6df78c2e0eafd63b  2.9.0.sims+4                             daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
pex_config                9645794ae45512275bbd3571f99ade6259e84983  16.0-3-g9645794+8                        daf_base,pex_policy,numpy,utils,pybind11,python
sims_skybrightness_pre    09bb1a01618b506cd0f7d8a76e3c839353a1b2ba  2.10.0.sims-2-g09bb1a0+2                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
afw                       a0fd27181e3e778c343fb07db9ac20e7bf78706e  16.0-40-ga0fd27181                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
daf_butler                c2036689108bb33fa6323a1ca3daa481465bed6c  master-gc203668910                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,daf_persistence,afw
skymap                    13a27c568fe1a38c93be91724f76e1d111dadff8  16.0-4-g13a27c5                          numpy,sphgeom,afw,healpy
obs_base                  de155d74f5c16746b4531e0de69e854b68194155  16.0-13-gde155d7+6                       daf_base,log,pex_policy,daf_persistence,afw,astropy,utils,daf_butler
obs_test                  0da18be79f78cbadeb817fc0040ff3362725e2d8  16.0-5-g0da18be+11                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 9fe0e56c23a0ff9dc0c233848667df811b904b9b  16.0-11-g9fe0e56+21                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               8a0f11ad41700031c1f401767dc69b6fdc8006be  16.0-4-g8a0f11a+20                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          839ba837ce4a9dc49a930c7af54f43f78ec67327  16.0-2-g839ba83+36                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_base                 5ad1ebf752175d0d73d66f2744a22aef5b32a07b  16.0-12-g5ad1ebf+13                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           a49ff4338440d33abbdcffe49d3df00204062e45  16.0-16-ga49ff433+3                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_astrom               c85596ebb23bef1b4a27b8aee3d12d495435fa87  16.0-12-gc85596e+6                       geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_astrometryNet 563880ac77928ddcb0f6a5277a3aa902fca37938  16.0-5-g563880a+6                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    cc4efb7d763d3663c9e989339505df9654f23fd9  16.0-9-gcc4efb7+10                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_deblender            4dec96c37e207122dcc113f5b58869c073e10ebe  16.0-8-g4dec96c+11                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 1de645cc404c0820b584cc8a8d0e47d843ecc86e  16.0-9-g1de645c+11                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
pipe_tasks                9428de4d3d30aa5cf8b40ef4365f0b8c88f1d659  16.0-14-g9428de4d+5                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_lsstSim               c32b17b109f77fb797874169464945a249549a1f  16.0-5-gc32b17b+15                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
sims_coordUtils           dba2fa2d7ff253fb730933259d3b74fae974a17f  2.8.0.sims+6                             base,python,utils,afw,sims_utils,obs_lsstSim
sims_maf                  97dd48889d29bf5749e1824e760ed9b2d5c3257a  2.10.0.sims-12-g97dd4888                 base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_catUtils             f1e28a1195021d1704f203234353572023e4d3dc  2.10.0.sims-1-gf1e28a11                  utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_alertsim             0146ec391ec87010bb3dae63a1f7fc0f84b045bf  2.5.0.sims+9                             sims_utils,sims_catalogs,sims_catUtils,python,pymssql,daf_persistence,astropy
sims_GalSimInterface      b01bc70da431919bfc3b00e0140e5e85cb03c9bc  2.10.0.sims-2-gb01bc70                   galsim,astropy,meas_astrom,afw,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 8f9e189509d4dd93efaa69e1ec3e0b3d3a619904  2.3.5.sims+25                            sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,sims_alertsim,ephem,sims_survey_fields
