# product                 SHA1                                      Version                       
BUILD=b2184
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
mariadbclient             a3cbbea09f2ba4d2a6064595ba8d300c478cab0f  10.1.11.lsst3                            
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
matplotlib                49c793a8e420fcfe39a0b0efbcf827d842aa8871  0.0.3                                    python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+2                            python,numpy
esutil                    f7abc5adc9104c37a88dd7aa1d950873f1a8193a  0.5.3+2                                  python,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+1                            python_d2to1
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2                              python
sconsUtils                67b2f9e744a835e585f912aef089cea78ced6164  12.0-5-g67b2f9e                          scons,doxygen
log4cxx                   e820ae31346b4b1cf8c592e94d1ee6498213aa9b  0.10.0.lsst6+1                           apr,apr_util
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+3                                  python,numpy,scipy
base                      19372bd81bd7238cbf4991de715a72a82834e592  12.0-5-g19372bd+2                        sconsUtils,swig,python_future,doxygen
log                       bdaee9d596dc2207433c8bc20fbd55fb65911db8  12.0-4-gbdaee9d+1                        boost,log4cxx,base,sconsUtils
afwdata                   5f41616c3e012c71aab395c67e5bba3e1ed9ee34  12.0+6                                   sconsUtils
pex_exceptions            4e7a85b49dec26ae9b1133c8a7bdefaebc9802f9  12.0-1-g4e7a85b+2                        base,boost,swig,python_future
ndarray                   99450fecffe21c47e1cbe40fe56dad806da7fbc5  12.0-1-g99450fe+2                        boost,python,numpy,eigen,base,swig,fftw
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+6                                  numpy,python_d2to1,stsci_distutils
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  12.0+6                                   gsl,sconsUtils,fftw
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+83                                  sconsUtils
utils                     9c7a3b42d0e74fbeb02f0e8f43260f84c6bf3c9f  12.0-8-g9c7a3b4                          base,pex_exceptions,boost,log,numpy,python_psutil,python_future
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.0-1-g4cdfb8d+1                        sconsUtils,python_future,utils
daf_base                  3a3e718e3d4077cc0db0583972699914aa4334ae  12.0-4-g3a3e718+4                        utils,pex_exceptions,numpy,python_future
pex_policy                798969ea76298838678d481156edcfa32067a27b  12.0-2-g798969e+6                        daf_base,utils,python_future
pex_logging               c6c1df41b8a33bf2e0e9326e9fbfbcad963a23c1  12.0-1-gc6c1df4+4                        pex_exceptions,daf_base,utils,python_future
pex_config                c662e57830a530ed961f8706ebcbe3d20cb78d0c  12.0-5-gc662e57+2                        daf_base,pex_policy,numpy,utils,python_future
daf_persistence           e3e91d9ab7332c9b8dc72b803b7941c5354c1069  12.0-6-ge3e91d9                          mariadbclient,pex_logging,pex_policy,astropy,pyyaml
afw                       32ef022aa18ae7e75bc8b6f2078d9c12fc839b08  12.0-21-g32ef022+2                       daf_base,daf_persistence,pex_config,pex_logging,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,pyfits,matplotlib,afwdata
skypix                    86326bbb84d0b706a5f7e87290a58367f4c7cb6b  12.0-1-g86326bb+1                        utils,pex_policy,geom,afw,python_future,sconsUtils
daf_butlerUtils           0d2978b1c6dd3276d9e2d8aff0637e6e7cae380f  12.0-8-g0d2978b+1                        daf_base,pex_logging,pex_policy,daf_persistence,afw,skypix,pyfits,utils
shapelet                  4712fae477c9bfb4a110013030221fef743e3ee4  12.0-2-g4712fae+22                       afw,numpy,scons,sconsUtils
display_ds9               2f8d434e3a23737d2aee5b341fd881af8c67adc9  12.0-1-g2f8d434+22                       afw,xpa
obs_test                  cdb69c42288c2f93b752daea6b577a7dcd359b5e  12.0-5-gcdb69c4+19                       afw,daf_base,daf_butlerUtils,pex_config,pex_policy,numpy,skypix,utils
skymap                    ff153142f50f12c7ff6b6c206ef7734ab3488c8b  12.0-1-gff15314+18                       numpy,afw
pipe_base                 f04e283953f7d5c29379616f9f9383d0df0ff8da  12.0-7-gf04e283+5                        daf_persistence,pex_logging,pex_config,utils,afw,obs_test
coadd_utils               2dfa1ca662c7a798d8d5deadae4ddc1954da2568  12.0-1-g2dfa1ca+29                       afw,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          10e615de74c841430a0783555a4902241c03cfc1  12.0-1-g10e615d+29                       coadd_utils,numpy,scons,sconsUtils,afwdata
meas_base                 0dcf3afdb52f66d3805eba2cc90f137b29eae22c  12.0-7-g0dcf3af+14                       afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,scons,sconsUtils
meas_extensions_simpleShape 6a3db40e895f7ff8994b6db00866397cf2dc330c  12.0-1-g6a3db40+34                       scons,sconsUtils,base,numpy,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           55e915d5623f8bdfdc64dac8bbdb604bc3154834  12.0-23-g55e915d+10                      daf_base,daf_persistence,afw,esutil,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_logging,pex_policy,pipe_base,scons,sconsUtils,utils
ip_isr                    164de6475f0455b9d4bacad8910de3ef25f9640e  12.0-5-g164de64+6                        meas_algorithms,numpy,pipe_base,scons,sconsUtils
meas_extensions_psfex     c91cf5c529e7c0af5ba6a4d65be3e7002d25cb4d  12.0-3-gc91cf5c+22                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,swig,utils
meas_deblender            f5405dcdf8e6ce49c5767a15e4bcf987b6d66b72  12.0-2-gf5405dc+40                       afw,meas_algorithms,numpy,scons,sconsUtils,utils,matplotlib
ip_diffim                 840e2db1af96c012a546eb3069b4f33b6c8872e5  12.0-6-g840e2db+23                       afw,daf_base,daf_persistence,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_logging,pex_policy,pipe_base,utils,lmfit,afwdata,matplotlib
meas_astrom               f7e398db1206bce514b859957683f77a36767edb  12.0-10-gf7e398d+5                       afw,meas_algorithms,pex_logging,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,matplotlib
pipe_tasks                6dfcaf96d83d917abe6bc2f00e754cabf64c7eae  12.0-23-g6dfcaf9+6                       pipe_base,pex_config,utils,afw,meas_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  9494feca1ece0642d2c4c3d0b721275a0d28f95d  12.0-4-g9494fec+33                       pex_policy,daf_butlerUtils,afw,meas_algorithms,meas_astrom,mysqlpython,pipe_tasks,utils
obs_lsstSim               c3154c701511176d2d9e18a260fcc37eace2916d  12.0-5-gc3154c7+25                       daf_base,pex_policy,afw,daf_persistence,daf_butlerUtils,meas_algorithms,ip_isr,pipe_tasks,mysqlpython,utils
meas_modelfit             f2d6590b3db7b296c7878b24fc8abd2756c35f9f  12.0-6-gf2d6590+33                       afw,meas_algorithms,meas_base,numpy,pipe_tasks,scons,sconsUtils,shapelet,matplotlib
lsst_apps                 d7afef2d9a291b490dfb6cd37680acd420918619  12.0+47                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
