# product                 SHA1                                      Version                       
BUILD=b4829
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_decam            9a3ee7c47e5b744c6385fc735f964c043f1ce9c8  19.0.0-2-g9a3ee7c                        
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  19.0.0-3-g489cb8a                        
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
meas_astrom               d0f30f540edd27a202162518163a634118b8836e  19.0.0-1-gd0f30f5+7                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
ip_diffim                 66e0b7039a5e82655397e2b8c9ff69c5435b413b  19.0.0-15-g66e0b70                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
meas_extensions_psfex     b77924a28b3f8798175d4447a3001ccaf4e1a5ce  19.0.0-1-gb77924a+7                      afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
meas_extensions_scarlet   dd218f3d4c3a3ca8c2b314c832a932c46d9b7c7a  19.0.0-7-gdd218f3+7                      base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+72                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
cp_pipe                   44bf2be0bf8ea0c73816267501abfb5fd81fa994  19.0.0-13-g44bf2be                       pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
pipe_tasks                8a917ba3f45e169ed18a5c39296eaeb96a9cd40e  19.0.0-46-g8a917ba3+1                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  19.0.0+84                                obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_lsst                  2cf1cbc4edde33022cd60c07813f35854008ddf0  19.0.0-47-g2cf1cbc+1                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
pipe_drivers              ac56ccee116805b9aab6b8f61d6fcdcab361b72a  19.0.0-4-gac56cce+9                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_lsstSim               6d6cf70684f92a46b333c1ef21712a0bdc74cac9  19.0.0-2-g6d6cf70+8                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_cfht                  c6cf8f7b9f06f3b10bb84e4e540e4257cedacbf8  19.0.0-1-gc6cf8f7+80                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
lsst_dm_stack_demo        cf6bc4ae2b6220f041fb1035dd578ed5f57067de  19.0.0-1-gcf6bc4a+76                     python,utils,sconsUtils,obs_sdss
obs_subaru                68ee177ed44da9d433f026207c20536f73ae6c34  19.0.0-37-g68ee177e                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+251                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
synpipe                   bfe0924a0c6021c906e6612ed51a47dd4de490d5  19.0.0-1-gbfe0924+58                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_decam                 85fbfd3d8ea0740b7ceff5391cb1cfc04ad623e4  19.0.0-19-g85fbfd3+1                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  19.0.0-1-g90fac64+18                     obs_decam
testdata_jointcal         176239d5b2d06a3db1d5df024f635ecc3d170589  19.0.0-3-g176239d+1                      obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validate_drp              2701a442e68562291a74a5c32201552aeef9a20b  19.0.0-13-g2701a44+6                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  19.0.0+91                                obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   8dfed85431de3050141683b20c976046ad4fea5c  19.0.0-6-g8dfed85+43                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+261                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  33ce3a3f465ee8a3d9cbdca3b2efdfbe70754029  19.0.0-4-g33ce3a3+8                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
ap_verify                 e51318dc342361a950221687287597fdb776d547  19.0.0-7-ge51318d+1                      python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
fgcmcal                   2772d4aead22e1eb1a24293d26255350d88dbeab  19.0.0-19-g2772d4a+1                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              c154f85acc49bb082938c283f7b52dce6afd4be0  19.0.0-1-gc154f85+31                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   c024abaf8a5ff47abea09dfaf3cc5cc6af43e52e  19.0.0-3-gc024aba+17                     lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
