# product                 SHA1                                      Version                       
BUILD=b3882
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
verify                    0ee5b77afa3e0ec86e0d8326c80faace492b724c  16.0-1-g0ee5b77+20                       python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
afw                       ed26810fc4173dc446d0cdada6b86d0193131a16  16.0-55-ged26810fc                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
daf_butler                1d3bde488640ea6bafe93a8bcdcbeabe1a7b778a  master-g1d3bde4886                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
ctrl_orca                 2315192137f853c08cb8234cd89fa2ed3b64a930  16.0-2-g2315192+13                       python_future,utils,pex_config,daf_persistence,log
display_firefly           03cf288855deed6d7d3aedfddf06e06d647aa02c  16.0-4-g03cf288+37                       afw,log,firefly_client,python_future
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  15.0+54                                  python_future,ctrl_orca,pex_config,utils
obs_base                  3d7f7adebcc72cc25d8eb6cef2d52cff20f68a29  16.0-20-g3d7f7ad                         daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
skymap                    13a27c568fe1a38c93be91724f76e1d111dadff8  16.0-4-g13a27c5+23                       numpy,sphgeom,afw,healpy
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  15.0+54                                  ctrl_execute
shapelet                  de5bd6453ef17d602e082b3c14171b24eff3514b  16.0-7-gde5bd64+5                        afw,numpy,scons,sconsUtils,pybind11,scipy
display_matplotlib        cfd6c53fb2b2afaae4b6c783f7b86d332d41a7e9  16.0-3-gcfd6c53+46                       afw,matplotlib,python_future
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+48                       afw,xpa,pybind11
obs_test                  0e813a653d7f354c3044f85494c18ca0df3389df  16.0-8-g0e813a6+5                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
dax_ppdb                  b3783dab453b1c3e33d44596979c1114f8f3b512  master-gb3783dab45                       afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  master-gad2fcd81dc+11                    obs_test
pipe_base                 b122224b7f1a1625dd30632be8d0e324d0cf0e67  16.0-13-gb122224+16                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
cp_pipe                   c6e0ed079a1be96142f925eac755fb4c7146efe2  16.0-2-gc6e0ed0+9                        pex_config,pipe_base,daf_base,log
ctrl_pool                 bc759eca196902850c9b776dfedb826ace92e894  16.0-3-gbc759ec+23                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               6a53317665fd620d2a0fe3cfb0c2fab85c895877  16.0-5-g6a53317+4                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          e00e371ed7ad5c90423d94188483759106dc13d4  16.0-3-ge00e371+4                        coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_base                 a5060d2761fa0fda78bc5212a362f5a814faf773  16.0-14-ga5060d2+4                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+57                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           e41511784f6981deee45fcfc4f779f20105c3647  16.0-18-ge4151178+4                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_modelfit             08f94607aceca20bb570a97b34fef2c3b72ff37e  16.0-14-g08f9460+8                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_astrom               77ef37836f806ca195071d3db647d906060c97c4  16.0-15-g77ef378+11                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_photometryKron 199125397726b0608dec446aca737462e6054dbf  16.0-5-g1991253+25                       meas_base,pybind11,meas_algorithms
meas_extensions_shapeHSM  fda48a7a1806872895ec1bfc22b61629ecc97b3a  16.0-6-gfda48a7+37                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_deblender            73415e6b12250735194af206177e44c01ac04004  16.0-9-g73415e6+4                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_isr                    5f20d2405f2b6aa4cbdd1043ccc6b7f0a1d8cc85  16.0-13-g5f20d24+5                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
ap_association            768ec8596030044cadcd3444525c4b2947585321  master-g768ec85960+11                    afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,numpy,scipy,python_future
meas_extensions_astrometryNet 6043bfc66633d67b217bc8f699e01d4405a3d65b  16.0-7-g6043bfc+13                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_diffim                 8a3b804c1ab68f09a3c88cec432ed09b20586f67  16.0-14-g8a3b804+4                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_psfex     c1446ddfc15a0720cfe4a2d65df8025a6a08ac4e  16.0-10-gc1446dd+25                      afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_convolved ae186386385d2a635bea615618b8e50547629263  16.0-4-gae18638+25                       meas_algorithms,meas_extensions_photometryKron
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  16.0-4-g40f4cc0+21                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                9c0e765ead4ef08376b4981bdb38452cf1534912  16.0-25-g9c0e765e+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
synpipe                   865efd93367cb878e3eed30b75b3b96f2e01a9c2  16.0-5-g865efd9+27                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_sdss                  71b33fa2385105c4a2a4daadafa5f9556f012580  16.0-5-g71b33fa+23                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_decam                 0300050aa02abc7f8429369877c31a21cc1f7d65  16.0-11-g0300050+9                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_comCam                2c76b881afa8f5d63b5b305e4d221ee70c9f2225  16.0-4-g2c76b88+10                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_ctio0m9               9bba941906e2dc3a6bf620befc057a60b6f56f8c  16.0-5-g9bba941+4                        afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
obs_cfht                  aec0f8bd2d105d26364b0d79531ef61bdd8269fd  16.0-4-gaec0f8b+23                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,testdata_cfht
pipe_drivers              d2eeba56fc3ed255ce7fb4194576e559294a6de0  16.0-7-gd2eeba5+7                        ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
lsst_dm_stack_demo        0b7f3caf4bf964415a5890625aff9c5c2c61c364  10.1-40-g0b7f3ca+7                       python,utils,sconsUtils,obs_sdss
obs_subaru                1d53f1a867890c8a6350304a5d871cd7ecd7d41c  16.0-32-g1d53f1a8                        daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_lsstSim               97be04c553d816049efd6efe090bd2c0285c7d38  16.0-7-g97be04c+16                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+63                       obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
ap_pipe                   02a361ce6c7ece969146ccab4f1a50cf7bcaf32c  master-g02a361ce6c+12                    utils,pex_config,pipe_base,pipe_tasks,ap_association
validation_data_decam     d5cb6675fc1d40511b9048230b2cefc8a57e3b3a  16.0-1-gd5cb667+34                       obs_decam
ap_verify                 5efc3320780a04bb287a21c6a8ced3dc6c944d62  master-g5efc332078+12                    python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test
meas_mosaic               438cabe154bad7eb9caed0b63f9335de33e15dc7  16.0-16-g438cabe+2                       sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+85                                  obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_cfht      7de73de9538ba803cef42dd2791f384e352d974c  16.0-1-g7de73de+34                       obs_cfht
jointcal                  df247dd9ced51134a24d02c612ebdeb5a4992896  16.0-18-gdf247dd+6                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  16.0-1-ge7f95ac+16                       meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+143                                 obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
validate_drp              7d69e54cc9899d590283ed9d1029f782a4f4459b  16.0-12-g7d69e54+4                       python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_distrib              3bbe1814df827053f81ada027b348fccdfd2a353  16.0-1-g3bbe181+17                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
lsst_ci                   bc167260ebfc3552863e7704268cb6ae1fbfd98a  16.0-1-gbc16726+33                       lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
