# product                 SHA1                                      Version                       
BUILD=b4645
throughputs               0b2113e40bcac204c41cb078a08931bd785c519d  2019.07.02-1-g0b2113e                    
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  19.0.0                                   
sims_featureScheduler     2b92296dfa9856a335edcd055522cc46c294bd3f  master-g2b92296dfa+1                     base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  19.0.0-1-gdc0e4a7+8                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
obs_base                  e91d8c4ea6d5756861b50529647d4b7d7ebcee69  19.0.0-9-ge91d8c4+1                      daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+8                      afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_algorithms           3d9e4fb20c9f35e8f606303a663b75f74ef65250  19.0.0-2-g3d9e4fb2+8                     astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  19.0.0+12                                afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_scarlet   62b7f63b8cf7f423b9a14ed3c662017be8184572  19.0.0-2-g62b7f63+7                      base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
ip_diffim                 1bb2ddf263bae68e7154f47ed2b8e95911023dd9  19.0.0-3-g1bb2ddf+1                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
ip_isr                    87f98d02d4b176be968704b98d13cbf53293b991  19.0.0-4-g87f98d0                        meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  19.0.0+9                                 geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
pipe_tasks                dc1c05fd063632000ba618d154d72cd7eb7f319a  19.0.0-8-gdc1c05fd+1                     afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  79942e9a839c3e11a90a61a6c17b238d653769c0  19.0.0-5-g79942e9+4                      afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  19.0.0-1-ga8543ac+14                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
sims_coordUtils           5ebaff5c12e4f3108a0a4cdaba07f261be3c595f  2.13.0.sims-4-g5ebaff5+2                 base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_catUtils             a0ae8d8e6075f0b475b7f90055529b4af8746cb0  2.13.0.sims-5-ga0ae8d8e+8                utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_GalSimInterface      1d3da73b6908d209f1bcc46035513097a641bb01  2.13.0.sims-12-g1d3da73+2                galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
sims_maf                  4613b5c22e49b4bec602ca42d93663f0949d08af  2.13.0.sims-21-g4613b5c2+2               base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+41                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
