# product                 SHA1                                      Version                       
BUILD=b4005
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+5                              python,pytest
fgcm                      8b845deacd27e3448bcd790ac2f77bb48f345565  lsst-dev-g8b845deacd                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
coord                     7309b208a04995ce3040490ec06eddee9bff6541  1.0.5.lsst2+1                            python,numpy,python_future
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+1                                  boost,python,numpy,eigen,pybind11,fftw
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+1                   numpy,scipy
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+13                                 python,pytest
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+13                                 python,pytest
firefly_client            bdd0b666a003eb6865ae02bb866d8c3318d3b604  lsst-dev-gbdd0b666a0                     ws4py,python_future
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+5                           python,pytest,pytest_forked,python_execnet
flake8                    5c00ee60f2f3c438cf9768f303462e359d230d7c  3.6.0+3                                  python,python_mccabe,pycodestyle,pyflakes
pytest_flake8             39ba4274ec41a1cdac9efd1cd49a2619974f15db  1.0.1.lsst2+2                            python,pytest,flake8
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1+5                            python,flake8
sconsUtils                57c515d888139fa01e006e0231760431bc0679ac  16.0-15-g57c515d+3                       scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      9321be75ef148c5d6fb6ba86f1576d75c0e7654f  16.0-6-g9321be7+5                        sconsUtils,pybind11,python,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+59                    scons,sconsUtils
verify_metrics            d6b74a99466da166c524102a43984a6431dc05a2  16.0-4-gd6b74a9+2                        sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+19                                  gsl,sconsUtils,fftw
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+55                               sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+18                       sconsUtils
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+11                       base,boost,pybind11,python
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+22                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
utils                     f0259e2ae3cb9fc996ed683e4e401918bc9bae2c  16.0-16-gf0259e2+1                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+21                       base,sconsUtils,pybind11,doxygen
daf_base                  09ed895f7bc09c8c806d8351a8aff07f48ac6423  16.0-11-g09ed895+3                       utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       a8830df6ec65b1fe1c26acd9f9355f8c7a461d2b  16.0-2-ga8830df+7                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      dd5ca336533650b25d1a64206aade02d0267e29e  16.0-15-gdd5ca33+2                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
astro_metadata_translator 6f82b7b8ee44926cd7fa51ea2ebb4a1f975d7699  master-g6f82b7b8ee+4                     scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                b13d127967f649535209e991ca4e1d467de003f7  16.0-4-gb13d127+7                        daf_base,utils,pybind11,python
daf_persistence           7af1f30f925c9795163610330ef1156abdc0b44d  16.0-15-g7af1f30                         log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                9d3e444d00de443eb611b28f5238bd39c4edbdf6  16.0-10-g9d3e444                         daf_base,pex_policy,numpy,utils,pybind11,python
afw                       bf7a9a820d20d7d575b2b17f4dc8648dc0c07442  16.0-75-gbf7a9a820                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
shapelet                  3a9f023dd86f9ba8004710d26303653cb3bd23dc  16.0-8-g3a9f023+24                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_orca                 aefcce0c63ab49706277cc7673ef50e1723b127e  16.0-3-gaefcce0+9                        python_future,utils,pex_config,daf_persistence,log
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  16.0-4-g18f3627+17                       afw,matplotlib,python_future
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+73                       afw,xpa,pybind11
daf_butler                eaab2dcbd1b947c89891034e95090e5cebed1e29  master-geaab2dcbd1+2                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
skymap                    f3bc1693beacae2781f617f1b56d2f01823b1b20  16.0-9-gf3bc169+2                        numpy,sphgeom,afw,daf_butler,healpy
display_firefly           f5c1f4358481bb3e175a4ddf03aebbe0b3035413  16.0-9-gf5c1f43+12                       afw,log,firefly_client,python_future
dax_ppdb                  d73dc1d09880e5cd5caa37a536ccfcdf309f3f5d  master-gd73dc1d098+5                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
ctrl_execute              609bcd0aaf14039c9ec6cbe251c4f2edf7f495ba  16.0-1-g609bcd0+7                        python_future,ctrl_orca,pex_config,utils
obs_base                  e8801f957eef4302957c4986f56c3ac1a56e3cc4  16.0-29-ge8801f9+4                       daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
obs_test                  12e47bda8bcdc3b68ffc6be2333dd3e583aa69ec  16.0-11-g12e47bd+4                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
ctrl_platform_lsstvc      817d9558669f49bfc7333e6765e3300a0ffb5ad6  16.0-2-g817d955+7                        ctrl_execute
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  master-gad2fcd81dc+44                    obs_test
pipe_base                 8e79609485090c4c762e62f4c1f41494c29ab305  16.0-26-g8e79609                         daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ctrl_pool                 abf74b740a17475d1a9aa5aac38ff8e15b53db48  16.0-4-gabf74b7+33                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               6a53317665fd620d2a0fe3cfb0c2fab85c895877  16.0-5-g6a53317+38                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
verify                    9a9af5fc628e2e2d52bef2bb57670f47a4407eee  16.0-6-g9a9af5f+3                        python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,verify_metrics
meas_base                 a4d4bcb020a6781d19bfad2165b8f39455a99ffa  16.0-18-ga4d4bcb+5                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
cp_pipe                   27fb78a50ac6fbde48d40a36c2de663432c533f8  16.0-5-g27fb78a+11                       pex_config,pipe_base,daf_base,log
meas_algorithms           3d035912ed4dfeac9b680912f3023018bf7466ea  16.0-21-g3d035912+2                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
coadd_chisquared          e00e371ed7ad5c90423d94188483759106dc13d4  16.0-3-ge00e371+38                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+91                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
ap_association            241c1791dea2e544313fd2702913a94e591c58b8  master-g241c1791de+8                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,numpy,scipy,python_future
meas_extensions_photometryKron f49912ce06bd4fc99570f803ac93236ca89614a4  16.0-6-gf49912c+33                       meas_base,pybind11,meas_algorithms
meas_deblender            5c924a4f47b21ea0965c10e2a861c00b3f1f2f6e  16.0-12-g5c924a4+10                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_shapeHSM  fda48a7a1806872895ec1bfc22b61629ecc97b3a  16.0-6-gfda48a7+72                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_diffim                 31abd9151b81b518f51c2bae9c3f2c510ff0d668  16.0-17-g31abd91+11                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_modelfit             cf94535bb612d166be82af3f27d59d01659e0b6f  16.0-18-gcf94535+2                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_convolved ae186386385d2a635bea615618b8e50547629263  16.0-4-gae18638+59                       meas_algorithms,meas_extensions_photometryKron
meas_astrom               51a54b394881a5965b90e72ace053e272a7ced7d  16.0-18-g51a54b3+3                       geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_psfex     9bb73b2d1a644f3fefae69c64eb536419df60578  16.0-11-g9bb73b2+10                      afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
ip_isr                    5cf0468fe51ea1c7407cd5d33aca9de96d19b49c  16.0-17-g5cf0468+3                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_astrometryNet 21fd5fe612fa2e3ec385736e6e6fc120e753f7df  16.0-8-g21fd5fe+34                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_ctio0m9               2e441db59638a9239894b27a78dc617b1c89bca3  16.0-6-g2e441db+33                       afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  16.0-4-g40f4cc0+56                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                bbe9c988f26fe5c00a6594361e1c8d96180db780  16.0-51-gbbe9c988+3                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
ap_pipe                   390d556d7c481f466da04591a9c4efbeb9ba5196  master-g390d556d7c+14                    utils,pex_config,pipe_base,pipe_tasks,ap_association
obs_comCam                2909b49ba34cc3120671c83628675a584fbd2bee  16.0-6-g2909b49+36                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_lsstSim               28cebc3e6ba1329d1156cdde9e7916ab493706a2  16.0-9-g28cebc3+57                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_decam                 9d290d58030b3bb07734599920439f33a16acbc6  16.0-19-g9d290d5+2                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_cfht                  62fdbaee87fcc4bdccae5382832ebddd32318c99  16.0-8-g62fdbae+12                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
pipe_drivers              d2eeba56fc3ed255ce7fb4194576e559294a6de0  16.0-7-gd2eeba5+56                       ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
ap_verify                 b6fc462423ff7aaceae802a91007d54e540d9c7b  master-gb6fc462423                       python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
obs_sdss                  33965e3bc67f181039e21b71243058176ee54124  16.0-7-g33965e3+48                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_subaru                2058802c01879d1518f5d722283e038a7d145606  16.0-44-g2058802c                        daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
synpipe                   cbc7b310992dfab4ca4d95ea41beea64aadd1988  16.0-6-gcbc7b31+47                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  16.0-1-ge7f95ac+67                       meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
validation_data_cfht      91cba59613775a4a868702b2a3d5937ebd04c9e9  16.0-2-g91cba59+12                       obs_cfht
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+138                                 obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_decam     be4b166ba8b6d8c835e5d7054c71b84b4bccc067  16.0-2-gbe4b166+12                       obs_decam
jointcal                  fc9ea6cd78857cb297ac446e4ac3eaaf28725a64  16.0-28-gfc9ea6c+9                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
validate_drp              58b607bce5038ca2c6e7bb08bcbc7d847a48104d  16.0-16-g58b607b+6                       python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_dm_stack_demo        e6c258fda7eb6c6fb457d2be8c2f73fca1be8821  10.1-41-ge6c258f+28                      python,utils,sconsUtils,obs_sdss
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+110                      obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
fgcmcal                   75f72011181ec1ebde771526f127c5c7d338bd02  master-g75f7201118+5                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
meas_mosaic               110d9e1b331bc3948377b0499cb6291850793d7e  16.0-17-g110d9e1+9                       sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+194                                 obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_distrib              3466de96d5f25781a0af20d60ad9537876dd4c96  16.0-2-g3466de9+34                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  16.0-2-g7d755d1+13                       lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
