# product                 SHA1                                      Version                       
BUILD=b3432
libevent                  7eda99b28260fef2aea6de76475b754e611df4a9  2.1.8                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
mariadb                   14a0f555ff2b274aa51bcbfa804569545e4ed530  10.1.21.lsst2                            
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
starlink_ast              c8b18833b2c73941dc696ceca7bb50c19d72f010  lsst-dev-gc8b18833b2                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+2                             python
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+2                             cfitsio
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1                                   python
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+2                            python
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst2                               python,libyaml
pytest                    78ee25278d11e66ff87b4e1f3b5b95fd52177067  3.2.0.lsst2                              python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+2                                  python
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1                            python,numpy
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+6                     cfitsio,wcslib,gsl,numpy
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
mysqlproxy                26616e44273ff331a7b3aa0a3504dded48b681c4  0.8.5.lsst1                              libevent,lua,mariadb
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.3.lsst1                              boost,python,numpy,eigen,pybind11,fftw
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+4                            python
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3                                    python
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+4                                  python,mpi
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+1                                 python
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst2-1-g2722dd9+2                 numpy,pyyaml
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
tmv                       d8aa65926e7c98a9298b73a422feaafe7bf3d672  0.73.lsst1+2                             scons
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
galsim                    ad0dd4889388d16c4c2aa835199eda3a6b4a8101  1.5.1.lsst1                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
firefly_client            0232f24481837d34903335221c910df578a3bcff  1.2.0.lsst1                              ws4py,python_future
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+4                           python,numpy,pykg_config,cfitsio,astropy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
scisql                    a1d17d67429770fa7e175ed2af43234e9570d689  0.3.8.lsst1+2                            mariadb,python_mysqlclient,python
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+22                    python,python_future,pyyaml,numpy,astropy,sconsUtils
psfex                     823d0e4aa968bf7d3f0195271bc17619d4c16642  14.0-1-g823d0e4+6                        gsl,sconsUtils,fftw
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+6                        sconsUtils,pybind11,python,python_future,doxygen
verify_metrics            586ef34a9f46e06b52312880c11d2ced006e8236  14.0-2-g586ef34+5                        sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+27                    scons,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
astshim                   99fab3d766b4d99645d1f6a5649f1e18b2b45ab9  14.0-14-g99fab3d                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+9                        base,boost,pybind11,python,python_future
sphgeom                   110c6f4958a02f2268ffde0a7f5b5b35aa1c2c7e  12.1-4-g110c6f4+22                       base,sconsUtils,pybind11,doxygen
utils                     11010eb972b70ffd02fe4d9203379c942b0908d3  14.0-9-g11010eb                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+10                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+40                       boost,sconsUtils,sphgeom
daf_base                  744ff5f0914b46439ccfb6ee4ac298d27cfe019d  14.0-5-g744ff5f+2                        utils,pex_exceptions,pybind11,python,numpy,python_future
verify                    444b9f07dc7e54b1dfb11c8e191b1c4d98f3dd23  14.0-10-g444b9f0+2                       python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+12                       sconsUtils,python_future,utils
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+14                       daf_base,utils,python_future,pybind11,python
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+13                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+10                      log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+11                       daf_base,pex_policy,numpy,utils,python_future,pybind11,python
cat                       cebd4ec1ea3825751927211885031a0fc4758622  14.0+12                                  python,mariadbclient,db,sqlalchemy,utils,python_future
qserv                     df45244d3e42eb85624e40cde00dce35dabdd220  12.1-136-gdf45244d                       antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  14.0+16                                  python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  14.0-4-gc2b038a+9                        python_future,ctrl_orca,pex_config,utils
qserv_testdata            0fcb2ffa959fb906bbec8fd3fe1dbafdba04d3cf  2016_08-4-g0fcb2ff+33                    python,python_future,pyyaml,qserv,scons,sconsUtils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+123                   qserv,partition,qserv_testdata
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  14.0-2-g3865e40+9                        ctrl_execute
afw                       5356564446cdbbaf08414a4f32812eb83a656372  14.0-49-g535656444                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
skypix                    a19a71216be61195a17415af196153b542b676df  14.0-1-ga19a712                          utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    3609236c8b3caebe32fc9b619541bb650e33f4f1  14.0-4-g3609236                          numpy,afw,healpy
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+41                       afw,numpy,scons,sconsUtils,pybind11,scipy
obs_base                  83b74829326c592d3bf8cab9344871231fc73296  14.0-23-g83b7482                         daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
display_firefly           deaf1fb883cb6c8f0f438e72e3296ee59a6b21e3  master-gdeaf1fb883+28                    afw,log,firefly_client,python_future
display_matplotlib        b963a833dc6558b1cea12876002c314510278562  master-gb963a833dc+16                    afw,matplotlib,python_future
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+43                                  afw,xpa,python_future,pybind11
obs_test                  05eabeb386e40802f1b288ce5c34bc593d06c07f  14.0-6-g05eabeb                          afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+43                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               fce6a493a2e80d38401711d018f588e8ab5ee8cd  14.0-1-gfce6a49                          afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
cp_pipe                   a5d0207a7da321575008e7fa6d891c157ea8f3b7  master-ga5d0207a7d+25                    pex_config,pipe_base,daf_base,log
meas_base                 5442b95c684801aabc3a2956f3ab5848ad6c4317  14.0-18-g5442b95                         python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           af93ae82c5db796b69978acac01bfc2e103b8c82  14.0-15-gaf93ae82                        astshim,daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+50                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_modelfit             da7b0c72e5c851a63b4a82ae521de16ecc6c62e2  14.0-3-gda7b0c7                          afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_isr                    db3c3f244d6c0fdec562c878c84bee464f254859  14.0-9-gdb3c3f2                          python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
ctrl_pool                 a2912ffc3bad3be803666accfd8d861fc88d52ff  14.0-1-ga2912ff+35                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_chisquared          6829aa7f58c7a53d511941274f2eb6cccfa7e3a1  14.0-1-g6829aa7                          coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_extensions_psfex     e3897b5088a0df6350863eefe9c6ae071d534093  14.0-2-ge3897b5                          afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_photometryKron b66b1ef86ecb44ba2b890e054621f438f1dd0ba7  14.0-2-gb66b1ef                          meas_base,pybind11,meas_algorithms
meas_extensions_shapeHSM  e3485078ea1ea2c953a811ca856df65defee0f13  14.0-4-ge348507                          meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+52                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_astrom               0d69b06f1d4b5aed15ca5962bc609093e42ba65c  14.0-7-g0d69b06                          afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,python_future,matplotlib
obs_ctio0m9               3292b35ddde7f7297e97407a9d0359e3465eea94  master-g3292b35ddd+43                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr
meas_extensions_astrometryNet 519ff978fa8fd669da3308833b2808ba4e3ed595  14.0-2-g519ff97                          afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_diffim                 81837af10f6f5b23bcff9435b1f16baf0574c266  14.0-10-g81837af                         afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_convolved 774bb8a00a30b9afbb5b8e95d62e3f5dfa4cbae2  14.0-1-g774bb8a                          meas_algorithms,meas_extensions_photometryKron
obs_monocam               72abe68059258a59caaa9e30250f1505f3c5a56d  14.0-2-g72abe68                          afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                d71a8703770d629205932b82bc128cd7f1e119d0  14.0-47-gd71a8703                        afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_decam                 0fa16e4768427317e6ca9b22199711a5d285b8c8  14.0-8-g0fa16e4                          utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
pipe_drivers              1809a62c05c71d742725d31ad7562c260c04b33c  6.0b0-hsc-18-g1809a62                    ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_lsstSim               ca35c495e7f4c67af6e316405eceab1f824a682a  14.0-9-gca35c49                          daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0+58                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
obs_cfht                  5a84a5a7c6218bb40728041091c9c89c524261df  14.0-5-g5a84a5a                          daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_comCam                57ddd37c6ac3c85b3619cceaf85e9ed1767ac303  master-g57ddd37c6a                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr,pipe_tasks
synpipe                   5b975e8f942a3e6ddf0ee512ff9480a9c5dda621  master-g5b975e8f94+41                    astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_sdss                  6bbf0338b00476582880ec95a81e349272874858  14.0-5-g6bbf033                          pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+62                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
obs_subaru                864bada4ed3439d8baae117c5d28297da7761640  14.0-32-g864bada4                        daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ci_ctio0m9                be69b68c0a56247e9001f0aacf3f1f5bc4ca8671  master-gbe69b68c0a+70                    obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+140                   obs_cfht
testdata_jointcal         67a995fddc9064272b57ed9f5933eab176f1d700  14.0-1-g67a995f+59                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  14.0-1-g89eebdb+62                       obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
jointcal                  746c5c506af5ac90b16a47b0f50ad5631135ae83  14.0-23-g746c5c5                         scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,testdata_jointcal
validate_drp              0de5f478b9392e157aa4f3e31a1c9e4924dbf985  master-g0de5f478b9+1                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_distrib              dba0111d2d235f29d5decf420c66817cfebc206e  14.0-5-gdba0111+1                        lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp
lsst_ci                   26753debd6ac7ed5c8ab66ea43c9f51223d2a7d5  master-g26753debd6+12                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
