# product                 SHA1                                      Version                       
BUILD=b3044
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  lsst-dev-ga9f9e994b6                     
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  master-g6f4b1f770b                       
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
protobuf                  dbc86f2b0d009b8c785697bf3f44c1b733ec0dbb  2.6.1.lsst4-1-gdbc86f2                   python
pyflakes                  91ee776734f574ea9b999be0c9c5adeaf25d794b  1.5.0                                    python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4+1                                  python,numpy
pytest_forked             1dd93f6f4ba74f155c474f17c9ed1d6381cf54eb  0.2                                      python,pytest
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+4                            python,numpy
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.0-4-g0cefb59                         boost,python,numpy,eigen,pybind11,fftw
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst1-2-g6ae2b7a                    python,libyaml
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1                                    python,pytest
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
pytest_xdist              459d52e45c00e4ecba3cfa8f96fd7ca4e13af6a4  1.19.1                                   python,pytest,pytest_forked,python_execnet
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9                                    python,pytest
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+8                                  numpy,python_d2to1,stsci_distutils
treecorr                  8e1802e112aa3a0af8c0c79e6bb05f1645ea450f  master-g8e1802e112+1                     numpy,pyyaml
tmv                       d8aa65926e7c98a9298b73a422feaafe7bf3d672  0.73.lsst1                               scons
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+1                           python,numpy,pykg_config,cfitsio,astropy
flake8                    851cb4e3f06179dd53407ecd26dde2d11dee9239  3.3.0                                    python,python_mccabe,pycodestyle,pyflakes
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+5                                  python,numpy,scipy
galsim                    d6e6b5d0fefe7d6f38b3242683c4e02826f0f359  1.4.3.lsst1                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
pytest_flake8             544bdffa6535a1c81767e0dae56c7e597fe32f29  0.8.1                                    python,pytest,flake8
sconsUtils                88bbd5dc0ba1f827081fbda45abb1ecd91280a7f  13.0-9-g88bbd5d                          scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
base                      5c3b8ec60b2e5e6a80dffea2b32af5f2d01bfeeb  13.0-8-g5c3b8ec+1                        sconsUtils,pybind11,python,python_future,doxygen
sphgeom                   110c6f4958a02f2268ffde0a7f5b5b35aa1c2c7e  12.1-4-g110c6f4+2                        base,sconsUtils,pybind11,doxygen
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+20                       boost,sconsUtils,sphgeom
verify_metrics            efb3fcf52b3de6d9b7716338b43e827478b41ff2  master-gefb3fcf52b+1                     sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+5                     scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+97                                  sconsUtils
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+4                     python,python_future,pyyaml,numpy,astropy,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+7                        sconsUtils
pex_exceptions            13ef8431462327919243776215728683288d33d2  13.0-3-g13ef843+2                        base,boost,pybind11,python,python_future
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  12.0+19                                  gsl,sconsUtils,fftw
astshim                   ea3f0a627dc3b14b45aaa044d316d77d75e38751  master-gea3f0a627d                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
utils                     f29e843bab8412b3ba4caa97ba58212868e5923a  13.0-9-gf29e843+1                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       73c05b9fb59041044b8e23e122d5b601c96f3d6a  13.0-7-g73c05b9+1                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
verify                    c43b0e302d2745e4bf8ca956bf4bbe4de094164e  master-gc43b0e302d+1                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  13.0-1-g7257b6a+4                        sconsUtils,python_future,utils
daf_base                  2dbbef6bcfc9554a196a81d50621cbfa72ef8ff8  13.0-4-g2dbbef6+1                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        5a74774918e1600d25d388733ea843dfe7b07b73  13.0-2-g5a74774+6                        log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  13.0-2-g4b114ac+1                        daf_base,utils,python_future,pybind11,python
cat                       cebd4ec1ea3825751927211885031a0fc4758622  13.0-3-gcebd4ec+10                       python,mariadbclient,db,sqlalchemy,utils,python_future
pex_config                bcd7061c4fad917477a16e03350cf6c5d82cd7dc  13.0-4-gbcd7061+1                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
qserv                     ef4e0ac3325a896962cde5f23c8d6d629bd28f37  12.1-95-gef4e0ac+1                       antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
daf_persistence           843fc5bd5f23ab0395edff285f7064f139670321  13.0-33-g843fc5b                         log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
qserv_testdata            d23ec2ac55531c74346067ac286ac7d50732a332  2016_08-2-gd23ec2a+2                     python,python_future,pyyaml,qserv,scons,sconsUtils
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  13.0-4-gfa178eb+8                        python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              1b5eec65e6c08b72b890f29034265d1cae545aca  13.0-5-g1b5eec6+6                        python_future,ctrl_orca,pex_config,utils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+60                    qserv,partition,qserv_testdata
afw                       793934f9dfc60bee6bdfa831eede2b8eea84985d  13.0-95-g793934f                         daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  13.0-2-g6174d4c+37                       afw,xpa,python_future,pybind11
ctrl_platform_lsstvc      d7f6e4dbf2725da156bdcded9ba88939c82917af  master-gd7f6e4dbf2+14                    ctrl_execute
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+75                                  utils,pex_policy,geom,afw,python_future,sconsUtils
shapelet                  de6b2c85d75430f633c7b3a890123430dd51489d  13.0-5-gde6b2c8+9                        afw,numpy,scons,sconsUtils,pybind11,scipy
skymap                    2a407664ddc6d2bc303483658fc287ed01844fd2  13.0-5-g2a40766+8                        numpy,afw,healpy
obs_base                  c6b39a0de3b230c41bb8d1aeb8e0730c9f7a4a64  13.0-45-gc6b39a0                         daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  09460820e3f56f0b4a7c69787b6cdb58179e3fca  13.0-12-g0946082                         afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 8b3bf66cbf6aa60890f05bf1d2a912eb0dacbb7a  13.0-14-g8b3bf66+4                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 f96f8eccd3d8d7e308030fb28f97330320176ffd  13.0-6-gf96f8ec+19                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  13.0-4-g4231ded+13                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  13.0-3-g3542790+13                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 ae74ba4ca5bb10ec8608d29c11f04156691441e3  13.0-29-gae74ba4+3                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  13.0-7-ge993229+3                        scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           4da7aa725007072f42ec2fd9787e4fcc4e5bd8ca  13.0-21-g4da7aa7                         daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    806d2acdeafce465d5d015a44ef74b71f8218ed8  13.0-14-g806d2ac+10                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_modelfit             2fa83affd8e58c0da8773c22301bb651c0931db4  13.0-11-g2fa83af+3                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  b78e8c88334b6ec70c7f59faaa7f861c33db703e  13.0-8-gb78e8c8+28                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  13.0-13-g8b7e855+10                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 96c471393e87af7abf1dc54750ca00daab273d70  13.0-25-g96c4713+3                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_photometryKron 30344f0942725fd89fc55c02060dc03f5cf4a92c  13.0-7-g30344f0+10                       meas_base,pybind11,meas_algorithms
meas_extensions_psfex     d2c5893a2643a14eddadece3317dab2ced818bd4  13.0-5-gd2c5893+29                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  master-gaffd610453+10                    meas_algorithms,meas_extensions_photometryKron
meas_astrom               b5e44412c09dd12d4f0f1021a6cd97d748494642  13.0-15-gb5e4441                         afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet ada5ecbbffd377e0a164c4b86d7043ec186d6f51  master-gada5ecbbff+11                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               d513ce3f4ae9b7e23a9e86ef3311d4884deb148f  13.0-4-gd513ce3                          afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                eba51f827772519c9363706c3c18741b1a88cf4e  13.0-57-geba51f8                         afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  80c536f580143bd394744922c101f61f21e6f13b  13.0-10-g80c536f                         pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
pipe_drivers              3ce57e5743586f1dd8339e3055cfe4c25d206a12  13.0-17-g3ce57e5+29                      ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_decam                 e0a35f72d963fb212e974f6c42804153747ad604  13.0-22-ge0a35f7                         utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_lsstSim               29533ececdc6ecadef8a6154c5db2d2dad912724  13.0-15-g29533ec                         daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  13.0-2-gcc7d151+52                       meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  13.0-1-g46ffeb4+32                       ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
obs_cfht                  8abefd07a56697a6ad63fcf288e3b85c0073b082  13.0-12-g8abefd0                         daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+48                    obs_cfht
obs_subaru                0117c1cbfb0947c50b94be4e4ad128b3abce053d  13.0-44-g0117c1c                         daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  13.0+68                                  obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         9b8753233af4af64f1a2b3bc3edf74e9802696bc  master-g9b8753233a+23                    obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  f1690bfe3a622a84e276f76001502a7e1cfd782a  master-gf1690bfe3a+1                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
validate_drp              3e4d2cc5b17908635382f15cb06b478d617cd997  master-g3e4d2cc5b1+9                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
lsst_distrib              2f779aefb5ac731d9f6aa2166a41fa1fcb73b271  13.0-4-g2f779ae+34                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal,verify
lsst_ci                   01ef2a7bfd11dbc3c0d033deb2170592545f198c  master-g01ef2a7bfd+49                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp
