# product                 SHA1                                      Version                       
BUILD=b3161
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
libevent                  ab04e34f14107106ac2101d52a84488f0939590f  2.0.16.lsst2                             
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
xrootd                    25125824199811b66bc4a55f697c76cfce3102ce  lsst-dev-g2512582419                     
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst4-1-gf398627                    
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst2-1-g8975fe8                   
pex_exceptions            13ef8431462327919243776215728683288d33d2  13.0-3-g13ef843+13                       base,boost,pybind11,python,python_future
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+30                       boost,sconsUtils,sphgeom
utils                     ac01bb542c6352204d7e0947f799dc11b2d6ff88  13.0-12-gac01bb5+8                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
daf_base                  99bcfa4cb43363bbecb8ce46e9e66fcc4b5b7c54  13.0-5-g99bcfa4+10                       utils,pex_exceptions,pybind11,python,numpy,python_future
log                       73c05b9fb59041044b8e23e122d5b601c96f3d6a  13.0-7-g73c05b9+12                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  13.0-1-g7257b6a+15                       sconsUtils,python_future,utils
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  13.0-2-g4b114ac+13                       daf_base,utils,python_future,pybind11,python
daf_persistence           024c5b67c796a65f4915a262bf2bf172a6d03ac7  13.0-41-g024c5b6+1                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
db                        5a74774918e1600d25d388733ea843dfe7b07b73  13.0-2-g5a74774+19                       log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
qserv                     b3804d7fb2f7e44b6d01eb46f02a39c74ddcc60d  12.1-101-gb3804d7f+2                     antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
cat                       cebd4ec1ea3825751927211885031a0fc4758622  13.0-3-gcebd4ec+23                       python,mariadbclient,db,sqlalchemy,utils,python_future
pex_config                bcd7061c4fad917477a16e03350cf6c5d82cd7dc  13.0-4-gbcd7061+13                       daf_base,pex_policy,numpy,utils,python_future,pybind11,python
afw                       e674a0930f85c4a3b39d4262ba580644b6a88a4d  13.0-110-ge674a0930+2                    daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  13.0-2-g6174d4c+67                       afw,xpa,python_future,pybind11
verify                    a204a195d9e7a88f073ec6d6daa1742785d40cd7  master-ga204a195d9+8                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  13.0-6-ge6e5c2d+24                       afw,numpy,scons,sconsUtils,pybind11,scipy
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+107                                 utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    2a407664ddc6d2bc303483658fc287ed01844fd2  13.0-5-g2a40766+40                       numpy,afw,healpy
qserv_testdata            d23ec2ac55531c74346067ac286ac7d50732a332  2016_08-2-gd23ec2a+21                    python,python_future,pyyaml,qserv,scons,sconsUtils
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  13.0-4-gfa178eb+28                       python_future,utils,pex_policy,pex_config,daf_persistence,log
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+79                    qserv,partition,qserv_testdata
obs_base                  b064ced8d23f620d6ffb3e85d9936d8216159664  13.0-55-gb064ced+6                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
ctrl_execute              1b5eec65e6c08b72b890f29034265d1cae545aca  13.0-5-g1b5eec6+24                       python_future,ctrl_orca,pex_config,utils
ctrl_platform_lsstvc      d7f6e4dbf2725da156bdcded9ba88939c82917af  master-gd7f6e4dbf2+34                    ctrl_execute
obs_test                  7685640fdd077df8d3ebfc4117ab57214fb7cb40  13.0-14-g7685640+6                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 8b3bf66cbf6aa60890f05bf1d2a912eb0dacbb7a  13.0-14-g8b3bf66+36                      daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 f96f8eccd3d8d7e308030fb28f97330320176ffd  13.0-6-gf96f8ec+50                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  13.0-4-g4231ded+47                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 b1a1d47b8a9a1164e60b32d8efc4827559e7cb24  13.0-33-gb1a1d47+11                      python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           22030a4515019773706e1cce63b23210bb080ce4  13.0-24-g22030a45+12                     daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  13.0-13-g8b7e855+42                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_modelfit             2fa83affd8e58c0da8773c22301bb651c0931db4  13.0-11-g2fa83af+33                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_diffim                 f4bc96c2884ee8ae596ef48e64bf004485759a37  13.0-28-gf4bc96c+14                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_psfex     d2c5893a2643a14eddadece3317dab2ced818bd4  13.0-5-gd2c5893+61                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
ip_isr                    0af5a6cf479a54f9fca208aff1e4d9f46f65eb77  13.0-15-g0af5a6c+29                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  13.0-3-g3542790+47                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  13.0-7-ge993229+33                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_photometryKron 30344f0942725fd89fc55c02060dc03f5cf4a92c  13.0-7-g30344f0+38                       meas_base,pybind11,meas_algorithms
meas_extensions_shapeHSM  1922b1cfc546691f383a0869d1fe256d25c57dd4  13.0-9-g1922b1c+10                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_astrom               30f6da58882233727f45ae963ed048b43f6c60f6  13.0-16-g30f6da5+29                      afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  master-gaffd610453+41                    meas_algorithms,meas_extensions_photometryKron
meas_extensions_astrometryNet b035c22750eb8b10e2dbaabcdea53f25b5ab8e6e  master-gb035c22750+33                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_ctio0m9               0929698575a635de5c8e8cd50618e835ba55e299  master-g0929698575+5                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr
obs_monocam               d513ce3f4ae9b7e23a9e86ef3311d4884deb148f  13.0-4-gd513ce3+28                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                fbf2f2ce8b6e0b63264278c56ce04e18b72285c2  13.0-66-gfbf2f2ce+11                     afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_subaru                cb35f37b420fac3b6fdfc8d6a3045bff0e61d8b7  13.0-49-gcb35f37b+7                      daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_comCam                d11fa75b98514f83031b68b811fbef9372824716  master-gd11fa75b98+5                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr,pipe_tasks
pipe_drivers              61c0bd42e11824c5a9cfc9775d3a688e5c0f513c  13.0-21-g61c0bd4+5                       ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_cfht                  5d31639a56676b2a3fd5ff0f248f369665d4121b  13.0-14-g5d31639+4                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_lsstSim               f21e97ded6c3c2e9c57a0c1604c939b5b6fddfe5  13.0-17-gf21e97d+4                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
obs_sdss                  49fd65780e456d917ace58f597a9cb455a0e6457  13.0-11-g49fd657+18                      pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
obs_decam                 3127c16c3dd2f22c4f9753be2870d9e7316615d3  13.0-24-g3127c16+4                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  13.0-1-g46ffeb4+66                       ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+79                    obs_cfht
ci_ctio0m9                be69b68c0a56247e9001f0aacf3f1f5bc4ca8671  master-gbe69b68c0a+6                     obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validate_drp              fcc85640f2486f2d557c9f3420e78a907da756e9  master-gfcc85640f2+1                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
testdata_jointcal         9b8753233af4af64f1a2b3bc3edf74e9802696bc  master-g9b8753233a+57                    obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  13.0-2-gcc7d151+87                       meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  13.0-1-g89eebdb+5                        obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
jointcal                  0e1849c466d350a1853db1e7da780289526a9c28  master-g0e1849c466                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
lsst_distrib              2f779aefb5ac731d9f6aa2166a41fa1fcb73b271  13.0-4-g2f779ae+71                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal,verify
lsst_ci                   e253fdd716cfa526e20fa2776cd19c66836b1984  master-ge253fdd716+8                     lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
