# product                 SHA1                                      Version                       
BUILD=b2858
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
testdata_cfht             da9d9a053e8be00441cf7bd15203a23395506a7b  13.0                                     
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0                                     utils,pex_policy,geom,afw,python_future,sconsUtils
shapelet                  35d2e1f274ed283865f36e9981494a16a700ec42  13.0                                     afw,numpy,scons,sconsUtils,scipy
ctrl_execute              1d2da23bdd93dcb9f5f87c2d3d9b2122c89a3c33  13.0                                     python_future,ctrl_orca,pex_config,utils
obs_base                  b6b4be19cd77c3c4aae254c9e8d0b6c4726b8915  13.0                                     daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
display_ds9               68f54a813f094abdbaea97f02b411d23863f0797  13.0                                     afw,xpa,python_future
obs_test                  cb92f8ca0e61dd8b1980c2621b4da005871053bc  13.0                                     afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
skymap                    14f38d38a9240e317fc81bb1708ad25d2c5f636e  13.0                                     numpy,afw,healpy
pipe_base                 06c326c57283cbe2e670a65e27233b5aac9dd98f  13.0                                     daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_platform_lsstvc      9837e3af77c130aca1156c4de5efd3628184fdfd  master-g9837e3af77+2                     ctrl_execute
ctrl_pool                 b57f33e7786a32568a59414efd14d084ce72a78d  13.0                                     python_future,daf_persistence,pipe_base,log,utils,mpi4py
obs_monocam               786219475ffd0e022c98234d5b00a5c30ca668c5  13.0                                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils
coadd_utils               5961e7a9b83008b7f038246e95f15b043c927a31  13.0                                     afw,log,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          c0bc6ab8cbc5a74098aecdcae143d91e16442b6d  13.0                                     coadd_utils,numpy,scons,sconsUtils,python_future,afwdata
meas_base                 d5565762404a34f5088ceb0c774266128017b8d4  13.0                                     python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,scons,sconsUtils
meas_extensions_simpleShape 94c943a1208b355169316e5855965bec9da03513  13.0                                     scons,sconsUtils,base,numpy,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           d0bfd0ad5b4fb14fbe0349ad8f2c27b021f2a0e4  13.0                                     daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils
meas_extensions_photometryKron 1b676d8c4911226387bb4b18db5cabfe773273c5  13.0                                     meas_base,meas_algorithms
meas_deblender            21a9e0f6437eb1c653bfd952350701ef63816ab0  13.0                                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,matplotlib
meas_extensions_psfex     1b4ab0c55b4d158f301d15ef17e212824b621811  13.0                                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,swig,utils
ip_isr                    9b15cd5824c0a4acd7f07c8b763cfbda9b217b52  13.0                                     python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils
ip_diffim                 5827833695a090ebc9565182e17252cf888e3b67  13.0                                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,afwdata,matplotlib
meas_extensions_shapeHSM  bc8aaff4e04a0a1a1765985b52eda93cb4841eb4  13.0                                     meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,sconsUtils,utils
meas_astrom               89d037444ccdbd43147a87ce5daf3d7906c22857  13.0                                     afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                33bf31296e4ba86f5bc38a76327d892de402f81b  13.0                                     log,pipe_base,pex_config,utils,obs_base,python_future,afw,meas_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_decam                 15f9154b0ff9ef4f6e24301441a3591c7a7c1581  13.0                                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_sdss                  43519be53dfe0a1937f9f1e82efd5feb9fd4e84d  13.0                                     pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
obs_lsstSim               62cddf2663814ea7ec3562e9d0e1dac7b3269878  13.0                                     daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,python_mysqlclient,utils
meas_modelfit             91d787d9322f3470fd7942da34ca51f3dd0cf293  13.0                                     afw,meas_algorithms,meas_base,numpy,log,pipe_tasks,scons,sconsUtils,shapelet,matplotlib
obs_cfht                  c132c4fe495123152ceccf65e546e71c831663a5  13.0                                     daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
pipe_drivers              5e97c3914858c9991a42dd93dcd679f1776e1fa3  13.0                                     ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_subaru                32ab2b4c4c8cae6bd20be1adc049bb97bc343a00  13.0                                     daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  13.0                                     obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 d7afef2d9a291b490dfb6cd37680acd420918619  13.0                                     meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   7dda0ab8e28ced83028f064a0496a6f5f83ed15a  13.0                                     ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
lsst_distrib              1afa5acf23dde2074355b4486fef72c71080e6e8  13.0                                     lsst,lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs
