# product                 SHA1                                      Version                       
BUILD=b2563
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
testdata_cfht             da9d9a053e8be00441cf7bd15203a23395506a7b  12.1                                     
mariadbclient             12235e0cd9f0d822d9be349072812d966d2c20a7  10.1.18.lsst2                            
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
scons                     28a8b6786a075b8eb74852989adbc6d2b6859815  2.5.0.lsst2+1                            python
sconsUtils                67b2f9e744a835e585f912aef089cea78ced6164  12.1+1                                   scons,doxygen
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+2                                  python,mpi
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
base                      f64943f217ab7411e7cf31c6a23f5bcfca1c2a24  12.1-2-gf64943f                          sconsUtils,swig,python_future,doxygen
log                       ad3b865bdafd08c5d0753f1229a12113666fddc3  12.1-4-gad3b865+3                        boost,log4cxx,base,sconsUtils
afwdata                   5f41616c3e012c71aab395c67e5bba3e1ed9ee34  12.0+9                                   sconsUtils
pex_exceptions            4e7a85b49dec26ae9b1133c8a7bdefaebc9802f9  12.1+3                                   base,boost,swig,python_future
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  12.0+9                                   gsl,sconsUtils,fftw
tmv                       873defe1a7d897bba1d443737e273f56c4412815  0.73+5                                   scons
healpy                    d4cac0b74d707cc97b912fa01d6d2c0d9c9eb947  1.8.1.lsst2+5                            python,numpy,pykg_config,cfitsio,pyfits
lsst                      5baabec5a57115f5518cd214369defaf6d6a7f4c  12.1-3-g5baabec                          sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+86                                  sconsUtils
utils                     885a84717b691e3a398d4d5d5374aa3f7aae5931  12.1-3-g885a847+1                        base,pex_exceptions,boost,numpy,python_psutil,python_future
galsim                    eec876ab7d823c8030c962faca5a80d90eb19ebf  1.4.1.lsst3                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
db                        ccab445e4b7272205e619fa3247b47d443d7f2cb  12.1-3-gccab445                          log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+13                                  sconsUtils,python_future,utils
daf_base                  57f6835a11fc5dd7a95fb6619b59cebb09e6e7b4  12.1-3-g57f6835+2                        utils,pex_exceptions,numpy,python_future
pex_policy                16c0db7882e527591f9a079a0847e388c5d85d70  12.1-1-g16c0db7                          daf_base,utils,python_future
pex_logging               06d7636d8fededbfca696d750b5eea1edd67c9f5  12.1+16                                  pex_exceptions,daf_base,utils,python_future
ctrl_events               3db6b758b55736ef92035e789ac3871b9cc2aa9c  12.1+15                                  python_future,boost,activemqcpp,utils,base,daf_base,pex_exceptions,log4cxx,log,swig,doxygen
pex_config                f46015e364e89e27ee1517732552381871c89589  12.1-4-gf46015e                          daf_base,pex_policy,numpy,utils,python_future
daf_persistence           9654cbaa666ea105245c59e2ba43fb9501e0d381  12.1-17-g9654cba+1                       log,mariadbclient,pex_policy,astropy,pyyaml
cat                       512a8fa0df208c2022752cc96e86060a8c1bd4b8  12.1-1-g512a8fa+16                       python,mariadbclient,python_mysqlclient,db,log,boost,pex_policy,daf_base,daf_persistence,utils,pex_exceptions,python_future
ctrl_provenance           820fe3fbf2208e67ba6f29b706af996128014208  12.1+35                                  cat,pex_policy,pex_logging,python_future
afw                       a6be655e2188f58ec06f74348eb511505d3c4a3a  12.1-30-ga6be655+2                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pyfits,matplotlib,afwdata
display_ds9               e1d788fcfbdf4a6b932090703f7cdb97ed7067a5  12.1-2-ge1d788f+38                       afw,xpa,python_future
display_firefly           0a33da8b30c57a5ab37a6168403a9c9d41dc6f38  master-g0a33da8b30                       afw,log,firefly_client,python_future
skypix                    86326bbb84d0b706a5f7e87290a58367f4c7cb6b  12.1+54                                  utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    14f38d38a9240e317fc81bb1708ad25d2c5f636e  12.1-1-g14f38d3+48                       numpy,afw,healpy
shapelet                  35d2e1f274ed283865f36e9981494a16a700ec42  12.1-1-g35d2e1f+46                       afw,numpy,scons,sconsUtils,scipy
ctrl_orca                 4c4596d373b21316c5b2f0095c533058215668a6  12.1-2-g4c4596d+1                        python_future,cat,utils,pex_policy,pex_config,daf_persistence,ctrl_events,ctrl_provenance,log
obs_base                  33e0211b155df886025cbd9bfbe008cbf2ee289e  12.1-19-g33e0211+10                      daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  3e397f19786bffe516ad9a6d1e45dd73c3bbf517  12.1-9-g3e397f1+13                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 aefc628b7c2d39c6760c7fc423bd8ab3f87ca487  12.1-4-gaefc628+8                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_execute              a8188114a0174779046d09ea7fa73cb97f06a59d  12.1-2-ga818811+1                        python_future,ctrl_orca,pex_config,utils
ctrl_pool                 88648b684ebe083f264c6c031dee5aa64a0c46f6  12.1-4-g88648b6+2                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
obs_monocam               786219475ffd0e022c98234d5b00a5c30ca668c5  master-g786219475f                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils
ctrl_platform_lsstvc      2c59629f5df7945b308976f3357178a03467b2ec  master-g2c59629f5d+1                     ctrl_execute
coadd_utils               5961e7a9b83008b7f038246e95f15b043c927a31  12.1-1-g5961e7a+58                       afw,log,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 911db249bef303a58538a30d04153141dda881c1  12.1-8-g911db24+1                        python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,scons,sconsUtils
meas_algorithms           68fd1a6b221608e6be55abf10a84f68c39ac8e49  12.1-13-g68fd1a6+1                       daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils
meas_extensions_psfex     1b4ab0c55b4d158f301d15ef17e212824b621811  12.1-3-g1b4ab0c+2                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,swig,utils
meas_deblender            830a71dda5a347a2573a1da3763bf636117fd14c  12.1-4-g830a71d+2                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,matplotlib
ip_diffim                 2c5498d8817e19e31e93644a4301882f5ca42736  12.1-7-g2c5498d+3                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,afwdata,matplotlib
meas_astrom               87cc47cc5a608ed9b4ff86f95d723859ffd9487b  12.1-5-g87cc47c+1                        afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
coadd_chisquared          c0bc6ab8cbc5a74098aecdcae143d91e16442b6d  12.1-2-gc0bc6ab+55                       coadd_utils,numpy,scons,sconsUtils,python_future,afwdata
ip_isr                    cf69c829ee8cff842f45ae8866333ad5b831684b  12.1-3-gcf69c82+53                       python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils
meas_extensions_simpleShape fe2487d6c372774b24b48909f566bf78854bf85c  12.1-1-gfe2487d+51                       scons,sconsUtils,base,numpy,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_shapeHSM  bc8aaff4e04a0a1a1765985b52eda93cb4841eb4  12.1-1-gbc8aaff+54                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,sconsUtils,utils
meas_extensions_photometryKron 1b676d8c4911226387bb4b18db5cabfe773273c5  12.1-3-g1b676d8+1                        meas_base,meas_algorithms
pipe_tasks                a2ed3448b145027fc581a65dd4b637ac1ac7f393  12.1-14-ga2ed344+8                       log,pipe_base,pex_config,utils,obs_base,python_future,afw,meas_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  43519be53dfe0a1937f9f1e82efd5feb9fd4e84d  12.1-7-g43519be+20                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
pipe_drivers              e6a138757c48e0a82cb46d65b9063fb29be32ada  12.1-9-ge6a1387+46                       ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_decam                 f0fb25676ebeaaa0796c45cdbfc722bbc1528044  12.1-15-gf0fb256+11                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_lsstSim               62cddf2663814ea7ec3562e9d0e1dac7b3269878  12.1-11-g62cddf2+18                      daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,python_mysqlclient,utils
meas_modelfit             91d787d9322f3470fd7942da34ca51f3dd0cf293  12.1-8-g91d787d                          afw,meas_algorithms,meas_base,numpy,log,pipe_tasks,scons,sconsUtils,shapelet,matplotlib
obs_cfht                  ddeedbd6a6fdafaa16189318621d88bfa71cd6c6  12.1-14-gddeedbd+17                      daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                effe4d09862d3286d86e091e29f868540ae01d37  12.1-11-geffe4d0+1                       daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  master-g489e6e60e2                       obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 d7afef2d9a291b490dfb6cd37680acd420918619  12.0+157                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   7dda0ab8e28ced83028f064a0496a6f5f83ed15a  12.1-2-g7dda0ab+1                        ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
lsst_distrib              1afa5acf23dde2074355b4486fef72c71080e6e8  12.1-2-g1afa5ac                          lsst,lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs
lsst_ci                   b9213e60c61c731794b89d54c36ceed0cb5b1cc0  master-gb9213e60c6+169                   lsst,lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss
