# product                 SHA1                                      Version                       
BUILD=b3457
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
sims_data                 8f5cf86e2b1cff777e79e0e7c6dcc22665d9f5d1  2017.10.05                               
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
starlink_ast              bfdec9744ef5a1354f5a279681a6ff34e8a2e757  tickets.DM-13322-gbfdec9744e             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
verify_metrics            586ef34a9f46e06b52312880c11d2ced006e8236  14.0-2-g586ef34+5                        sconsUtils
utils                     1f982c91e6eb8b37339e3d161c0573d17ca3d78e  14.0-8-g1f982c9                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
sims_survey_fields        ea47ccccee7fe7dd902e110875e1b13bbbff2743  2.5.0.sims                               numpy,python,utils
sims_utils                817cbcb4e773e72aebe324931816c08f6ba39e3c  2.5.0.sims                               utils,python,python_future,palpy,astropy,healpy,sims_data
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+10                       sconsUtils,python_future,utils
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+8                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
verify                    9c8053891815b44bcbf87974608bd6c2661fa28c  14.0-9-g9c80538                          python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
daf_base                  e2d7f2107e5c1df6ffe9b0a89b5b6b5f3f4f4b0e  14.0-4-ge2d7f21+8                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+11                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
sims_photUtils            ebefd93de3fb11ce5263e65a150fbff203fe1a87  2.5.0.sims                               utils,sims_sed_library,sims_maps,sims_utils,python,throughputs,astropy
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+11                       daf_base,utils,python_future,pybind11,python
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+8                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
cat                       cebd4ec1ea3825751927211885031a0fc4758622  14.0+10                                  python,mariadbclient,db,sqlalchemy,utils,python_future
sims_skybrightness        d7c390b8ac3523bd52a5daafacf276b9b448b696  2.5.0.sims                               base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+7                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
sims_catalogs             9da585d065233fb3c342247147980ab924ef23f5  2.5.0.sims                               daf_persistence,python_mysqlclient,pymssql,python,sims_utils,sqlalchemy,utils
sims_skybrightness_pre    9753585ca06ac2883b4c8e43e44f18792764ce94  2.5.0.sims                               numpy,healpy,sims_utils,ephem,sims_skybrightness
afw                       29d3a87a7711eecf620c2d2eb616c5963a826688  14.0-35-g29d3a87a7+1                     daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+34                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  14.0+13                                  python_future,utils,pex_policy,pex_config,daf_persistence,log
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+36                                  afw,xpa,python_future,pybind11
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  14.0+6                                   utils,pex_policy,geom,afw,python_future,sconsUtils
obs_base                  4a17216fe95346ec8ad74f384be26f3d33318f3b  14.0-20-g4a17216+12                      daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
display_matplotlib        b963a833dc6558b1cea12876002c314510278562  master-gb963a833dc+13                    afw,matplotlib,python_future
skymap                    83736566f6907c5cb226f22c1d0dd2d36c95738e  14.0-2-g8373656+24                       numpy,afw,healpy
display_firefly           deaf1fb883cb6c8f0f438e72e3296ee59a6b21e3  master-gdeaf1fb883+25                    afw,log,firefly_client,python_future
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  14.0-4-gc2b038a+6                        python_future,ctrl_orca,pex_config,utils
obs_test                  86eb1bd0f70ab0bd807b4c9cbdba943034b659ab  14.0-5-g86eb1bd+24                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  14.0-2-g3865e40+6                        ctrl_execute
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+35                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
cp_pipe                   a5d0207a7da321575008e7fa6d891c157ea8f3b7  master-ga5d0207a7d+22                    pex_config,pipe_base,daf_base,log
ctrl_pool                 a2912ffc3bad3be803666accfd8d861fc88d52ff  14.0-1-ga2912ff+32                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0+45                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 d9a51ef97461e18393fe162f289c8d7e740186c0  14.0-13-gd9a51ef+12                      python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+42                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           82279ae063b9341d1cde77aed8930ccd0608e12d  14.0-9-g82279ae0+12                      daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_extensions_psfex     3019bb2e1aeb7425c7e14c3c518adb629d83bc18  14.0-1-g3019bb2+29                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_astrom               4cc409dee2569db2ac9fb109ef9a6dd2b1508161  14.0-4-g4cc409d+33                       afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0+45                                  coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_modelfit             2fa83affd8e58c0da8773c22301bb651c0931db4  14.0-1-g2fa83af+42                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_photometryKron 30344f0942725fd89fc55c02060dc03f5cf4a92c  14.0-1-g30344f0+44                       meas_base,pybind11,meas_algorithms
meas_extensions_shapeHSM  b85cf1e2e57a06c96cccc4d3af3823ed5a74e805  14.0-2-gb85cf1e+18                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_astrometryNet 013352ca6ac72b387ea9975dca8535d20a8217d2  14.0-1-g013352c+28                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    27b21981fc5531dfb2bb9355d17f16ffed474ce2  14.0-3-g27b2198+14                       python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+44                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  14.0+45                                  meas_algorithms,meas_extensions_photometryKron
ip_diffim                 68ded9dbf6cc24c9a0ee42410423fd8c86472357  14.0-7-g68ded9d+13                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
pipe_tasks                85a33b940b11ac4c93dd255622c22b90e04cb41f  14.0-34-g85a33b94+6                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_decam                 b776afcc464acdde81994ca9fd75206003f04050  14.0-7-gb776afc+22                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_monocam               d513ce3f4ae9b7e23a9e86ef3311d4884deb148f  14.0-1-gd513ce3+46                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
obs_ctio0m9               3292b35ddde7f7297e97407a9d0359e3465eea94  master-g3292b35ddd+40                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr
obs_lsstSim               885f9b1371ffabc238e1cccf4d97a3dc35641620  14.0-7-g885f9b1+9                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
obs_cfht                  5d31639a56676b2a3fd5ff0f248f369665d4121b  14.0-3-g5d31639+43                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                597d110b0b6326c8ceea2cfa6892f36f57efa519  14.0-22-g597d110b+12                     daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              aaf73955105af00b5ab5dd833917291621341084  6.0b0-hsc-12-gaaf7395+3                  ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0+55                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
obs_sdss                  9e642e989656e1467e83b1a75445f335c9c82251  14.0-4-g9e642e9+33                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
synpipe                   5b975e8f942a3e6ddf0ee512ff9480a9c5dda621  master-g5b975e8f94+38                    astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_comCam                18a96ac57fa3381f0ef3073eeb95cac4c0ebdaf0  master-g18a96ac57f+21                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr,pipe_tasks
sims_coordUtils           c86dd792a98b88c545ae74a49b8cbd639e8af7e3  2.5.0.sims+1                             base,python,utils,afw,sims_utils,obs_lsstSim
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  14.0-1-g89eebdb+59                       obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
sims_catUtils             39bdfdbde667acf6c65314cb8576dae985e1cc3e  2.5.1.sims                               utils,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
testdata_jointcal         67a995fddc9064272b57ed9f5933eab176f1d700  14.0-1-g67a995f+56                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
sims_maf                  1307d372e1b3e3bcdbae158948b4edc60d721ad5  2.5.0.sims+1                             base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,obs_lsstSim
sims_alertsim             0146ec391ec87010bb3dae63a1f7fc0f84b045bf  2.5.0.sims+3                             sims_utils,sims_catalogs,sims_catUtils,python,pymssql,daf_persistence,astropy
sims_GalSimInterface      cd7379b539ce933a6bafc8faf740fed69e23a856  2.5.1.sims                               galsim,astropy,meas_astrom,afw,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
jointcal                  0e4602007040e0fcfd1f1f2f11c6bd190cc330f0  14.0-19-g0e46020+15                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,testdata_jointcal
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+52                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_sims                 8f9e189509d4dd93efaa69e1ec3e0b3d3a619904  2.5.0.sims+3                             sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,sims_alertsim,ephem,sims_survey_fields
lsst_distrib              cf1484b0b9439defdec4eb4ce401e15d4d5c0d39  14.0-4-gcf1484b+20                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe
