# product                 SHA1                                      Version                       
BUILD=b3504
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
validation_data_decam     1cc1f66a895e1d76b6dd70bf9e358d075736737a  master-g1cc1f66a89                       
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+49                                  afw,xpa,python_future,pybind11
skypix                    a19a71216be61195a17415af196153b542b676df  14.0-1-ga19a712+6                        utils,pex_policy,geom,afw,python_future,sconsUtils
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+47                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  14.0-4-gc2b038a+12                       python_future,ctrl_orca,pex_config,utils
display_matplotlib        b963a833dc6558b1cea12876002c314510278562  master-gb963a833dc+22                    afw,matplotlib,python_future
display_firefly           f2f569af731faefa29815dec31e942b2328dec9c  master-gf2f569af73+3                     afw,log,firefly_client,python_future
skymap                    3609236c8b3caebe32fc9b619541bb650e33f4f1  14.0-4-g3609236+6                        numpy,afw,healpy
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  14.0-2-g3865e40+12                       ctrl_execute
obs_base                  43e3b9dbbd8e0ba70ab44438fa7f697f5df7a863  14.0-25-g43e3b9d+2                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  e5b0628ae231295c67371a9558292ebd88bccb63  14.0-7-ge5b0628+6                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+51                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 388e49442cb8905f1cac63599327ac50a1e59ba7  14.0-3-g388e494+6                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
cp_pipe                   fd99b2ef0892ac8f11ad23fc7fc03bc0654162fe  master-gfd99b2ef08                       pex_config,pipe_base,daf_base,log
coadd_utils               fce6a493a2e80d38401711d018f588e8ab5ee8cd  14.0-1-gfce6a49+8                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 b9e430aa51b707c9e3678d8277eadb4198b4899a  14.0-21-gb9e430a+4                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
coadd_chisquared          6829aa7f58c7a53d511941274f2eb6cccfa7e3a1  14.0-1-g6829aa7+8                        coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+58                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           bbfecc2c8f0d4b456884315630050930ff846f0f  14.0-19-gbbfecc2c+1                      astshim,daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_extensions_shapeHSM  e3485078ea1ea2c953a811ca856df65defee0f13  14.0-4-ge348507+20                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_photometryKron b66b1ef86ecb44ba2b890e054621f438f1dd0ba7  14.0-2-gb66b1ef+15                       meas_base,pybind11,meas_algorithms
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+68                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_modelfit             da7b0c72e5c851a63b4a82ae521de16ecc6c62e2  14.0-3-gda7b0c7+15                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_convolved 774bb8a00a30b9afbb5b8e95d62e3f5dfa4cbae2  14.0-1-g774bb8a+15                       meas_algorithms,meas_extensions_photometryKron
meas_astrom               0d69b06f1d4b5aed15ca5962bc609093e42ba65c  14.0-7-g0d69b06+16                       afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,python_future,matplotlib
meas_extensions_psfex     e3897b5088a0df6350863eefe9c6ae071d534093  14.0-2-ge3897b5+15                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_astrometryNet 519ff978fa8fd669da3308833b2808ba4e3ed595  14.0-2-g519ff97+16                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    2094653006339e0cdcd761089618adf74d8c61dd  14.0-10-g2094653+12                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
ip_diffim                 81837af10f6f5b23bcff9435b1f16baf0574c266  14.0-10-g81837af+11                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
obs_monocam               72abe68059258a59caaa9e30250f1505f3c5a56d  14.0-2-g72abe68+12                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                b4e84373eedb17cf99e70cc486eccba70b321175  14.0-54-gb4e84373+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_comCam                57ddd37c6ac3c85b3619cceaf85e9ed1767ac303  master-g57ddd37c6a+13                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr,pipe_tasks
obs_ctio0m9               3292b35ddde7f7297e97407a9d0359e3465eea94  master-g3292b35ddd+55                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr
obs_decam                 8a7a6f39e33c69437744eb2339e1bdafe492c87d  14.0-9-g8a7a6f3+9                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_sdss                  ecb866f3239c9ce5629067b79ada7e88ced98dc7  14.0-8-gecb866f+9                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
synpipe                   5b975e8f942a3e6ddf0ee512ff9480a9c5dda621  master-g5b975e8f94+57                    astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_subaru                4c42a3416e58a6005550ecfb9e6c4faababe6fe5  14.0-37-g4c42a341+7                      daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_cfht                  f11a69727be80d44df933f87628ad8bd4c2d3683  14.0-6-gf11a697+9                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_lsstSim               83b9f0ff679a41fe851205c4a50a0c105e402871  14.0-10-g83b9f0f+6                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  14.0-1-g89eebdb+83                       obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
pipe_drivers              096812d02055f1920f2999e13dd2d6202bea50e1  6.0b0-hsc-21-g096812d+1                  ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
validate_drp              b19f12631170126db401f03dcb69f6ff37ffcba1  master-gb19f126311+7                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+156                   obs_cfht
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0+75                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+78                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ci_ctio0m9                be69b68c0a56247e9001f0aacf3f1f5bc4ca8671  master-gbe69b68c0a+87                    obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
testdata_jointcal         67a995fddc9064272b57ed9f5933eab176f1d700  14.0-1-g67a995f+79                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  c4bc114064a7ec270f49a6def0c2385d86766c62  14.0-26-gc4bc114+9                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,testdata_jointcal
lsst_distrib              dba0111d2d235f29d5decf420c66817cfebc206e  14.0-5-gdba0111+25                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp
lsst_ci                   26753debd6ac7ed5c8ab66ea43c9f51223d2a7d5  master-g26753debd6+41                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
