# product                 SHA1                                      Version                       
BUILD=b2761
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  12.1-1-g2bee09e                          
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
meas_modelfit             b96083dbc90aff45314ae771199e621a2bbe68e8  12.1-9-gb96083d+8                        afw,meas_algorithms,meas_base,numpy,log,pipe_tasks,scons,sconsUtils,shapelet,matplotlib
obs_cfht                  c4c477a58c279fcbb1d13cdeccb0ee1e4ad9a2d4  12.1-17-gc4c477a+5                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
dax_imgserv               b3d7dd07511599c5c8ae80acaabacc982e7d8b68  12.1-2-gb3d7dd0+30                       afw,base,boost,daf_base,db,doxygen,flask,log,mysqlpython,obs_sdss,scons,sconsUtils,skymap,sqlalchemy
pipe_drivers              07ace3052d41aa1bbb882977e5da24a03700f1c1  12.1-14-g07ace30+7                       ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_subaru                383c377b1d26b09260d5dcda0697a4ad93fab77f  12.1-20-g383c377+4                       daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  master-g489e6e60e2+35                    obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 d7afef2d9a291b490dfb6cd37680acd420918619  12.0+185                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   7dda0ab8e28ced83028f064a0496a6f5f83ed15a  12.1-2-g7dda0ab+34                       ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
lsst_distrib              af5e61c5358b1b95ef4985f57973e6e9e0ce3152  12.1-3-gaf5e61c                          lsst,lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs
lsst_ci                   b9213e60c61c731794b89d54c36ceed0cb5b1cc0  master-gb9213e60c6+208                   lsst,lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss
