# product                 SHA1                                      Version                       
BUILD=b6119
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  g294ccec69c                              
alert_packet              4f04a3420fc7f673e4cf1b64685a623dfbf10ec1  g4f04a3420f                              
ap_pipe_testdata          5887cb02c75af27fc14873fd2b97ac6ff6e4b4bb  g5887cb02c7                              
ap_verify_testdata        73447c0968141fe233e322d6828c18853c6bd2c0  g73447c0968                              
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  g398bedf734                              
fgcm                      93acbd907de6541c0ecea3ada05f1fec6a3f9968  g93acbd907d                              
obs_decam_data            c3e517dea3e129286c4c244ab19216553b6754cc  gc3e517dea3                              
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  gbdb8a927be                              
obs_subaru_data           2f68bc290627b1476393acd214c86a663ecbe048  g2f68bc2906                              
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  g86cffb07a8                              
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  g79c0498783                              
sconsUtils                92998165e0c4bb5be7d458d311af30054d08595a  g92998165e0                              
sdm_schemas               59859b773a36970b03261328f68cac15d984181c  g59859b773a                              
testdata_cfht             a65e6c79fddcbd4ea52b5b037ae6250b145a86ca  ga65e6c79fd                              
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  g2cc488a7b8                              
testdata_decam            4c8566d46baf5b96cc33bed92cbee3d06a40a337  g4c8566d46b                              
testdata_jointcal         7cf939d2c7b2657a1d21aca2708be5777cfc174d  g7cf939d2c7                              
testdata_subaru           bf01ab0e167b4ff1776bed81439605785bd002dc  gbf01ab0e16                              
validation_data_cfht      e74e1c8039631b2905b06fc4480a3acbb3d4a3bf  ge74e1c8039                              
validation_data_decam     617ce979104789d6f5835abb98e1e42ee93e9d70  g617ce97910                              
ctrl_pool                 92698f76a1a80b32e498c71c4166f3a2d58acb17  g92698f76a1+01166001b1                   daf_persistence,pipe_base,log,utils
obs_base                  b0fc2ca60138a167554e85d5b62cdd705976bfe7  gb0fc2ca601+31a12569bb                   daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    d85a0f811d04e703e03eb14b0372ebd49f631ea5  gd85a0f811d+5b987c4c4b                   sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               6727979600e222ad45878cb2cd2c8b005fe6e9ed  g6727979600+b8e788f44a                   daf_butler,obs_base,pex_config,pipe_base
meas_base                 4f79a0634b47baf144e94d6800e19618e5f68da0  g4f79a0634b+83e81b757d                   utils,geom,afw,skymap,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils,cpputils,obs_base
obs_test                  cb770ba17bd27ee60d264f4898b6824c59ccadf0  gcb770ba17b+bf5b1e1fe1                   afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
ctrl_bps                  641c41463937faf0c7576fc21a9b3e7fcfb0dbac  g641c414639+6d5577a312                   sconsUtils,utils,daf_butler,pipe_base,obs_base,ctrl_mpexec
meas_algorithms           8d527e0710a4706f99ef00ed942b102811a3cd3f  g8d527e0710+abd7d88e05                   astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils,cpputils
meas_extensions_simpleShape 103fe59d6fb4b205824659e17fc403ca0e010cd7  g103fe59d6f+1c7233074c                   sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_extensions_trailedSources 72cdda83015c69adfe3a6a8bcbb69e0510785665  g72cdda8301+1c7233074c                   base,afw,geom,pex_config,utils,cpputils,meas_base
ip_isr                    32debb59f0dea745cff81d5941cecc2eb3f29313  g32debb59f0+967868c433                   meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               af95d0f0f980b3cfa2a7aa2c0530e8072ffa2305  gaf95d0f0f9+967868c433                   geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            496fd5de666faf71a7cd38d9f2d8ed88f3154822  g496fd5de66+9129ba0539                   afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron 7d6de66fda6eedba8c41e603cab268f569d41f0b  g7d6de66fda+967868c433                   meas_base,meas_algorithms
meas_extensions_piff      8ef0a89dcb5067361944ae775347f66dbb899304  g8ef0a89dcb+967868c433                   afw,base,geom,log,meas_algorithms,pex_config,utils
meas_extensions_psfex     59f966b97286371fd44a0b5dd5da7632d1744363  g59f966b972+fda069d663                   afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   31051c9fea2545a675a3f3ed63e3c30a638dc8c5  g31051c9fea+621cbb73c7                   base,afw,log,scarlet,scarlet_extensions,log,pex_config,pex_exceptions,pipe_base,meas_algorithms,testdata_deblender
meas_extensions_shapeHSM  810ae3fb1497298389dc4057bf60570dee14c155  g810ae3fb14+967868c433                   meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_modelfit             849a1b8b7e18837ebb5bada4fb3c8f6206c15cc9  g849a1b8b7e+3b8cc21cd7                   afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom,cpputils
ip_diffim                 bdffd78dd58f57d6007851593108b3570cb59b34  gbdffd78dd5+376ef15608                   afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
meas_extensions_convolved 531ed1ee44d14d59ce03a923dffc19d8417521dd  g531ed1ee44+c177c8629f                   meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_extensions_gaap      70dd23f530b7a359183f8a290b9eb316ae977c6b  g70dd23f530+0a2f0522b5                   afw,daf_base,geom,ip_diffim,meas_algorithms,meas_base,pex_config,pex_exceptions,utils
pipe_tasks                61a49097d1ed356788a3cb83ed09fe88fc8cabd4  g61a49097d1+5178858849                   afw,daf_persistence,daf_butler,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_extensions_psfex,kht,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
ap_association            865756303c1e3ca1f97144b9c821eba3ed5cb342  g865756303c+f4fe241e35                   afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,pipe_tasks,verify
obs_cfht                  2616f472029ab2d1e1cfdb1058cf1a66c9945a46  g2616f47202+246a1aedd5                   daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
obs_decam                 d060f87c5c782bfd2fdf32b89150528a4352cb94  gd060f87c5c+9088956936                   utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_lsst                  6522fae3f67ac883cf89983064450aca61b9f04f  g6522fae3f6+58a1c830fb                   afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler,meas_extensions_gaap
obs_subaru                1fc259853ddf54f0d245b26d24eb708a4dde8dc0  g1fc259853d+a557ca3066                   daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,meas_extensions_gaap,testdata_subaru
pipe_drivers              d00fb1e517e6e177fc9fbe9285921bb8515ad3ae  gd00fb1e517+8776229a17                   ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
ap_pipe                   dba44569ff7d11711718b80ade79eb185b00e6e8  gdba44569ff+9b54254778                   utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata,obs_decam
cp_pipe                   88fff794869e670299dd444194ce3a1224488eea  g88fff79486+244da997e5                   pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_drivers,pipe_tasks
jointcal                  f6ad1f1eebd9924662b170fd7632f463d761fdc1  gf6ad1f1eeb+c2450caeed                   sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,cpputils,ctrl_mpexec,obs_subaru,obs_cfht,testdata_jointcal,obs_decam,obs_cfht
lsst_obs                  1d50a98a8bf54a436781f813062ddb91a8819070  g1d50a98a8b+b3c32c476c                   obs_cfht,obs_decam,obs_lsst,obs_subaru,obs_test,testdata_cfht,testdata_subaru,testdata_decam
pipelines_check           480a61af636f0c6e7ace90b5ed4ec751b47f9a1e  g480a61af63+9c0c4e4ef8                   pipe_tasks,daf_butler,obs_subaru,ctrl_mpexec,meas_extensions_convolved,meas_extensions_photometryKron,ip_isr
validate_drp              107f81dc0f98e4e55616a9eafe661747bc043710  g107f81dc0f+c96ad9f829                   utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_verify                 f10ef4cb532c7a6417ee26a158a13b10fdc24ccc  gf10ef4cb53+c74eadc59a                   utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ctrl_mpexec,ap_verify_testdata,obs_lsst,ip_diffim,ap_association
cp_verify                 ae0dfcf1cf8489bc67c0397d49a73eb729a6fc9b  gae0dfcf1cf+86e00d250f                   sconsUtils,afw,cp_pipe,ip_isr,meas_algorithms,pex_config,pex_exceptions,pipe_tasks,utils
faro                      e8d9ffb934582913e9873dcadc782fb34ebce68e  ge8d9ffb934+706260e5d7                   afw,ctrl_mpexec,daf_butler,dustmaps_cachedata,geom,pex_config,pipe_base,sconsUtils,utils,verify,validate_drp,verify_metrics
fgcmcal                   9c3108eb995e57a1711fceca715751cd07b8b2e3  g9c3108eb99+a609713f92                   sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal,obs_subaru
lsst_apps                 d79de062be66b31204067680d07b7c112436d31c  gd79de062be+c1dd86580c                   meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex,meas_extensions_piff
lsst_distrib              7ae64ea4b30fbd60e9e5678b0b78acf599cd07f5  g7ae64ea4b3+2706410788                   lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_bps,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,meas_extensions_trailedSources,meas_extensions_gaap,pipe_drivers,lsst_obs,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,sdm_schemas,validate_drp,fgcmcal,faro,cp_verify
lsst_ci                   e40f62d4af4849ea7d8b0d9065be1da0862f20c0  ge40f62d4af+5a5a74862f                   lsst_apps,lsst_distrib,lsst_obs,pipelines_check,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp
