# product                 SHA1                                      Version                       
BUILD=b4546
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  18.1.0-1-g095be34                        
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  18.1.0-1-g0927df5                        
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
ip_isr                    f53fc9f7a46c0f7062c9004637fff4dc3caa7a03  18.1.0-16-gf53fc9f+2                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  18.1.0-3-ga2826f2+2                      afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  18.1.0-7-gae09a6d+22                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  18.1.0-1-g5afa1ba+41                     meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
cp_pipe                   8ea57afc312cb329208fdd67a9dc5f9ef9e5cb90  18.1.0-3-g8ea57af+2                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  18.1.0-2-gc364b07+41                     meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  18.1.0-3-gb69f684+34                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 259bd21b698c142a327f4a0f842eb3f9bfaa9cf8  18.1.0-14-g259bd21+13                    afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
pipe_tasks                d64d31bc80597682bc98c967d4c4a7b4fd92c8fd  18.1.0-24-gd64d31bc+2                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_decam                 c69d46e3490d923eafaf2a66ab5939f6260f2b20  18.1.0-8-gc69d46e+20                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_lsstSim               818034cafd3a9940a938f1364510641d796fa891  18.1.0-6-g818034c+2                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+73                                obs_decam
obs_cfht                  58b286f537295806a60ef65ec26088111568e852  18.1.0-7-g58b286f+2                      daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+151                                 obs_decam
ap_pipe                   cd8f52cf305460ae362f5de8a76fe6b9dbec0690  18.1.0-4-gcd8f52c+40                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
obs_lsst                  25e8ceb76cdf11ccce82a9619e5e342fe0f23b47  18.1.0-24-g25e8ceb+2                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  18.1.0-4-gace4019+2                      obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_subaru                2f1d5de166eee61b699f2e0905bd8c95755eea0b  18.1.0-21-g2f1d5de1+2                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ap_verify                 23dd65fc15bad7876c3eb6a64804c020a4e8870b  18.1.0-6-g23dd65f+10                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
pipe_drivers              6dbcb01bc42be6cfb7cc9086200140ba0e0bdb02  18.1.0-5-g6dbcb01+34                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
validate_drp              7ea8e08af7e262100bbfd3eea04ca0b812fcc76e  18.1.0-2-g7ea8e08+14                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  18.0.0+73                                astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  18.1.0-1-g79a6842+23                     obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  18.0.0+73                                obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+152                                 obs_cfht
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+157                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_dm_stack_demo        f767033f4cf32631a97647b9e260b934deb1fd6d  18.1.0-2-gf767033+3                      python,utils,sconsUtils,obs_sdss
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+153                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
jointcal                  fefb8b58db04fec36d7ace6fd23784b5eb81b0b3  18.1.0-2-gfefb8b5+37                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   4c5cef4afef2d3125510e35405c3d4434375d63c  18.1.0-8-g4c5cef4+2                      scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  18.1.0-2-gb0efc0e+46                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+170                                 lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
