# product                 SHA1                                      Version                       
BUILD=b4980
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  20.0.0                                   
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  20.0.0                                   
testdata_decam            47917b28e7eff24162f0ba898a02c9e606ef4a4f  20.0.0-2-g47917b2                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  20.0.0-1-g7048e9c                        
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
alert_packet              af23745059b396c4fa398805c7f33fbfefba9a88  master-gaf23745059                       
sconsUtils                1276964a75b16dfc5742bc8cbd7332de4b1cf402  20.0.0                                   
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  20.0.0-2-gaafa04d                        
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
meas_astrom               c96f8cbbf3fde07e620d09e3b609308a3ae3cfa9  20.0.0-1-gc96f8cb+7                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_extensions_scarlet   0542f41ae7590dcb5395becaf918d6bd030c42c8  20.0.0+8                                 base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
meas_extensions_shapeHSM  5191324ed3f8dbb727a85d17e695c6a1a143bc61  20.0.0+7                                 meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_extensions_psfex     10df615c8f23760fc6fee733d395efa4abc01cbf  20.0.0-1-g10df615+6                      afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
ap_association            87898ef4749329fb0c47ff2995ee90c5b53f7ae5  20.0.0-9-g87898ef+3                      afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,verify
meas_deblender            fb03ce7518f4857fdc0365ae6e7aa7a12e754fd8  20.0.0+8                                 afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
ip_diffim                 596936ac2dfaa5bb67b1901c541fc28b08445b2a  20.0.0-1-g596936a+6                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
ip_isr                    2fa8bb804ca6d1fa4db3c61974ef37d6176e7905  20.0.0-3-g2fa8bb8+3                      meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_extensions_photometryKron ca68e65fcabc1b968985300b227187c8754fc5be  20.0.0+7                                 meas_base,meas_algorithms
meas_extensions_convolved c390c3c845068864752f1dd9b39b87f9ed5cf448  20.0.0+7                                 meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
pipe_tasks                7eef53f761ed0d0c8c69b03c2142b1028670b623  20.0.0-8-g7eef53f7+2                     afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_cfht                  38158d1c352e1d543462e80290bcfd231b4b671c  20.0.0+7                                 daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
obs_subaru                d8347dd29517f51800167bd8674e5f176beacc36  19.0.0-66-gd8347dd2+1                    daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_ctio0m9               65713022bd599d3f59ce8f345d2e48b3667547ba  20.0.0+7                                 afw,daf_base,obs_base,pex_config,utils,ip_isr
obs_lsst                  4db333976b77cb2af528626b468192b573714006  19.0.0-72-g4db3339+2                     afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_decam                 180d0f2da539312e5f31846e18938cd723044944  20.0.0-7-g180d0f2+2                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
jointcal                  4a5fae60d6d55da25818816c6a177c3cc5c4e321  19.0.0-10-g4a5fae6+21                    sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal,obs_subaru,obs_decam,obs_cfht
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  20.0.0+7                                 obs_decam
pipe_drivers              039c0b5d117cc3b8b1c92d6583cc34fd3dc56bc2  20.0.0+7                                 ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
fgcmcal                   e48a6ca1f32ea97fbce3ac2901a1183740e7feee  20.0.0-4-ge48a6ca+1                      sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal,obs_subaru
synpipe                   3d1650172eeda82e2f7d64c2860513625779cc30  20.0.0+7                                 daf_persistence,pex_config,afw,pipe_base,pipe_tasks
cp_pipe                   32a200ec5c58a50283f7293ef49ecc410406115e  20.0.0-1-g32a200e+6                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_drivers,pipe_tasks
ap_verify_testdata        950faa2986e21ee6aae6f8c78afdfe73b085a6f3  20.0.0-3-g950faa2+6                      obs_lsst
obs_sdss                  631c6ba8ceb2c89b485f49cf055d12f50fdb9b55  20.0.0+7                                 obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,geom
validate_drp              5b123b5b1b29601c855f1fff82a883f5c28978ed  20.0.0+7                                 utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_pipe                   d4c88078a3f3fe3baeb36eefc55decb11ee0ad93  20.0.0-2-gd4c8807+3                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
ap_verify                 314d76e99ab5b1ff19dda8423d6eaf14228ca7f6  20.0.0-4-g314d76e+6                      utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,ip_diffim,ap_association
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+303                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_apps                 b3c0038b24fdbb7d2fec4a9d1fafdb31beb6da64  20.0.0+7                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_dm_stack_demo        51ec697d17ca47f39e79b59d1897267351ec0a5f  20.0.0+7                                 utils,sconsUtils,obs_sdss
lsst_obs                  9569ba20bd3ab20600da9162cd220cca1e594859  20.0.0+7                                 obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_distrib              c154f85acc49bb082938c283f7b52dce6afd4be0  20.0.0+7                                 lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   c0a0911cc98a0cd7714e43e90f51bc751e5fb6f9  20.0.0+7                                 lsst_apps,lsst_distrib,lsst_obs,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
