# product                 SHA1                                      Version                       
BUILD=b3424
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
starlink_ast              110f0b530a1de9d6d20ebbae420bcf74003aac62  lsst-dev-g110f0b530a                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
astshim                   7a60b79e100e91734f43ef79af19df3b960aad72  14.0-13-g7a60b79+1                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+6                        sconsUtils,pybind11,python,python_future,doxygen
dax_webservcommon         5b3c1492ed0972ac63211423b7c55aeabc49b074  12.1-3-g5b3c149+4                        python,scons,sconsUtils,flask
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+9                        base,boost,pybind11,python,python_future
utils                     11010eb972b70ffd02fe4d9203379c942b0908d3  14.0-9-g11010eb                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
daf_base                  744ff5f0914b46439ccfb6ee4ac298d27cfe019d  14.0-5-g744ff5f+2                        utils,pex_exceptions,pybind11,python,numpy,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+10                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+12                       sconsUtils,python_future,utils
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+14                       daf_base,utils,python_future,pybind11,python
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+13                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+11                       daf_base,pex_policy,numpy,utils,python_future,pybind11,python
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+10                      log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
dax_metaserv              6e5c8e42d81c5395a63beebffec986374320c4c9  12.1-5-g6e5c8e4+11                       dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
dax_dbserv                5ed72d2e2d334bb2f1687998f954200fe818fae6  12.1-9-g5ed72d2+1                        dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
afw                       1cb8fef6331fc4d7a3a98a1a33b5839b21ab0263  14.0-46-g1cb8fef63+1                     daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+152                                 utils,pex_policy,geom,afw,python_future,sconsUtils
skymap                    20413be4c29b3a36f5db6cf5e50396defac9f844  14.0-3-g20413be+2                        numpy,afw,healpy
obs_base                  c48c03fbfbb167ca47f8d2a457aa126d6f698655  14.0-22-gc48c03f+2                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  86eb1bd0f70ab0bd807b4c9cbdba943034b659ab  14.0-5-g86eb1bd+30                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+41                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0+51                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0+51                                  coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 4f4ea82a39a860cddb16ae2143e7d70eae6d2bdd  14.0-17-g4f4ea82+4                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           68269a9ebda4a8c0433c1689cafe325cf43fd1a1  14.0-13-g68269a9e+3                      daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    b81b6e9dc6dde744fae4402ffc4685fc40ba3302  14.0-8-gb81b6e9+3                        python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_astrom               d5b81a9062c70e413dbb5b2955edbfbca73995cf  14.0-6-gd5b81a9+5                        afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+50                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 330837b8669f2c1b7efa2dc8983b3e789f8e3a27  14.0-9-g330837b+4                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_astrometryNet 013352ca6ac72b387ea9975dca8535d20a8217d2  14.0-1-g013352c+35                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                76222d5ff3cef2d02a9daeba34a0c8a16299099a  14.0-46-g76222d5f+2                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  9e642e989656e1467e83b1a75445f335c9c82251  14.0-4-g9e642e9+41                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
dax_imgserv               40544c66c5ba1229aae879d582bb21f2c6ebecfa  12.1-19-g40544c6                         afw,base,boost,daf_base,db,doxygen,flask,log,python_mysqlclient,obs_sdss,scons,sconsUtils,skymap,sqlalchemy,jsonschema
dax_webserv               70373f2b2908d23c9950f7de34d81c1d12c115ac  12.1-13-g70373f2+10                      db,flask,dax_dbserv,dax_imgserv,dax_metaserv,python_mysqlclient
