# product                 SHA1                                      Version                       
BUILD=b3403
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
xrootd                    b0c4ff29743f011cb5e8f7f2a5944fe33e7e0f6b  master-gb0c4ff2974                       
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
starlink_ast              0d0d9b9b26bc86b22b38b84f3eba8e2a6008a358  lsst-dev-g0d0d9b9b26                     
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
pycodestyle               cf95d84d724f579d1460dee026bf5a287b33bf04  2.3.1+1                                  python
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+2                            python
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12+1                                   python
numpy                     85b095f6f8cb5a3cd462de8d5762304427b1b233  1.13.1                                   python
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+4                           python,numpy,pykg_config,cfitsio,astropy
mysqlproxy                072f2a0443c0a4863ba0a70db40908d834f5601f  0.8.5-1-g072f2a0+2                       libevent,lua,mariadb
apr_util                  45d74ccc249484be4fdba93fe2f66aafb5869335  1.5.4                                    apr
firefly_client            0232f24481837d34903335221c910df578a3bcff  1.2.0.lsst1                              ws4py,python_future
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.3.lsst1                              boost,python,numpy,eigen,pybind11,fftw
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1                            python,numpy
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+6                     cfitsio,wcslib,gsl,numpy
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
scisql                    a1d17d67429770fa7e175ed2af43234e9570d689  0.3.8.lsst1+2                            mariadb,python_mysqlclient,python
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst2-1-g2722dd9+2                 numpy,pyyaml
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
galsim                    ad0dd4889388d16c4c2aa835199eda3a6b4a8101  1.5.1.lsst1                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+27                    scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
psfex                     823d0e4aa968bf7d3f0195271bc17619d4c16642  14.0-1-g823d0e4+6                        gsl,sconsUtils,fftw
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+6                        sconsUtils,pybind11,python,python_future,doxygen
verify_metrics            586ef34a9f46e06b52312880c11d2ced006e8236  14.0-2-g586ef34+5                        sconsUtils
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+22                    python,python_future,pyyaml,numpy,astropy,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
sphgeom                   110c6f4958a02f2268ffde0a7f5b5b35aa1c2c7e  12.1-4-g110c6f4+22                       base,sconsUtils,pybind11,doxygen
astshim                   7a60b79e100e91734f43ef79af19df3b960aad72  14.0-13-g7a60b79                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+9                        base,boost,pybind11,python,python_future
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+40                       boost,sconsUtils,sphgeom
utils                     1f982c91e6eb8b37339e3d161c0573d17ca3d78e  14.0-8-g1f982c9+1                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+11                       sconsUtils,python_future,utils
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+9                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
verify                    444b9f07dc7e54b1dfb11c8e191b1c4d98f3dd23  14.0-10-g444b9f0+1                       python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
daf_base                  744ff5f0914b46439ccfb6ee4ac298d27cfe019d  14.0-5-g744ff5f+1                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+12                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
cat                       cebd4ec1ea3825751927211885031a0fc4758622  14.0+11                                  python,mariadbclient,db,sqlalchemy,utils,python_future
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+13                       daf_base,utils,python_future,pybind11,python
qserv                     9760d33c5fb1e214e8d9db4792865bb70827f844  12.1-129-g9760d33c+1                     antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+10                       daf_base,pex_policy,numpy,utils,python_future,pybind11,python
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+9                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
qserv_testdata            0fcb2ffa959fb906bbec8fd3fe1dbafdba04d3cf  2016_08-4-g0fcb2ff+21                    python,python_future,pyyaml,qserv,scons,sconsUtils
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  14.0+15                                  python_future,utils,pex_policy,pex_config,daf_persistence,log
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+111                   qserv,partition,qserv_testdata
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  14.0-4-gc2b038a+8                        python_future,ctrl_orca,pex_config,utils
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  14.0-2-g3865e40+8                        ctrl_execute
afw                       99f9a304013a04dc698017fae477ecfc09c27a65  14.0-42-g99f9a3040+1                     daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+38                                  afw,xpa,python_future,pybind11
display_matplotlib        b963a833dc6558b1cea12876002c314510278562  master-gb963a833dc+10                    afw,matplotlib,python_future
display_firefly           deaf1fb883cb6c8f0f438e72e3296ee59a6b21e3  master-gdeaf1fb883+22                    afw,log,firefly_client,python_future
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+36                       afw,numpy,scons,sconsUtils,pybind11,scipy
skymap                    83736566f6907c5cb226f22c1d0dd2d36c95738e  14.0-2-g8373656+26                       numpy,afw,healpy
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+149                                 utils,pex_policy,geom,afw,python_future,sconsUtils
obs_base                  4f575af89d1b30c3433f73d74d5385f8ddf6ee1a  14.0-21-g4f575af+4                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  86eb1bd0f70ab0bd807b4c9cbdba943034b659ab  14.0-5-g86eb1bd+26                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+37                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
cp_pipe                   a5d0207a7da321575008e7fa6d891c157ea8f3b7  master-ga5d0207a7d+18                    pex_config,pipe_base,daf_base,log
ctrl_pool                 a2912ffc3bad3be803666accfd8d861fc88d52ff  14.0-1-ga2912ff+28                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0+47                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0+47                                  coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 4f4ea82a39a860cddb16ae2143e7d70eae6d2bdd  14.0-17-g4f4ea82                         python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           ae0d9e9a5014273e26a23774aba359578d43837a  14.0-11-gae0d9e9a                        daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_astrom               d5b81a9062c70e413dbb5b2955edbfbca73995cf  14.0-6-gd5b81a9+1                        afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet 013352ca6ac72b387ea9975dca8535d20a8217d2  14.0-1-g013352c+31                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+44                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_psfex     3019bb2e1aeb7425c7e14c3c518adb629d83bc18  14.0-1-g3019bb2+31                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
ip_isr                    5d77ab879b4ae599ea31a9ce5418075db21b4e21  14.0-7-g5d77ab8                          python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
obs_monocam               d513ce3f4ae9b7e23a9e86ef3311d4884deb148f  14.0-1-gd513ce3+42                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
obs_ctio0m9               3292b35ddde7f7297e97407a9d0359e3465eea94  master-g3292b35ddd+36                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr
meas_modelfit             2fa83affd8e58c0da8773c22301bb651c0931db4  14.0-1-g2fa83af+44                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+46                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_extensions_shapeHSM  93e67f495460ce5c9ac09b6fdf19e9563ad6f4a1  14.0-3-g93e67f4+2                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_photometryKron 30344f0942725fd89fc55c02060dc03f5cf4a92c  14.0-1-g30344f0+40                       meas_base,pybind11,meas_algorithms
ip_diffim                 330837b8669f2c1b7efa2dc8983b3e789f8e3a27  14.0-9-g330837b                          afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  14.0+41                                  meas_algorithms,meas_extensions_photometryKron
pipe_tasks                1a25f2ae798e7ef7a66a5f711efd80295ef5378b  14.0-42-g1a25f2ae+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_comCam                01b519ef4f8e20baeff930333f307f200d0a6b7c  master-g01b519ef4f+1                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr,pipe_tasks
obs_sdss                  9e642e989656e1467e83b1a75445f335c9c82251  14.0-4-g9e642e9+36                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
obs_cfht                  0f6ca4cf1b4dcbc9392142b2ecf109242523df6e  14.0-4-g0f6ca4c+6                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                0fe0acd7de5108de48042916813d710393b24c6c  14.0-28-g0fe0acd7+1                      daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              8ba635589d40d1ede0dc194236ffd0b475f88407  6.0b0-hsc-15-g8ba6355+3                  ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
ci_ctio0m9                be69b68c0a56247e9001f0aacf3f1f5bc4ca8671  master-gbe69b68c0a+63                    obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
synpipe                   5b975e8f942a3e6ddf0ee512ff9480a9c5dda621  master-g5b975e8f94+33                    astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_decam                 b776afcc464acdde81994ca9fd75206003f04050  14.0-7-gb776afc+17                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_lsstSim               b7d815e93159cbeda647c2c6d87eb5d088efe068  14.0-8-gb7d815e+8                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+133                   obs_cfht
testdata_jointcal         67a995fddc9064272b57ed9f5933eab176f1d700  14.0-1-g67a995f+50                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validate_drp              38599558775369fd95d86f6f839eb72c2f4108f8  master-g3859955877+1                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  14.0-1-g89eebdb+53                       obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0+50                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+55                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  0e4602007040e0fcfd1f1f2f11c6bd190cc330f0  14.0-19-g0e46020+14                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,testdata_jointcal
lsst_distrib              cf1484b0b9439defdec4eb4ce401e15d4d5c0d39  14.0-4-gcf1484b+14                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe
lsst_ci                   26753debd6ac7ed5c8ab66ea43c9f51223d2a7d5  master-g26753debd6+3                     lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
