# product                 SHA1                                      Version                       
BUILD=b5815
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  22.0.1                                   
astropy_helpers           9c76ab20764baf2335cbd254d274addf80fd6c80  3.0.2.lsst-1-g9c76ab2                    
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
ephem                     6182364ef5d674c8f0765ee00779fcfe7ab23a50  3.7.6.0-1-g6182364                       
freetds                   0735e0852765cf374c258482c5b9a295c0459975  0.91.112.lsst2-1-g0735e08                
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  22.0.1-1-gbdb8a92                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  22.0.1                                   
palpy                     a7803970ea9fbca76a1481d3e46fd5b1af9d7158  1.8.1-1-ga780397                         
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sconsUtils                557fb78b2b602da6f81852d206fca9263e005d3a  22.0.0-6-g557fb78                        
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
sims_maps                 c32f3528de89b0db7ef0d984971a49da3b63e7cb  2017.05.08-12-gc32f352                   
sims_sed_library          5b328a8624af10bcd6eeab6148384ea206a2de43  2017.01.24-1-g5b328a8                    
sims_skybrightness_data   f1b24993bd8437ee33f210b598d66523bedffb07  2017.05.05-2-gf1b2499                    
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  22.0.1                                   
throughputs               8905f4dc30e402af34fef43b518b607110ab7f95  2019.07.02-3-g8905f4d                    
sncosmo                   ea39e10705e6676cb56e2676724348aa000a82e2  1.3.0.lsst2-5-gea39e10+3c1685c4f7        astropy_helpers,python_extinction
utils                     e7cdf9ed29ff2913ca772bbb320179241eda00da  22.0.1-9-ge7cdf9e+c47995677b             cpputils,sconsUtils
daf_base                  15c806e14df929e0676fc2d14431ad321ac52290  22.0.1-5-g15c806e+7e58257bcf             utils,cpputils,pex_exceptions
daf_butler                4db99336a710a4314d96063f6b550b6a4a99a1c7  22.0.1-85-g4db99336+fb28b9dcc5           sphgeom,sconsUtils,utils
geom                      096abc94f838d2c640692e481dea462e1c34617c  22.0.1-5-g096abc9+fb28b9dcc5             sconsUtils,sphgeom,pex_exceptions,utils,cpputils
log                       ba7369791174168e2f4059f312ac34ac2889635d  22.0.1-7-gba73697+7e58257bcf             base,sconsUtils,utils
sims_almanac              021b69e146185b5362cbd16f017d3f312930c1a3  master-g021b69e146+7e58257bcf            base,utils
sims_survey_fields        3f5255daf361aa322d1c4a72f0310a609ecb7052  2.13.0.sims-1-g3f5255d+7e58257bcf        utils
sims_utils                370dc2927f2007de36475bf517a1499a4b97ac31  2.13.0.sims-46-g370dc29+7e5a32d13f       utils,palpy,sims_data
astro_metadata_translator c2dde510d9bb45d1e60ff7412c1e651dcfeb32fe  0.1.0-26-gc2dde51+2036d5eaca             sconsUtils,daf_base
pex_config                87000a63fbe37efc59abb91dfe9546152493e012  22.0.1-1-g87000a6+2036d5eaca             daf_base
sims_catalogs             2b292336d146d57b33f9e26efed6e0ff432561ee  2.13.0.sims-10-g2b29233+77b97522c8       daf_butler,pymssql,sims_utils,utils
sims_photUtils            e14a2668a4f874f85074a8d2fc1e37654b70b5be  2.13.0.sims-5-ge14a266+6a3e54c0e3        utils,sims_utils,throughputs
daf_persistence           243d05b06b5e4ef8d189c58c67eedbc3d5394bb9  22.0.1-4-g243d05b+407143e2a6             utils,log,daf_base,pex_config
dax_apdb                  2c3f5acbff5a7fcd00b3421b88dcafb67e098ab4  22.0.1-4-g2c3f5ac+2e8da71d76             geom,daf_base,pex_config,sconsUtils,sphgeom,utils
sims_cloudModel           e3724df5295e741076d6596dd9a15e4ab9fb1348  master-ge3724df529+42eb8092ec            utils,pex_config,sims_utils
sims_downtimeModel        55f72efa65e9793de772e7accf868fc2f569c778  master-g55f72efa65+09610e20c9            utils,pex_config
sims_seeingModel          a4bf72ea443f605edd1ad02490135ddf74d679a3  master-ga4bf72ea44+8ac8308591            utils,pex_config,sims_utils,throughputs,sims_photUtils
sims_skybrightness        6abee38a49928afa4eb09bce69e577992cbe7cc6  2.13.0.sims-8-g6abee38+a0275ec4b9        base,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data
afw                       9503da7605e536be3bf67893b01f25672b518f25  22.0.1-35-g9503da760+ec953d57b4          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
sims_skybrightness_pre    3fb065b821fc354149223a330142f5383b31c879  2.13.0.sims-14-g3fb065b+d3bf5fc9df       sims_utils,sims_survey_fields,ephem,sims_skybrightness
pipe_base                 c8092ca2b5048a24568573ad44d86679541e6d28  22.0.1-29-gc8092ca+64bf416945            daf_butler,daf_persistence,log,pex_config,utils,afw
sims_featureScheduler     5f42dc1c7639552749a068695000d0d8ca85e032  master-g5f42dc1c76+3c447e60ae            base,sims_utils,sims_skybrightness_pre,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac
skymap                    037fbe16b56c91a32b84631f61f1a43e365a5431  22.0.1-4-g037fbe1+64bf416945             sphgeom,geom,afw,daf_butler
coadd_utils               7f82c8f19b2f30e66ea09e5d134dfa2e8f2de96b  22.0.1+296381303e                        afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
obs_base                  c07a94dbb4712c283abcfe63e84ef6e85d8784bd  22.0.1-22-gc07a94d+a112d84a14            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    5b917719be6f37f7ea6c3299ffa117d24d6140c2  22.0.1-11-g5b91771+1aed916590            sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
meas_base                 4fd6b65974f85218e2861a5e97d64090c06974de  22.0.1-24-g4fd6b65+6055b7b0fe            utils,geom,afw,skymap,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils,cpputils,obs_base
obs_test                  f0e180812aa8d4d35801295d6863cfe9405ba4ea  22.0.1-4-gf0e1808+3508bee91c             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           bfca4b994d8d6f5f613f1141efd2dd9688201c13  22.0.1-25-gbfca4b99+4d440cff96           astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils,cpputils
meas_extensions_trailedSources 99da0e417ad0e7caf702e3f230b38dd222903337  master-g99da0e417a+99013145cd            base,afw,geom,pex_config,utils,cpputils,meas_base
ip_isr                    e307e65c64963959ad7c63da3aba35550b529d27  22.0.1-22-ge307e65+9a363e8c32            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               903eb1c80716f581a39b5935b9d6f8443b876770  22.0.1-8-g903eb1c+9a363e8c32             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            35e927a9b2f9143b67512e2c3421c8d7fac35f53  22.0.1-4-g35e927a+07c34585d7             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_psfex     59f966b97286371fd44a0b5dd5da7632d1744363  22.0.1-3-g59f966b+1c23c02791             afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   8afe5cba3225ffeee886a2564b15c16ffca879b7  22.0.1-4-g8afe5cb+cafa7b28d1             base,afw,log,scarlet,scarlet_extensions,log,pex_config,pex_exceptions,pipe_base,meas_algorithms,testdata_deblender
ip_diffim                 d9f96f2ea5327912dedce35a9712a79f27b41c43  22.0.1-20-gd9f96f2e+82dc926501           afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
meas_extensions_gaap      70dd23f530b7a359183f8a290b9eb316ae977c6b  master-g70dd23f530+df77d79ac2            afw,daf_base,geom,ip_diffim,meas_algorithms,meas_base,pex_config,pex_exceptions,utils
pipe_tasks                be4cc4e5d175d76357702bac2c94b8de9f2a3a5d  21.0.0-154-gbe4cc4e5+80d40069b5          afw,daf_persistence,daf_butler,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_extensions_psfex,meas_extensions_trailedSources,kht,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_lsst                  c16f5c0291f9946fc4dbe632cb688ff63fdad6c8  22.0.1-52-gc16f5c0+4c2f86a39c            afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler,meas_extensions_gaap
sims_coordUtils           c9b9334a7cd08af16e27a4947b412045c413faa4  2.13.0.sims-7-gc9b9334+32389e2ec3        base,utils,geom,afw,obs_lsst,sims_utils
sims_catUtils             ab59eb09eb3122acd3df71c06423684376afd3a9  2.13.0.sims-17-gab59eb09+4a8d72c903      utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,pymssql,daf_persistence,sncosmo,obs_lsst
sims_maf                  717aec057ca5c059119c70f078e963cc2e87e19d  2.13.0.sims-102-g717aec05+f55b613bd8     base,ephem,palpy,sims_utils,sims_data,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsst
lsst_sims                 6cf0aa7d42b92e9bc8824669ec98a2a70259ee48  2.13.0.sims-4-g6cf0aa7+cae7eabba3        sims_maf,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
