# product                 SHA1                                      Version                       
BUILD=b4680
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
validation_data_cfht      38570ab94a8ba00dd785eb6b9a58600aff02e694  19.0.0-2-g38570ab                        
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  19.0.0                                   
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  19.0.0                                   
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
obs_lsst_data             ac8c27c4c23e16d1810f0071737ba296776fa35f  19.0.0-1-gac8c27c                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
daf_base                  68ffd23a201df9d8f8ace46df14039b339261ffa  19.0.0+3                                 utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator af588435baf11c0eac0f3afd12ddacdf74090071  0.1.0-6-gaf58843+2                       scons,sconsUtils,pyyaml,astropy,daf_base
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+3                                 boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      e3aa8530fdf7725033f50281bc66fe5d036b2058  19.0.0-1-ge3aa853+1                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+3                                 daf_base,utils,pybind11,python
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  19.0.0-1-g6fe20d0+2                      log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                c4f6e04fdae3c56f2a8640952cbdb4bb4742a63a  19.0.0-3-gc4f6e04                        numpy,pybind11,python,daf_base,pex_policy
afw                       e358e0fc409dab642a18343c48dc93aece344d79  19.0.0-7-ge358e0fc4                      daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  19.0.0-1-ge272bc4+10                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_matplotlib        580fafe5d73f258a6ba867592a09f9efef8d13fb  19.0.0-1-g580fafe+10                     afw,matplotlib
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+10                     afw,geom,log,firefly_client
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+4                      utils,pex_config,daf_persistence,log
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  19.0.0-1-g20d9b18+10                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
daf_butler                c2f28e9487c4dcb871370aa50fe3c854a729a194  19.0.0-17-gc2f28e94+1                    sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+54                                afw,xpa,pybind11
pipe_base                 b6b8b0ad3746dc8c46758137f643655310a680ec  19.0.0-6-gb6b8b0a+1                      daf_butler,daf_persistence,log,pex_config,utils,afw
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+4                      ctrl_orca,pex_config,utils
verify                    8226a54a130b8b0fa9c77b778b084d3a62e78f2d  19.0.0-10-g8226a54+6                     astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_pool                 260436e5942073d83ef12ecad5cbacc21e5167e5  19.0.0-2-g260436e+1                      daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  19.0.0+17                                afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  19.0.0-1-gdc0e4a7+15                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  19.0.0+16                                numpy,sphgeom,geom,afw,daf_butler,healpy
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+33                                ctrl_execute
ctrl_mpexec               52b04eb70e4b87e593fc0f143fef41d888b9c29f  19.0.0-7-g52b04eb+1                      daf_butler,log,pex_config,pipe_base
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  19.0.0+17                                scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
obs_base                  8258e2a40c32b791274d3de115f9755bbf87f067  19.0.0-16-g8258e2a+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  19.0.0-2-g0d9f9cd+17                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_algorithms           d943061d323ccc1720eae8b3ca3ec36ba98fbbd0  19.0.0-5-gd943061d                       astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+19                                obs_test
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  19.0.0+19                                afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
meas_modelfit             9b11441b0efae7ac93cf076b5b828c58fbe46a81  19.0.0-2-g9b11441+4                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  19.0.0+19                                geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
meas_extensions_scarlet   74da54fbfaf74f012a632dfe277529d77218639e  19.0.0-3-g74da54f+1                      base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  19.0.0+19                                meas_base,pybind11,meas_algorithms
ap_association            a27869033af8173289a8e62573d6ddfdcd713522  19.0.0-11-ga278690+6                     afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+19                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
ip_isr                    ea0a0fe859b87f1585ea42ec221702b47069d716  19.0.0-7-gea0a0fe+6                      meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  19.0.0+19                                meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
cp_pipe                   41ffa1d754b9a6d2b3c788ed3022703e8e82f2d1  19.0.0-4-g41ffa1d+3                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  19.0.0+24                                afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  19.0.0+23                                afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
ip_diffim                 0745e3f4f999e7217e16c8e75b5dac2666750bc5  19.0.0-5-g0745e3f+1                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
pipe_tasks                bb28fe44c6368f1b9d2e4c1cda7ec00b6b3c3db2  19.0.0-14-gbb28fe44+1                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_decam                 725f80ead3acda6eefcab424899993d061020b64  19.0.0-4-g725f80e+19                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_subaru                e3665ae8e624ff14ed4454c5aa471fdd29272a85  19.0.0-11-ge3665ae8+1                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
synpipe                   bfe0924a0c6021c906e6612ed51a47dd4de490d5  19.0.0-1-gbfe0924+1                      astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  19.0.0-1-ga8543ac+29                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_cfht                  c6cf8f7b9f06f3b10bb84e4e540e4257cedacbf8  19.0.0-1-gc6cf8f7+23                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
pipe_drivers              d955cfd5e06245160ea632896ca0174c855261dc  19.0.0-2-gd955cfd+23                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  19.0.0+27                                obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+114                               obs_decam
validate_drp              24e56efa39a47324054771bb2af473a4c75d5604  19.0.0-5-g24e56ef+8                      python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
obs_lsst                  71e49ed8bac95e5afb93601bbdbd50524f87b14c  19.0.0-8-g71e49ed+2                      afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
lsst_dm_stack_demo        cf6bc4ae2b6220f041fb1035dd578ed5f57067de  19.0.0-1-gcf6bc4a+19                     python,utils,sconsUtils,obs_sdss
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+194                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
testdata_jointcal         6096a76cb05a63b84311f634a9b9f1aa6f029137  19.0.0-1-g6096a76+11                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  19.0.0+27                                obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
jointcal                  65139202ee1298fc555b055462ce5b6b77caa46c  19.0.0-3-g6513920+1                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
ap_pipe                   3cdbc4fb3d037651eb819916d58f4e0fae235bd3  19.0.0-5-g3cdbc4f+12                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
fgcmcal                   0f0e2d689efb7f8889604cf3d2cf87328905ed9b  19.0.0-10-g0f0e2d6+4                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+200                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 f386f0101426dc412037da944a2a3028dd4cc4b0  19.0.0-6-gf386f01+12                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  19.0.0+29                                lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   e4f73514a4ffd50af23465235dc4e6e5a416db76  19.0.0-2-ge4f7351+25                     lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
