# product                 SHA1                                      Version                       
BUILD=b4587
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  18.1.0                                   
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
sims_utils                2d90f6a012f1193fc3d396e0c162ad7391daca7e  2.13.0.sims-39-g2d90f6a+3                utils,python,python_future,palpy,astropy,healpy,sims_data
daf_base                  68ffd23a201df9d8f8ace46df14039b339261ffa  18.0.0-4-g68ffd23+5                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
geom                      8ff0b9f358dcc74bb5122178a9336a337648d6fc  18.1.0-1-g8ff0b9f+7                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
sims_almanac              420e492ac3a1a4d7de5887c5ccf2ca6316899760  master-g420e492ac3+6                     base,numpy,astropy,scipy,utils
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+35                            numpy,python,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  18.1.0-1-g0001055+13                     daf_base,utils,pybind11,python
log                       03d53ef8083cf25d560524726eea15af535ff53a  18.1.0-1-g03d53ef+6                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  18.1.0-2-g6fe20d0                        log,pex_policy,astropy,pyyaml,pybind11,python
astro_metadata_translator 1039c3cf3b52ca551fb6cc8a5acc970e2c763ba7  0.1.0-5-g1039c3c+5                       scons,sconsUtils,pyyaml,astropy,daf_base
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+29                    python,sims_utils,utils
sims_photUtils            60d0775ed284616510941a071a10ce69b6f69020  2.13.0.sims-1-g60d0775+22                utils,sims_utils,python,throughputs,astropy
sims_catalogs             0316a325b5cd6f608e9b6639058a2c75475299cf  2.13.0.sims-5-g0316a32+3                 daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+29                    python,ts_dateloc,utils
pex_config                ae7742993c3fa92bf5ac1d9ab0c298c95e81930a  18.1.0-6-gae77429+4                      numpy,pybind11,python,daf_base,pex_policy
sims_skybrightness        72b3e2ac653d6cc5f7bc8e80866b35280126beb6  2.13.0.sims-1-g72b3e2a+14                base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
sims_seeingModel          4cb10b5e674f79eb5808fb168a126855d7ab2195  master-g4cb10b5e67+16                    utils,pex_config,sims_utils,throughputs,sims_photUtils
afw                       2fc8869d4e9051ca733980f97c88440237f9d72c  18.1.0-33-g2fc8869d4+2                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
sims_cloudModel           49264ce2c54c1ff047a9d4c7c5994f72b958c0b8  master-g49264ce2c5+6                     utils,pex_config,sims_utils
sims_downtimeModel        0bec6a04497600aa71a01ebe8d9343335ed55342  master-g0bec6a0449+13                    utils,pex_config
sims_skybrightness_pre    cc59254c51bddf65254730b189e65ffeaf49d6a9  2.13.0.sims-8-gcc59254+6                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
daf_butler                62ab9d21faf45976afad47c2e2bc65a5406dcc97  18.1.0-38-g62ab9d2+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
sims_featureScheduler     db8c7ac526859f75baae5e9789d6d03d96e5274a  master-gdb8c7ac526                       base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  18.1.0-2-ge272bc4+2                      afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  18.1.0-2-g5f9922c+29                     numpy,sphgeom,geom,afw,daf_butler,healpy
pipe_base                 0997b023415e5b893b796ef2a931b40d9d3b0a8f  18.1.0-11-g0997b02+9                     daf_butler,daf_persistence,log,pex_config,utils,afw
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  18.1.0-1-g1349e88+60                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  18.1.0-8-gdc0e4a7+3                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
obs_base                  c1932fd4474e69e5422c2a49d329fa73cb310ed5  18.1.0-30-gc1932fd+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
verify                    6751a9bd0f60c1bc3b8c51ebcafeabb155ba336c  18.1.0-15-g6751a9b+1                     astropy,pyyaml,requests,numpy,sconsUtils,utils,log,pex_config,pipe_base,dax_apdb,verify_metrics
obs_test                  75fbb51ba118e54e5ddf948ce6cc7cef5614c17f  18.1.0-11-g75fbb51+1                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_algorithms           fe4edf0bc898434f670f6db9fe161e13055cb265  18.1.0-13-gfe4edf0b+17                   astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ip_isr                    db69f3f5579b51e7e577b2a53f8d91570ff1ebb1  18.1.0-19-gdb69f3f+7                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  18.1.0-3-gb69f684+47                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 5db401e3ac52d31636ab50f352558ef247ad48fa  18.1.0-15-g5db401e+3                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  18.1.0-7-gae09a6d+35                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
meas_extensions_scarlet   27024eed42cb91fb4c9616f60f5167219b05bafd  master-g27024eed42+26                    base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
pipe_tasks                f271f1f50625d607bab83ace610589104f7807de  18.1.0-30-gf271f1f5+2                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  b94f4f4f31a86cb4ad929e197c940d60e779bac0  18.1.0-29-gb94f4f4+7                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  18.1.0-8-ga8543ac+2                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
sims_coordUtils           9b0053eeda91c89cff83c307dfe33c3ec595165a  2.13.0.sims-3-g9b0053e+33                base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_maf                  b24a4c664984759a685893e715eb6405ddacbc1c  2.13.0.sims-19-gb24a4c66                 base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_catUtils             a0ae8d8e6075f0b475b7f90055529b4af8746cb0  2.13.0.sims-5-ga0ae8d8e+3                utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_GalSimInterface      52aa252a919e8e5ec5145d7bfb4ab3fb755aaa3b  2.13.0.sims-10-g52aa252+7                galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+36                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
