# product                 SHA1                                      Version                       
BUILD=b4326
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.4.lsst1-1-g221959b                   
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  17.0.1-1-g095be34                        
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_decam            0927df50e658bd74c7ca04e628220801769371b1  17.0.1-1-g0927df5                        
obs_lsst_data             9e259a419934cd21b5ed92eeca51a9042ebe9d3e  master-g9e259a4199                       
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+5                                  python
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+15                                 python,pytest
boost                     1c4857aab764a237db2c3bb6e70c6888d580834b  1.69+1                                   python
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+1                            python,numpy,eigen
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+3                            python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1+2                                  python
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+15                                 python,pytest
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+5                                 python
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+6                            python
astropy                   b0b7760bd505a8167b507de06c871b84daf1b494  3.1.2                                    python
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+7                              python,pytest
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3                                    boost,python,numpy,eigen,pybind11,fftw
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  master-g28954e82e0                       numpy,scipy
firefly_client            aed8ac22315a448962b4322fc2f87eb0a42ec7eb  lsst-dev-gaed8ac2231+2                   ws4py,python_future
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+3                           python,numpy,pykg_config,cfitsio,astropy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
fgcm                      d4ad8598d9a1deab2239196dcb189429e5372cc8  lsst-dev-gd4ad8598d9+1                   esutil,numpy,scipy,matplotlib,healpy,pyyaml
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+6                                  python,pytest,python_coverage
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+2                                  python,python_mccabe,pycodestyle,pyflakes
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+7                           python,pytest,pytest_forked,python_execnet
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+5                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
scarlet                   49ceb85b3890701a10e3e5de2a8f2d8469859dc2  lsst-dev-g49ceb85b38                     pybind11,scipy,numpy,eigen,proxmin,autograd
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+2                                  python,pytest,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+2                                  python,flake8
sconsUtils                4fc265629fc6f8090ca51ad87829ee7055339f76  17.0.1-2-g4fc2656                        scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+2                     scons,sconsUtils
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0+4                                   sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+29                                  gsl,sconsUtils,fftw
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+66                               sconsUtils
astshim                   f403422b54c5c483eb0984b6953cf6fb1e6a4bda  17.0.1-2-gf403422+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            faba3334ae443c991bfacd58b449f7c3bef18dac  17.0.1-4-gfaba333+4                      sconsUtils
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0+7                                   sconsUtils,pybind11,python,doxygen
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  17.0.1-1-g8de6c91+11                     base,boost,pybind11,python
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0+7                                   base,sconsUtils,pybind11,doxygen
utils                     e9fec5e815b6d2d2801007d328d1d7a986e5329c  17.0.1-1-ge9fec5e+5                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  17.0.1-1-gb9095d2+7                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  b5ca14a47715d1602a73d32495c10643867ee0e8  17.0.1-3-gb5ca14a                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       114240f7da360dabd2a5027c4584d75167f115ce  17.0.1-1-g114240f+2                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0+11                                  daf_base,utils,pybind11,python
astro_metadata_translator 05d1804a7fad7e4b806a890e3e034bc33b60c57c  master-g05d1804a7f                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  17.0.1-2-g54f2ebc+9                      daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+20                     log,pex_policy,astropy,pyyaml,pybind11,python
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+15                                  python_future,utils,pex_config,daf_persistence,log
afw                       d980f9f4802b2c673f585330013ad1fbcf4a840f  17.0.1-32-gd980f9f48                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0+36                                  afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  17.0.1-1-g98c77ba+12                     python_future,ctrl_orca,pex_config,utils
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+36                                  afw,matplotlib,python_future
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  17.0.1-1-g4d4fbc4+31                     afw,xpa,pybind11
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  17.0.1-1-g1b224f6+12                     ctrl_execute
daf_butler                0f13425a8fd564aab666b2ea477117f679a278ec  17.0.1-31-g0f13425+2                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
dax_ppdb                  c7c87825dd1e55d67cd99a37b9c5262d78e89b13  17.0.1-7-gc7c8782+22                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  17.0-1-g377950a+36                       afw,log,firefly_client,python_future
skymap                    59d126d652567381e53073cce9a1845feaa2bbd1  17.0.1-4-g59d126d+14                     numpy,sphgeom,geom,afw,daf_butler,healpy
obs_base                  bbf99654e597feffc34574a78f8c4403ee2f9513  17.0.1-20-gbbf9965+2                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,skymap,daf_butler
obs_test                  57d9af3675674f23e4db7691b494c7926351cf72  17.0.1-2-g57d9af3+2                      afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,obs_test_data,astropy
ap_verify_testdata        835a40577067ea450bccc58723a8a74e1994d6de  17.0.1-1-g835a405+1                      obs_test
pipe_base                 3877d06061545e3ae801e5700cb4145e2d915d4b  17.0.1-5-g3877d06+6                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ctrl_mpexec               0bb8d39df6aedbc6d4134c2f6cf6812d14b0de39  17.0.1-7-g0bb8d39+4                      daf_butler,log,pex_config,pipe_base
verify                    cb624d01761ec0c49e2a67572b6dd561fbae441a  7.1-hsc-3-gcb624d0+10                    python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+66                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+63                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
meas_base                 35889eebe9180c09c2198166c8002cc8a79bc430  17.0.1-7-g35889ee+11                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
cp_pipe                   6dd7d69ea20ee1d7e693b8f4bb1629e00ca69b4c  17.0.1-1-g6dd7d69+25                     pex_config,pipe_base,daf_base,log
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0+64                                  scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           a0476e3a10583f75599824c22dbf5631c6a0a1c4  17.0.1-19-ga0476e3a+3                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ip_isr                    a60834d6d810aae597925bae7b84ed06bdcc784c  17.0.1-23-ga60834d+3                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_modelfit             7e86b5922825f50627630dc907385da8a1c11f33  17.0.1-3-g7e86b59+49                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_astrom               d2c662c5ad538d3a55d85a709e18548ce887c4ac  17.0.1-10-gd2c662c+3                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
obs_ctio0m9               e328e07c79f00fc8c724b991d044063551dbea6f  17.0.1-4-ge328e07+14                     afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_extensions_psfex     26618f54b38bcaabc7c52375d2a0da07b23b3012  17.0.1-2-g26618f5+39                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  17.0.1-1-gfc65f5f+60                     meas_base,pybind11,meas_algorithms
ap_association            a2de75ce758cefac2ecc6074a92e808a67f2dafb  17.0.1-6-ga2de75c+8                      afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0+69                                  meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0+69                                  meas_algorithms,meas_extensions_photometryKron
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+64                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_astrometryNet 27bbc531be7569f41d416c766d66ea61ce1145a6  17.0.1-4-g27bbc53+2                      afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               7f5138e3e16fcf4f6bc8d5708c26b5692ff61ca4  17.0.1-1-g7f5138e+50                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
ip_diffim                 112a4bcbf5389a3c24d84e781ae116cc47ff2822  17.0.1-12-g112a4bc+8                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
pipe_tasks                9f381dddd96e378880e4306edb008d0dd8ceb0be  17.0.1-27-g9f381ddd+2                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsstSim               2b26be307c068fdbabef7c863bc377451b8fb3e7  17.0.1-2-g2b26be3+2                      daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_sdss                  e47e0048026ddc9895c1fee1a7119d661349eb6c  17.0.1-1-ge47e004+58                     pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_lsst                  f0c4ae506e8e0a85789aebdd970d7e704c9c6e24  17.0.1-31-gf0c4ae5+2                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data
obs_decam                 b4677f3be13585dda183265b5ec4c78e0afdaf85  17.0.1-9-gb4677f3                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,obs_decam_data,testdata_decam
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  17.0.1-1-gf4e0155+67                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
pipe_drivers              87f9f3f18c7d0b364786bdd23f4f3a06b66e5d07  17.0.1-10-g87f9f3f+13                    ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  17.0.1-2-gc5e4034+55                     python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
obs_subaru                90ac86d7c58b3b2388f9c86043d218bdd258784a  17.0.1-28-g90ac86d7+1                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_cfht                  5b81396aedc9936a330c7a7304774a204b3628e5  17.0.1-7-g5b81396                        daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+78                                  obs_decam
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0+79                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  master-g20ca293bfb+27                    obs_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+79                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validate_drp              5ca24d72cab8f25ab801c423e17c6695f1775266  17.0.1-4-g5ca24d7+56                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+81                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  17.0.1-2-g5ea0c29+56                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ap_pipe                   77a5af39915223d7ebc386e1055fb965742282be  17.0.1-5-g77a5af3+9                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
meas_mosaic               43ebf10df846ff7c6deef1cea98d97e26201dfda  17.0.1-3-g43ebf10+50                     sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
jointcal                  dae4c4afbadffe5f80358dafdd54b0a6784dbd3c  17.0.1-17-gdae4c4a+21                    scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+79                                  obs_cfht
ap_verify                 24cc6781ae9144f9b6947fb24d7c208bd8727271  17.0.1-6-g24cc678+1                      python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+79                                  meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
fgcmcal                   5fd2752ea6c6167191375cdff0593021babf5db5  17.0.1-1-g5fd2752+19                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0+85                                  lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+84                                  lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
