# product                 SHA1                                      Version                       
BUILD=b3329
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
starlink_ast              8bde9091e6a2492c5b720a36f163dabef0fe5280  lsst-dev-g8bde9091e6                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
pandas                    4426870190502231420fceef036bfda2f234e144  master-g4426870190+2                     python,numpy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
oorb                      85136b438c569e5bacef4072799db7bef721ff7f  lsst-dev-g85136b438c+1                   numpy
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+3                                  python,numpy
ndarray                   0cefb592d352c9aa3fc02d0fec41ec9b7c8a2a36  1.3.0-4-g0cefb59+4                       boost,python,numpy,eigen,pybind11,fftw
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
tmv                       d8aa65926e7c98a9298b73a422feaafe7bf3d672  0.73.lsst1+2                             scons
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
galsim                    ad0dd4889388d16c4c2aa835199eda3a6b4a8101  1.5.1.lsst1                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
sconsUtils                812352e75156f3422ff4f29e31193756cf7eb361  14.0-14-g812352e+1                       scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+22                               sconsUtils
psfex                     823d0e4aa968bf7d3f0195271bc17619d4c16642  14.0-1-g823d0e4+5                        gsl,sconsUtils,fftw
astshim                   a7aaa25d732e543be8cb2e6e677ee6529171db8f  14.0-10-ga7aaa25+4                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+5                        sconsUtils,pybind11,python,python_future,doxygen
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+10                                  sconsUtils
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+8                        base,boost,pybind11,python,python_future
utils                     4f52afece444a43844774b16b76b3fd0f5f87967  14.0-6-g4f52afe+5                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+6                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  e2d7f2107e5c1df6ffe9b0a89b5b6b5f3f4f4b0e  14.0-4-ge2d7f21+6                        utils,pex_exceptions,pybind11,python,numpy,python_future
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+8                        sconsUtils,python_future,utils
sims_survey_fields        ea47ccccee7fe7dd902e110875e1b13bbbff2743  2.4.2.sims+1                             numpy,python,utils
sims_utils                7e50eda3d1e39c8a6f319ceb0b1bc8fd57e22353  2.4.2.sims+1                             utils,python,python_future,palpy,astropy,healpy,sims_data
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+9                        daf_base,utils,python_future,pybind11,python
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+6                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
sims_photUtils            ebefd93de3fb11ce5263e65a150fbff203fe1a87  2.4.2.sims+1                             utils,sims_sed_library,sims_maps,sims_utils,python,throughputs,astropy
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+5                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
sims_catalogs             bdc9b3437d0242a71aafe68c9873573616f53630  2.4.2.sims+1                             daf_persistence,python_mysqlclient,pymssql,python,sims_utils,sqlalchemy,utils
sims_skybrightness        d7c390b8ac3523bd52a5daafacf276b9b448b696  2.4.2.sims+1                             base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
afw                       aaaaa5c3683502e11490c7449b30a0a3c2de1525  14.0-26-gaaaaa5c36                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+18                       afw,numpy,scons,sconsUtils,pybind11,scipy
sims_skybrightness_pre    44d6227121daabc9912ba49963812ef3f38f1c4e  2.4.2.sims+1                             numpy,healpy,sims_utils,ephem,sims_skybrightness
skymap                    83736566f6907c5cb226f22c1d0dd2d36c95738e  14.0-2-g8373656+7                        numpy,afw,healpy
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+20                                  afw,xpa,python_future,pybind11
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  14.0+3                                   utils,pex_policy,geom,afw,python_future,sconsUtils
obs_base                  0eec5f57d80557aa59a89a503b41377aaae70c38  14.0-18-g0eec5f5+8                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  86eb1bd0f70ab0bd807b4c9cbdba943034b659ab  14.0-5-g86eb1bd+5                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+16                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0+26                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 233aa8e6d90dd17f39de8fcac7bb29c74a8bd624  14.0-12-g233aa8e+7                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0+26                                  coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+24                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           f6dacf9e2e78a85b086a1edd06aacbdf134d577c  14.0-8-gf6dacf9e+3                       daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+25                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_isr                    0af5a6cf479a54f9fca208aff1e4d9f46f65eb77  14.0-2-g0af5a6c+25                       python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_modelfit             2fa83affd8e58c0da8773c22301bb651c0931db4  14.0-1-g2fa83af+24                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_psfex     3019bb2e1aeb7425c7e14c3c518adb629d83bc18  14.0-1-g3019bb2+11                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_astrom               4cc409dee2569db2ac9fb109ef9a6dd2b1508161  14.0-4-g4cc409d+15                       afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_diffim                 f4bc96c2884ee8ae596ef48e64bf004485759a37  14.0-6-gf4bc96c+25                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_astrometryNet 013352ca6ac72b387ea9975dca8535d20a8217d2  14.0-1-g013352c+9                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                442e3e1ba8aaee4a72a63a4c661cfffe231bacdf  14.0-29-g442e3e1b+2                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               fe87e2d80960cb27b48d89f4ef0a17d56a51f517  14.0-4-gfe87e2d+21                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
sims_coordUtils           b02c0b5fc56485be9a48cb024f241a935dc0100e  2.4.2.sims+1                             base,python,utils,afw,sims_utils,obs_lsstSim
obs_sdss                  9e642e989656e1467e83b1a75445f335c9c82251  14.0-4-g9e642e9+11                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
sims_maf                  c7b79bde3ee11d1c14cd7437602ac6767fe66950  2.4.2.sims+1                             base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,obs_lsstSim
sims_catUtils             17f4c62f67e929295cb9e3330c4163241d12e52a  2.4.2.sims+1                             utils,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_movingObjects        84520759f4e4486622372e304ec352d6124873ec  2.4.2.sims+1                             base,utils,numpy,pandas,oorb,astropy,throughputs,sims_photUtils,sims_coordUtils
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+31                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
sims_GalSimInterface      09a711cdff90a800b5e983a02ab85d032b365855  2.4.2.1.sims.rc1                         galsim,astropy,meas_astrom,afw,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
sims_alertsim             1cdba7f23455b200bfb354776cb968653a4b9132  2.4.2.sims+1                             sims_utils,sims_catalogs,sims_catUtils,python,pymssql,daf_persistence,astropy
lsst_sims                 8f9e189509d4dd93efaa69e1ec3e0b3d3a619904  2.4.2.sims+2                             sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,sims_alertsim,ephem,sims_survey_fields
