# product                 SHA1                                      Version                       
BUILD=b2981
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  lsst-dev-ga9f9e994b6                     
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
lua                       fd327c65e6677edb03c90e1a8017c6f5049a3348  5.1.4.lsst1-1-gfd327c6                   
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  master-g6f4b1f770b                       
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
protobuf                  dbc86f2b0d009b8c785697bf3f44c1b733ec0dbb  2.6.1.lsst4-1-gdbc86f2                   python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4                                    python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+3                            python,numpy
ndarray                   9fe97dc3a12e26bf201b02cda76e871c6a7b34f0  1.3.0-3-g9fe97dc                         boost,python,numpy,eigen,swig,pybind11,fftw
pyyaml                    6ae2b7ae50740b596b6a8776aa9d94253a8f7c24  3.11.lsst1-2-g6ae2b7a                    python,libyaml
verify_metrics            5df7653e79f11ca87d4e3b15c1e6081809d06bbe  master-g5df7653e79+2                     sconsUtils
base                      08b50437b7c60fa4d79cb7e9563b138994ae70b8  13.0-6-g08b5043                          sconsUtils,pybind11,python,python_future,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+3                     scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+95                                  sconsUtils
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+1                     python,python_future,pyyaml,numpy,astropy,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+5                        sconsUtils
pex_exceptions            52a7baa2f82bd1e67b92fcfff02b44c319acf2d4  13.0-1-g52a7baa+9                        base,boost,pybind11,python,python_future
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
treecorr                  8e1802e112aa3a0af8c0c79e6bb05f1645ea450f  master-g8e1802e112                       numpy,pyyaml
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  12.0+17                                  gsl,sconsUtils,fftw
tmv                       873defe1a7d897bba1d443737e273f56c4412815  0.73+5                                   scons
astshim                   f6b1fd7af3e7147e4266d1bb44b9a8be5df29870  master-gf6b1fd7af3                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1                             python,numpy,pykg_config,cfitsio,astropy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
sphgeom                   2afa766de28a9f834bc3f6ba92d7b781e9479523  12.1-3-g2afa766+5                        base,sconsUtils,pybind11,doxygen
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+17                       boost,sconsUtils,sphgeom
utils                     d7d23573a325521cc2cec18f95e245b4323b3409  13.0-7-gd7d2357+2                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
galsim                    473d33b102c0d31dd39449d8a063b7fde8e40e74  1.4.3                                    numpy,pyfits,python_future,boost,fftw,tmv,astropy
log                       eef1ef2785e6c6693c8d650320b1891274f88401  13.0-6-geef1ef2+4                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
verify                    9e022f7cf2fa6b76f78b58e9336064b3ac3ca55a  master-g9e022f7cf2+5                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,verify_metrics
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+32                                  sconsUtils,python_future,utils
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  13.0-2-g167564e+7                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        305c405993acf9f5290332dec8c99d853aebeff2  13.0-1-g305c405+8                        log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+11                       daf_base,utils,python_future,pybind11,python
cat                       cebd4ec1ea3825751927211885031a0fc4758622  13.0-3-gcebd4ec+3                        python,mariadbclient,db,sqlalchemy,utils,python_future
pex_config                483026ce51faf46cc7d52dc866fe8fecb99c3985  13.0-2-g483026c+5                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
qserv                     4bdc5f758a763fe92d0d3e45e50e801ef3e2b65e  12.1-86-g4bdc5f7                         antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,python,requests,scisql,scons,sphgeom,sqlalchemy,swig,xrootd
daf_persistence           32a3f02030e62db983eebdd1f19805d6c7c86952  13.0-29-g32a3f02                         log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
qserv_testdata            552b4c16312740f48876689de17e52f1ef2e5169  2016_08-1-g552b4c1+45                    python,pyyaml,qserv,scons,sconsUtils
ctrl_orca                 350a12cc5aed289820d4e807a4ed6f796c5ea547  13.0-3-g350a12c+19                       python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              b581ee858b91da9ccce2d743815a42780d6bbf75  13.0-2-gb581ee8+22                       python_future,ctrl_orca,pex_config,utils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+48                    qserv,partition,qserv_testdata
afw                       ba14e827b6ab8a3aa90c5195c656af2d057edcc2  13.0-89-gba14e82+1                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  13.0-2-g6174d4c+25                       afw,xpa,python_future,pybind11
ctrl_platform_lsstvc      d7f6e4dbf2725da156bdcded9ba88939c82917af  master-gd7f6e4dbf2+3                     ctrl_execute
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+62                                  utils,pex_policy,geom,afw,python_future,sconsUtils
shapelet                  5a043c44aed7e19a9a915053ac5532630ccbb635  13.0-4-g5a043c4+14                       afw,numpy,scons,sconsUtils,pybind11,scipy
skymap                    d4595c55a59ea769ee0bdc5d55dc498e9819b97c  13.0-4-gd4595c5+20                       numpy,afw,healpy
obs_base                  9dcc3b0d215e9fba6f0cc944b46b9e2cee9699be  13.0-41-g9dcc3b0+2                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  bb93d41a826f70f947cd7b63bbee39efaa7cad5a  13.0-10-gbb93d41+18                      afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 df6a56c22efaa6398cbf33473d74d21983b8629f  13.0-11-gdf6a56c+10                      daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 f96f8eccd3d8d7e308030fb28f97330320176ffd  13.0-6-gf96f8ec+4                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4045236bcf61d746c822c78d9fcad555912a22df  13.0-3-g4045236+11                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          a4f5e85f51f2b10c2347f9eb961cb5bd5146645c  13.0-2-ga4f5e85+40                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 cd81c4c1e6ad36caea1b1c99ec76a37f78f6f776  13.0-23-gcd81c4c+8                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape aa0a42814803e87fc241942703e60d7801fe52fa  13.0-5-gaa0a428+28                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           9cac535aeefa034e3710e358a62bf178632e7312  13.0-17-g9cac535+10                      daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    d4b2922030bc5995a5caab39466034589ce6685a  13.0-13-gd4b2922+10                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_modelfit             2ccb5779f7914266f5ee85b6490d17564bae4b42  13.0-9-g2ccb577+7                        afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  b78e8c88334b6ec70c7f59faaa7f861c33db703e  13.0-8-gb78e8c8+7                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_deblender            0251d745fcb103d68e7396bddcfc348e5dad5e91  13.0-12-g0251d74+11                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 3839dbbaa99d969e6e523940d6527fde20504db8  13.0-22-g3839dbb+11                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_photometryKron 9adc27753aa0fa9d4cdf957eddada5be455d34d4  13.0-5-g9adc277+19                       meas_base,pybind11,meas_algorithms
meas_extensions_psfex     d2c5893a2643a14eddadece3317dab2ced818bd4  13.0-5-gd2c5893+7                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_convolved b62a4113a6335f7f18438bf974f3d7d70288c99e  master-gb62a4113a6+23                    meas_algorithms,meas_extensions_photometryKron
meas_astrom               94154427a1e5dbf7e918566b8840a406c0bd13cd  13.0-14-g9415442+21                      afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet 43362ee2f3ebe4d2e7b47e713be926b5811f4e8d  master-g43362ee2f3+35                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               67ba4a8e54a06b8ad0a126256180f8eb370fcdb4  13.0-3-g67ba4a8+19                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                f3eeffcdc754e32404f862ac7b0eefa408d622df  13.0-50-gf3eeffc+7                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  507a745b07f6c8a26fd55f47db424bbc0a3b6af4  13.0-8-g507a745+11                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
pipe_drivers              3ce57e5743586f1dd8339e3055cfe4c25d206a12  13.0-17-g3ce57e5+6                       ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_decam                 5323ca4143ada292c10c51051525947038cb8217  13.0-20-g5323ca4+4                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_lsstSim               cd346b3e2d3ff0901e8fb79b51b91120f26d76f2  13.0-14-gcd346b3+3                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  13.0-2-gcc7d151+28                       meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  13.0-1-g46ffeb4+9                        ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
obs_cfht                  451d2d8e39eceb82ba503c95be02789e0bc52f2b  13.0-11-g451d2d8+6                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                9300a792798748bf0bff457c4c74ff83a2d1154b  13.0-41-g9300a79+3                       daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  13.0+45                                  obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         9b8753233af4af64f1a2b3bc3edf74e9802696bc  master-g9b8753233a                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  bea3b09e7dedce896a8dab4a9cc6a17f201bff75  master-gbea3b09e7d                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
lsst_distrib              2f779aefb5ac731d9f6aa2166a41fa1fcb73b271  13.0-4-g2f779ae+10                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal,verify
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+25                    obs_cfht
validate_drp              e6b775328f6d67e330c884da9327f259e3088847  master-ge6b775328f+1                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
lsst_ci                   01ef2a7bfd11dbc3c0d033deb2170592545f198c  master-g01ef2a7bfd+25                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp
