# product                 SHA1                                      Version                       
BUILD=b3177
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  tickets.DM-11895-ga9f9e994b6             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+5                                  python,numpy,scipy
galsim                    d6e6b5d0fefe7d6f38b3242683c4e02826f0f359  1.4.3.lsst1+1                            numpy,pyfits,python_future,boost,fftw,tmv,astropy
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  14.0                                     gsl,sconsUtils,fftw
flake8                    851cb4e3f06179dd53407ecd26dde2d11dee9239  3.3.0                                    python,python_mccabe,pycodestyle,pyflakes
astshim                   f6b1fd7af3e7147e4266d1bb44b9a8be5df29870  14.0                                     sconsUtils,ndarray,numpy,starlink_ast,pybind11
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+111                                 sconsUtils
base                      08b50437b7c60fa4d79cb7e9563b138994ae70b8  14.0                                     sconsUtils,pybind11,python,python_future,doxygen
pex_exceptions            50559bf8ec8bcaec04ffc51be7894af535e44d28  14.0                                     base,boost,pybind11,python,python_future
utils                     b7ca535d296da14be4b24e30b13e92d04b1455b5  14.0                                     base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  14.0                                     utils,pex_exceptions,pybind11,python,numpy,python_future
pytest_flake8             544bdffa6535a1c81767e0dae56c7e597fe32f29  0.8.1                                    python,pytest,flake8
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  14.0                                     sconsUtils,python_future,utils
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  14.0                                     daf_base,utils,python_future,pybind11,python
log                       eef1ef2785e6c6693c8d650320b1891274f88401  14.0                                     boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_persistence           48013df8d30a85863377ea719818e21ed526f0ce  14.0                                     log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0                                     log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
verify                    dec7a2c927e4070d433010f1a81b2a2eb2f2d8f5  14.0                                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_config                520d906c05ccfeaad9795015443f66a97624ad6b  14.0                                     daf_base,pex_policy,numpy,utils,python_future,pybind11,python
cat                       cebd4ec1ea3825751927211885031a0fc4758622  14.0                                     python,mariadbclient,db,sqlalchemy,utils,python_future
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  14.0                                     python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              3d2a4898d20aac7dcb16357a5bd965999ef5e995  14.0                                     python_future,ctrl_orca,pex_config,utils
ctrl_platform_lsstvc      d7f6e4dbf2725da156bdcded9ba88939c82917af  14.0                                     ctrl_execute
afw                       a1c44404738dcd73ff400e3bcd176ffe4dd51aab  14.0                                     daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
skymap                    2a407664ddc6d2bc303483658fc287ed01844fd2  14.0                                     numpy,afw,healpy
shapelet                  de6b2c85d75430f633c7b3a890123430dd51489d  14.0                                     afw,numpy,scons,sconsUtils,pybind11,scipy
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  14.0                                     utils,pex_policy,geom,afw,python_future,sconsUtils
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0                                     afw,xpa,python_future,pybind11
obs_base                  52e9227065f8b7e39f8d44b6aa75b0aeb76a972c  14.0                                     daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  bb93d41a826f70f947cd7b63bbee39efaa7cad5a  14.0                                     afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 af0c0ec8abae6c92bfa668eb0eec21617ed892d9  14.0                                     daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 f96f8eccd3d8d7e308030fb28f97330320176ffd  14.0                                     python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0                                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 0f127ff323453fb7727b6e434d55019f21a7b94b  14.0                                     python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           c4ad422833732cd9c50c16cc06ac9cd4e4da9367  14.0                                     daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_deblender            0251d745fcb103d68e7396bddcfc348e5dad5e91  14.0                                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_astrom               94154427a1e5dbf7e918566b8840a406c0bd13cd  14.0                                     afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0                                     coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_extensions_simpleShape 9123d3bf16ab37152cdfc63a934608a1be58e5ee  14.0                                     scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_psfex     d2c5893a2643a14eddadece3317dab2ced818bd4  14.0                                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_shapeHSM  b78e8c88334b6ec70c7f59faaa7f861c33db703e  14.0                                     meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_isr                    d4b2922030bc5995a5caab39466034589ce6685a  14.0                                     python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_photometryKron d233a4b1279de31cd2605b92940c405738ef7e17  14.0                                     meas_base,pybind11,meas_algorithms
meas_extensions_astrometryNet b035c22750eb8b10e2dbaabcdea53f25b5ab8e6e  14.0                                     afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_modelfit             4e343887d9b6b8a98216079add23a0b1cc0583f5  14.0                                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  14.0                                     meas_algorithms,meas_extensions_photometryKron
ip_diffim                 3839dbbaa99d969e6e523940d6527fde20504db8  14.0                                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
obs_monocam               67ba4a8e54a06b8ad0a126256180f8eb370fcdb4  14.0                                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                c325bc5f916107f3ff54e5b16ffdd5fade3b5519  14.0                                     afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               cd346b3e2d3ff0901e8fb79b51b91120f26d76f2  14.0                                     daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
obs_cfht                  451d2d8e39eceb82ba503c95be02789e0bc52f2b  14.0                                     daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_decam                 5323ca4143ada292c10c51051525947038cb8217  14.0                                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_sdss                  507a745b07f6c8a26fd55f47db424bbc0a3b6af4  14.0                                     pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
obs_subaru                79ed8b21d5dd964ac7ef88852aa2453a1ee26f2f  14.0                                     daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              3ce57e5743586f1dd8339e3055cfe4c25d206a12  14.0                                     ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  14.0                                     obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0                                     ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
testdata_jointcal         9b8753233af4af64f1a2b3bc3edf74e9802696bc  14.0                                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0                                     meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  9041cab851750a88e29d543dc60c1bcebb5c3366  14.0                                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
lsst_distrib              2f779aefb5ac731d9f6aa2166a41fa1fcb73b271  14.0                                     lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal,verify
