# product                 SHA1                                      Version                       
BUILD=b4308
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  17.0.1                                   
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+2                                  python,pytest,flake8
sconsUtils                4fc265629fc6f8090ca51ad87829ee7055339f76  17.0.1-2-g4fc2656                        scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0.1+6                                 sconsUtils,pybind11,python,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0.1+4                                 sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0.1+6                                 base,sconsUtils,pybind11,doxygen
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  17.0.1-1-g8de6c91+12                     base,boost,pybind11,python
astshim                   f403422b54c5c483eb0984b6953cf6fb1e6a4bda  17.0.1-2-gf403422+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            faba3334ae443c991bfacd58b449f7c3bef18dac  17.0.1-4-gfaba333+4                      sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+139                                 sconsUtils
utils                     e9fec5e815b6d2d2801007d328d1d7a986e5329c  17.0.1-1-ge9fec5e+6                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  17.0.1-1-gb9095d2+8                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
sims_almanac              fc139f71ae533a5e87e3b6bc44ceafc42af58163  master-gfc139f71ae+13                    base,numpy,astropy,scipy,utils
log                       114240f7da360dabd2a5027c4584d75167f115ce  17.0.1-1-g114240f+3                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_downtimeModel        8a5a8d51cf28864ed11c288e505abe1d9e20a834  master-g8a5a8d51cf+13                    utils
sims_utils                44ef208a4a4fe5b353d2d458efb4193fe577c62e  2.13.0.sims-1-g44ef208+3                 utils,python,python_future,palpy,astropy,healpy,sims_data
sims_cloudModel           f3ce61a0aafdc34e611c1fc08968029070731495  master-gf3ce61a0aa+14                    utils,sims_utils
daf_base                  b5ca14a47715d1602a73d32495c10643867ee0e8  17.0.1-3-gb5ca14a+1                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator 5c16afbef4ad8d9ea10c828f5b7ada5130b94e97  master-g5c16afbef4+1                     scons,sconsUtils,pyyaml,astropy,daf_base
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+24                            numpy,python,utils
sims_photUtils            60d0775ed284616510941a071a10ce69b6f69020  2.13.0.sims-1-g60d0775+7                 utils,sims_utils,python,throughputs,astropy
sims_skybrightness        7ec41278affd08ffc905e4f4ab6ed154c3de1ce5  2.11.0.sims+18                           base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+14                    python,sims_utils,utils
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0.1+9                                 daf_base,utils,pybind11,python
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+14                    python,ts_dateloc,utils
sims_seeingModel          17ae6903c6065f0cb068dd5ae12badd85a5ab5e1  master-g17ae6903c6+14                    utils,sims_utils,throughputs,sims_photUtils
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+21                     log,pex_policy,astropy,pyyaml,pybind11,python
sims_skybrightness_pre    7fe0cbba871fe98a4af994a9c123053ae12362dd  2.13.0.sims-6-g7fe0cbb+1                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  17.0.1-2-g54f2ebc+10                     daf_base,pex_policy,numpy,utils,pybind11,python
sims_catalogs             60469dd3e88a9f7e44a0fc008714b4592668da57  2.13.0.sims-3-g60469dd+9                 daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
sims_featureScheduler     922752926277c051ce9865d42bb33494d8da1d09  master-g9227529262+1                     base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
afw                       b0791f330a234c20c168963a8db49d3411fd376f  17.0.1-31-gb0791f330+1                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
dax_ppdb                  c7c87825dd1e55d67cd99a37b9c5262d78e89b13  17.0.1-7-gc7c8782+21                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
daf_butler                0e22e2c6626e00dba127b6afef4a814275c33f3e  17.0.1-30-g0e22e2c+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
skymap                    59d126d652567381e53073cce9a1845feaa2bbd1  17.0.1-4-g59d126d+9                      numpy,sphgeom,geom,afw,daf_butler,healpy
obs_base                  3a24bb2b90fc0a94e56673a41ee6a8604ea37097  17.0.1-19-g3a24bb2+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,skymap,daf_butler
obs_test                  55520dc64ee6f0d33ac3383a492a85ec22316939  17.0.1-1-g55520dc+54                     afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 3877d06061545e3ae801e5700cb4145e2d915d4b  17.0.1-5-g3877d06+1                      daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0.1+13                                afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 35889eebe9180c09c2198166c8002cc8a79bc430  17.0.1-7-g35889ee+6                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
verify                    cb624d01761ec0c49e2a67572b6dd561fbae441a  7.1-hsc-3-gcb624d0+5                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
meas_algorithms           ab9750a333ea586c47a619fd46eaf45e9985dcec  17.0.1-17-gab9750a3+4                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ip_isr                    52a398faaa70ab76b8e8c84ff3833369d912bf7f  17.0.1-21-g52a398f+4                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+58                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 112a4bcbf5389a3c24d84e781ae116cc47ff2822  17.0.1-12-g112a4bc+2                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
meas_astrom               c4bbfb2c03094370eb5f2563246e460ae2f38d74  17.0.1-9-gc4bbfb2+9                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
pipe_tasks                d5522830aecbd674d0d0767acf05c4c07f781c81  17.0.1-25-gd5522830+1                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsstSim               97a773840b027989ed9270f303cd653164fcd03a  17.0.1-1-g97a7738+59                     daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_lsst                  9823f3b204dbd6bf1904e852009db74757f05988  17.0.1-29-g9823f3b+2                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
sims_coordUtils           9b0053eeda91c89cff83c307dfe33c3ec595165a  2.13.0.sims-3-g9b0053e+12                base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_maf                  70f3e8bb88bf3eda600f99e71474871f8bb0152f  2.13.0.sims-10-g70f3e8bb+8               base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_catUtils             cb1fab61c26ac28fc08ded513df7c49a105253aa  2.13.0.sims-2-gcb1fab61+14               utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_GalSimInterface      4902ffb8f6d2245b61ef912555f7b3b89c67ea19  2.13.0.sims-4-g4902ffb+1                 galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+15                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
