# product                 SHA1                                      Version                       
BUILD=b3350
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
mariadb                   14a0f555ff2b274aa51bcbfa804569545e4ed530  10.1.21.lsst2                            
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
libevent                  ab04e34f14107106ac2101d52a84488f0939590f  2.0.16.lsst2                             
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
firefly_client            0232f24481837d34903335221c910df578a3bcff  1.2.0.lsst1                              ws4py,python_future
python_psutil             11e66a19cedecba67caa0c08675b630e3806927a  4.1.0+4                                  python
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
protobuf                  dbc86f2b0d009b8c785697bf3f44c1b733ec0dbb  2.6.1.lsst4-1-gdbc86f2+1                 python
python_d2to1              1893c8d187b8f73cc91f0cf6c97564d1635934a0  0.2.12.lsst2+2                           python
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
scisql                    a1d17d67429770fa7e175ed2af43234e9570d689  0.3.8.lsst1+2                            mariadb,python_mysqlclient,python
esutil                    49b0a12ac880c1b059d28c9f752fed0630ed2a12  0.6.0+3                                  python,numpy
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+6                     cfitsio,wcslib,gsl,numpy
treecorr                  2722dd9d8f0cb5c3df05f51e0f83eb751e6b0903  3.2.3.lsst2-1-g2722dd9+2                 numpy,pyyaml
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+4                           python,numpy,pykg_config,cfitsio,astropy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+6                        sconsUtils,pybind11,python,python_future,doxygen
psfex                     823d0e4aa968bf7d3f0195271bc17619d4c16642  14.0-1-g823d0e4+6                        gsl,sconsUtils,fftw
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+22                    python,python_future,pyyaml,numpy,astropy,sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+27                    scons,sconsUtils
galsim                    ad0dd4889388d16c4c2aa835199eda3a6b4a8101  1.5.1.lsst1                              numpy,pyfits,python_future,boost,fftw,tmv,astropy
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+9                        base,boost,pybind11,python,python_future
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
sphgeom                   110c6f4958a02f2268ffde0a7f5b5b35aa1c2c7e  12.1-4-g110c6f4+22                       base,sconsUtils,pybind11,doxygen
verify_metrics            586ef34a9f46e06b52312880c11d2ced006e8236  14.0-2-g586ef34+5                        sconsUtils
astshim                   0e621426f7166328b928ac5a11849693fd072c7b  14.0-11-g0e62142                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+40                       boost,sconsUtils,sphgeom
utils                     1f982c91e6eb8b37339e3d161c0573d17ca3d78e  14.0-8-g1f982c9                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+8                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  e2d7f2107e5c1df6ffe9b0a89b5b6b5f3f4f4b0e  14.0-4-ge2d7f21+8                        utils,pex_exceptions,pybind11,python,numpy,python_future
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+11                       daf_base,utils,python_future,pybind11,python
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+10                       sconsUtils,python_future,utils
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+11                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+7                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
verify                    90998105c24fb39eedf782334cf62d3fcc333ea7  14.0-7-g9099810                          python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+8                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
afw                       8bbfd0c497af7ea64f786993a96c2f5e0500f102  14.0-30-g8bbfd0c49                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+137                                 utils,pex_policy,geom,afw,python_future,sconsUtils
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+26                                  afw,xpa,python_future,pybind11
cat                       cebd4ec1ea3825751927211885031a0fc4758622  14.0+10                                  python,mariadbclient,db,sqlalchemy,utils,python_future
display_firefly           deaf1fb883cb6c8f0f438e72e3296ee59a6b21e3  master-gdeaf1fb883+10                    afw,log,firefly_client,python_future
qserv                     44e5b804e231668b83be95d797bb34d112383d07  12.1-119-g44e5b804                       antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
obs_base                  4a17216fe95346ec8ad74f384be26f3d33318f3b  14.0-20-g4a17216+2                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
skymap                    83736566f6907c5cb226f22c1d0dd2d36c95738e  14.0-2-g8373656+13                       numpy,afw,healpy
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  14.0+13                                  python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  14.0-4-gc2b038a+6                        python_future,ctrl_orca,pex_config,utils
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+24                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  14.0-2-g3865e40+6                        ctrl_execute
qserv_testdata            0fcb2ffa959fb906bbec8fd3fe1dbafdba04d3cf  2016_08-4-g0fcb2ff+8                     python,python_future,pyyaml,qserv,scons,sconsUtils
obs_test                  86eb1bd0f70ab0bd807b4c9cbdba943034b659ab  14.0-5-g86eb1bd+11                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+22                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
cp_pipe                   a5d0207a7da321575008e7fa6d891c157ea8f3b7  master-ga5d0207a7d+6                     pex_config,pipe_base,daf_base,log
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+98                    qserv,partition,qserv_testdata
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  14.0+32                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 d9a51ef97461e18393fe162f289c8d7e740186c0  14.0-13-gd9a51ef+3                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  14.0+32                                  coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
ctrl_pool                 a2912ffc3bad3be803666accfd8d861fc88d52ff  14.0-1-ga2912ff+16                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
meas_algorithms           82279ae063b9341d1cde77aed8930ccd0608e12d  14.0-9-g82279ae0+3                       daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_extensions_photometryKron 30344f0942725fd89fc55c02060dc03f5cf4a92c  14.0-1-g30344f0+28                       meas_base,pybind11,meas_algorithms
ip_isr                    27b21981fc5531dfb2bb9355d17f16ffed474ce2  14.0-3-g27b2198+4                        python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_astrom               4cc409dee2569db2ac9fb109ef9a6dd2b1508161  14.0-4-g4cc409d+21                       afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_ctio0m9               3292b35ddde7f7297e97407a9d0359e3465eea94  master-g3292b35ddd+23                    afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+30                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_psfex     3019bb2e1aeb7425c7e14c3c518adb629d83bc18  14.0-1-g3019bb2+17                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+31                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_modelfit             2fa83affd8e58c0da8773c22301bb651c0931db4  14.0-1-g2fa83af+30                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  b85cf1e2e57a06c96cccc4d3af3823ed5a74e805  14.0-2-gb85cf1e+8                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_diffim                 68ded9dbf6cc24c9a0ee42410423fd8c86472357  14.0-7-g68ded9d+3                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_astrometryNet 013352ca6ac72b387ea9975dca8535d20a8217d2  14.0-1-g013352c+15                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  14.0+29                                  meas_algorithms,meas_extensions_photometryKron
obs_monocam               d513ce3f4ae9b7e23a9e86ef3311d4884deb148f  14.0-1-gd513ce3+29                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                ee53dea08774c4f1dfdace5ba4e14f190ff54de6  14.0-33-gee53dea0+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_subaru                597d110b0b6326c8ceea2cfa6892f36f57efa519  14.0-22-g597d110b+5                      daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              bcd3a35413795cc78cc3424c4a4dd9fcc818ddac  6.0b0-hsc-10-gbcd3a35+1                  ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_cfht                  5d31639a56676b2a3fd5ff0f248f369665d4121b  14.0-3-g5d31639+34                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_lsstSim               885f9b1371ffabc238e1cccf4d97a3dc35641620  14.0-7-g885f9b1+1                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
obs_sdss                  9e642e989656e1467e83b1a75445f335c9c82251  14.0-4-g9e642e9+18                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
obs_comCam                18a96ac57fa3381f0ef3073eeb95cac4c0ebdaf0  master-g18a96ac57f+7                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,ip_isr,pipe_tasks
synpipe                   5b975e8f942a3e6ddf0ee512ff9480a9c5dda621  master-g5b975e8f94+18                    astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_decam                 b776afcc464acdde81994ca9fd75206003f04050  14.0-7-gb776afc+2                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
ci_ctio0m9                be69b68c0a56247e9001f0aacf3f1f5bc4ca8671  master-gbe69b68c0a+48                    obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
testdata_jointcal         67a995fddc9064272b57ed9f5933eab176f1d700  14.0-1-g67a995f+35                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  bdafc55a81ac4e278ba66e200d2263507896f909  14.0-18-gbdafc55+4                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,testdata_jointcal
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+118                   obs_cfht
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  14.0-1-g89eebdb+38                       obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
validate_drp              d9499f76ef7f2967f43b8bc46a3b5c0fd3ced91a  master-gd9499f76ef+8                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+38                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0+35                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
lsst_distrib              f10785581cfa1bf5c6331811b6d14fa8beb46c95  14.0-3-gf107855+7                        lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,cp_pipe
lsst_ci                   e253fdd716cfa526e20fa2776cd19c66836b1984  master-ge253fdd716+58                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
