# product                 SHA1                                      Version                       
BUILD=b4348
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  18.0.0                                   
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.4.lsst1-1-g221959b                   
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3                                    boost,python,numpy,eigen,pybind11,fftw
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+6                                  python,pytest,python_coverage
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+7                           python,pytest,pytest_forked,python_execnet
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+2                                  python,python_mccabe,pycodestyle,pyflakes
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+5                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+15                                 python,pytest
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+2                                  python,pytest,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+2                                  python,flake8
scarlet                   49ceb85b3890701a10e3e5de2a8f2d8469859dc2  lsst-dev-g49ceb85b38                     pybind11,scipy,numpy,eigen,proxmin,autograd
sconsUtils                4fc265629fc6f8090ca51ad87829ee7055339f76  18.0.0                                   scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+3                     scons,sconsUtils
base                      2df868b9b7c36216440322cb75358efe5fea4aea  18.0.0                                   sconsUtils,pybind11,python,doxygen
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  18.0.0                                   base,sconsUtils,pybind11,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  18.0.0                                   sconsUtils
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  18.0.0                                   base,boost,pybind11,python
utils                     e9fec5e815b6d2d2801007d328d1d7a986e5329c  18.0.0                                   base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+67                               sconsUtils
verify_metrics            faba3334ae443c991bfacd58b449f7c3bef18dac  18.0.0                                   sconsUtils
astshim                   f403422b54c5c483eb0984b6953cf6fb1e6a4bda  18.0.0                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
psfex                     ee0c255054821e86103689bba663a75226793e5f  18.0.0                                   gsl,sconsUtils,fftw
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  18.0.0                                   boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  b5ca14a47715d1602a73d32495c10643867ee0e8  18.0.0                                   utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       114240f7da360dabd2a5027c4584d75167f115ce  18.0.0                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator 05d1804a7fad7e4b806a890e3e034bc33b60c57c  master-g05d1804a7f+4                     scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  18.0.0                                   daf_base,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  18.0.0                                   log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  18.0.0                                   daf_base,pex_policy,numpy,utils,pybind11,python
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  18.0.0                                   python_future,utils,pex_config,daf_persistence,log
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  18.0.0                                   python_future,ctrl_orca,pex_config,utils
afw                       596af87975b70d9f8177b8b9a7e81e04611fff5c  18.0.0                                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
daf_butler                d531e82d7e5214bc62e811cca287b82474be6b0d  18.0.0                                   sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0                                   ctrl_execute
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  18.0.0                                   afw,log,firefly_client,python_future
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  18.0.0                                   afw,matplotlib,python_future
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0                                   afw,xpa,pybind11
dax_ppdb                  c7c87825dd1e55d67cd99a37b9c5262d78e89b13  18.0.0                                   afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  18.0.0                                   afw,numpy,scons,sconsUtils,pybind11,scipy
skymap                    59d126d652567381e53073cce9a1845feaa2bbd1  18.0.0                                   numpy,sphgeom,geom,afw,daf_butler,healpy
obs_base                  c79d625a66bd79b2a77c07b2209d5b79d92a1de2  18.0.0                                   daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,skymap,daf_butler
obs_test                  55520dc64ee6f0d33ac3383a492a85ec22316939  18.0.0                                   afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  18.0.0                                   obs_test
pipe_base                 c69c47212b404455c147ac0e00f5cac90414a105  18.0.0                                   daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ctrl_mpexec               067ee6759e5c605e55b3de32d63a79e1e7bc724d  18.0.0                                   daf_butler,log,pex_config,pipe_base
verify                    cb624d01761ec0c49e2a67572b6dd561fbae441a  18.0.0                                   python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
cp_pipe                   6dd7d69ea20ee1d7e693b8f4bb1629e00ca69b4c  18.0.0                                   pex_config,pipe_base,daf_base,log
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  18.0.0                                   afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  18.0.0                                   python_future,daf_persistence,pipe_base,log,utils,mpi4py
meas_base                 35889eebe9180c09c2198166c8002cc8a79bc430  18.0.0                                   utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  18.0.0                                   scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           a14f7d5ce6026d2bb171c35b82c1baa985de6729  18.0.0                                   astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  18.0.0                                   meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ap_association            3c24ab033fe2d9594ad6b0308b15cc7016b324ec  18.0.0                                   afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  18.0.0                                   afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 e9de802297a723a0ae0be8164906663a0e3e643c  18.0.0                                   afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
meas_extensions_psfex     26618f54b38bcaabc7c52375d2a0da07b23b3012  18.0.0                                   afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  18.0.0                                   meas_base,pybind11,meas_algorithms
meas_modelfit             7e86b5922825f50627630dc907385da8a1c11f33  18.0.0                                   afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_astrom               c4bbfb2c03094370eb5f2563246e460ae2f38d74  18.0.0                                   geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_astrometryNet d08d5339e164f373263c89100514cd62cd3596f2  18.0.0                                   afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    2ca2f74994c502c0dfab123489c65bf894a92880  18.0.0                                   meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  18.0.0                                   meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               e328e07c79f00fc8c724b991d044063551dbea6f  18.0.0                                   afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
pipe_tasks                f3eadeb7a311e131f49332ec787c40cd10c45a47  18.0.0                                   afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_monocam               7f5138e3e16fcf4f6bc8d5708c26b5692ff61ca4  18.0.0                                   afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
obs_lsstSim               97a773840b027989ed9270f303cd653164fcd03a  18.0.0                                   daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_lsst                  1cba4795a444a80ba047c823a3400ac4fc7e9b17  18.0.0                                   afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
obs_subaru                c7e8c38f1ad9e77a67b63a861abb291fb3639717  18.0.0                                   daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  18.0.0                                   astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  18.0.0                                   afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_decam                 5afd9b93e237572c9e2650614c27278d291f176e  18.0.0                                   utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_sdss                  e47e0048026ddc9895c1fee1a7119d661349eb6c  18.0.0                                   pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
pipe_drivers              87f9f3f18c7d0b364786bdd23f4f3a06b66e5d07  18.0.0                                   ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0                                   obs_decam
meas_mosaic               43ebf10df846ff7c6deef1cea98d97e26201dfda  18.0.0                                   sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
obs_cfht                  2d257863326facedff56d7bbc9e73ba15f22371f  18.0.0                                   daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  18.0.0                                   python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  18.0.0                                   obs_cfht
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  18.0.0                                   obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  18.0.0                                   obs_decam
validate_drp              5ca24d72cab8f25ab801c423e17c6695f1775266  18.0.0                                   python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  18.0.0                                   obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   1054f171b0e208d427b30e8ccac8147a553537c3  18.0.0                                   utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  18.0.0                                   meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  18.0.0                                   obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ap_verify                 7cba90a6848e90e86bbf124fa0514aab4b1f492c  18.0.0                                   python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
jointcal                  dae4c4afbadffe5f80358dafdd54b0a6784dbd3c  18.0.0                                   scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   5fd2752ea6c6167191375cdff0593021babf5db5  18.0.0                                   scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  18.0.0                                   lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  18.0.0                                   lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
