# product                 SHA1                                      Version                       
BUILD=b4127
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
mariadbclient             c3b9d248e6b9b8c51c348b80d50dd198b28cd921  10.2.14.lsst2                            
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+1                          python,numpy
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5                                    python,python_mccabe,pycodestyle,pyflakes
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+4                                  python,pytest,python_coverage
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+13                                 python,pytest
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+5                              python,pytest
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4                                    python,pytest,flake8
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+5                           python,pytest,pytest_forked,python_execnet
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2                                    python,flake8
sconsUtils                edfe9659e30797a970d6e8bc39e0787708ec6910  17.0                                     scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0                                     sconsUtils,pybind11,python,doxygen
pex_exceptions            cc1f4bb640c444f6dbb348b7748fddec5d26203c  17.0                                     base,boost,pybind11,python
verify_metrics            aef553da053c06ee6a826aeb7e598d0097248fc5  17.0-1-gaef553d                          sconsUtils
astshim                   f92808934c903432245d509b0ef1ea73c4b0e30a  17.0                                     sconsUtils,ndarray,numpy,starlink_ast,pybind11
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+61                               sconsUtils
dax_webservcommon         535463334827a727473d3ff8e3ad5a844ed84b0a  12.1-4-g5354633+2                        python,scons,sconsUtils,flask
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0                                     sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0                                     base,sconsUtils,pybind11,doxygen
utils                     0a50484cacd0c1231aa1748dd2d4d005ebe49569  17.0                                     base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  bdf36360456c87a763fee75798c42c74f8a330af  17.0                                     utils,pex_exceptions,pybind11,python,numpy,pyyaml
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0                                     daf_base,utils,pybind11,python
geom                      fd1767437df33cb529f0e06d34ca240144c4f8b9  17.0                                     boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       fc7ad86047093f74dd8ca335642327933b84762a  17.0                                     boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator e4a94b1f35ccec1732fc5bf8478c6a49ddb0840a  master-ge4a94b1f35+1                     scons,sconsUtils,pyyaml,astropy,daf_base
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+63                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
daf_persistence           7c01f5cdf5342647f57f884bda4f6201d2c9d18a  17.0                                     log,pex_policy,astropy,pyyaml,pybind11,python
dax_dbserv                00b4ace4db44bc78115b99991036bc3ad32c245c  12.1-13-g00b4ace+2                       dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
pex_config                703d48b1fa349706988f63ba328aa937e8c5d6d8  17.0-1-g703d48b                          daf_base,pex_policy,numpy,utils,pybind11,python
afw                       41c8d5dc082e606a1d6a925a9fa818aaec401f2b  17.0-4-g41c8d5dc0                        daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
dax_metaserv              fc1bd5b04588459356373ca255670d5f90e9cbe4  tickets.DM-17658-gfc1bd5b045+1           dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
daf_butler                bca4981bfa738e57bba7729ce4d13c92f1c4be8b  17.0-5-gbca4981                          sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
dax_ppdb                  e961eaeb2618287102525bb9300425c0cbd5b6f2  17.0-1-ge961eae+2                        afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
skymap                    a33d1f2b1bd913cc288bb2a73e75dd910d7f41a9  17.0+6                                   numpy,sphgeom,afw,daf_butler,healpy
obs_base                  5142be162bf5cae6a3922c13d75bff9491e73250  17.0-4-g5142be1+1                        daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
obs_test                  8f68b0aaa282ba729d821a176f66e081c3300711  17.0+7                                   afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 0d345a53c01fc4a6594139ec16e6339ae9704c44  17.0-1-g0d345a5+5                        daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+7                                   afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
verify                    84a594958b6a2be75c4f32f063ee46888ba3c80d  17.0-1-g84a5949                          python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
meas_base                 0ce97377f69dff8f3dd868c97c92afc690d54728  17.0-2-g0ce9737+5                        utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           2a2f1b99eea576c7d4ef56ca3e09c3eb3e96f840  17.0-2-g2a2f1b99+3                       astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_deblender            bf5c1cbdd221fa6c3f239e3a73edbac1064ba5d2  17.0+10                                  afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 c20ba7d2600d6f729ce82bdd33741f2f0f22aaa7  17.0-3-gc20ba7d                          afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
ip_isr                    16fbfff496483de1ade6c660fa3b550fb8848158  17.0-5-g16fbfff+6                        meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_astrom               b71a5648e2899270502e19d7bb47e8521766682d  17.0-3-gb71a564+4                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
pipe_tasks                f0ac6446c31c6e66be8938ddf0fea3e20684e29e  17.0-5-gf0ac6446+9                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_sdss                  d009fa12cefd093771127a01af598839c130092d  17.0+11                                  pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
dax_imgserv               a1b4389d3962f9a44a8bdf74630ffe0b77e07837  tickets.DM-17658-ga1b4389d39             afw,base,boost,daf_base,daf_persistence,db,doxygen,flask,log,python_mysqlclient,obs_sdss,scons,sconsUtils,skymap,sqlalchemy,jsonschema
dax_webserv               729cbf5d87d9097434307b759619ae6e9615e293  tickets.DM-17658-g729cbf5d87             db,flask,dax_dbserv,dax_imgserv,dax_metaserv,python_mysqlclient
