# product                 SHA1                                      Version                       
BUILD=b4551
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  18.1.0                                   
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
sims_photUtils            60d0775ed284616510941a071a10ce69b6f69020  2.13.0.sims-1-g60d0775+20                utils,sims_utils,python,throughputs,astropy
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  18.1.0-1-g0001055+11                     daf_base,utils,pybind11,python
geom                      8ff0b9f358dcc74bb5122178a9336a337648d6fc  18.1.0-1-g8ff0b9f+3                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
pex_config                ae7742993c3fa92bf5ac1d9ab0c298c95e81930a  18.1.0-6-gae77429+2                      numpy,pybind11,python,daf_base,pex_policy
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+27                    python,ts_dateloc,utils
daf_persistence           5e4b7eaaff07baf724c43a67eea22ee864980889  18.1.0-1-g5e4b7ea+13                     log,pex_policy,astropy,pyyaml,pybind11,python
astro_metadata_translator 1039c3cf3b52ca551fb6cc8a5acc970e2c763ba7  0.1.0-5-g1039c3c+3                       scons,sconsUtils,pyyaml,astropy,daf_base
sims_catalogs             0316a325b5cd6f608e9b6639058a2c75475299cf  2.13.0.sims-5-g0316a32+1                 daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
sims_skybrightness        72b3e2ac653d6cc5f7bc8e80866b35280126beb6  2.13.0.sims-1-g72b3e2a+12                base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
sims_seeingModel          4cb10b5e674f79eb5808fb168a126855d7ab2195  master-g4cb10b5e67+14                    utils,pex_config,sims_utils,throughputs,sims_photUtils
sims_skybrightness_pre    cc59254c51bddf65254730b189e65ffeaf49d6a9  2.13.0.sims-8-gcc59254+4                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
afw                       e996dbe421547ed6c2f3f25faef98aa722fffc7f  18.1.0-28-ge996dbe42+2                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
sims_downtimeModel        0bec6a04497600aa71a01ebe8d9343335ed55342  master-g0bec6a0449+11                    utils,pex_config
dax_ppdb                  d55f5004cf2c043159fada86467f039942505678  18.1.0-1-gd55f500+32                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
sims_cloudModel           49264ce2c54c1ff047a9d4c7c5994f72b958c0b8  master-g49264ce2c5+4                     utils,pex_config,sims_utils
daf_butler                4bec85e4d8d00f3ad626542655cdc290bf6f8049  18.1.0-35-g4bec85e+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
sims_featureScheduler     c82076238f898f8bcb403a0b6e554df564d3d24f  master-gc82076238f+4                     base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  18.1.0-2-g5f9922c+21                     numpy,sphgeom,geom,afw,daf_butler,healpy
pipe_base                 0997b023415e5b893b796ef2a931b40d9d3b0a8f  18.1.0-11-g0997b02+1                     daf_butler,daf_persistence,log,pex_config,utils,afw
verify                    0fb94c93acb850b38de94bba8a24e0d48bc04464  18.1.0-11-g0fb94c9+2                     astropy,pyyaml,requests,numpy,sconsUtils,utils,log,pex_config,pipe_base,dax_ppdb,verify_metrics
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  18.1.0-1-g1349e88+52                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 9d75d83883deed4558ba59a75355fdab4105fa67  18.1.0-7-g9d75d83+6                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
obs_base                  1dfba46cafea6ce9c3d56e49b0d6a761097f962b  18.1.0-25-g1dfba46+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
obs_test                  1af92ce9b848d3f91e234419c110160eaae76eb4  18.1.0-9-g1af92ce+6                      afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_algorithms           fe4edf0bc898434f670f6db9fe161e13055cb265  18.1.0-13-gfe4edf0b+8                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  18.1.0-7-gae09a6d+26                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
ip_isr                    f19619b5943ed5da2ab8fd33ee0adc4607d34ebb  18.1.0-17-gf19619b+3                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_extensions_scarlet   27024eed42cb91fb4c9616f60f5167219b05bafd  master-g27024eed42+17                    base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  18.1.0-3-gb69f684+38                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 259bd21b698c142a327f4a0f842eb3f9bfaa9cf8  18.1.0-14-g259bd21+17                    afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
pipe_tasks                728bddb4754d075340de2bce22ac5c07aa8dc4cc  18.1.0-26-g728bddb4+1                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  285e3194dc6899b63e9a5cb5fec2e6555c5b580a  18.1.0-26-g285e319+1                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_lsstSim               818034cafd3a9940a938f1364510641d796fa891  18.1.0-6-g818034c+6                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
sims_coordUtils           9b0053eeda91c89cff83c307dfe33c3ec595165a  2.13.0.sims-3-g9b0053e+31                base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_maf                  9406adf65c81ff638ad38ac526182b698c93b29e  2.13.0.sims-16-g9406adf6+1               base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_catUtils             a0ae8d8e6075f0b475b7f90055529b4af8746cb0  2.13.0.sims-5-ga0ae8d8e+1                utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_GalSimInterface      52aa252a919e8e5ec5145d7bfb4ab3fb755aaa3b  2.13.0.sims-10-g52aa252+5                galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+34                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
