# product                 SHA1                                      Version                       
BUILD=b3995
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
ws4py                     5ea348065392f65a2029e86483a6abca75117cd5  0.4.2+3                                  python
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
pycodestyle               73cc0df77641c71983c1630411ce3fc1e80a0509  2.4.0                                    python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+4                                  python
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2                                    python,numpy
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+1                            python
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0                                    python
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0                                    python,numpy
astropy                   f103417e2debfdf9faca903ba4e3601601def058  3.0.3                                    python
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
sqlalchemy                17feb0b4fc40b855a9837d92f0866c50f1b56d0e  1.2.2+2                                  python
boost                     c95036e05c29f825c366ecaa2ca50ab59fde8aca  1.68                                     python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+2                                  python
python_future             d45cc88dd170528ba3a61171a8a8f6eedd0d4fdc  0.16.0+3                                 python
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+9                                  python,numpy,scipy
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+1                   numpy,scipy
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+1                                  boost,python,numpy,eigen,pybind11,fftw
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
pyflakes                  c40c6e7aabfdd6cf53c2c4d55349faf0ed9ec659  2.0.0                                    python
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+1                           python,numpy,pykg_config,cfitsio,astropy
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2                              python,python_py
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+1                          python,numpy
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+5                              python,pytest
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+10                    cfitsio,wcslib,gsl,numpy
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+13                                 python,pytest
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4                              numpy,pyyaml
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+5                           python,pytest,pytest_forked,python_execnet
firefly_client            bdd0b666a003eb6865ae02bb866d8c3318d3b604  lsst-dev-gbdd0b666a0                     ws4py,python_future
fgcm                      8b845deacd27e3448bcd790ac2f77bb48f345565  lsst-dev-g8b845deacd                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
coord                     7309b208a04995ce3040490ec06eddee9bff6541  1.0.5.lsst2+1                            python,numpy,python_future
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+13                                 python,pytest
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+4                                  python,pytest,python_coverage
flake8                    5c00ee60f2f3c438cf9768f303462e359d230d7c  3.6.0+3                                  python,python_mccabe,pycodestyle,pyflakes
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1+5                            python,flake8
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pytest_flake8             39ba4274ec41a1cdac9efd1cd49a2619974f15db  1.0.1.lsst2+2                            python,pytest,flake8
sconsUtils                57c515d888139fa01e006e0231760431bc0679ac  16.0-15-g57c515d+3                       scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+18                       sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+55                               sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+19                                  gsl,sconsUtils,fftw
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+22                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            d6b74a99466da166c524102a43984a6431dc05a2  16.0-4-gd6b74a9+2                        sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+59                    scons,sconsUtils
base                      9321be75ef148c5d6fb6ba86f1576d75c0e7654f  16.0-6-g9321be7+5                        sconsUtils,pybind11,python,doxygen
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+21                       base,sconsUtils,pybind11,doxygen
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+11                       base,boost,pybind11,python
utils                     f0259e2ae3cb9fc996ed683e4e401918bc9bae2c  16.0-16-gf0259e2+1                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  09ed895f7bc09c8c806d8351a8aff07f48ac6423  16.0-11-g09ed895+3                       utils,pex_exceptions,pybind11,python,numpy,pyyaml
pex_policy                b13d127967f649535209e991ca4e1d467de003f7  16.0-4-gb13d127+7                        daf_base,utils,pybind11,python
log                       a8830df6ec65b1fe1c26acd9f9355f8c7a461d2b  16.0-2-ga8830df+7                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
astro_metadata_translator 6f82b7b8ee44926cd7fa51ea2ebb4a1f975d7699  master-g6f82b7b8ee+4                     scons,sconsUtils,pyyaml,astropy,daf_base
geom                      dd5ca336533650b25d1a64206aade02d0267e29e  16.0-15-gdd5ca33+2                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
pex_config                4734f7a81446ebcb4c6479562be3f16df4befee1  16.0-8-g4734f7a+2                        daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           9a974b3afd9bbbb4f6874d770c4251390a1471c5  16.0-14-g9a974b3+2                       log,pex_policy,astropy,pyyaml,pybind11,python
ctrl_orca                 aefcce0c63ab49706277cc7673ef50e1723b127e  16.0-3-gaefcce0+7                        python_future,utils,pex_config,daf_persistence,log
afw                       e89f8615e020edf137f6def2df77150ce8f46037  16.0-71-ge89f8615e+1                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
ctrl_execute              609bcd0aaf14039c9ec6cbe251c4f2edf7f495ba  16.0-1-g609bcd0+5                        python_future,ctrl_orca,pex_config,utils
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  16.0-4-g18f3627+14                       afw,matplotlib,python_future
shapelet                  3a9f023dd86f9ba8004710d26303653cb3bd23dc  16.0-8-g3a9f023+21                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_platform_lsstvc      817d9558669f49bfc7333e6765e3300a0ffb5ad6  16.0-2-g817d955+5                        ctrl_execute
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+70                       afw,xpa,pybind11
skymap                    585843132d895cd78251d206e26b969f71a6ae1a  16.0-8-g5858431+4                        numpy,sphgeom,afw,healpy
display_firefly           f5c1f4358481bb3e175a4ddf03aebbe0b3035413  16.0-9-gf5c1f43+9                        afw,log,firefly_client,python_future
daf_butler                b885c350e4e2f185b430bedd6609132f637c0a84  master-gb885c350e4+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
dax_ppdb                  d73dc1d09880e5cd5caa37a536ccfcdf309f3f5d  master-gd73dc1d098+2                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
obs_base                  e8801f957eef4302957c4986f56c3ac1a56e3cc4  16.0-29-ge8801f9+1                       daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
obs_test                  12e47bda8bcdc3b68ffc6be2333dd3e583aa69ec  16.0-11-g12e47bd+1                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  master-gad2fcd81dc+41                    obs_test
pipe_base                 2c6bf4a0226243a1011612218e38410b0f24a0e7  16.0-25-g2c6bf4a                         daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ctrl_pool                 abf74b740a17475d1a9aa5aac38ff8e15b53db48  16.0-4-gabf74b7+30                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               6a53317665fd620d2a0fe3cfb0c2fab85c895877  16.0-5-g6a53317+35                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          e00e371ed7ad5c90423d94188483759106dc13d4  16.0-3-ge00e371+35                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
cp_pipe                   27fb78a50ac6fbde48d40a36c2de663432c533f8  16.0-5-g27fb78a+8                        pex_config,pipe_base,daf_base,log
verify                    9a9af5fc628e2e2d52bef2bb57670f47a4407eee  16.0-6-g9a9af5f                          python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,verify_metrics
meas_base                 a4d4bcb020a6781d19bfad2165b8f39455a99ffa  16.0-18-ga4d4bcb+2                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           21842373d8ba1956684a58a85e2294fa533709b9  16.0-20-g21842373+8                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_deblender            5c924a4f47b21ea0965c10e2a861c00b3f1f2f6e  16.0-12-g5c924a4+7                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ap_association            241c1791dea2e544313fd2702913a94e591c58b8  master-g241c1791de+5                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,numpy,scipy,python_future
ip_isr                    5cf0468fe51ea1c7407cd5d33aca9de96d19b49c  16.0-17-g5cf0468                         meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_photometryKron f49912ce06bd4fc99570f803ac93236ca89614a4  16.0-6-gf49912c+30                       meas_base,pybind11,meas_algorithms
ip_diffim                 31abd9151b81b518f51c2bae9c3f2c510ff0d668  16.0-17-g31abd91+8                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+88                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_extensions_convolved ae186386385d2a635bea615618b8e50547629263  16.0-4-gae18638+56                       meas_algorithms,meas_extensions_photometryKron
meas_modelfit             a3d2e9fca93db7bd399d08c1a9604fa9869262f5  16.0-17-ga3d2e9f+14                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_psfex     9bb73b2d1a644f3fefae69c64eb536419df60578  16.0-11-g9bb73b2+7                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_shapeHSM  fda48a7a1806872895ec1bfc22b61629ecc97b3a  16.0-6-gfda48a7+69                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_astrom               51a54b394881a5965b90e72ace053e272a7ced7d  16.0-18-g51a54b3                         geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
obs_ctio0m9               2e441db59638a9239894b27a78dc617b1c89bca3  16.0-6-g2e441db+30                       afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_extensions_astrometryNet 21fd5fe612fa2e3ec385736e6e6fc120e753f7df  16.0-8-g21fd5fe+31                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                42e581f742aae387611ced5f296006a3a1eb3f89  16.0-49-g42e581f7+8                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_sdss                  33965e3bc67f181039e21b71243058176ee54124  16.0-7-g33965e3+45                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
pipe_drivers              d2eeba56fc3ed255ce7fb4194576e559294a6de0  16.0-7-gd2eeba5+53                       ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
obs_lsstSim               28cebc3e6ba1329d1156cdde9e7916ab493706a2  16.0-9-g28cebc3+53                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
synpipe                   cbc7b310992dfab4ca4d95ea41beea64aadd1988  16.0-6-gcbc7b31+44                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  16.0-4-g40f4cc0+53                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
ap_pipe                   390d556d7c481f466da04591a9c4efbeb9ba5196  master-g390d556d7c+11                    utils,pex_config,pipe_base,pipe_tasks,ap_association
obs_decam                 d06566c9fe1172c4ace91dd69c2d1cd4f9db3988  16.0-18-gd06566c+3                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
validation_data_decam     be4b166ba8b6d8c835e5d7054c71b84b4bccc067  16.0-2-gbe4b166+9                        obs_decam
lsst_dm_stack_demo        e6c258fda7eb6c6fb457d2be8c2f73fca1be8821  10.1-41-ge6c258f+25                      python,utils,sconsUtils,obs_sdss
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+107                      obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_comCam                2909b49ba34cc3120671c83628675a584fbd2bee  16.0-6-g2909b49+33                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_subaru                4d649a6e7ddbe40ab9926b1fa04177be0609e47b  16.0-42-g4d649a6e+2                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_cfht                  62fdbaee87fcc4bdccae5382832ebddd32318c99  16.0-8-g62fdbae+9                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
ap_verify                 890ed965ca79494349078751b08cec7a639ffff6  master-g890ed965ca+1                     python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+135                                 obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_cfht      91cba59613775a4a868702b2a3d5937ebd04c9e9  16.0-2-g91cba59+9                        obs_cfht
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  16.0-1-ge7f95ac+64                       meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
fgcmcal                   75f72011181ec1ebde771526f127c5c7d338bd02  master-g75f7201118+2                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
validate_drp              58b607bce5038ca2c6e7bb08bcbc7d847a48104d  16.0-16-g58b607b+3                       python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
jointcal                  fc9ea6cd78857cb297ac446e4ac3eaaf28725a64  16.0-28-gfc9ea6c+6                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+191                                 obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
meas_mosaic               110d9e1b331bc3948377b0499cb6291850793d7e  16.0-17-g110d9e1+6                       sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
lsst_distrib              3466de96d5f25781a0af20d60ad9537876dd4c96  16.0-2-g3466de9+31                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  16.0-2-g7d755d1+10                       lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
