# product                 SHA1                                      Version                       
BUILD=b3460
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
starlink_ast              eaa6eadbc4d4141dce2674cfea4f7dedb46f4930  lsst-dev-geaa6eadbc4                     
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
healpy                    9cd97ef29430e2726f91482b83e132622762b0fd  1.10.3.lsst1+4                           python,numpy,pykg_config,cfitsio,astropy
esutil                    7cb0cf1c2fbb75c11a1c3c033fc4fa454b6b7470  0.6.2.5.lsst1                            python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+3                            python_d2to1
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
astshim                   5b2b7de6a4091cc71914c21fac511110ac9885b4  14.0-17-g5b2b7de                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
dax_webservcommon         5b3c1492ed0972ac63211423b7c55aeabc49b074  12.1-3-g5b3c149+4                        python,scons,sconsUtils,flask
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+9                                  numpy,python_d2to1,stsci_distutils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+6                        sconsUtils,pybind11,python,python_future,doxygen
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+10                       base,boost,pybind11,python,python_future
utils                     11010eb972b70ffd02fe4d9203379c942b0908d3  14.0-9-g11010eb+1                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+11                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+13                       sconsUtils,python_future,utils
daf_base                  744ff5f0914b46439ccfb6ee4ac298d27cfe019d  14.0-5-g744ff5f+3                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+16                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+15                       daf_base,utils,python_future,pybind11,python
dax_dbserv                5ed72d2e2d334bb2f1687998f954200fe818fae6  12.1-9-g5ed72d2+3                        dax_webservcommon,db,flask,log,python,python_mysqlclient,scons,sconsUtils,sqlalchemy
pex_config                319577b89f1531665b826ffd6ba41816fae057e6  14.0-2-g319577b+12                       daf_base,pex_policy,numpy,utils,python_future,pybind11,python
dax_metaserv              6e5c8e42d81c5395a63beebffec986374320c4c9  12.1-5-g6e5c8e4+13                       dax_webservcommon,db,flask,python,python_mysqlclient,scons,sconsUtils,sqlalchemy,marshmallow
daf_persistence           87d16e85528293b748ddefadc3cbdfbf7d1983e5  14.0-14-g87d16e8+11                      log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
afw                       19103d3471393f547c49d70eb86687d5855c8dd2  14.0-52-g19103d347+1                     daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
skypix                    a19a71216be61195a17415af196153b542b676df  14.0-1-ga19a712+4                        utils,pex_policy,geom,afw,python_future,sconsUtils
obs_base                  714dd466f5b06cc178bdcd5559c54d7b30c56c8f  14.0-24-g714dd46+3                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  e5b0628ae231295c67371a9558292ebd88bccb63  14.0-7-ge5b0628+3                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
skymap                    3609236c8b3caebe32fc9b619541bb650e33f4f1  14.0-4-g3609236+4                        numpy,afw,healpy
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+48                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               fce6a493a2e80d38401711d018f588e8ab5ee8cd  14.0-1-gfce6a49+5                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          6829aa7f58c7a53d511941274f2eb6cccfa7e3a1  14.0-1-g6829aa7+5                        coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 b9e430aa51b707c9e3678d8277eadb4198b4899a  14.0-21-gb9e430a+1                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           f7dca96402cda034104c615be7ef821ab3aa9ea9  14.0-18-gf7dca964+3                      astshim,daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    2094653006339e0cdcd761089618adf74d8c61dd  14.0-10-g2094653+1                       python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+57                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 81837af10f6f5b23bcff9435b1f16baf0574c266  14.0-10-g81837af+5                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_astrom               0d69b06f1d4b5aed15ca5962bc609093e42ba65c  14.0-7-g0d69b06+5                        afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet 519ff978fa8fd669da3308833b2808ba4e3ed595  14.0-2-g519ff97+5                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                38a1b2278cf8132a511b53ec92da2a3a69218a72  14.0-51-g38a1b227+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  ecb866f3239c9ce5629067b79ada7e88ced98dc7  14.0-8-gecb866f+1                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
dax_imgserv               5ebc92ae28d2ec96237c1c1f7436271425a8aa57  12.1-21-g5ebc92a+2                       afw,base,boost,daf_base,db,doxygen,flask,log,python_mysqlclient,obs_sdss,scons,sconsUtils,skymap,sqlalchemy,jsonschema
dax_webserv               891ca90a28eb0b5b83d3f930b1791123706caae0  12.1-14-g891ca90+2                       db,flask,dax_dbserv,dax_imgserv,dax_metaserv,python_mysqlclient
