# product                 SHA1                                      Version                       
BUILD=b4211
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
log                       fc7ad86047093f74dd8ca335642327933b84762a  17.0+6                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  17.0.1-1-gb9095d2                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  3bdf598951a9e57b7df819b37724ccd1768f2c75  17.0.1-2-g3bdf598+4                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator b2bed446846f5ac2f45ad83f8624247a2f0ef3d9  master-gb2bed44684                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0+6                                   daf_base,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+9                      log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  17.0.1-2-g54f2ebc                        daf_base,pex_policy,numpy,utils,pybind11,python
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+9                                   python_future,utils,pex_config,daf_persistence,log
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  17.0.1-1-g98c77ba+6                      python_future,ctrl_orca,pex_config,utils
afw                       ee9b810f87017fb4ef8bceba808ba6e87b60e962  17.0.1-19-gee9b810f8+1                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  17.0.1-1-g4d4fbc4+13                     afw,xpa,pybind11
dax_ppdb                  3441610ff2ffa1fe0d5bb0f260a88a7e6ae42f6e  17.0.1-6-g3441610+4                      afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  17.0.1-1-g1b224f6+6                      ctrl_execute
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0+19                                  afw,numpy,scons,sconsUtils,pybind11,scipy
daf_butler                9d71895b97d0e7390f31e216fb904f9f90c7b640  17.0.1-15-g9d71895                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  17.0-1-g377950a+18                       afw,log,firefly_client,python_future
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+19                                  afw,matplotlib,python_future
skymap                    a33d1f2b1bd913cc288bb2a73e75dd910d7f41a9  17.0+30                                  numpy,sphgeom,afw,daf_butler,healpy
obs_base                  1ec47d7044f2ef03802bb293d7f28cdc41d7eeb2  17.0.1-8-g1ec47d7+10                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
obs_test                  55520dc64ee6f0d33ac3383a492a85ec22316939  17.0.1-1-g55520dc+16                     afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 3e5d1915fbb5f211304a3445a4aa49afd18c45c8  17.0.1-2-g3e5d191+18                     daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  17.0+28                                  obs_test
cp_pipe                   7235603353573bc2aeac5d944ed7c18f12a667d9  17.0+28                                  pex_config,pipe_base,daf_base,log
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+28                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
ctrl_mpexec               8163d2ed6bc9390ba43266017ae0961adaa49c46  17.0.1-5-g8163d2e+4                      daf_butler,log,pex_config,pipe_base
verify                    84a594958b6a2be75c4f32f063ee46888ba3c80d  7.0-hsc+6                                python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+31                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 b3f5c0c2ce90393565357295ee47fd242d154cb7  17.0.1-5-gb3f5c0c+15                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           6c37d5704a841a69b755cd2f287bfd6b9e60a084  17.0.1-10-g6c37d570                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ip_isr                    0f01bced8ee9ee28f6dd4a804bc3cbe114fd1c8c  17.0.1-11-g0f01bce                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_modelfit             7e86b5922825f50627630dc907385da8a1c11f33  17.0.1-3-g7e86b59+11                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0+32                                  meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ap_association            3c24ab033fe2d9594ad6b0308b15cc7016b324ec  17.0.1-5-g3c24ab0+10                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  17.0.1-1-gfc65f5f+22                     meas_base,pybind11,meas_algorithms
meas_extensions_psfex     26618f54b38bcaabc7c52375d2a0da07b23b3012  17.0.1-2-g26618f5+1                      afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_astrom               7a3d54a192dd13686a14cea6e51330ac4ac6e0da  17.0.1-8-g7a3d54a+5                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0+32                                  meas_algorithms,meas_extensions_photometryKron
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+18                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
obs_ctio0m9               12d8aee42ae08df8903910615210d65d05a8aa1b  17.0.1-3-g12d8aee+7                      afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_extensions_astrometryNet d08d5339e164f373263c89100514cd62cd3596f2  17.0.1-3-gd08d533+11                     afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0+29                                  scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
ip_diffim                 fe850aecec8a26fb0cab62e142d862ec2cc5b2ee  17.0.1-7-gfe850ae+5                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
obs_monocam               7f5138e3e16fcf4f6bc8d5708c26b5692ff61ca4  17.0.1-1-g7f5138e+11                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                0baf5111fc4aff172739f3e4cb5d91d2f088ce73  17.0.1-10-g0baf5111                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_cfht                  2d257863326facedff56d7bbc9e73ba15f22371f  17.0.1-4-g2d25786                        daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
pipe_drivers              9730928f816354f4587a0887a4448d4c1a0b8d1d  17.0.1-3-g9730928+11                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  17.0.1-1-gf4e0155+24                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0+37                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_subaru                82ee22a783ec2b5fc1fac065b97eb678e4059c6d  17.0.1-12-g82ee22a7                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ap_pipe                   db5c7619a4406e9a1bf31813747e798787de634d  17.0.1-2-gdb5c761+16                     utils,pex_config,pipe_base,pipe_tasks,ap_association
obs_lsstSim               97a773840b027989ed9270f303cd653164fcd03a  17.0.1-1-g97a7738+15                     daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_lsst                  1113713be462b50eb166f85ad8b2fb9daef35273  17.0.1-18-g1113713+5                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
obs_decam                 29d9b2929c2c25e6bf8425cdba311a8371e1909c  17.0.1-2-g29d9b29+12                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_sdss                  e47e0048026ddc9895c1fee1a7119d661349eb6c  17.0.1-1-ge47e004+15                     pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+37                                  meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+36                                  obs_cfht
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+36                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
meas_mosaic               43ebf10df846ff7c6deef1cea98d97e26201dfda  17.0.1-3-g43ebf10+7                      sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+36                                  obs_decam
ap_verify                 4ca0d7b05b8b1952d7c7375b2642e0bec65411e7  17.0.1-3-g4ca0d7b+16                     python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  17.0.1-2-gc5e4034+12                     python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  17.0.1-2-g5ea0c29+12                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+37                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
validate_drp              5ca24d72cab8f25ab801c423e17c6695f1775266  17.0.1-4-g5ca24d7+11                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
fgcmcal                   434ef062eb23c01484fb6353d251487872e85689  17.0+37                                  scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
jointcal                  5e92ed974671ca2e0fb3611d8237d5ba6a5ceca4  17.0.1-12-g5e92ed9+2                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0+40                                  lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+39                                  lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
