# product                 SHA1                                      Version                       
BUILD=b4502
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
obs_lsst_data             ff894085696836c9fb09a023e04c41019f52cfb1  master-gff89408569                       
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+5                            python
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python_execnet            c0d69c65501b7cbf614e0059da7eb97f25b72518  1.4.1.lsst4+3                            python
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
boost                     7c78c5aa00ffd9eb34ccd55825605e04cab9c8ff  1.69.lsst1                               python
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
astropy                   b0b7760bd505a8167b507de06c871b84daf1b494  3.1.2                                    python
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  2.2.0.lsst1                              ws4py,python_future
wcslib                    373bd44add489cc091272d3393ae8d9857bcd34d  5.13.lsst1+3                             cfitsio
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
pyflakes                  b8a7d8b2ebb5710c044d1050e7cd5fba4372c5bb  2.1.0+2                                  python
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+3                           python,numpy,pykg_config,cfitsio,astropy
pycodestyle               0d131b0df8a8e973cb5162d8f589028249b0f3b7  2.5.0+2                                  python
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1+2                                  python
python_py                 fe1347d431593dfe05770f286b3070db4afaeffd  1.7.0+2                                  python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2+2                            python,python_py
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+15                                 python,pytest
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+13                    cfitsio,wcslib,gsl,numpy
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
fgcm                      08e612b3a88420b66a2028cc41d15b027f2a34b3  lsst-dev-g08e612b3a8+1                   esutil,numpy,scipy,matplotlib,healpy,pyyaml
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+7                              python,pytest
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+6                                  python,pytest,python_coverage
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+15                                 python,pytest
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+7                           python,pytest,pytest_forked,python_execnet
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+2                                  python,python_mccabe,pycodestyle,pyflakes
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+2                                  python,flake8
scarlet                   169b417050aaea67c2b8c9a755e8017298b05816  lsst-dev-g169b417050                     pybind11,scipy,numpy,eigen,proxmin,autograd
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+2                                  python,pytest,flake8
sconsUtils                a35c1535fb94d357423c8b769f645cb4dcf24ca4  18.1.0-2-ga35c153                        scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+33                                  gsl,sconsUtils,fftw
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0+7                                   sconsUtils
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+1                        sconsUtils
verify_metrics            872f9b593eec305ae4691dcea1e9d575c56f0011  18.1.0-2-g872f9b5                        sconsUtils
base                      7e8fceb13a14b024c229662841bee39270758fa2  18.1.0-1-g7e8fceb+1                      sconsUtils,pybind11,python,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+6                     scons,sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0+11                                  base,sconsUtils,pybind11,doxygen
astshim                   f403422b54c5c483eb0984b6953cf6fb1e6a4bda  18.0.0+5                                 sconsUtils,ndarray,numpy,starlink_ast,pybind11
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  18.1.0-1-g5315e5e+1                      base,boost,pybind11,python
utils                     1ee41a7bf349498aadcafd0531573e991591969f  18.1.0-4-g1ee41a7+1                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  68ffd23a201df9d8f8ace46df14039b339261ffa  18.0.0-4-g68ffd23                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
log                       03d53ef8083cf25d560524726eea15af535ff53a  18.1.0-1-g03d53ef+1                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  18.0.0+13                                boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  18.1.0-1-g0001055+8                      daf_base,utils,pybind11,python
daf_persistence           5e4b7eaaff07baf724c43a67eea22ee864980889  18.1.0-1-g5e4b7ea+10                     log,pex_policy,astropy,pyyaml,pybind11,python
astro_metadata_translator 1039c3cf3b52ca551fb6cc8a5acc970e2c763ba7  0.1.0-5-g1039c3c                         scons,sconsUtils,pyyaml,astropy,daf_base
pex_config                c286bb7ad1e1778d212d0498f0b86da6c3ddc3c8  18.1.0-5-gc286bb7+3                      numpy,pybind11,python,daf_base,pex_policy
afw                       f57f4888d3c1b1cab167ce55b20ec5691ba95885  18.1.0-18-gf57f4888d                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+26                                afw,xpa,pybind11
display_firefly           52aa583fe9fd08f1fc6eca2e2caa063c34d1bd76  18.1.0-3-g52aa583+14                     afw,geom,log,firefly_client,python_future
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+32                                  python_future,utils,pex_config,daf_persistence,log
daf_butler                0429a71ee28ed34ea1248f8353167a239339b55b  18.1.0-29-g0429a71                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  18.1.0-2-g5f9922c+5                      numpy,sphgeom,geom,afw,daf_butler,healpy
shapelet                  d3b74e5d8ac3b3914a6e63e8254da9dcc686e61f  18.1.0-2-gd3b74e5                        afw,numpy,scons,sconsUtils,pybind11,geom,scipy
pipe_base                 e99a47fc10b309c4e09d94f09a333d8a88382170  18.1.0-8-ge99a47f                        daf_butler,daf_persistence,log,pex_config,utils,afw
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  18.0.0+18                                python_future,ctrl_orca,pex_config,utils
dax_ppdb                  d55f5004cf2c043159fada86467f039942505678  18.1.0-1-gd55f500+20                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+62                                  afw,matplotlib,python_future
obs_base                  de80ed33b64a0bbcc505c9869666b3a0240d81d2  18.1.0-21-gde80ed3+2                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
ctrl_mpexec               27d03153c30af526e4ad417f6b082d8ef9c625ff  18.1.0-9-g27d0315                        daf_butler,log,pex_config,pipe_base
obs_test                  42b2ab33e091916b4f052c3aba331b407169f6f8  18.1.0-8-g42b2ab3+2                      afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+109                                 python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  18.1.0-1-g1349e88+36                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  18.1.0-2-gd950ce2+8                      obs_test
verify                    fe635fabce1d5b5c4ff3aa0ecfcbb93435152c29  18.1.0-10-gfe635fa+2                     astropy,pyyaml,requests,numpy,sconsUtils,utils,log,pex_config,pipe_base,dax_ppdb,verify_metrics
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+18                                ctrl_execute
meas_base                 5d04eb760b412ea8c4487f38f6fd620ca66d6ac9  18.1.0-5-g5d04eb7+6                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  18.1.0-1-g2505f39+28                     scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_algorithms           42eabe8e6170b4ad948a2443875a0193b8571e6f  18.1.0-12-g42eabe8e+19                   astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
ap_association            4d47238d316d8a397d99c1efd0edc6e45484db4f  18.1.0-11-g4d47238+1                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
ip_isr                    d04256d1139a1c52fa829a20195881e59bd7c29f  18.1.0-14-gd04256d+24                    meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  18.1.0-3-gb69f684+19                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  18.1.0-1-g5afa1ba+30                     meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_scarlet   27024eed42cb91fb4c9616f60f5167219b05bafd  master-g27024eed42+1                     base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_modelfit             8f4a2b196fb4f7cc288ace84b57c872d58e09103  18.1.0-3-g8f4a2b1+24                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
cp_pipe                   4903023e17f7497508d1908e761b498d2abc2b04  18.1.0-2-g4903023+4                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  18.1.0-2-gfbf3545+14                     meas_base,pybind11,meas_algorithms
obs_ctio0m9               958e6b5831d9547258cd41f66f3897bd97224223  18.1.0-2-g958e6b5+6                      afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  18.1.0-1-g85f8cd4+30                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
ip_diffim                 6c26a0afa8bcc5d934697ae38fdd7ad5c765259d  18.1.0-12-g6c26a0a+2                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  18.1.0-7-gae09a6d+7                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
pipe_tasks                b3d55290d2db3be322ff72a3d36a787457f25bdf  18.1.0-21-gb3d55290+6                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  18.1.0-2-gc364b07+30                     meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_extensions_astrometryNet 9bc06b87f6fb32ed2c337670102c405162422eba  18.1.0-3-g9bc06b8+14                     afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,geom,wcslib,astrometry_net,numpy,matplotlib
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  18.0.0+61                                astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
pipe_drivers              6dbcb01bc42be6cfb7cc9086200140ba0e0bdb02  18.1.0-5-g6dbcb01+22                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_lsst                  42749937c08f75052bcb7de971d17fd568694d9f  18.1.0-19-g4274993+2                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_sdss                  97b462dfcc25190c9db306f1264585c1e03a6422  18.1.0-3-g97b462d+17                     obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_subaru                582278a1cd75b583aeb269b90e1dfba6ce106ab1  18.1.0-19-g582278a1                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  18.0.0+60                                python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
obs_cfht                  8e9fd5fcd6dfb123716d0b1c4112dd9e30464038  18.1.0-6-g8e9fd5f+8                      daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+140                                 obs_cfht
obs_decam                 c69d46e3490d923eafaf2a66ab5939f6260f2b20  18.1.0-8-gc69d46e+8                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+61                                obs_decam
obs_lsstSim               b05d41e8cd5697d7963dc2f12fda65b85732dcfb  18.1.0-5-gb05d41e+21                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
validate_drp              7ea8e08af7e262100bbfd3eea04ca0b812fcc76e  18.1.0-2-g7ea8e08+2                      python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  18.0.0+61                                obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  fefb8b58db04fec36d7ace6fd23784b5eb81b0b3  18.1.0-2-gfefb8b5+25                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   7277a70cc471c43549df4dc4162f6fe65c1138a8  18.1.0-4-g7277a70+15                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+139                                 obs_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+141                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  18.1.0-1-g79a6842+9                      obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   cd8f52cf305460ae362f5de8a76fe6b9dbec0690  18.1.0-4-gcd8f52c+27                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+144                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 1dd6499b024ca377b1baf19c278b1457ba903476  18.1.0-5-g1dd6499+23                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  18.1.0-2-gb0efc0e+30                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+153                                 lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
