# product                 SHA1                                      Version                       
BUILD=b5004
palpy                     a7803970ea9fbca76a1481d3e46fd5b1af9d7158  1.8.1-1-ga780397                         
obs_lsst_data             3fe583d9b33dee90c653f44f2a4c5833261931ec  20.0.0-1-g3fe583d                        
sims_maps                 0e9deaa7802370ac9904a15d5394bffb6027c459  2017.05.08-10-g0e9deaa                   
throughputs               58f0f273b9c8458202f8d8061a4542c3c9f0ed75  2019.07.02-2-g58f0f27                    
ephem                     6182364ef5d674c8f0765ee00779fcfe7ab23a50  3.7.6.0-1-g6182364                       
sims_sed_library          5b328a8624af10bcd6eeab6148384ea206a2de43  2017.01.24-1-g5b328a8                    
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  20.0.0                                   
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
astropy_helpers           9c76ab20764baf2335cbd254d274addf80fd6c80  3.0.2.lsst-1-g9c76ab2                    
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
freetds                   0735e0852765cf374c258482c5b9a295c0459975  0.91.112.lsst2-1-g0735e08                
obs_test                  baebbfb635d709947b0f954d1120eab97d373b4d  20.0.0+20                                afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           085c40a3efd1888fb3a5ab8752c2b9dc4e313cda  20.0.0-4-g085c40a3+2                     astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_astrom               c96f8cbbf3fde07e620d09e3b609308a3ae3cfa9  20.0.0-1-gc96f8cb+19                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_extensions_scarlet   0542f41ae7590dcb5395becaf918d6bd030c42c8  20.0.0+20                                base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
meas_deblender            fb03ce7518f4857fdc0365ae6e7aa7a12e754fd8  20.0.0+20                                afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
ip_isr                    fcb36e1abca3cbdebaa85688f1e2e56209d32726  20.0.0-5-gfcb36e1+1                      meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
ip_diffim                 596936ac2dfaa5bb67b1901c541fc28b08445b2a  20.0.0-1-g596936a+18                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
pipe_tasks                1b4d8e16375362fb2a32ca3c5c5af64e10793e34  20.0.0-10-g1b4d8e16+5                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_lsstSim               5b439099271350b4f32a7a66b2b998a2be3c93c6  19.0.0-4-g5b43909+15                     daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,utils
sims_coordUtils           ac68177360651da8afeead2751bd94f693b0cc1c  2.13.0.sims-5-gac68177+8                 base,utils,geom,afw,sims_utils,obs_lsstSim
sims_catUtils             daeeefda10833c4954ac8aec41e32d4c9e421f82  2.13.0.sims-11-gdaeeefda+3               utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,pymssql,daf_persistence,sncosmo,obs_lsstSim
obs_lsst                  51692a9dc3497de1ac972736042182bcde3f36e2  19.0.0-78-g51692a9+3                     afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
sims_maf                  df59f6deac0cd5781f3114ff31d82b6df2d95b26  2.13.0.sims-56-gdf59f6de+2               base,ephem,palpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_GalSimInterface      29b6feb5cb2eefe33be97516219fcde4f04fb9e0  2.13.0.sims-14-g29b6feb+8                meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+70                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
