# product                 SHA1                                      Version                       
BUILD=b4964
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
alert_packet              af23745059b396c4fa398805c7f33fbfefba9a88  master-gaf23745059                       
obs_decam_data            7048e9c24cba5cc4530673ac24056a5b64b15268  19.0.0-1-g7048e9c                        
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  19.0.0-8-gaafa04d                        
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
testdata_decam            f48a38f4e07cc996f455920436a2362e0bf1cb18  19.0.0-3-gf48a38f                        
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
sconsUtils                1276964a75b16dfc5742bc8cbd7332de4b1cf402  19.0.0-3-g1276964                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
skymap                    e110943ddfa4f7a04ff739b3c9eb73d4571d8233  19.0.0-3-ge110943+23                     sphgeom,geom,afw,daf_butler
display_firefly           d6714190a066a65907e516477fe740967449ecd6  19.0.0-2-gd671419+10                     afw,geom,log,firefly_client
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  19.0.0-3-g8227491+24                     afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
verify                    44bc195f59af9c43de0474066df03eb8afd47fe0  19.0.0-15-g44bc195+9                     sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
obs_base                  3c4dce0c9302a7420511329881c4d478731a2568  19.0.0-80-g3c4dce0+1                     daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
ctrl_pool                 e404a01e6f1af9a754885946117f9ff954f82a6f  19.0.0-4-ge404a01+24                     daf_persistence,pipe_base,log,utils
ctrl_mpexec               6d6cb626d49316596ea5184983853a6c0c9dda4f  19.0.0-23-g6d6cb62+8                     daf_butler,log,pex_config,pipe_base
meas_base                 463f923abe731fa082e257bd2330c87f86233c19  19.0.0-9-g463f923+24                     utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
obs_test                  baebbfb635d709947b0f954d1120eab97d373b4d  19.0.0-6-gbaebbfb+25                     afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_extensions_simpleShape 9c54d0d45d64a81b6e1fe4dc8c1448be8fdef35d  19.0.0-3-g9c54d0d+24                     sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_algorithms           92e206858db20cb7af113df466a81f0dc823c8d4  19.0.0-22-g92e20685                      astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_extensions_photometryKron ca68e65fcabc1b968985300b227187c8754fc5be  19.0.0-3-gca68e65+21                     meas_base,meas_algorithms
ip_isr                    bc613e1fcaaff10a5659bf5a992555a111b88e08  19.0.0-27-gbc613e1+5                     meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_modelfit             c567de5ed63f0559e16be5bd26185944fa7f9a40  19.0.0-7-gc567de5+26                     afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom
meas_extensions_convolved c390c3c845068864752f1dd9b39b87f9ed5cf448  19.0.0-1-gc390c3c+26                     meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_deblender            fb03ce7518f4857fdc0365ae6e7aa7a12e754fd8  19.0.0-5-gfb03ce7+26                     afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_shapeHSM  5191324ed3f8dbb727a85d17e695c6a1a143bc61  19.0.0-2-g5191324+26                     meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_extensions_scarlet   0542f41ae7590dcb5395becaf918d6bd030c42c8  19.0.0-10-g0542f41+15                    base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
meas_astrom               c96f8cbbf3fde07e620d09e3b609308a3ae3cfa9  19.0.0-5-gc96f8cb+5                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_extensions_psfex     10df615c8f23760fc6fee733d395efa4abc01cbf  19.0.0-4-g10df615+9                      afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
ap_association            4ff2924009c6338d162410196823c717404d4800  19.0.0-27-g4ff2924                       afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,verify
obs_ctio0m9               65713022bd599d3f59ce8f345d2e48b3667547ba  19.0.0-2-g6571302+26                     afw,daf_base,obs_base,pex_config,utils,ip_isr
ip_diffim                 26448566b8712089b761187f4f39cae410f752cd  19.0.0-21-g2644856+27                    afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
pipe_tasks                72e83dccfe41a17d485da9bd3eedbe22796cecc7  19.0.0-64-g72e83dcc                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_sdss                  631c6ba8ceb2c89b485f49cf055d12f50fdb9b55  19.0.0-3-g631c6ba+27                     obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,geom
obs_lsst                  c490c78ef67fec70dbacb7d65957eb49567cc6ea  19.0.0-71-gc490c78+1                     afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
ap_verify_testdata        950faa2986e21ee6aae6f8c78afdfe73b085a6f3  19.0.0-3-g950faa2+7                      obs_lsst
obs_decam                 fa6e18eba8ab96dca76b6651e5d8ffd804b94f07  19.0.0-34-gfa6e18e+1                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  19.0.0-1-g90fac64+66                     obs_decam
synpipe                   3d1650172eeda82e2f7d64c2860513625779cc30  19.0.0-4-g3d16501+27                     daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_subaru                b16ae2ccf59007cddc17ca1fa9b1883364caa0a9  19.0.0-62-gb16ae2cc                      daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_cfht                  38158d1c352e1d543462e80290bcfd231b4b671c  19.0.0-4-g38158d1+27                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
lsst_dm_stack_demo        51ec697d17ca47f39e79b59d1897267351ec0a5f  19.0.0-5-g51ec697+27                     utils,sconsUtils,obs_sdss
pipe_drivers              039c0b5d117cc3b8b1c92d6583cc34fd3dc56bc2  19.0.0-7-g039c0b5+25                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+295                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
jointcal                  4a5fae60d6d55da25818816c6a177c3cc5c4e321  19.0.0-10-g4a5fae6+13                    sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal,obs_subaru,obs_decam,obs_cfht
lsst_obs                  9569ba20bd3ab20600da9162cd220cca1e594859  19.0.0-1-g9569ba2+38                     obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   563b57e9ae5479d228d65eccb8035bca4dee9f43  19.0.0-9-g563b57e+27                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
cp_pipe                   32a200ec5c58a50283f7293ef49ecc410406115e  19.0.0-19-g32a200e+7                     pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_drivers,pipe_tasks
validate_drp              5b123b5b1b29601c855f1fff82a883f5c28978ed  19.0.0-17-g5b123b5+15                    utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_apps                 b3c0038b24fdbb7d2fec4a9d1fafdb31beb6da64  19.0.0-1-gb3c0038+36                     meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 314d76e99ab5b1ff19dda8423d6eaf14228ca7f6  19.0.0-15-g314d76e+7                     utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,ip_diffim,ap_association
fgcmcal                   1f84a6d0bea929ad631a9894bcef4e080256fb6d  19.0.0-25-g1f84a6d+8                     sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal,obs_subaru
lsst_distrib              c154f85acc49bb082938c283f7b52dce6afd4be0  19.0.0-1-gc154f85+82                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   c0a0911cc98a0cd7714e43e90f51bc751e5fb6f9  19.0.0-6-gc0a0911+30                     lsst_apps,lsst_distrib,lsst_obs,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
