# product                 SHA1                                      Version                       
BUILD=b4887
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  19.0.0-1-g6adf0a0                        
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
fgcm                      2c16a2033a3246d18772f644765e1d28a65113ce  lsst-dev-g2c16a2033a                     
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  19.0.0                                   
sconsUtils                1fb10ab5aa3a5cd27d6d2968b9ecc7a53680e529  19.0.0-2-g1fb10ab                        
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
afw                       d98cb7f78650d9717f633d7bc099f7dfa4f2ccb8  19.0.0-22-gd98cb7f78+2                   daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
display_ds9               5e94dc7f2bde9f54583a6adcc246c64f83e264b2  19.0.0-2-g5e94dc7+3                      afw
daf_butler                6ff082485bb55572b2acb90820f7b82fc498524b  19.0.0-74-g6ff08248                      sphgeom,sconsUtils,utils,astro_metadata_translator,geom,afw
dax_apdb                  bea416a3463aa589a5e657b1bfbfa8f9724734fb  19.0.0-3-gbea416a+3                      afw,pex_config,sconsUtils,sphgeom,utils
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+36                     afw,geom,log,firefly_client
shapelet                  2ed0b45ebd7a546a8db472a0cf74225983b38b30  19.0.0-2-g2ed0b45+3                      afw,sconsUtils,geom
pipe_base                 fb21c91eb66226c1c37cb28a543beddf2fe7d6d3  19.0.0-18-gfb21c91+9                     daf_butler,daf_persistence,log,pex_config,utils,afw
skymap                    822544a2a7c9131003c9d43b2fa3ae945210f66b  19.0.0-2-g822544a+9                      sphgeom,geom,afw,daf_butler
cbp                       9e21e89f200529866a8f5f2850cc78ad7b203b00  master-g9e21e89f20+3                     geom,sphgeom,afw
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+21                     utils,pex_config,daf_persistence,log
display_matplotlib        9629746ea9042b08be7c73bcae436179209e6e80  19.0.0-3-g9629746+3                      afw
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+21                     ctrl_orca,pex_config,utils
ctrl_pool                 57fcecc28b8de13c233ed9f0909721017e94b831  19.0.0-3-g57fcecc+9                      daf_persistence,pipe_base,log,utils
verify                    6b8043e3f0b3a63416bee416f92ba0172a23da54  19.0.0-13-g6b8043e+5                     sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_mpexec               6dcdfc0b8e36b47803f68f2213d223701974adca  19.0.0-15-g6dcdfc0+1                     daf_butler,log,pex_config,pipe_base
obs_base                  ee00874bc2afbcbd984857f8e52a908f58ae91ad  19.0.0-59-gee00874                       daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
coadd_utils               15ad1b6caa440d03610133d2a32877abc7b48567  19.0.0-2-g15ad1b6+9                      afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+51                                ctrl_execute
obs_test                  309d03d0c6e9b1f9baca70ef7353dde3cde20ec1  19.0.0-5-g309d03d+5                      afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_base                 b7501004c2aae0cc18babb18703336dc630d762f  19.0.0-8-gb750100+9                      utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+90                                obs_test
meas_extensions_simpleShape b013ac28fcf1bb064e0337a02dc75e6416e35f10  19.0.0-2-gb013ac2+9                      sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_algorithms           de1f5b76ddb0f68fde5bd86412bde433231d9177  19.0.0-17-gde1f5b76+10                   astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_modelfit             4aaee92303d2f814143decc51c318cbcadcd373a  19.0.0-6-g4aaee92+10                     afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom
meas_extensions_photometryKron a3b31f83fe50cc4f66fe26bd397ef95aacfe4ba4  19.0.0-1-ga3b31f8+10                     meas_base,meas_algorithms
meas_astrom               c851abf2e08234a110d1da13370bd34077caed00  19.0.0-3-gc851abf+10                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_extensions_psfex     d82b0d58b0bd0e5f2a47c56666d1722e7a3b3267  19.0.0-2-gd82b0d5+10                     afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_shapeHSM  d0d6709773f0939f134ae08b14f197f8466d63b7  19.0.0-1-gd0d6709+10                     meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_extensions_scarlet   41ce1685be608b76f2454a8c25cb8497b3dd85e9  19.0.0-8-g41ce168+10                     base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
meas_deblender            c799371032baf77eb158722f70daa3794ba451b8  19.0.0-4-gc799371+10                     afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+93                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
ap_association            e32f2373d2d313066d5a719ec5cac5923ce0f7f6  19.0.0-18-ge32f237+10                    afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify
ip_diffim                 12a598f6a153be82e3869cc1299b677fc9e3ca6c  19.0.0-20-g12a598f+7                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
ip_isr                    4cc2bcbabe1e1f17f9d377464d6873ddc294326c  19.0.0-23-g4cc2bcb+7                     meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
cp_pipe                   7d4766374b08ed5b6129aace0d62a41a208d063c  19.0.0-15-g7d47663+7                     pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
pipe_tasks                5d40e1c733aa8f77bb63bebcb839a87c11ca980f  19.0.0-59-g5d40e1c7+3                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_subaru                f51b6cb0fb1ed43e93f896a660bb6c155644358c  19.0.0-46-gf51b6cb0                      daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_ctio0m9               96ffb038cc1878588fc008edc6410ba839c1de5b  19.0.0-1-g96ffb03+10                     afw,daf_base,obs_base,pex_config,utils,ip_isr
obs_lsst                  7034228d3e96ec1286da397ab09fcb6dc60a5c70  19.0.0-55-g7034228                       afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
synpipe                   3912c24f050a509cf3b7eebd1885a1bbf5ad26d9  19.0.0-3-g3912c24+1                      daf_persistence,pex_config,afw,pipe_base,pipe_tasks
pipe_drivers              ac6c5c441197abca6f9b0b2049bee0ca4e5edd27  19.0.0-5-gac6c5c4+5                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_sdss                  b993d363e0fbf05126a725a9abbcf0f949b2d067  19.0.0-2-gb993d36+10                     obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,geom
obs_cfht                  54c4654322b5b679e8d1c4216e446c271021d966  19.0.0-3-g54c4654+10                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
obs_decam                 09ddfed53eaa94f11092bf46df14a6081c2470fc  19.0.0-24-g09ddfed                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
lsst_dm_stack_demo        2a1781d4f44e8d4c4001fbbad0772e43f5bd54da  19.0.0-4-g2a1781d+3                      utils,sconsUtils,obs_sdss
validate_drp              7d67e4e4123c853557578eb4ea885c63f0bdea71  19.0.0-15-g7d67e4e+10                    utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+268                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  19.0.0-1-g90fac64+38                     obs_decam
testdata_jointcal         362a3234dc7a7f42199514cee1e96813ba13be8b  19.0.0-4-g362a323+8                      obs_cfht,obs_decam,obs_subaru
lsst_obs                  9569ba20bd3ab20600da9162cd220cca1e594859  19.0.0-1-g9569ba2+8                      obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
jointcal                  ce3e38655943e83038de08211b8dd93fbfc679c6  19.0.0-6-gce3e386+10                     sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   3336a1edfdfafd9d9cb68c6a80917f68f8c5a3bb  19.0.0-20-g3336a1e+10                    sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal
ap_pipe                   326ba0f25baf62bc1d9f0b6e764731527699cd31  19.0.0-8-g326ba0f+14                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
lsst_apps                 b3c0038b24fdbb7d2fec4a9d1fafdb31beb6da64  19.0.0-1-gb3c0038+8                      meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 697e78b421aabff5394bbe3b9fa412b146df0513  19.0.0-9-g697e78b+10                     utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_distrib              c154f85acc49bb082938c283f7b52dce6afd4be0  19.0.0-1-gc154f85+51                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   7bab7c0f3971c0298f9127ff74706dce902d661e  19.0.0-5-g7bab7c0+4                      lsst_apps,lsst_distrib,lsst_obs,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
