# product                 SHA1                                      Version                       
BUILD=b3093
throughputs               a2c42b22535bd32af55c78f5e76c10b1761608b2  2017.01.31-5-ga2c42b2                    
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  13.0-1-g2bee09e                          
starlink_ast              6ab8ff23d81fa8f7ba2c72c4aceca2220468fff8  lsst-dev-g6ab8ff23d8                     
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
gsl                       a5b7ea77e0be9d4f91e1a71ec7b08db0bdbf6e58  1.16.lsst3                               
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst4-1-gf398627                    
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
sims_data                 dac76d2d31a18efd420080cf729efcfc59b66910  2015.02.05                               
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
doxygen                   e029824f5d89fabc41b7697c194c84e100f6a74f  1.8.5.lsst1-1-ge029824                   
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  master-g6f4b1f770b                       
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
pex_exceptions            50559bf8ec8bcaec04ffc51be7894af535e44d28  13.0-2-g50559bf+2                        base,boost,pybind11,python,python_future
utils                     b7ca535d296da14be4b24e30b13e92d04b1455b5  13.0-8-gb7ca535+4                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  13.0-2-g167564e+10                       utils,pex_exceptions,pybind11,python,numpy,python_future
sims_utils                7e50eda3d1e39c8a6f319ceb0b1bc8fd57e22353  2.3.7.1.sims-1-g7e50eda                  utils,python,python_future,palpy,astropy,healpy,sims_data
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  13.0+5                                   sconsUtils,python_future,utils
sims_photUtils            1b6ed13048e049c295ba601775586c99977b793d  2.3.7.sims+4                             utils,sims_sed_library,sims_maps,sims_utils,python,throughputs,astropy
log                       eef1ef2785e6c6693c8d650320b1891274f88401  13.0-6-geef1ef2+10                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_skybrightness        3b407a93755d60e42da03d0f173f0c893e903d73  2.3.7.sims+2                             base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+17                       daf_base,utils,python_future,pybind11,python
verify                    dec7a2c927e4070d433010f1a81b2a2eb2f2d8f5  master-gdec7a2c927+4                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_config                520d906c05ccfeaad9795015443f66a97624ad6b  13.0-3-g520d906+6                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
sims_survey_fields        ea47ccccee7fe7dd902e110875e1b13bbbff2743  2.3.4.1.sims+5                           numpy,python,utils
sims_skybrightness_pre    558b32b4fdca57f79f7f5452813f3336f2c9afe9  2.3.7.sims-2-g558b32b+2                  numpy,healpy,sims_utils,ephem,sims_skybrightness
db                        5a74774918e1600d25d388733ea843dfe7b07b73  13.0-2-g5a74774+12                       log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
daf_persistence           48013df8d30a85863377ea719818e21ed526f0ce  13.0-31-g48013df+4                       log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
sims_catalogs             bdc9b3437d0242a71aafe68c9873573616f53630  2.3.7.1.sims-1-gbdc9b34                  daf_persistence,python_mysqlclient,pymssql,python,sims_utils,sqlalchemy,utils
afw                       a1c44404738dcd73ff400e3bcd176ffe4dd51aab  13.0-94-ga1c444047                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
cat                       cebd4ec1ea3825751927211885031a0fc4758622  13.0-3-gcebd4ec+16                       python,mariadbclient,db,sqlalchemy,utils,python_future
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  13.0-2-g6174d4c+53                       afw,xpa,python_future,pybind11
shapelet                  de6b2c85d75430f633c7b3a890123430dd51489d  13.0-5-gde6b2c8+13                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_orca                 fa178eb107460a2fe8e10f7aab512f176bb2474e  13.0-4-gfa178eb+21                       python_future,utils,pex_policy,pex_config,daf_persistence,log
skymap                    2a407664ddc6d2bc303483658fc287ed01844fd2  13.0-5-g2a40766+26                       numpy,afw,healpy
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+93                                  utils,pex_policy,geom,afw,python_future,sconsUtils
obs_base                  52e9227065f8b7e39f8d44b6aa75b0aeb76a972c  13.0-42-g52e9227+3                       daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
ctrl_execute              3d2a4898d20aac7dcb16357a5bd965999ef5e995  13.0-3-g3d2a489+3                        python_future,ctrl_orca,pex_config,utils
obs_test                  bb93d41a826f70f947cd7b63bbee39efaa7cad5a  13.0-10-gbb93d41+31                      afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 af0c0ec8abae6c92bfa668eb0eec21617ed892d9  13.0-12-gaf0c0ec+8                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_platform_lsstvc      d7f6e4dbf2725da156bdcded9ba88939c82917af  master-gd7f6e4dbf2+27                    ctrl_execute
ctrl_pool                 f96f8eccd3d8d7e308030fb28f97330320176ffd  13.0-6-gf96f8ec+35                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               4231ded02a9f5bf75f6db3117723e2675e612091  13.0-4-g4231ded+31                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 0f127ff323453fb7727b6e434d55019f21a7b94b  13.0-26-g0f127ff+5                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           c4ad422833732cd9c50c16cc06ac9cd4e4da9367  13.0-18-gc4ad4228                        daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    d4b2922030bc5995a5caab39466034589ce6685a  13.0-13-gd4b2922+22                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_psfex     d2c5893a2643a14eddadece3317dab2ced818bd4  13.0-5-gd2c5893+45                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_photometryKron d233a4b1279de31cd2605b92940c405738ef7e17  13.0-6-gd233a4b+11                       meas_base,pybind11,meas_algorithms
meas_astrom               94154427a1e5dbf7e918566b8840a406c0bd13cd  13.0-14-g9415442+43                      afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_shapeHSM  b78e8c88334b6ec70c7f59faaa7f861c33db703e  13.0-8-gb78e8c8+44                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
coadd_chisquared          3542790afafb2d747242cd3aaf1882ceb79e5d5c  13.0-3-g3542790+31                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_extensions_simpleShape 9123d3bf16ab37152cdfc63a934608a1be58e5ee  13.0-6-g9123d3b+11                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_deblender            0251d745fcb103d68e7396bddcfc348e5dad5e91  13.0-12-g0251d74+23                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
meas_modelfit             4e343887d9b6b8a98216079add23a0b1cc0583f5  13.0-10-g4e34388+11                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_diffim                 3839dbbaa99d969e6e523940d6527fde20504db8  13.0-22-g3839dbb+23                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_convolved affd61045347c2e637954059a732b9a9bb35a2d0  master-gaffd610453+26                    meas_algorithms,meas_extensions_photometryKron
meas_extensions_astrometryNet b035c22750eb8b10e2dbaabcdea53f25b5ab8e6e  master-gb035c22750+17                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               67ba4a8e54a06b8ad0a126256180f8eb370fcdb4  13.0-3-g67ba4a8+41                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                c325bc5f916107f3ff54e5b16ffdd5fade3b5519  13.0-54-gc325bc5f                        afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_cfht                  451d2d8e39eceb82ba503c95be02789e0bc52f2b  13.0-11-g451d2d8+30                      daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                79ed8b21d5dd964ac7ef88852aa2453a1ee26f2f  13.0-43-g79ed8b21                        daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_lsstSim               cd346b3e2d3ff0901e8fb79b51b91120f26d76f2  13.0-14-gcd346b3+27                      daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
obs_sdss                  507a745b07f6c8a26fd55f47db424bbc0a3b6af4  13.0-8-g507a745+31                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
obs_decam                 5323ca4143ada292c10c51051525947038cb8217  13.0-20-g5323ca4+19                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  13.0-1-g46ffeb4+49                       ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
testdata_jointcal         9b8753233af4af64f1a2b3bc3edf74e9802696bc  master-g9b8753233a+40                    obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  9041cab851750a88e29d543dc60c1bcebb5c3366  master-g9041cab851+12                    scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
pipe_drivers              3ce57e5743586f1dd8339e3055cfe4c25d206a12  13.0-17-g3ce57e5+36                      ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  13.0+85                                  obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  13.0-2-gcc7d151+69                       meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
sims_coordUtils           e146d893454a3ec27be50b2e4377d83cb7c5bc8b  2.3.7.1.sims-1-ge146d89                  base,python,utils,afw,sims_utils,obs_lsstSim
lsst_distrib              2f779aefb5ac731d9f6aa2166a41fa1fcb73b271  13.0-4-g2f779ae+51                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal,verify
sims_maf                  a5a0425dc84588fffe54b97b68571bfba88ccb2b  2.3.7.sims+4                             base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_catalogs,sims_photUtils,sims_coordUtils,sims_data,sims_maps,obs_lsstSim
sims_catUtils             1696ba1089dde60cf5631cb645b9142d64b1ae66  2.3.7.1.sims-1-g1696ba1                  utils,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_alertsim             1cdba7f23455b200bfb354776cb968653a4b9132  2.3.7.sims+4                             sims_utils,sims_catalogs,sims_catUtils,python,pymssql,daf_persistence,astropy
sims_GalSimInterface      8e2ecd635afcdd6359862887bbf7f71a1ecd52a9  2.3.7.1.sims-1-g8e2ecd6                  galsim,astropy,meas_astrom,afw,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 8f9e189509d4dd93efaa69e1ec3e0b3d3a619904  2.3.5.sims+9                             sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,sims_alertsim,ephem,sims_survey_fields
