# product                 SHA1                                      Version                       
BUILD=b3783
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
meas_modelfit             ce733cf9bba1937662e902541ee4abf38ac5a870  16.0-11-gce733cf+7                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_astrom               7547e25d54442a0adbf2f205568df5b8e5541632  16.0-10-g7547e25+2                       geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_astrometryNet 347813efea3778e16147d63a132275d078525764  16.0-4-g347813e+16                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_deblender            37292d515e9779ceb94b785e57320079c7999d25  16.0-7-g37292d5+6                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_isr                    2c7e7ecd167939f7301f0e48750f2fcc5d49b804  16.0-7-g2c7e7ec+8                        meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_psfex     c315727405e0f7d7559df60255b4d2b27f2c0a0c  16.0-8-gc315727+6                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
obs_monocam               379f3cef56948c0ddb1e3322774e956d3075ccb3  16.0-2-g379f3ce+11                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
meas_extensions_shapeHSM  3a22acd17fa2782ea12fc093df05a2e33522b130  16.0-5-g3a22acd+6                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_photometryKron a5d8928b6df40e9ac2b7f10ca501bc2c0a5f2be1  16.0-4-ga5d8928+6                        meas_base,pybind11,meas_algorithms
ip_diffim                 4aca1734ef2b5856130496375cb6546b4dce3865  16.0-8-g4aca173+17                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_convolved a36a39fbe29cc0aaf92c6f60739eb9e1f8827c27  16.0-3-ga36a39f+6                        meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               324726013e315847439e1d811718724ce1cb13b1  16.0-1-g3247260+33                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr
pipe_tasks                85846a17aee3af36a18462c61e5f08b1bc00e890  16.0-12-g85846a17                        afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_cfht                  d82908a437365592da9b5c7e9b9ce9acd08c56b7  16.0-2-gd82908a+30                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,testdata_cfht
obs_lsstSim               798650171ba8c30cb2f73445d2f3c862052de0ce  16.0-4-g7986501+19                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_decam                 b463f2d0e3a4dfae71c28c26eab705c223af77be  16.0-4-gb463f2d+17                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
synpipe                   7690030b7dc75ab983d9e9f9d17a2ce698989b58  16.0-4-g7690030+17                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_sdss                  44ea68fe555ac4e03ba8b0fffcd087cf5af1c151  16.0-3-g44ea68f+31                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
validation_data_cfht      d5cd87faf43f4e2f52a8945afc70d0d5fc35be7c  16.0+36                                  obs_cfht
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+178                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
pipe_drivers              17aeff36906dacf6936649c610ed458bd52b2cfe  16.0-4-g17aeff3                          ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
obs_comCam                ea0335721f22078adc5d9a770aeebc9d698c72d6  16.0-2-gea03357+1                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_subaru                b58d072b3b3cdef4fa9e8ebe99badd7bf9d22268  16.0-20-gb58d072b                        daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+19                       obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validation_data_decam     5fdc4fd1082845b36d3886d5724e4d8d3e74c041  16.0+36                                  obs_decam
validate_drp              f51232b7f7f773be96b0687007612599158993e7  16.0-9-gf51232b+6                        python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+99                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+39                                  obs_lsstSim,obs_cfht,obs_decam,obs_subaru
meas_mosaic               3775aa71e62e2a08c9511ec890696330c1efa71e  16.0-10-g3775aa7+2                       sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
jointcal                  8e16a5178727828e4f1d75903244e2376e73a1f9  16.0-15-g8e16a51+1                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              da316d8ed5fcfdc1ad1c8dd70c43df304f0dadda  16.0+41                                  lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
lsst_ci                   b670d9483baf6760b991711ee7d46cbf9ba3d786  16.0+40                                  lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
