# product                 SHA1                                      Version                       
BUILD=b4133
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  17.0.1                                   
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  17.0.1                                   
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
display_firefly           5b7419b0280ac60d7a32226e1edcb4034d0b37f3  17.0.1                                   afw,log,firefly_client,python_future
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0.1                                   python_future,utils,pex_config,daf_persistence,log
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0.1                                   afw,matplotlib,python_future
daf_butler                231448daca3ba602097141a85d59bdff489024be  17.0.1                                   sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
display_ds9               10fc6857bf204c0411f5de9c950895f731f12923  17.0.1                                   afw,xpa,pybind11
skymap                    a33d1f2b1bd913cc288bb2a73e75dd910d7f41a9  17.0.1                                   numpy,sphgeom,afw,daf_butler,healpy
ctrl_execute              609bcd0aaf14039c9ec6cbe251c4f2edf7f495ba  17.0.1                                   python_future,ctrl_orca,pex_config,utils
obs_base                  d7987ad7aef52909dbbf7bf6a212c86581322b31  17.0.1                                   daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
obs_test                  8f68b0aaa282ba729d821a176f66e081c3300711  17.0.1                                   afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 c7333cb67d9248973f51f7239c12997edaeaecd8  17.0.1                                   daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0.1                                   afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_platform_lsstvc      817d9558669f49bfc7333e6765e3300a0ffb5ad6  17.0.1                                   ctrl_execute
meas_base                 0e05fd47eb2a4df60099c7e8d6cefb84ecfc5d98  17.0.1                                   utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0.1                                   python_future,daf_persistence,pipe_base,log,utils,mpi4py
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  17.0.1                                   obs_test
ctrl_mpexec               ca31c86dbb4e17ae17e5d3ee55afb42992437911  17.0.1                                   daf_butler,log,pex_config,pipe_base
verify                    54552098ded67551cebeca90a077de402d8e4568  17.0.1                                   python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,verify_metrics
cp_pipe                   7235603353573bc2aeac5d944ed7c18f12a667d9  17.0.1                                   pex_config,pipe_base,daf_base,log
meas_algorithms           31fb3001f31830c5ef78f277d19855fc9bcd06df  17.0.1                                   astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_modelfit             15e2d33a33394cb438b8489feaa30ddf294a6d7d  17.0.1                                   afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0.1                                   scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_deblender            bf5c1cbdd221fa6c3f239e3a73edbac1064ba5d2  17.0.1                                   afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_psfex     71e5ef5b6325f56642d3e15eb65d2af8f2ce32b4  17.0.1                                   afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0.1                                   meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ap_association            2cd068832ac0e79d7d673b2f646a89b470784c18  17.0.1                                   afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,numpy,scipy,python_future
meas_extensions_photometryKron 14ebd580c74ae73a982341b3f349e7db15156838  17.0.1                                   meas_base,pybind11,meas_algorithms
ip_diffim                 af5f65cb0c0e76dbae41bbcdcdf05e5d31303c99  17.0.1                                   afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
ip_isr                    62d80609fb4cd045a91c3fd06bb6591a0abf87b5  17.0.1                                   meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0.1                                   meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               1ba1b1ae8892b59f29856e49a6b970474d839213  17.0.1                                   afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_astrom               3039b4f561c4fc5540510282ac9a2563a048eac3  17.0.1                                   geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_astrometryNet e6233d703a7a60630b6c3efb598753dada7ef2f4  17.0.1                                   afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  17.0.1                                   afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                8e97068c45c2d977671c8a692fb4678559ea5264  17.0.1                                   afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_sdss                  d009fa12cefd093771127a01af598839c130092d  17.0.1                                   pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0.1                                   afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
pipe_drivers              56669bfe9f2b242c91b9d281562c70089f8b96db  17.0.1                                   ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
obs_decam                 a20f992d7435f0eb956c0094410ec49a651fc4fb  17.0.1                                   utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_lsst                  690f13923dc94b02ad8106b1c6d0a0bbc58db9da  17.0.1                                   afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
synpipe                   4cec79cd39b1cd8a0a1b970117bcb49d4b5e2023  17.0.1                                   astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
lsst_dm_stack_demo        4d337feea1ed623984ebd46d251f725df305930b  17.0.1                                   python,utils,sconsUtils,obs_sdss
obs_cfht                  95966f5357e473286a1739ed95474a2fdd92ea3c  17.0.1                                   daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0.1                                   obs_decam
obs_lsstSim               8db803037e720087df02e4c5b4529ab5ef845f9e  17.0.1                                   daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0.1                                   obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_subaru                2bf88c58630759ba98e56ce77853d1146a6f9caa  17.0.1                                   daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ap_pipe                   2d30bed2054d4adbf33c8dbdddaa109aa908c322  17.0.1                                   utils,pex_config,pipe_base,pipe_tasks,ap_association
ap_verify                 f24e082aabf167fa5e2c210eb9abf019e7f1ea93  17.0.1                                   python,utils,afw,daf_persistence,ip_isr,pipe_tasks,verify,ap_pipe,ap_association,ap_verify_testdata,obs_test
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0.1                                   obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         3d781f34024308d896902f40e3f1e9abea6d2bcb  17.0.1                                   obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0.1                                   meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  88a4f2387f525fe98444dfd75070dbad8328ca1a  17.0.1                                   scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   434ef062eb23c01484fb6353d251487872e85689  17.0.1                                   scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0.1                                   obs_cfht
validate_drp              32884e291ad911dc110b28e818396398326e28e6  17.0.1                                   python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
meas_mosaic               110d9e1b331bc3948377b0499cb6291850793d7e  17.0.1                                   sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0.1                                   lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0.1                                   lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
