# product                 SHA1                                      Version                       
BUILD=b3479
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
starlink_ast              eaa6eadbc4d4141dce2674cfea4f7dedb46f4930  lsst-dev-geaa6eadbc4                     
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
eigen                     8975fe89fd38377033bee504d32c695b077da748  3.2.5.lsst3                              
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
pybind11                  bfe630dada77c6421032137d69208da9379e5e62  2.1.1-1-gbfe630d                         
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
xrootd                    344ca073bb84dbb7219d4656a5ac6b778194de98  master-g344ca073bb                       
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
matplotlib                b4501be95a59aa8050fc6577f05cdf17be165b2d  2.0.2                                    python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+5                            python,numpy
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
galsim                    ad0dd4889388d16c4c2aa835199eda3a6b4a8101  1.5.1.lsst1+1                            numpy,pyfits,python_future,boost,fftw,tmv,astropy
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+6                                  python,numpy,scipy
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
psfex                     823d0e4aa968bf7d3f0195271bc17619d4c16642  14.0-1-g823d0e4+6                        gsl,sconsUtils,fftw
base                      6668b0b9773799502606e659ba5106c05b7d31e6  14.0-9-g6668b0b                          sconsUtils,pybind11,python,python_future,doxygen
verify_metrics            586ef34a9f46e06b52312880c11d2ced006e8236  14.0-2-g586ef34+5                        sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+27                    scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+23                               sconsUtils
astshim                   77a82f32a29f90ae1c6369a556c482183601c9c9  14.0-18-g77a82f3                         sconsUtils,ndarray,numpy,starlink_ast,pybind11
validate_base             24db930f3a0533e7a26decaa2309882068135602  master-g24db930f3a+22                    python,python_future,pyyaml,numpy,astropy,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+11                                  sconsUtils
sphgeom                   110c6f4958a02f2268ffde0a7f5b5b35aa1c2c7e  12.1-4-g110c6f4+24                       base,sconsUtils,pybind11,doxygen
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+12                       base,boost,pybind11,python,python_future
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+43                       boost,sconsUtils,sphgeom
utils                     aad1ee237dac59edb0cd17e7d96f1023d0fca085  14.0-10-gaad1ee2                         base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+14                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+19                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
daf_base                  744ff5f0914b46439ccfb6ee4ac298d27cfe019d  14.0-5-g744ff5f+6                        utils,pex_exceptions,pybind11,python,numpy,python_future
cat                       ddbdf7dd8362b742c25a479a0ba9b7baca0ef58d  14.0-2-gddbdf7d                          python,mariadbclient,db,sqlalchemy,utils,python_future
geom                      7257b6a3be8e05004b33a8540313e2b23a29dbfa  14.0-1-g7257b6a+16                       sconsUtils,python_future,utils
qserv                     1bef3d1fbaf26a01a285ede69983b33fd2ab2335  12.1-140-g1bef3d1f+3                     antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
verify                    444b9f07dc7e54b1dfb11c8e191b1c4d98f3dd23  14.0-10-g444b9f0+6                       python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  14.0-1-g4b114ac+18                       daf_base,utils,python_future,pybind11,python
qserv_testdata            0fcb2ffa959fb906bbec8fd3fe1dbafdba04d3cf  2016_08-4-g0fcb2ff+46                    python,python_future,pyyaml,qserv,scons,sconsUtils
pex_config                ae1598d582b523b6b9350db62a10782e149bea76  14.0-4-gae1598d                          daf_base,pex_policy,numpy,utils,python_future,pybind11,python
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+136                   qserv,partition,qserv_testdata
daf_persistence           d412284d77daab81ca334eacee828c86fc79f474  14.0-15-gd412284                         log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
afw                       fbf220870196397bf06d10463a0deeb41cf942db  14.0-56-gfbf220870                       daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,astropy,matplotlib,afwdata
shapelet                  e6e5c2df0ea71d4a28a26578924574da55ef6e78  14.0-1-ge6e5c2d+51                       afw,numpy,scons,sconsUtils,pybind11,scipy
ctrl_orca                 731862bdbdf17c63823be84e5cb821ccabb0f699  14.0-1-g731862b+5                        python_future,utils,pex_policy,pex_config,daf_persistence,log
display_matplotlib        b963a833dc6558b1cea12876002c314510278562  master-gb963a833dc+26                    afw,matplotlib,python_future
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  14.0-4-gc2b038a+15                       python_future,ctrl_orca,pex_config,utils
display_firefly           f2f569af731faefa29815dec31e942b2328dec9c  master-gf2f569af73+1                     afw,log,firefly_client,python_future
obs_base                  d4c92d767561194e54ea1504820c9940a3d27120  14.0-28-gd4c92d7+2                       daf_base,log,pex_policy,daf_persistence,afw,pyfits,utils
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  14.0-2-g3865e40+15                       ctrl_execute
obs_test                  56b2ea8eef9b5759ff1bbe4d541acf45003f8915  14.0-8-g56b2ea8+2                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,python_future
skymap                    3609236c8b3caebe32fc9b619541bb650e33f4f1  14.0-4-g3609236+10                       numpy,afw,healpy
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  14.0+53                                  afw,xpa,python_future,pybind11
pipe_base                 e2c94872c078075c80fa3b607f331634cc3c5735  14.0-6-ge2c9487+57                       daf_persistence,log,pex_config,utils,afw,python_future,obs_test
cp_pipe                   cb87133ace977106f58d484115ed4da8f68d311a  master-gcb87133ace+5                     pex_config,pipe_base,daf_base,log
ctrl_pool                 388e49442cb8905f1cac63599327ac50a1e59ba7  14.0-3-g388e494+11                       python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               fce6a493a2e80d38401711d018f588e8ab5ee8cd  14.0-1-gfce6a49+14                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
meas_base                 b9e430aa51b707c9e3678d8277eadb4198b4899a  14.0-21-gb9e430a+10                      python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape e99322959261b2bf680d703f86faeeb47e9d157c  14.0-1-ge993229+63                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
coadd_chisquared          6829aa7f58c7a53d511941274f2eb6cccfa7e3a1  14.0-1-g6829aa7+14                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_algorithms           f7dca96402cda034104c615be7ef821ab3aa9ea9  14.0-18-gf7dca964+12                     astshim,daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_extensions_shapeHSM  e3485078ea1ea2c953a811ca856df65defee0f13  14.0-4-ge348507+13                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_psfex     e3897b5088a0df6350863eefe9c6ae071d534093  14.0-2-ge3897b5+13                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_deblender            8b7e8552867348d1fbf5dd3c66f3f49ff89c2326  14.0-1-g8b7e855+66                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 76645821ac5533884e1d73dd6869a99c112723a1  14.0-11-g7664582+3                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_modelfit             da7b0c72e5c851a63b4a82ae521de16ecc6c62e2  14.0-3-gda7b0c7+13                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_isr                    2094653006339e0cdcd761089618adf74d8c61dd  14.0-10-g2094653+10                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_photometryKron b66b1ef86ecb44ba2b890e054621f438f1dd0ba7  14.0-2-gb66b1ef+13                       meas_base,pybind11,meas_algorithms
meas_astrom               0d69b06f1d4b5aed15ca5962bc609093e42ba65c  14.0-7-g0d69b06+14                       afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,python_future,matplotlib
obs_ctio0m9               fb7ed00569e16a8e0785655aa8e3d95595c1ddda  master-gfb7ed00569+1                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr
meas_extensions_astrometryNet 519ff978fa8fd669da3308833b2808ba4e3ed595  14.0-2-g519ff97+14                       afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_convolved 774bb8a00a30b9afbb5b8e95d62e3f5dfa4cbae2  14.0-1-g774bb8a+13                       meas_algorithms,meas_extensions_photometryKron
obs_monocam               baee053fcde7b2bb0a4edadb094c00a027d929a1  14.0-3-gbaee053+1                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                87cac09308de6e80a6841c9995d120817fea3225  14.0-53-g87cac093+4                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_lsstSim               b4cc0c442e03120a3e9383ee1b3b5c42c57d68db  14.0-11-gb4cc0c4+2                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
obs_subaru                de04108fd223f313ebfce34bac136ef33c0750b1  14.0-38-gde04108f+1                      daf_persistence,obs_base,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_comCam                dba9b87f270276419d9db7d50a4db75c8a21dd8b  master-gdba9b87f27+1                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_sdss                  9b2c2469a56c8a03844d7831546af14827f7b371  14.0-9-g9b2c246+1                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+76                                  meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
synpipe                   5b975e8f942a3e6ddf0ee512ff9480a9c5dda621  master-g5b975e8f94+55                    astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_cfht                  f11a69727be80d44df933f87628ad8bd4c2d3683  14.0-6-gf11a697+7                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_decam                 8a7a6f39e33c69437744eb2339e1bdafe492c87d  14.0-9-g8a7a6f3+7                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
pipe_drivers              302974981b4c7d7d673756e37cce5f19c846fc72  6.0b0-hsc-20-g3029749+12                 ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+154                   obs_cfht
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  14.0-1-g89eebdb+78                       obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
datarel                   46ffeb48efd2142c7dce67b69e1b8c4202801e07  14.0+73                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
validate_drp              c81b52470d742b59c38281e82da8a1697b1b5109  master-gc81b52470d                       python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
testdata_jointcal         67a995fddc9064272b57ed9f5933eab176f1d700  14.0-1-g67a995f+75                       obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ci_ctio0m9                be69b68c0a56247e9001f0aacf3f1f5bc4ca8671  master-gbe69b68c0a+85                    obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
jointcal                  a47eb890e38713cb24573d0e86f5818bf509746f  14.0-27-ga47eb89                         scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,testdata_jointcal
lsst_distrib              dba0111d2d235f29d5decf420c66817cfebc206e  14.0-5-gdba0111+20                       lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp
lsst_ci                   26753debd6ac7ed5c8ab66ea43c9f51223d2a7d5  master-g26753debd6+30                    lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
