# product                 SHA1                                      Version                       
BUILD=b5493
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  21.0.0-2-g294ccec                        
astropy_helpers           9c76ab20764baf2335cbd254d274addf80fd6c80  3.0.2.lsst-1-g9c76ab2                    
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
ephem                     6182364ef5d674c8f0765ee00779fcfe7ab23a50  3.7.6.0-1-g6182364                       
freetds                   0735e0852765cf374c258482c5b9a295c0459975  0.91.112.lsst2-1-g0735e08                
obs_lsst_data             7ccd7437d5e623a67da97dd70389f5e8e6203e2c  21.0.0-1-g7ccd743                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  21.0.0-1-g86cffb0                        
palpy                     a7803970ea9fbca76a1481d3e46fd5b1af9d7158  1.8.1-1-ga780397                         
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sconsUtils                e0be3457b30cd34bc8be7b69cedc6b98a40a8048  21.0.0-11-ge0be345                       
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
sims_maps                 c32f3528de89b0db7ef0d984971a49da3b63e7cb  2017.05.08-12-gc32f352                   
sims_sed_library          5b328a8624af10bcd6eeab6148384ea206a2de43  2017.01.24-1-g5b328a8                    
sims_skybrightness_data   f1b24993bd8437ee33f210b598d66523bedffb07  2017.05.05-2-gf1b2499                    
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  21.0.0-1-g2cc488a                        
throughputs               8905f4dc30e402af34fef43b518b607110ab7f95  2019.07.02-3-g8905f4d                    
utils                     0bf70907a490d742c7bd7c0b5b300c6f0df6391b  21.0.0-6-g0bf7090+18535a8d22             base,pex_exceptions
daf_base                  d7ab7aacaabbeb56a625082aaeac09024cb00299  21.0.0-3-gd7ab7aa+fdc5edd43f             utils,pex_exceptions
daf_butler                6c5b53fb08a2d30fcacf6bcb8c78d3e0562b3f6e  21.0.0-88-g6c5b53fb+7b9a448d34           sphgeom,sconsUtils,utils
geom                      8c1d9715ccfd794127d16b3fb4a810451a158231  21.0.0-5-g8c1d971+7b9a448d34             sconsUtils,sphgeom,pex_exceptions,utils
log                       cc89fd630aeac586b7e651bec63a0326947092bd  21.0.0-5-gcc89fd6+fdc5edd43f             base,sconsUtils,utils
sims_almanac              021b69e146185b5362cbd16f017d3f312930c1a3  master-g021b69e146+fdc5edd43f            base,utils
sims_survey_fields        3f5255daf361aa322d1c4a72f0310a609ecb7052  2.13.0.sims-1-g3f5255d+fdc5edd43f        utils
sims_utils                370dc2927f2007de36475bf517a1499a4b97ac31  2.13.0.sims-46-g370dc29+42515f0895       utils,palpy,sims_data
astro_metadata_translator ffa9b84d570c9dda240a820310bb6db86361a961  0.1.0-25-gffa9b84+5491f2a448             sconsUtils,daf_base
daf_persistence           5674e7b9c39aacc503f2fcb46f066ae3fa467cae  21.0.0-8-g5674e7b+8087abed30             utils,log,daf_base
pex_config                a51b5d4678a70284aacf13abefed49efedf331ba  21.0.0-1-ga51b5d4+5491f2a448             daf_base
sims_catalogs             8bb91368545a551b3b1ea1c25608bd6f9b8897c6  2.13.0.sims-9-g8bb9136+6bd1ac6a7e        daf_butler,pymssql,sims_utils,utils
sims_photUtils            e14a2668a4f874f85074a8d2fc1e37654b70b5be  2.13.0.sims-5-ge14a266+c70f055913        utils,sims_utils,throughputs
afw                       4939cbb3d9e4416b6dd5c2f40f6cf6e070342a3c  21.0.0-35-g4939cbb3d+fb0e51fe34          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
sims_cloudModel           e3724df5295e741076d6596dd9a15e4ab9fb1348  master-ge3724df529+27e4a2d06e            utils,pex_config,sims_utils
sims_downtimeModel        55f72efa65e9793de772e7accf868fc2f569c778  master-g55f72efa65+5ec0ee5327            utils,pex_config
sims_seeingModel          a4bf72ea443f605edd1ad02490135ddf74d679a3  master-ga4bf72ea44+aae4460ea3            utils,pex_config,sims_utils,throughputs,sims_photUtils
sims_skybrightness        6abee38a49928afa4eb09bce69e577992cbe7cc6  2.13.0.sims-8-g6abee38+960590e298        base,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data
dax_apdb                  5242d73e2ffb4e3e611bb88a9ec4d023285edcf1  21.0.0-2-g5242d73+6960a99322             afw,pex_config,sconsUtils,sphgeom,utils
pipe_base                 ddd4cb521bd140a02fd9241ca2d182640fbefad3  21.0.0-20-gddd4cb5+65cad37c35            daf_butler,daf_persistence,log,pex_config,utils,afw
sims_skybrightness_pre    267840f93f0046b9521014c2c34a8a5e099acae3  2.13.0.sims-12-g267840f+9b30bda38b       sims_utils,sims_survey_fields,ephem,sims_skybrightness
skymap                    65b481455761ef12cb9518a3aa7bccbbc3713f14  21.0.0-4-g65b4814+65cad37c35             sphgeom,geom,afw,daf_butler
coadd_utils               7f82c8f19b2f30e66ea09e5d134dfa2e8f2de96b  21.0.0-2-g7f82c8f+67f3a3c28a             afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
obs_base                  60776b08e05467a56a771e6692ce27f93de411d7  21.0.0-53-g60776b0+56e2f390b0            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
sims_featureScheduler     5f42dc1c7639552749a068695000d0d8ca85e032  master-g5f42dc1c76+b468a25ae0            base,sims_utils,sims_skybrightness_pre,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac
verify                    ef2714524c670385b3d66952e0f755e4f9f99964  21.0.0-9-gef27145+0f1421c91e             sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
meas_base                 bc0a1a52e9b7148ab9bd0f2d3c544dd18b455161  21.0.0-12-gbc0a1a5+358ec59a0b            utils,geom,afw,skymap,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
obs_test                  e8a399cea79373f6fec10daa84d7a882ac8bca60  21.0.0-4-ge8a399c+f93516e5e6             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           8939e615d22387393a331492a465b3c983496ca7  21.0.0-22-g8939e615+0812f74ba3           astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
ip_isr                    535a0ce822ab4f2679c4e32ff5a3617ff778b991  21.0.0-17-g535a0ce+795908acd1            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               591bb35590da462f022e8ca2518ab518bb930c91  21.0.0-4-g591bb35+795908acd1             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            7dab645b9782188e2b61cfca652f4708756c1bfe  21.0.0-4-g7dab645+a4f83fa3dc             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_psfex     357aad23dceea12cdbe6ca561815996fa8eb9032  21.0.0-3-g357aad2+25b5a5374b             afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   574b836e3e1589d06130018d7ea10f6684a7c2c0  21.0.0-14-g574b836+8d5af6554b            base,afw,log,scarlet,scarlet_extensions,log,pex_config,pex_exceptions,pipe_base,meas_algorithms,testdata_deblender
ip_diffim                 ec61338d43ab54339dacb362398656691c1384d5  21.0.0-16-gec61338+6590943583            afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
pipe_tasks                dc49320f9ae66edfd8d0a7ff19c8dc9ea88562d9  21.0.0-84-gdc49320f+e289388810           afw,daf_persistence,daf_butler,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_extensions_psfex,kht,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_lsst                  f78daff8b66ceb93e3d68528929d024a21a7d81b  21.0.0-38-gf78daff+bf0f86063d            afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
sims_coordUtils           c9b9334a7cd08af16e27a4947b412045c413faa4  2.13.0.sims-7-gc9b9334+629cb19537        base,utils,geom,afw,obs_lsst,sims_utils
sims_catUtils             9f88571c8a57d078c1c9143171d9c9cf67bf2187  2.13.0.sims-16-g9f88571c+829e458da9      utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,pymssql,daf_persistence,sncosmo,obs_lsst
sims_maf                  9545275a466861a1340ed3ac818e1ccda55f945d  2.13.0.sims-97-g9545275a+54d2eebb5b      base,ephem,palpy,sims_utils,sims_data,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsst
lsst_sims                 6cf0aa7d42b92e9bc8824669ec98a2a70259ee48  2.13.0.sims-4-g6cf0aa7+2aa20830fc        sims_maf,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
