# product                 SHA1                                      Version                       
BUILD=b3880
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
mariadbclient             c3b9d248e6b9b8c51c348b80d50dd198b28cd921  10.2.14.lsst2                            
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
xrootd                    a437be7aa147af2ae6600dc1d7a4c88793974892  master-ga437be7aa1                       
mariadb                   414db2dfa80b91a3f2948287888a7e46d96735b8  10.2.14.lsst3                            
json_nlohmann             adac3a383c0236aa1f6efe4a2159547161cfc630  3.1.2                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
libevent                  7eda99b28260fef2aea6de76475b754e611df4a9  2.1.8                                    
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
antlr4                    eea57ff57e2ee2f074eb588833361a1b90f44373  4.7.1.lsst1                              
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
lua                       2ee54348d85a074bd790e93d914b4bb8b70e9cfa  5.1.4.lsst1-3-g2ee5434                   
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+4                            python
pyflakes                  2c8b201b94934f7fa7a3c7bff3d39731a7ac61aa  1.6.0+2                                  python
python_coverage           6860bf36802129f59bca5f0c8185ca3190587f35  4.5.1                                    python
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
scisql                    b9ed5bba9b6f9e70dd11f8a9585b02eda5ae17a2  0.3.8.lsst3+3                            mariadb,python_mysqlclient,python
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+1                                  python,pytest,python_coverage
flake8                    8f62c4f539d1d614f4c6808ce30f44e385ab8df9  3.5.0.lsst1                              python,python_mccabe,pycodestyle,pyflakes
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1                              python,flake8
pytest_flake8             e2c92a0aabc36f4155e42864a5e8d0e70f7444d9  1.0.1.lsst1                              python,pytest,flake8
sconsUtils                645024f8d6999e95430e2b8a70e13100b69ad26f  16.0-13-g645024f                         scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
base                      1e9226ddb3de0ac70b205516349a4620f54ceb41  16.0-5-g1e9226d+3                        sconsUtils,pybind11,python,doxygen
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+15                       base,sconsUtils,pybind11,doxygen
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+68                       boost,sconsUtils,sphgeom
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+5                        base,boost,pybind11,python
utils                     80874fd462647a1ac542bacc468d0381d7ca750d  16.0-13-g80874fd+2                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+20                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+51                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
qserv                     5f4aae80728c4dc131cf73743168216d2936d8db  12.1-176-g5f4aae807                      antlr,antlr4,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,json_nlohmann,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
qserv_testdata            f1891c377bc505576c794276480a295019d10e60  2016_08-15-gf1891c3                      python,python_future,pyyaml,qserv,scons,sconsUtils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+183                   qserv,partition,qserv_testdata
