# product                 SHA1                                      Version                       
BUILD=b2920
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              fb9df5b81596e80e8c40b33000764b11717c55a5  lsst-dev-gfb9df5b815                     
validation_data_decam     52ac2b0d78bd02deb995035945e2a5a3f3551516  master-g52ac2b0d78                       
lua                       419130092c6420d68845b6f9d2c9873814523142  5.1.4.lsst1                              
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  13.0-2-gdd95a3b                          
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  13.0-1-gf61fcd2                          
pybind11                  715ff27535186c4a78829a82a34488401d48f4b5  master-g715ff27535                       
mpich                     22d77391b5ab2f8e7b545ecde51561e6e74bd66e  3.2.lsst1                                
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
python                    8205f36db1fd6c18f0455c8c3da620d2f7b7d479  0.0.6                                    
swig                      bd8facb3e1fd5a433cb913c3f6e7f2c1f3d60dd5  3.0.10                                   
stsci_distutils           4bba6935c89f769e59cec6780a68ba8509fccfb0  0.3.7.lsst1+2                            python_d2to1
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+3                            python
protobuf                  a51257198ea3dfde6e19c3c0c19e5e5c202b34a5  2.6.1.lsst4+1                            python
matplotlib                d202e908f28541deeeb861c2b656d9d3f900db10  0.0.4                                    python,numpy
scipy                     aedd72728b314c7adcb2bc108d85b02a75efc322  0.0.1.lsst1+3                            python,numpy
ndarray                   4a984de6cd49d52ecf4010f8f61ae4a7d88f39e2  1.3.0-1-g4a984de+1                       boost,python,numpy,eigen,swig,pybind11,fftw
base                      0bde1de3e129245c47fa1bd5c7030fe6b058b9f4  13.0-4-g0bde1de+1                        sconsUtils,pybind11,python,python_future,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+1                     scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+93                                  sconsUtils
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+1                                  python
validate_base             4f5ff6b7a18ad90b2dd64c4d9ac04746ee7dddbb  master-g4f5ff6b7a1+2                     python,python_future,pyyaml,numpy,astropy,sconsUtils
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  13.0-1-g1546c47+3                        sconsUtils
pex_exceptions            52a7baa2f82bd1e67b92fcfff02b44c319acf2d4  13.0-1-g52a7baa+4                        base,boost,pybind11,python,python_future
pyfits                    40c72f9bf25b2240d7b1b6b5b6547a451ab78a28  3.4.0+7                                  numpy,python_d2to1,stsci_distutils
psfex                     eb1eb6777f0e263a159a05c00c0b66a739f86688  12.0+15                                  gsl,sconsUtils,fftw
tmv                       873defe1a7d897bba1d443737e273f56c4412815  0.73+5                                   scons
astshim                   4454501e011d97e190035aac089bd7b841d08433  master-g4454501e01                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
healpy                    d4cac0b74d707cc97b912fa01d6d2c0d9c9eb947  1.8.1.lsst2+5                            python,numpy,pykg_config,cfitsio,pyfits
lsst                      a9e8696f740ce821f13d7d0dfd52be29cf6067ba  13.0-10-ga9e8696                         scons,sconsUtils
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+4                                  python,numpy,scipy
sphgeom                   2afa766de28a9f834bc3f6ba92d7b781e9479523  12.1-3-g2afa766                          base,sconsUtils,pybind11,doxygen
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+12                       boost,sconsUtils,sphgeom
utils                     2675101a5d316dc49b888c9be1d9a69f6c39849d  13.0-4-g2675101                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
galsim                    473d33b102c0d31dd39449d8a063b7fde8e40e74  1.4.3                                    numpy,pyfits,python_future,boost,fftw,tmv,astropy
log                       15de9a135e49deb72a851650bd32bcb15f941e06  13.0-2-g15de9a1+4                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      4cdfb8d9bada718495719d3880ddb9b5e89eaddc  12.1+26                                  sconsUtils,python_future,utils
daf_base                  167564e618aea206892113b3ae4f3192a0092d48  13.0-2-g167564e+1                        utils,pex_exceptions,pybind11,python,numpy,python_future
db                        305c405993acf9f5290332dec8c99d853aebeff2  13.0-1-g305c405                          log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
pex_policy                47a359cbccd4e3f51580cd0a7ea56e4d68d65593  13.0-1-g47a359c+5                        daf_base,utils,python_future,pybind11,python
cat                       fa9bc2b0a415a2032d2a66ccad9067e70a68355e  13.0-2-gfa9bc2b                          python,mariadbclient,db,sqlalchemy,utils,python_future
pex_config                41367f3050663a0057f96ca489e5323f05f3720b  13.0-1-g41367f3+5                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
qserv                     7ecf5897831ef7ac8b8ea868007e00a110bd85a0  12.1-72-g7ecf589                         antlr,boost,db,doxygen,flask,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,python,requests,scisql,scons,sphgeom,sqlalchemy,swig,xrootd
daf_persistence           fc1787113c69da529b52af031b14f01dfebd17dd  13.0-11-gfc17871                         log,mariadbclient,pex_policy,astropy,pyyaml,pybind11,python
qserv_testdata            552b4c16312740f48876689de17e52f1ef2e5169  2016_08-1-g552b4c1+31                    python,pyyaml,qserv,scons,sconsUtils
ctrl_orca                 350a12cc5aed289820d4e807a4ed6f796c5ea547  13.0-3-g350a12c+9                        python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              b581ee858b91da9ccce2d743815a42780d6bbf75  13.0-2-gb581ee8+12                       python_future,ctrl_orca,pex_config,utils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+34                    qserv,partition,qserv_testdata
afw                       db06ea260b2b7ab16cd74924b4fa6cac775a21de  13.0-53-gdb06ea2                         daf_base,daf_persistence,pex_config,log,ndarray,cfitsio,wcslib,numpy,minuit2,eigen,gsl,fftw,utils,astropy,python_future,log,pybind11,astshim,pyfits,matplotlib,afwdata
display_ds9               6174d4c722f653ca4fd48ac6f4f324fd3e822510  13.0-2-g6174d4c+9                        afw,xpa,python_future,pybind11
ctrl_platform_lsstvc      cdf9e4879f85c30c090d8701fce22789407c8cfa  master-gcdf9e4879f+3                     ctrl_execute
skypix                    e22e12b93ce3a4b8e4c0e804e428c39c3ebee1f0  13.0+39                                  utils,pex_policy,geom,afw,python_future,sconsUtils
shapelet                  20b541e19c0db3635b66f4a620310c9370cd78e5  13.0-3-g20b541e+9                        afw,numpy,scons,sconsUtils,pybind11,scipy
skymap                    f9e84ea9320988f1e3eaf9a668baed04d547a945  13.0-2-gf9e84ea+13                       numpy,afw,healpy
obs_base                  edf08886045714aec4f16df607d7494faae32483  13.0-24-gedf0888                         daf_base,log,pex_policy,daf_persistence,afw,skypix,pyfits,utils
obs_test                  b72b33b39d75a7ee45d0da982132b284cde3cd5f  13.0-7-gb72b33b+3                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,skypix,utils,python_future
pipe_base                 0e057856f592c7431347a5af4283241db9c8767b  13.0-5-g0e05785                          daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 98e807477ed129997d071692972fc50c0f289a4c  13.0-4-g98e8074+2                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               f5c5cedf8b11b3451bf294332e3a61655c63d654  13.0-2-gf5c5ced+15                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
coadd_chisquared          a4f5e85f51f2b10c2347f9eb961cb5bd5146645c  13.0-2-ga4f5e85+15                       coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 dc7438c393de900b6164bf8eebd205431db76404  13.0-19-gdc7438c+1                       python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape aa0a42814803e87fc241942703e60d7801fe52fa  13.0-5-gaa0a428+11                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           feff4b04c0740f5129a787f1cb67898f65e85acf  13.0-12-gfeff4b0+9                       daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
ip_isr                    f01aa928b0ddc77b2bd2251e6a15221c3d73e6fa  13.0-11-gf01aa92+9                       python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_modelfit             8613bc8e160d948d1a8a406310145472d2fbd277  13.0-8-g8613bc8+6                        afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_shapeHSM  fb50383c3358cccf0d73d78dbadee5a067c46cf8  13.0-7-gfb50383+3                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_deblender            b6cafe76e3d7ebbdc89d85084dd9e1013658fae1  13.0-10-gb6cafe7+2                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 b64a413032e61c8994e79efc806ba8c4bd394cee  13.0-16-gb64a413                         afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_photometryKron 9adc27753aa0fa9d4cdf957eddada5be455d34d4  13.0-5-g9adc277+3                        meas_base,pybind11,meas_algorithms
meas_extensions_psfex     bddb874a2c961e67326f7e13c28cc8ee795a14b5  13.0-3-gbddb874+11                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_convolved b62a4113a6335f7f18438bf974f3d7d70288c99e  master-gb62a4113a6+7                     meas_algorithms,meas_extensions_photometryKron
meas_astrom               4db779574736b752047d1f181a2d4cc25a69aba0  13.0-12-g4db7795+4                       afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet 43362ee2f3ebe4d2e7b47e713be926b5811f4e8d  master-g43362ee2f3+10                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               67ba4a8e54a06b8ad0a126256180f8eb370fcdb4  13.0-3-g67ba4a8+3                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,skypix,utils,meas_extensions_astrometryNet
pipe_tasks                bcfe521e4ccaf8b31126aefd2c2dcadd3f26aee6  13.0-31-gbcfe521                         afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  a6f03b09649c41abb2743e63ebc60f4abcbe250b  13.0-5-ga6f03b0                          pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
pipe_drivers              7e5c55c3953dd09f2412a524838b05e2b9386aa4  13.0-5-g7e5c55c                          ctrl_pool,afw,pex_exceptions,geom,pex_config,pipe_base,pipe_tasks
obs_decam                 d2913a0889dce1000120061fdd50004214310334  13.0-14-gd2913a0                         utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_lsstSim               19fc73cc954d0d8e736977bab31e9526781a767e  13.0-10-g19fc73c                         daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,python_mysqlclient,utils
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  13.0-2-gcc7d151+11                       meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
datarel                   7dda0ab8e28ced83028f064a0496a6f5f83ed15a  13.0+29                                  ctrl_orca,pipe_tasks,utils,obs_lsstSim,astrometry_net_data,matplotlib,cat
obs_cfht                  4d432053a6f6289eb5c484d913c3e10e87dafab1  13.0-7-g4d43205                          daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                7be4c606b7d6b4c0caea1d04f876f45269503450  13.0-30-g7be4c60                         daf_persistence,obs_base,skypix,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_obs                  489e6e60e265a4e59d427c33be8584a500881340  13.0+29                                  obs_cfht,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
testdata_jointcal         b60b745de579708ccd703f191bbddcbf96fa5083  master-gb60b745de5+9                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  23950b991b8b8860cffc89c001e737db4c0b6063  master-g23950b991b                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,testdata_jointcal
lsst_distrib              14ce29049387a49d896eb0f13d38f3a8577b6903  13.0-2-g14ce290+9                        lsst,lsst_apps,ctrl_execute,ctrl_platform_lsstvc,datarel,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,jointcal
validation_data_cfht      023f152e8ab9409c513a4ecfced505f34e431b97  master-g023f152e8a+9                     obs_cfht
validate_drp              f84cb60af8e2086c57d1af37e7d061c178b406eb  master-gf84cb60af8+1                     python,python_future,utils,daf_persistence,afw,pipe_base,validate_base,pyyaml,scipy,matplotlib,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru,validation_data_cfht,validation_data_decam
lsst_ci                   01ef2a7bfd11dbc3c0d033deb2170592545f198c  master-g01ef2a7bfd+8                     lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp
