# product                 SHA1                                      Version                       
BUILD=b4309
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.4.lsst1-1-g221959b                   
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+1                            python,numpy,eigen
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3                                    boost,python,numpy,eigen,pybind11,fftw
fgcm                      d4ad8598d9a1deab2239196dcb189429e5372cc8  lsst-dev-gd4ad8598d9                     esutil,numpy,scipy,matplotlib,healpy,pyyaml
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2+2                            python,python_py
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+7                              python,pytest
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+3                   numpy,scipy
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+7                           python,pytest,pytest_forked,python_execnet
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
firefly_client            aed8ac22315a448962b4322fc2f87eb0a42ec7eb  lsst-dev-gaed8ac2231+2                   ws4py,python_future
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+6                                  python,pytest,python_coverage
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+15                                 python,pytest
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+15                                 python,pytest
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d+4                   pybind11,scipy,numpy,eigen,proxmin
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+5                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+2                                  python,python_mccabe,pycodestyle,pyflakes
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+2                                  python,pytest,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+2                                  python,flake8
sconsUtils                4fc265629fc6f8090ca51ad87829ee7055339f76  17.0.1-2-g4fc2656                        scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+2                     scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+66                               sconsUtils
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0+7                                   sconsUtils,pybind11,python,doxygen
astshim                   f403422b54c5c483eb0984b6953cf6fb1e6a4bda  17.0.1-2-gf403422+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+29                                  gsl,sconsUtils,fftw
verify_metrics            faba3334ae443c991bfacd58b449f7c3bef18dac  17.0.1-4-gfaba333+4                      sconsUtils
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  17.0.1-1-g8de6c91+11                     base,boost,pybind11,python
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0+4                                   sconsUtils
utils                     e9fec5e815b6d2d2801007d328d1d7a986e5329c  17.0.1-1-ge9fec5e+5                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0+7                                   base,sconsUtils,pybind11,doxygen
log                       114240f7da360dabd2a5027c4584d75167f115ce  17.0.1-1-g114240f+2                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  17.0.1-1-gb9095d2+7                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  b5ca14a47715d1602a73d32495c10643867ee0e8  17.0.1-3-gb5ca14a                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator 5c16afbef4ad8d9ea10c828f5b7ada5130b94e97  master-g5c16afbef4                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  17.0+11                                  daf_base,utils,pybind11,python
daf_persistence           fc6fb1fbea35ee0046656ce592c82ae2876cf2a9  17.0.1-1-gfc6fb1f+20                     log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  17.0.1-2-g54f2ebc+9                      daf_base,pex_policy,numpy,utils,pybind11,python
afw                       b0791f330a234c20c168963a8db49d3411fd376f  17.0.1-31-gb0791f330                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
shapelet                  5400cdc3378685688cef0c74e55f6f86ea276657  17.0+35                                  afw,numpy,scons,sconsUtils,pybind11,scipy
dax_ppdb                  c7c87825dd1e55d67cd99a37b9c5262d78e89b13  17.0.1-7-gc7c8782+20                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  17.0.1-1-g4d4fbc4+30                     afw,xpa,pybind11
display_matplotlib        18f3627e88fe04e8f147c3e4c8d6091418f34f68  17.0+35                                  afw,matplotlib,python_future
ctrl_orca                 b63ae42ed3a7bf2239fa7d622f5fe4368fe9e170  17.0+15                                  python_future,utils,pex_config,daf_persistence,log
ctrl_execute              98c77ba7403588afffb25719809b317b757890ae  17.0.1-1-g98c77ba+12                     python_future,ctrl_orca,pex_config,utils
daf_butler                0e22e2c6626e00dba127b6afef4a814275c33f3e  17.0.1-30-g0e22e2c                       sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
display_firefly           377950aaad6dba91c15cfadcdb9f9887f8ae1f39  17.0-1-g377950a+35                       afw,log,firefly_client,python_future
skymap                    59d126d652567381e53073cce9a1845feaa2bbd1  17.0.1-4-g59d126d+8                      numpy,sphgeom,geom,afw,daf_butler,healpy
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  17.0.1-1-g1b224f6+12                     ctrl_execute
obs_base                  3a24bb2b90fc0a94e56673a41ee6a8604ea37097  17.0.1-19-g3a24bb2                       daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,skymap,daf_butler
obs_test                  55520dc64ee6f0d33ac3383a492a85ec22316939  17.0.1-1-g55520dc+53                     afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
ap_verify_testdata        ad2fcd81dc6c9dcaab49a014c1aec0a544669bb3  17.0+58                                  obs_test
pipe_base                 3877d06061545e3ae801e5700cb4145e2d915d4b  17.0.1-5-g3877d06                        daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0+62                                  afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  17.0+59                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
cp_pipe                   6dd7d69ea20ee1d7e693b8f4bb1629e00ca69b4c  17.0.1-1-g6dd7d69+21                     pex_config,pipe_base,daf_base,log
ctrl_mpexec               0bb8d39df6aedbc6d4134c2f6cf6812d14b0de39  17.0.1-7-g0bb8d39                        daf_butler,log,pex_config,pipe_base
meas_base                 35889eebe9180c09c2198166c8002cc8a79bc430  17.0.1-7-g35889ee+5                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
verify                    cb624d01761ec0c49e2a67572b6dd561fbae441a  7.1-hsc-3-gcb624d0+4                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
meas_extensions_simpleShape 3b92700c9566b5bbf58df8223b4d8c89fef47c84  17.0+60                                  scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           ab9750a333ea586c47a619fd46eaf45e9985dcec  17.0.1-17-gab9750a3+3                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_photometryKron fc65f5f07bb2b23e8b464a63c5df4c57d4d4541d  17.0.1-1-gfc65f5f+55                     meas_base,pybind11,meas_algorithms
meas_astrom               c4bbfb2c03094370eb5f2563246e460ae2f38d74  17.0.1-9-gc4bbfb2+8                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_psfex     26618f54b38bcaabc7c52375d2a0da07b23b3012  17.0.1-2-g26618f5+34                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_modelfit             7e86b5922825f50627630dc907385da8a1c11f33  17.0.1-3-g7e86b59+44                     afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_convolved 1ea63f34e3eabd6b4a18f08aa03d495b42f33d19  17.0+64                                  meas_algorithms,meas_extensions_photometryKron
ip_isr                    52a398faaa70ab76b8e8c84ff3833369d912bf7f  17.0.1-21-g52a398f+3                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_extensions_shapeHSM  b33841fe01309a79c72cf0821f01eb30f2d0baa5  17.0+64                                  meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_astrometryNet d08d5339e164f373263c89100514cd62cd3596f2  17.0.1-3-gd08d533+45                     afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
ap_association            a2de75ce758cefac2ecc6074a92e808a67f2dafb  17.0.1-6-ga2de75c+3                      afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+57                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
obs_monocam               7f5138e3e16fcf4f6bc8d5708c26b5692ff61ca4  17.0.1-1-g7f5138e+45                     afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
obs_ctio0m9               e328e07c79f00fc8c724b991d044063551dbea6f  17.0.1-4-ge328e07+9                      afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
ip_diffim                 112a4bcbf5389a3c24d84e781ae116cc47ff2822  17.0.1-12-g112a4bc+1                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
pipe_tasks                d5522830aecbd674d0d0767acf05c4c07f781c81  17.0.1-25-gd5522830                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_comCam                94c71effa8aabad6a204f0713c809042c837fb43  17.0+73                                  afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_sdss                  e47e0048026ddc9895c1fee1a7119d661349eb6c  17.0.1-1-ge47e004+52                     pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  17.0.1-1-gf4e0155+61                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_lsst                  9823f3b204dbd6bf1904e852009db74757f05988  17.0.1-29-g9823f3b+1                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
obs_lsstSim               97a773840b027989ed9270f303cd653164fcd03a  17.0.1-1-g97a7738+58                     daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_decam                 cb7da53c6fc1017d1df3d8aba4c7d326898cbe1b  17.0.1-7-gcb7da53+3                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,astro_metadata_translator,testdata_decam
obs_cfht                  2d257863326facedff56d7bbc9e73ba15f22371f  17.0.1-4-g2d25786+37                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,testdata_cfht
pipe_drivers              87f9f3f18c7d0b364786bdd23f4f3a06b66e5d07  17.0.1-10-g87f9f3f+7                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  17.0.1-2-gc5e4034+49                     python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+73                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_subaru                12e6fc3a458691370895ec52e7303bbe30b52b2a  17.0.1-27-g12e6fc3a                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  master-g20ca293bfb+21                    obs_decam
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+72                                  obs_cfht
meas_mosaic               43ebf10df846ff7c6deef1cea98d97e26201dfda  17.0.1-3-g43ebf10+44                     sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+72                                  obs_decam
validate_drp              5ca24d72cab8f25ab801c423e17c6695f1775266  17.0.1-4-g5ca24d7+49                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+74                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   77a5af39915223d7ebc386e1055fb965742282be  17.0.1-5-g77a5af3+3                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  17.0.1-2-g5ea0c29+49                     obs_lsstSim,obs_cfht,obs_decam,obs_subaru
fgcmcal                   5fd2752ea6c6167191375cdff0593021babf5db5  17.0.1-1-g5fd2752+12                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+73                                  meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 7cba90a6848e90e86bbf124fa0514aab4b1f492c  17.0.1-5-g7cba90a+32                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
jointcal                  dae4c4afbadffe5f80358dafdd54b0a6784dbd3c  17.0.1-17-gdae4c4a+14                    scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              242c58973ab2596039314495a4fa50d5184949ab  17.0+78                                  lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+77                                  lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
