# product                 SHA1                                      Version                       
BUILD=b4602
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.7                                    
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  18.1.0-1-g6adf0a0                        
validation_data_cfht      8793f7ad03f1bf5fc8f18fcb6bc6827219117c3c  18.1.0-1-g8793f7a                        
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  18.1.0-1-g095be34                        
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
pykg_config               b05b21c61a90f39eda4b18d505b9fe841ce5f178  1.3.0+6                                  python
pyyaml                    a7699fc59fab93365d152e9fb5974073fc6e238e  5.1+2                                    python,libyaml
python_psutil             b73e0d4a8e65584c763ceb04b9f3e3b5206ff8b6  5.4.3+4                                  python
firefly_client            97c9674977b979349adf7f2921ae6fd0c842797f  2.2.0.lsst1                              ws4py,python_future
python_mccabe             86ed08f574f8482e562f95e461fcf8a3ec561f00  0.6.1-1-g86ed08f                         python
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+3                                  python,python_mccabe,pycodestyle,pyflakes
mpi                       6f350834c9ad5859cb069326232a27cdc6cfe17d  0.0.1+3                                  mpich
astropy                   5006c745bb1dd6a583acc34b11ea3986ca462b95  3.1.2.lsst2                              python
pytest_session2file       c58ee1678f3d857602a6af30cc331913e41f667b  0.1.9-1-gc58ee16                         python
numpy                     36a8a3613488940afc4ac5a6049a34afb0f4c9cd  1.16.2                                   python
sqlalchemy                a4144f10dbfe245b3bd105b9428b490b2367b94e  1.3.8                                    python
treecorr                  f0e6502fe502d2ea886bc663b0192b4d77d021d7  3.2.3.lsst4+3                            numpy,pyyaml
mpi4py                    6d58a4408de3db3b871438934ccb1bbc70c6a6f9  3.0.0+2                                  python,mpi
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+5                           python,numpy,pykg_config,cfitsio,astropy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
requests                  83cdaf189ad5e7f0f7805ba3104f4cf0c748d363  2.9.1.lsst1+6                            python
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
matplotlib                ce61d8e1aea9427809103534ca8387c00dc79de4  3.0.3                                    python,numpy
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  1.1.54170B                               numpy,scipy
esutil                    ba952dcc2743cf54e3ea8c44044d29978871f8c6  0.6.3                                    python,numpy
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+2                            python,numpy,eigen
fgcm                      321fba8858e9f55073d760a2cfab5747056fea39  lsst-dev-g321fba8858+2                   esutil,numpy,scipy,matplotlib,healpy,pyyaml
pytest_flake8             8dd8c06520ce9a769d5fabb76d0b77e7d8d867c5  1.0.4-1-g8dd8c06                         python,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+3                                  python,flake8
coord                     331c46156e35dffbadd00f73bb1a53b59880635e  1.1.lsst+2                               python,numpy,python_future
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
sconsUtils                42516564a984c28774fbfeac9483dd7668ac985a  18.1.0-5-g4251656                        scons,pytest_flake8,pep8_naming,pytest_session2file,doxygen
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3+2                                  boost,python,numpy,eigen,pybind11,fftw
galsim                    91a4abc9eae34e83d457be84e2c7a2266483e6e3  2.2.1.lsst+2                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
astrometry_net_data       c676a60f6e5aa9d379e80e0da94207568274fbae  10.0-1-gc676a60+4                        sconsUtils
base                      425ff20ead6cf76d607e761c240f64dab6f47e9f  18.1.0-2-g425ff20                        sconsUtils,pybind11,python,doxygen
astshim                   a2c679d23199d2f0338a2b0884f894e363b737ef  18.1.0-1-ga2c679d+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
sphgeom                   5549ca46ee7ac2727962caa0b578589045194d67  18.1.0-1-g5549ca4                        base,sconsUtils,pybind11,doxygen
jointcal_cholmod          25991af22f0ab25fbb47d16d62e1958032cb9cef  master-g25991af22f+9                     scons,sconsUtils
scarlet                   169b417050aaea67c2b8c9a755e8017298b05816  lsst-dev-g169b417050                     pybind11,scipy,numpy,eigen,proxmin,autograd
pex_exceptions            5315e5e727719a809d69d3fecc4ee95ecc8b1214  18.1.0-1-g5315e5e+5                      base,boost,pybind11,python
verify_metrics            8efd64f9af59e8e6342bbf0c28d59adfcf5d20f1  18.1.0-3-g8efd64f                        sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+36                                  gsl,sconsUtils,fftw
utils                     49ebcafe0921ff436744ca2c32680a22c4f74e00  18.1.0-7-g49ebcaf                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
log                       03d53ef8083cf25d560524726eea15af535ff53a  18.1.0-1-g03d53ef+6                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  68ffd23a201df9d8f8ace46df14039b339261ffa  18.0.0-4-g68ffd23+5                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
geom                      8ff0b9f358dcc74bb5122178a9336a337648d6fc  18.1.0-1-g8ff0b9f+7                      boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
astro_metadata_translator 1039c3cf3b52ca551fb6cc8a5acc970e2c763ba7  0.1.0-5-g1039c3c+7                       scons,sconsUtils,pyyaml,astropy,daf_base
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  18.1.0-1-g0001055+13                     daf_base,utils,pybind11,python
pex_config                ae7742993c3fa92bf5ac1d9ab0c298c95e81930a  18.1.0-6-gae77429+4                      numpy,pybind11,python,daf_base,pex_policy
daf_persistence           6fe20d0c02ce2664b5d4b51dc34d34fc1ec7fdb0  18.1.0-2-g6fe20d0+2                      log,pex_policy,astropy,pyyaml,pybind11,python
afw                       2fc8869d4e9051ca733980f97c88440237f9d72c  18.1.0-33-g2fc8869d4+5                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
daf_butler                e5a1a9d78189d3c62b9e8efe64f6c71f00ca132c  18.1.0-40-ge5a1a9d+2                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  18.1.0-3-g20d9b18+3                      afw,numpy,scons,sconsUtils,pybind11,geom,scipy
display_ds9               4d4fbc4f3be5a6407fdc3b36f1e04cc4e70b8d11  18.0.0+43                                afw,xpa,pybind11
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  18.1.0-1-g36382b0+3                      utils,pex_config,daf_persistence,log
display_matplotlib        580fafe5d73f258a6ba867592a09f9efef8d13fb  18.1.0-1-g580fafe+3                      afw,matplotlib
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  18.1.0-1-g7fa7663+4                      ctrl_orca,pex_config,utils
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  18.1.0-4-g8c57eb9+5                      afw,geom,log,firefly_client
pipe_base                 3dc8cbe8cb04c9720179cb87587e5d75a773a5b3  18.1.0-12-g3dc8cbe+2                     daf_butler,daf_persistence,log,pex_config,utils,afw
dax_apdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  18.1.0-2-ge272bc4+5                      afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
ctrl_pool                 70114815470e71bad71b336f0ce4a1f2983384c8  18.1.0-1-g7011481+6                      daf_persistence,pipe_base,log,utils,mpi4py
ctrl_mpexec               4d8e854cb9b0278771b035707bd565bb2b43a269  18.1.0-16-g4d8e854+2                     daf_butler,log,pex_config,pipe_base
skymap                    5f9922cabe11fbe5b490d9b5b963a23c658f15f2  18.1.0-2-g5f9922c+33                     numpy,sphgeom,geom,afw,daf_butler,healpy
obs_base                  545292a7823d4504bbdfe52e0b461242a50286e5  18.1.0-32-g545292a+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+28                                ctrl_execute
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  18.1.0-1-g1349e88+64                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
verify                    d365d8b15eb27709f88915e341e39fad5a108066  18.1.0-17-gd365d8b+2                     astropy,pyyaml,requests,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
obs_test                  0d9f9cdec7c2b7ed88f58b6045ae5cb9eaa55dd0  18.1.0-12-g0d9f9cd+2                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
meas_base                 dc0e4a7814c461759b75d7b8f3ecaf73893b5508  18.1.0-8-gdc0e4a7+7                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  18.1.0-2-gd950ce2+33                     obs_test
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  18.1.0-1-g2505f39+52                     scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_algorithms           3d9e4fb20c9f35e8f606303a663b75f74ef65250  18.1.0-15-g3d9e4fb2                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  18.1.0-7-gae09a6d+40                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  18.1.0-3-gb69f684+53                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  18.1.0-1-g85f8cd4+57                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
meas_extensions_scarlet   8af5fe2447dea20f95bf25f4054b8d5f0c1c2365  master-g8af5fe2447+1                     base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  18.1.0-2-gfbf3545+41                     meas_base,pybind11,meas_algorithms
ap_association            ddc2e575b9109aa9d075e358544e90e8f6fee0ae  18.1.0-20-gddc2e57+1                     afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  18.1.0-1-g5afa1ba+57                     meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_diffim                 5db401e3ac52d31636ab50f352558ef247ad48fa  18.1.0-15-g5db401e+9                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
ip_isr                    db69f3f5579b51e7e577b2a53f8d91570ff1ebb1  18.1.0-19-gdb69f3f+12                    meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_modelfit             b5175dc64c98cad23322d4ab91269ec0594289bb  18.1.0-5-gb5175dc+5                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  18.1.0-2-gc364b07+57                     meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
cp_pipe                   982802118563b75b260f8dbcfbe8b02589b275eb  18.1.0-4-g9828021+7                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
pipe_tasks                274f93b69f7c1c076125e27bbd0468e209f83963  18.1.0-32-g274f93b6+3                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  3414bad763471248194c9165ed18bc89292fbd00  18.1.0-31-g3414bad+3                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  18.1.0-3-ga2826f2+18                     afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  18.0.0+89                                astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_cfht                  c6cf8f7b9f06f3b10bb84e4e540e4257cedacbf8  18.1.0-8-gc6cf8f7+5                      daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
obs_lsstSim               a8543ac618dc8f283354bdcaaafb16e0bd8dfd86  18.1.0-8-ga8543ac+8                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
pipe_drivers              d955cfd5e06245160ea632896ca0174c855261dc  18.1.0-7-gd955cfd+6                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_subaru                6253bec7657f99487fd4192613d0bc5ecab40f4e  18.1.0-27-g6253bec7+2                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_decam                 63079e66814c98721ee5c0c25c02a674b61301d8  18.1.0-12-g63079e6+2                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  18.1.0-4-gace4019+19                     obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+169                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
validate_drp              80568d28c77785eeabeba5e0335e8a7e17afed6c  18.1.0-4-g80568d2                        python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  18.1.0-1-g79a6842+40                     obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+89                                obs_decam
ap_pipe                   d55abd0e080869bb4b984814b70680337247de49  18.1.0-6-gd55abd0+5                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
lsst_dm_stack_demo        f767033f4cf32631a97647b9e260b934deb1fd6d  18.1.0-2-gf767033+20                     python,utils,sconsUtils,obs_sdss
ap_verify                 fa83865a99ee7e5aa35da74beb997fa1885ad745  18.1.0-10-gfa83865+2                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  18.0.0+89                                obs_lsstSim,obs_cfht,obs_decam,obs_subaru
jointcal                  d7f3e1b5a6b162dd818616e6389c6b6cbe9d0012  18.1.0-4-gd7f3e1b+1                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   4c5cef4afef2d3125510e35405c3d4434375d63c  18.1.0-8-g4c5cef4+19                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+173                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  18.1.0-2-gb0efc0e+66                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   e4f73514a4ffd50af23465235dc4e6e5a416db76  18.1.0-2-ge4f7351+1                      lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
