# product                 SHA1                                      Version                       
BUILD=b4876
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
palpy                     a0b3ab3150c0800759dead7adbb0d930ca5562c3  tickets.DM-24742-ga0b3ab3150             
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
proxmin                   38c183851a4967b7ce7f5b3f63771a3f50d43ee8  lsst-dev-g38c183851a                     
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  19.0.0-1-g8af30cc                        
astropy_helpers           6c4c5880fc7cd73be36a6f38042c4aaa4611bf81  tickets.DM-24742-g6c4c5880fc             
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
sims_maps                 690cc68eddff5ae65e5556332ebd8d057a4cbd35  tickets.DM-24742-g690cc68edd             
freetds                   080fccb1ba675147d8a5c7e2418606678bc11713  tickets.DM-24742-g080fccb1ba             
sims_seeingModel          a4bf72ea443f605edd1ad02490135ddf74d679a3  master-ga4bf72ea44+11                    utils,pex_config,sims_utils,throughputs,sims_photUtils
pex_policy                ad49e94f5d5a30d489fbe9c481d814cf594dfec5  19.0.0-1-gad49e94+1                      daf_base,utils
daf_persistence           60c8ecb588ac51ddd0a7e9cd584baf9d4d688d4c  19.0.0-6-g60c8ecb                        log,pex_policy
sims_featureScheduler     978eab9d7bec2da258ee082e5232af56e0c764e9  tickets.DM-24742-g978eab9d7b             base,sims_utils,sims_skybrightness_pre,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
afw                       d98cb7f78650d9717f633d7bc099f7dfa4f2ccb8  19.0.0-22-gd98cb7f78+2                   daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
sims_catalogs             8bba5e8beb7ec47c68bc3a0ca6edbc9b5cb4a68b  tickets.DM-24742-g8bba5e8beb             daf_persistence,pymssql,sims_utils,utils
dax_apdb                  bea416a3463aa589a5e657b1bfbfa8f9724734fb  19.0.0-3-gbea416a+3                      afw,pex_config,sconsUtils,sphgeom,utils
daf_butler                272bd9f92e55add3fda6c0056f56fbc52ea21dca  19.0.0-72-g272bd9f9                      sphgeom,sconsUtils,utils,astro_metadata_translator,geom,afw
pipe_base                 fb21c91eb66226c1c37cb28a543beddf2fe7d6d3  19.0.0-18-gfb21c91+7                     daf_butler,daf_persistence,log,pex_config,utils,afw
skymap                    822544a2a7c9131003c9d43b2fa3ae945210f66b  19.0.0-2-g822544a+7                      sphgeom,geom,afw,daf_butler
coadd_utils               15ad1b6caa440d03610133d2a32877abc7b48567  19.0.0-2-g15ad1b6+7                      afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
obs_base                  64d998109c8d481acb1bdb72a6ef9119019ba80e  19.0.0-56-g64d9981+3                     daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
meas_base                 b7501004c2aae0cc18babb18703336dc630d762f  19.0.0-8-gb750100+7                      utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
verify                    6b8043e3f0b3a63416bee416f92ba0172a23da54  19.0.0-13-g6b8043e+3                     sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
obs_test                  309d03d0c6e9b1f9baca70ef7353dde3cde20ec1  19.0.0-5-g309d03d+3                      afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           de1f5b76ddb0f68fde5bd86412bde433231d9177  19.0.0-17-gde1f5b76+8                    astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_deblender            c799371032baf77eb158722f70daa3794ba451b8  19.0.0-4-gc799371+8                      afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_scarlet   41ce1685be608b76f2454a8c25cb8497b3dd85e9  19.0.0-8-g41ce168+8                      base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
ip_isr                    4cc2bcbabe1e1f17f9d377464d6873ddc294326c  19.0.0-23-g4cc2bcb+5                     meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               c851abf2e08234a110d1da13370bd34077caed00  19.0.0-3-gc851abf+8                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
ip_diffim                 12a598f6a153be82e3869cc1299b677fc9e3ca6c  19.0.0-20-g12a598f+5                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
pipe_tasks                5d40e1c733aa8f77bb63bebcb839a87c11ca980f  19.0.0-59-g5d40e1c7+1                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_lsstSim               5b439099271350b4f32a7a66b2b998a2be3c93c6  19.0.0-4-g5b43909+6                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,utils
obs_lsst                  56b0ea19a3f6b64be50d0081738f69bd003fa6f2  19.0.0-53-g56b0ea1+5                     afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
sims_coordUtils           d444178b61d0384082c202b0aac259678ac54ffd  tickets.DM-24742-gd444178b61             base,utils,geom,afw,sims_utils,obs_lsstSim
sims_maf                  9d5f2e6c372f84b86fc47ab6778460631d3370dc  tickets.DM-24742-g9d5f2e6c37             base,ephem,palpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_catUtils             327a1a19c198a2a4e65e07cdb70a0bd38c8f92f1  tickets.DM-24742-g327a1a19c1             utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,pymssql,daf_persistence,sncosmo,obs_lsstSim
sims_GalSimInterface      10e3b91fc868084b9b488483f109ee407907675c  tickets.DM-24742-g10e3b91fc8             meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+60                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
