# product                 SHA1                                      Version                       
BUILD=b4857
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  19.0.0-3-g62ccb58                        
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
testdata_subaru           095be34edd615fa0c9837435b2cbb58cd5080f14  19.0.0                                   
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  19.0.0-3-g489cb8a                        
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  19.0.0-1-g81f4c9d                        
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  19.0.0-1-gd1c39c2                        
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
daf_base                  49a97f9b6dba30d9f445da803e06e9b3f555cafb  19.0.0-1-g49a97f9+4                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
pex_config                305ff640ffeb048dfb530f6dfafd76ed9afa6908  19.0.0-8-g305ff64                        numpy,pybind11,python,daf_base
log                       03d53ef8083cf25d560524726eea15af535ff53a  19.0.0+10                                boost,log4cxx,base,pybind11,python,sconsUtils,utils
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  19.0.0+10                                daf_base,utils,pybind11,python
astro_metadata_translator b976306e3e6fb85232cc838a145475ae8f16ca31  0.1.0-10-gb976306+4                      scons,sconsUtils,pyyaml,astropy,daf_base
daf_persistence           56feb960c75c5ba6b4efd73662c4c0b872005814  19.0.0-4-g56feb96                        log,pex_policy,astropy,pyyaml,pybind11,python
afw                       35bb998706693091c69c849148dd95809e29bb39  19.0.0-18-g35bb99870+2                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_matplotlib        ff6972b4a087e47eb23ec3997501d0203d232ab3  19.0.0-2-gff6972b+15                     afw,matplotlib
display_firefly           8c57eb963c0c17ac75b2466a93c44ca8b330b821  19.0.0-1-g8c57eb9+31                     afw,geom,log,firefly_client
ctrl_orca                 36382b0fdec280e89d3ae8aa1e7c3f4941d831a3  19.0.0-1-g36382b0+16                     utils,pex_config,daf_persistence,log
shapelet                  20d9b18fc4035c479378fae07027228830a3b27f  19.0.0-1-g20d9b18+31                     afw,numpy,scons,sconsUtils,pybind11,geom,scipy
daf_butler                682a47adf7860c95d456e2a96a1400cba8944366  19.0.0-61-g682a47ad                      astropy,sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,afw
pipe_base                 9c22e3c4fa36d3d32ead105d86b838dc74252940  19.0.0-17-g9c22e3c+9                     daf_butler,daf_persistence,log,pex_config,utils,afw
display_ds9               c3516c3f6db57152275a283dac296be288dab7e4  19.0.0-1-gc3516c3                        afw,xpa,pybind11
dax_apdb                  31cdceebdc8a6b696d3feeb82d6f84f8f7a16fc1  19.0.0-2-g31cdcee                        afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
verify                    a3fec043f1a9aefc2d46b994bceef8e3a673ddbd  19.0.0-11-ga3fec04+18                    astropy,pyyaml,numpy,sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
skymap                    f8cb8b407b9c9d5c925cadf26e6c35468fa1239c  19.0.0-1-gf8cb8b4+3                      numpy,sphgeom,geom,afw,daf_butler,healpy
obs_base                  ce872c1256849696bf07c68cabf0c542f7299911  19.0.0-49-gce872c1+1                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
ctrl_execute              7fa7663e7155b3eff9f506bb5735a8204170633b  19.0.0-1-g7fa7663+16                     ctrl_orca,pex_config,utils
cbp                       258cb4289da728143cb7f62a9b2bdd76c72a05e1  master-g258cb4289d+10                    numpy,geom,sphgeom,afw
coadd_utils               efe1d0da3a5767432c665339311a179f8b65e26e  19.0.0-1-gefe1d0d+49                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
ctrl_mpexec               a729abf40e980332a1bf9a2d77a660f861bdfc5f  19.0.0-14-ga729abf+4                     daf_butler,log,pex_config,pipe_base
obs_test                  2d43a51dd5c5851e9d116e65592eed79a9fbe132  19.0.0-3-g2d43a51+2                      afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
ctrl_pool                 260436e5942073d83ef12ecad5cbacc21e5167e5  19.0.0-2-g260436e+53                     daf_persistence,pipe_base,log,utils,mpi4py
ctrl_platform_lsstvc      1b224f6350ad8892996b600c078569d9a6a49750  18.0.0+46                                ctrl_execute
meas_base                 886f80587933483e09dea84d67c93c0a5504cab4  19.0.0-7-g886f805+5                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  19.0.0+78                                obs_test
meas_extensions_simpleShape 9a028c0f4ac50743c0f674f595a0f16a413fd114  19.0.0-1-g9a028c0+13                     scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_algorithms           3dc1a33c0ee0b1b31c03090a1b7d64b6a56ae9d9  19.0.0-16-g3dc1a33c+6                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pipe_base,scons,sconsUtils,utils,pybind11
ap_association            87367c679f811fb8752215df1cb0de213042f4c3  19.0.0-17-g87367c6+3                     afw,meas_algorithms,pex_config,pipe_base,dax_apdb,verify,numpy,scipy
meas_extensions_scarlet   dd218f3d4c3a3ca8c2b314c832a932c46d9b7c7a  19.0.0-7-gdd218f3+15                     base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
meas_extensions_psfex     b77924a28b3f8798175d4447a3001ccaf4e1a5ce  19.0.0-1-gb77924a+15                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
meas_deblender            f3b14352a427e71d443da78351709f89f072468a  19.0.0-3-gf3b1435+6                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib,testdata_deblender
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  19.0.0+80                                meas_base,pybind11,meas_algorithms
ip_isr                    e306cd87d0b0e12818649691ed1615986d7812d2  19.0.0-21-ge306cd8                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
meas_astrom               d6f004ed29b3ad6bc8a38817ea6a9cb9ee512f37  19.0.0-2-gd6f004e+6                      geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
meas_modelfit             d8897bad1b9eada037b80c59427f270bf9b0a796  19.0.0-5-gd8897ba+6                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  19.0.0+80                                meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_diffim                 59f0e8a5492e596cff3418b5469e8abf70c788fb  19.0.0-17-g59f0e8a+4                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
cp_pipe                   7511ce4b3db806b114d559eef5f3d9485dd26b15  19.0.0-14-g7511ce4+6                     pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  19.0.0+86                                afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  19.0.0+81                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
pipe_tasks                fc4a647e52caf6237a3fc9ad46a2361d7b5e6814  19.0.0-51-gfc4a647e                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  973659ed83bff9bf0e5c2524a53f676c674565fa  19.0.0-50-g973659e+2                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
obs_sdss                  8e7b9c6d1caba0e9279051fdec1111fe918f428c  19.0.0-1-g8e7b9c6+2                      obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_subaru                59c90c195605619d7ccf7d2452b77ccf8cd4d0d2  19.0.0-40-g59c90c19+2                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
lsst_dm_stack_demo        efeb6eafac97b171e35fad337b871d8348db76fb  19.0.0-2-gefeb6ea+6                      python,utils,sconsUtils,obs_sdss
obs_cfht                  1c952fe5ae03f0394f0a0228fdcbc76517bbfcd0  19.0.0-2-g1c952fe                        daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
synpipe                   bfe0924a0c6021c906e6612ed51a47dd4de490d5  19.0.0-1-gbfe0924+66                     astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_decam                 f122e699cfa9f1e32db2e6ca87288cd929b0df5b  19.0.0-21-gf122e69+2                     utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  19.0.0-1-g90fac64+26                     obs_decam
pipe_drivers              ac56ccee116805b9aab6b8f61d6fcdcab361b72a  19.0.0-4-gac56cce+17                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_lsstSim               16f0df308ccf1a0b98aae46950ce663d72b27833  19.0.0-3-g16f0df3+2                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
validate_drp              52d6fc4c12445ac15a8b7b241333f9e97318a104  19.0.0-14-g52d6fc4                       python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+259                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  19.0.0+100                               obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   326ba0f25baf62bc1d9f0b6e764731527699cd31  19.0.0-8-g326ba0f+2                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
testdata_jointcal         176239d5b2d06a3db1d5df024f635ecc3d170589  19.0.0-3-g176239d+9                      obs_lsstSim,obs_cfht,obs_decam,obs_subaru
ap_verify                 dae77717f72b61e4e6a7c4fdbc35028dbd71f80d  19.0.0-8-gdae7771+2                      python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+269                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
jointcal                  66946eb5369089dd4d1af2441be302848cac3c90  19.0.0-5-g66946eb+6                      scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   2772d4aead22e1eb1a24293d26255350d88dbeab  19.0.0-19-g2772d4a+9                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              c154f85acc49bb082938c283f7b52dce6afd4be0  19.0.0-1-gc154f85+39                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   c024abaf8a5ff47abea09dfaf3cc5cc6af43e52e  19.0.0-3-gc024aba+25                     lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
