# product                 SHA1                                      Version                       
BUILD=b5569
afwdata                   294ccec69c8ab026b758a42557191ddc6c08b2df  21.0.0-2-g294ccec                        
astropy_helpers           9c76ab20764baf2335cbd254d274addf80fd6c80  3.0.2.lsst-1-g9c76ab2                    
eigen                     398bedf73421a204f5af0a73b4fe29513bf0f1cf  3.3.7.lsst2-1-g398bedf                   
ephem                     6182364ef5d674c8f0765ee00779fcfe7ab23a50  3.7.6.0-1-g6182364                       
freetds                   0735e0852765cf374c258482c5b9a295c0459975  0.91.112.lsst2-1-g0735e08                
obs_lsst_data             bdb8a927be7854da614426be56425ca360b5564a  21.0.0-2-gbdb8a92                        
obs_test_data             86cffb07a861623a7d6dfa50fc06f4464f55743a  21.0.0-1-g86cffb0                        
palpy                     a7803970ea9fbca76a1481d3e46fd5b1af9d7158  1.8.1-1-ga780397                         
proxmin                   79c049878343e03f030d423d5eca84c61cf578e7  lsst-dev-g79c0498783                     
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sconsUtils                e0be3457b30cd34bc8be7b69cedc6b98a40a8048  21.0.0-11-ge0be345                       
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
sims_maps                 c32f3528de89b0db7ef0d984971a49da3b63e7cb  2017.05.08-12-gc32f352                   
sims_sed_library          5b328a8624af10bcd6eeab6148384ea206a2de43  2017.01.24-1-g5b328a8                    
sims_skybrightness_data   f1b24993bd8437ee33f210b598d66523bedffb07  2017.05.05-2-gf1b2499                    
testdata_deblender        2cc488a7b8fb5b4a68d28dc0f7e2487656e953fb  21.0.0-1-g2cc488a                        
throughputs               8905f4dc30e402af34fef43b518b607110ab7f95  2019.07.02-3-g8905f4d                    
utils                     0503b2e49d82ccfc4010ac211ffd111ebe2c7d8e  21.0.0-7-g0503b2e+18535a8d22             base,pex_exceptions
daf_base                  1930a60f4bdbfd3fbf2ab53be8d85a3575fffeb9  21.0.0-6-g1930a60+b18c5f6b76             utils,pex_exceptions
daf_butler                5a94d8512723ee625303cc1e6749855f84764412  21.0.0-106-g5a94d851+7e5b4c34a6          sphgeom,sconsUtils,utils
geom                      8c1d9715ccfd794127d16b3fb4a810451a158231  21.0.0-5-g8c1d971+7e5b4c34a6             sconsUtils,sphgeom,pex_exceptions,utils
log                       cc89fd630aeac586b7e651bec63a0326947092bd  21.0.0-5-gcc89fd6+b18c5f6b76             base,sconsUtils,utils
sims_almanac              021b69e146185b5362cbd16f017d3f312930c1a3  master-g021b69e146+b18c5f6b76            base,utils
sims_survey_fields        3f5255daf361aa322d1c4a72f0310a609ecb7052  2.13.0.sims-1-g3f5255d+b18c5f6b76        utils
sims_utils                370dc2927f2007de36475bf517a1499a4b97ac31  2.13.0.sims-46-g370dc29+235cff10f7       utils,palpy,sims_data
astro_metadata_translator c2dde510d9bb45d1e60ff7412c1e651dcfeb32fe  0.1.0-26-gc2dde51+9915f4c1f0             sconsUtils,daf_base
daf_persistence           7058be7699ee99ba262b07435f82feb14034c706  21.0.0-9-g7058be7+2d726afa20             utils,log,daf_base
pex_config                a51b5d4678a70284aacf13abefed49efedf331ba  21.0.0-1-ga51b5d4+9915f4c1f0             daf_base
sims_catalogs             2b292336d146d57b33f9e26efed6e0ff432561ee  2.13.0.sims-10-g2b29233+0c41e26a95       daf_butler,pymssql,sims_utils,utils
sims_photUtils            e14a2668a4f874f85074a8d2fc1e37654b70b5be  2.13.0.sims-5-ge14a266+60cd16d08e        utils,sims_utils,throughputs
afw                       119a6608a6ff8ecc3a2e9c54fd2bbd98a39659ac  21.0.0-45-g119a6608a+532d44eec1          daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
sims_cloudModel           e3724df5295e741076d6596dd9a15e4ab9fb1348  master-ge3724df529+89cef15be2            utils,pex_config,sims_utils
sims_downtimeModel        55f72efa65e9793de772e7accf868fc2f569c778  master-g55f72efa65+b45514273b            utils,pex_config
sims_seeingModel          a4bf72ea443f605edd1ad02490135ddf74d679a3  master-ga4bf72ea44+a590f1778d            utils,pex_config,sims_utils,throughputs,sims_photUtils
sims_skybrightness        6abee38a49928afa4eb09bce69e577992cbe7cc6  2.13.0.sims-8-g6abee38+164f934484        base,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data
dax_apdb                  5242d73e2ffb4e3e611bb88a9ec4d023285edcf1  21.0.0-2-g5242d73+7a03d65b13             afw,pex_config,sconsUtils,sphgeom,utils
pipe_base                 f27b79e8674da44a1e519d75375033fa44072c75  21.0.0-29-gf27b79e+f4e773f57d            daf_butler,daf_persistence,log,pex_config,utils,afw
sims_skybrightness_pre    3fb065b821fc354149223a330142f5383b31c879  2.13.0.sims-14-g3fb065b+d32f9f7d71       sims_utils,sims_survey_fields,ephem,sims_skybrightness
skymap                    c54ca17d0e5310138bddc5ee295d5ef6ba68a84c  21.0.0-6-gc54ca17+f4e773f57d             sphgeom,geom,afw,daf_butler
coadd_utils               7f82c8f19b2f30e66ea09e5d134dfa2e8f2de96b  21.0.0-2-g7f82c8f+cb30300d2e             afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
obs_base                  0d2570576bf3c370cecc63b07755147d596da34d  21.0.0-59-g0d25705+889ee31bdf            daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
sims_featureScheduler     5f42dc1c7639552749a068695000d0d8ca85e032  master-g5f42dc1c76+8116bc3b09            base,sims_utils,sims_skybrightness_pre,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac
verify                    e0487edb163845affce92a4eb848a3656f4d3be3  21.0.0-10-ge0487ed+bf37a9fffc            sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
meas_base                 3bd782b489b14a3f46934e5e0dd43256f727c0fe  21.0.0-14-g3bd782b+25c619aa25            utils,geom,afw,skymap,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
obs_test                  5f8d297003590f1260a72764c32953031a546400  21.0.0-5-g5f8d297+a12ef938c8             afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           727f315ea76137e145bd33255cde00933a4dad54  21.0.0-30-g727f315e+692e5d6c44           astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
ip_isr                    c8894c71d8ece4ba74a0eec7ca2cdacfc997e8ea  21.0.0-21-gc8894c7+552aca6dca            meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
meas_astrom               7aa11f2848d6a8ff95c7bcf5feba86fedfb9ed74  21.0.0-7-g7aa11f2+552aca6dca             geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
meas_deblender            7dab645b9782188e2b61cfca652f4708756c1bfe  21.0.0-4-g7dab645+80ff539b09             afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_psfex     357aad23dceea12cdbe6ca561815996fa8eb9032  21.0.0-3-g357aad2+6b2f77ef8c             afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
meas_extensions_scarlet   574b836e3e1589d06130018d7ea10f6684a7c2c0  21.0.0-14-g574b836+6228081a19            base,afw,log,scarlet,scarlet_extensions,log,pex_config,pex_exceptions,pipe_base,meas_algorithms,testdata_deblender
ip_diffim                 51ee50f494487167a5198ae1526890bc1c058849  21.0.0-21-g51ee50f4+27a29155c2           afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
pipe_tasks                f06e6c5cdb2f3ea0f33e60f5642b7298d38c4bc0  21.0.0-111-gf06e6c5c+fee76ed8f6          afw,daf_persistence,daf_butler,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_extensions_psfex,kht,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_lsst                  5e6390c3ce875157387108b9a8e3846edc8fa80a  21.0.0-48-g5e6390c+ded4823b9c            afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
sims_coordUtils           c9b9334a7cd08af16e27a4947b412045c413faa4  2.13.0.sims-7-gc9b9334+a275d5246d        base,utils,geom,afw,obs_lsst,sims_utils
sims_catUtils             ab59eb09eb3122acd3df71c06423684376afd3a9  2.13.0.sims-17-gab59eb09+2375e80d83      utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,pymssql,daf_persistence,sncosmo,obs_lsst
sims_maf                  717aec057ca5c059119c70f078e963cc2e87e19d  2.13.0.sims-102-g717aec05+3f78424c94     base,ephem,palpy,sims_utils,sims_data,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsst
lsst_sims                 6cf0aa7d42b92e9bc8824669ec98a2a70259ee48  2.13.0.sims-4-g6cf0aa7+46a6241d3b        sims_maf,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
