# product                 SHA1                                      Version                       
BUILD=b4604
gsl                       d1efc244ff2983d796a7f7bd2e0a89264f393b35  2.6                                      
dax_ppdb                  e272bc47f0d7cfc3fab247ce37bf58029712b3f4  18.1.0-2-ge272bc4                        
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  18.1.0                                   
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  18.1.0                                   
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
pipe_base                 0997b023415e5b893b796ef2a931b40d9d3b0a8f  18.1.0-11-g0997b02+5                     daf_butler,daf_persistence,log,pex_config,utils,afw
verify                    0fb94c93acb850b38de94bba8a24e0d48bc04464  18.1.0-11-g0fb94c9+8                     astropy,pyyaml,requests,numpy,sconsUtils,utils,log,pex_config,pipe_base,dax_ppdb,verify_metrics
obs_base                  6ff7ca9c4284faafa603a4fcc39d73202787cd8b  18.1.0-27-g6ff7ca9+3                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
ctrl_mpexec               95c0431fdd46c9b945f117780fde0c2c5d7d7687  18.1.0-15-g95c0431+2                     daf_butler,log,pex_config,pipe_base
coadd_utils               1349e88a9b8c98486c5498ba96472bab1ce3f7ef  18.1.0-1-g1349e88+56                     afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 9d75d83883deed4558ba59a75355fdab4105fa67  18.1.0-7-g9d75d83+10                     utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
ctrl_pool                 af5c3d7277764be86d1420eb08ffee5347952b5f  18.1.0+1                                 python_future,daf_persistence,pipe_base,log,utils,mpi4py
obs_test                  b58edde49b9f5d5eecea10bacfa0a296c161836d  18.1.0-10-gb58edde+3                     afw,daf_base,obs_base,pex_config,numpy,utils,obs_test_data,pipe_base,astropy
ap_verify_testdata        d950ce2a3f0a451bb03463301f99facacc51d79b  18.1.0-2-gd950ce2+26                     obs_test
meas_algorithms           fe4edf0bc898434f670f6db9fe161e13055cb265  18.1.0-13-gfe4edf0b+13                   astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_simpleShape 2505f398cf0fdfbadb955bac01d96f74ee4167f0  18.1.0-1-g2505f39+46                     scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions,geom
meas_deblender            b69f684f022401138965f795f2c7ca1ca4edd7aa  18.1.0-3-gb69f684+43                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_extensions_photometryKron fbf354599b3b466ee94fe2e05b7b6194b604b078  18.1.0-2-gfbf3545+34                     meas_base,pybind11,meas_algorithms
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  18.1.0-2-gc364b07+50                     meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_extensions_shapeHSM  5afa1ba6257a623d0e68c97e5688f1765d88c3cf  18.1.0-1-g5afa1ba+50                     meas_base,meas_algorithms,galsim,geom,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_psfex     85f8cd4c9747119265e3fb405c2053a45b7b812e  18.1.0-1-g85f8cd4+50                     afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils,geom
meas_extensions_scarlet   27024eed42cb91fb4c9616f60f5167219b05bafd  master-g27024eed42+22                    base,afw,log,numpy,scarlet,log,pex_config,pipe_base,meas_algorithms,matplotlib,testdata_deblender
ap_association            cd486d8b065929cfc49830454821028acc57cc16  18.1.0-15-gcd486d8+4                     afw,meas_algorithms,pex_config,pipe_base,dax_ppdb,verify,numpy,scipy,python_future
meas_modelfit             f3f9b772d0eb8e20ceff5e00d09ddc11494ecf83  18.1.0-4-gf3f9b77+8                      afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,geom,matplotlib
meas_astrom               ae09a6d217e9709901a7b82a3b8e37fa6082e19e  18.1.0-7-gae09a6d+31                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,numpy,matplotlib
ip_isr                    db69f3f5579b51e7e577b2a53f8d91570ff1ebb1  18.1.0-19-gdb69f3f+3                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
ip_diffim                 259bd21b698c142a327f4a0f842eb3f9bfaa9cf8  18.1.0-14-g259bd21+24                    afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
pipe_tasks                728bddb4754d075340de2bce22ac5c07aa8dc4cc  18.1.0-26-g728bddb4+8                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  18.1.0+2                                 astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_cfht                  58b286f537295806a60ef65ec26088111568e852  18.1.0-7-g58b286f+14                     daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
cp_pipe                   8ea57afc312cb329208fdd67a9dc5f9ef9e5cb90  18.1.0-3-g8ea57af+10                     pex_config,pipe_base,log,ip_isr,afw,meas_algorithms
obs_sdss                  ace40198c99336623c9d1e31592afb07b17a4ff2  18.1.0-4-gace4019+21                     obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
obs_ctio0m9               a2826f2ea91c6984f69b2f35678445b7249f50bd  18.1.0-3-ga2826f2+11                     afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
obs_lsst                  b94f4f4f31a86cb4ad929e197c940d60e779bac0  18.1.0-29-gb94f4f4+10                    afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
pipe_drivers              6dbcb01bc42be6cfb7cc9086200140ba0e0bdb02  18.1.0-5-g6dbcb01+44                     ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  18.1.0+2                                 obs_cfht
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  18.1.0+2                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
obs_lsstSim               419758847766ba5c476b9d7341439c2964fcfe14  18.1.0-7-g4197588+6                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
lsst_dm_stack_demo        f767033f4cf32631a97647b9e260b934deb1fd6d  18.1.0-2-gf767033+22                     python,utils,sconsUtils,obs_sdss
obs_subaru                325b54883fc8cb84eedd629b553f2caef7eb4272  18.1.0-24-g325b5488+7                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_decam                 c381ef58162edabe1a261bba3b651d317350c76a  18.1.0-9-gc381ef5+8                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
validate_drp              7ea8e08af7e262100bbfd3eea04ca0b812fcc76e  18.1.0-2-g7ea8e08+30                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.1.0+2                                 obs_decam
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  18.1.0+2                                 obs_decam
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  18.1.0+2                                 obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_obs                  79a6842f88d4772e78b85d692f480a7ac44c17d5  18.1.0-1-g79a6842+42                     obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ap_pipe                   cd8f52cf305460ae362f5de8a76fe6b9dbec0690  18.1.0-4-gcd8f52c+51                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
jointcal                  fcaddf31851a8456dfa6c9e8dcf6dbc343993437  18.1.0-3-gfcaddf3+15                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
ap_verify                 e2971c513d36ed21e1b7abf887f9212cb54eeb32  18.1.0-7-ge2971c5+9                      python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  18.1.0+2                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
fgcmcal                   4c5cef4afef2d3125510e35405c3d4434375d63c  18.1.0-8-g4c5cef4+21                     scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  18.1.0-2-gb0efc0e+68                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  18.1.0+2                                 lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
