# product                 SHA1                                      Version                       
BUILD=b4465
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
obs_subaru_data           6aee438b98a0c2b003dc69ddef7706cdb2abf0e8  master-g6aee438b98                       
obs_decam_data            608677b38e11754a76534dda2db05f5f7911ef80  master-g608677b38e                       
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
ip_diffim                 ae7190a43e41a435eb370890fbafaeefef7e9399  18.1.0-9-gae7190a+5                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,geom,afwdata,matplotlib
meas_extensions_convolved c364b07b0b44b9705252c57a42b8b0c7c9e477d9  18.1.0-2-gc364b07+19                     meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
cp_pipe                   a1a4c1a48ebee997e72b37aee5c735ac0a54b6e2  18.1.0-1-ga1a4c1a+18                     pex_config,pipe_base,daf_base,log,ip_isr
obs_ctio0m9               5cf46b38bfa582ce6a9105cb81ebc91bb11ceb46  18.1.0-1-g5cf46b3+19                     afw,daf_base,obs_base,pex_config,numpy,utils,ip_isr
pipe_tasks                c153667bcd76a58f3979c35e6d7bd3bb51df7cb3  18.1.0-15-gc153667b+4                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_cfht                  0cd17113278886f18ac133a304e4e452b202fe41  18.1.0-5-g0cd1711+3                      daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astropy,astro_metadata_translator,geom,testdata_cfht
obs_comCam                4098917a1ca2d1124d245bf73ed3bf7dce7a15b2  18.1.0-1-g4098917+4                      afw,daf_base,obs_base,pex_config,python_future,numpy,utils,ip_isr,pipe_tasks
obs_subaru                d0b84446248414d647feb39ca9d97c91466154bf  18.1.0-16-gd0b84446+9                    daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
synpipe                   f4e015501451dd74dec59d8bebda34822a4ce5c0  18.0.0+48                                astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_lsst                  99ad2c07f6784ef0f9d697d215db4eb1ae9dff66  18.1.0-13-g99ad2c0+1                     afw,daf_base,obs_base,pex_config,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data
obs_lsstSim               b05d41e8cd5697d7963dc2f12fda65b85732dcfb  18.1.0-5-gb05d41e+5                      daf_base,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_monocam               095c73bfd5dc93e31a079202b68861b2e578c47f  18.1.0-1-g095c73b+4                      afw,daf_base,obs_base,pex_config,daf_persistence,numpy,utils,pipe_base,pipe_tasks,ip_isr,geom,meas_extensions_astrometryNet,meas_extensions_psfex
pipe_drivers              6dbcb01bc42be6cfb7cc9086200140ba0e0bdb02  18.1.0-5-g6dbcb01+9                      ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_sdss                  97b462dfcc25190c9db306f1264585c1e03a6422  18.1.0-3-g97b462d+4                      obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy,geom
validation_data_cfht      66438b487e0c5fe62511e0ef8db087337b698659  17.0+127                                 obs_cfht
obs_decam                 ebc0338e5d135b1b894a53a26bd447481a03b72b  18.1.0-7-gebc0338+4                      utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
ap_pipe_testdata          20ca293bfb5baff4f44463fb2902b661b2be383e  18.0.0+48                                obs_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+128                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  8eafd7054b3b93f421c90337abe3257e5d847f0c  17.0+133                                 obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsst,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
validate_drp              3c94890e2c9d347536ed2f2038da906845ff7002  18.1.0-1-g3c94890+15                     python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
lsst_dm_stack_demo        c5e40344c7b59d81363741adb21c8698bb4042b1  18.0.0+47                                python,utils,sconsUtils,obs_sdss,meas_extensions_astrometryNet
validation_data_decam     d4b72066b3336f9219cd8d829e9648a716b97822  17.0+126                                 obs_decam
ap_pipe                   cd8f52cf305460ae362f5de8a76fe6b9dbec0690  18.1.0-4-gcd8f52c+14                     utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
testdata_jointcal         5ea0c29dedfcc390b3248f27e0c910e4ac69bf28  18.0.0+48                                obs_lsstSim,obs_cfht,obs_decam,obs_subaru
lsst_apps                 e7f95acdbc98c351bcdf5ca22c7765c035c82bba  17.0+131                                 meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 1dd6499b024ca377b1baf19c278b1457ba903476  18.1.0-5-g1dd6499+10                     python,utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,obs_test,ip_diffim,ap_association
jointcal                  fefb8b58db04fec36d7ace6fd23784b5eb81b0b3  18.1.0-2-gfefb8b5+12                     scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal
fgcmcal                   7277a70cc471c43549df4dc4162f6fe65c1138a8  18.1.0-4-g7277a70+2                      scons,sconsUtils,ndarray,esutil,afw,daf_persistence,obs_base,pex_exceptions,pex_config,pipe_tasks,numpy,scipy,matplotlib,healpy,pyyaml,fgcm,jointcal,testdata_jointcal
lsst_distrib              b0efc0e2c5f205dfd711990ba78da8ce0798b221  18.1.0-2-gb0efc0e+16                     lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,fgcmcal
lsst_ci                   7d755d1402fc15484e014925d27d5172d26a6cee  17.0+139                                 lsst_apps,lsst_distrib,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
