# product                 SHA1                                      Version                       
BUILD=b3711
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.2.10-1-gc8ced58                        
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
pybind11                  bfe630dada77c6421032137d69208da9379e5e62  2.1.1.lsst2                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+8                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
galsim                    4bf07793e5ac764c53eca750585efa12fdf40cfd  1.6.0.lsst                               numpy,pyfits,python_future,boost,fftw,tmv,astropy
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+8                                  python,pytest,flake8
sconsUtils                d93e90d9fce3aa05aa0571bdd09814aaf465396e  16.0-1-gd93e90d                          scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,pytest_cov,doxygen
afwdata                   1546c47f6745f6df266a0b5d994facf44e9f631a  14.0+23                                  sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+1                                   gsl,sconsUtils,fftw
verify_metrics            c1dfd1aab9d05da0f5bc9a125d7002ca8199e5b2  16.0+1                                   sconsUtils
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+41                    scons,sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+37                               sconsUtils
base                      8aea5f4a8dde44e6c9a2ac9e2aafa51a770ba381  16.0+1                                   sconsUtils,pybind11,python,python_future,doxygen
astshim                   f906033862c31d8092f964341730544b2de870ed  16.0+4                                   sconsUtils,ndarray,numpy,starlink_ast,pybind11
sphgeom                   7bb14cc179dfdb8448f7b59dfc9897a4be36da39  16.0-1-g7bb14cc                          base,sconsUtils,pybind11,doxygen
pex_exceptions            707930dd85bd7b82d13c9f19db69b854e659dd16  16.0+1                                   base,boost,pybind11,python,python_future
utils                     958ce35ccb2dd3b684643e4232f019361dcd70bf  16.0-3-g958ce35                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
geom                      de8cee2ed2314d96d5ab722c02dc570b0630048e  16.0-4-gde8cee2                          boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       df18595420fc27149a376a6e1bb4ba3db408bfc7  16.0+1                                   boost,log4cxx,base,pybind11,python,sconsUtils,utils
daf_base                  099ede08bbaaa5e2cd8bb79f446dcb5ae587df0d  16.0-3-g099ede0                          utils,pex_exceptions,pybind11,python,numpy
verify                    f66bdf4c88a53f7fb18b6c36b3c213b979991e35  16.0+1                                   python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_policy                4b114ac3842422df41dceaa69f2476527d8ef373  15.0+21                                  daf_base,utils,python_future,pybind11,python
pex_config                ae1598d582b523b6b9350db62a10782e149bea76  16.0+3                                   daf_base,pex_policy,numpy,utils,python_future,pybind11,python
daf_persistence           311bfd22b9c393cf8423825b064a61915223d3f6  16.0-2-g311bfd2                          log,pex_policy,astropy,pyyaml,pybind11,python
afw                       f08c31002ed51b342c5c8bcf3c936d0d2bf27c4e  16.0-12-gf08c31002                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,log,pybind11,astshim,astropy,matplotlib,afwdata
display_matplotlib        d076f1fb4d29987d637edbb2680bc64a89bab192  16.0+6                                   afw,matplotlib,python_future
display_ds9               19261fa63b80e55469fdeadbf416b5eeffe40dad  16.0+6                                   afw,xpa,python_future,pybind11
ctrl_orca                 9633d822c601c422e950248b046d35adba9f08aa  16.0-1-g9633d82+1                        python_future,utils,pex_policy,pex_config,daf_persistence,log
display_firefly           09241ba9a4f2c4e7521005d46a721973b7d106fd  16.0+6                                   afw,log,firefly_client,python_future
skymap                    4515a79c948cb60a510861fe871ab9a50330eca5  16.0-1-g4515a79+4                        numpy,sphgeom,afw,healpy
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  15.0+26                                  python_future,ctrl_orca,pex_config,utils
obs_base                  fcceb1468b4608c339f8dc0cce8bcca78c355975  16.0-3-gfcceb14                          daf_base,log,pex_policy,daf_persistence,afw,pyfits,utils
shapelet                  84f75fba50da7ae184ac1099a31f5d877cd31e0a  16.0-4-g84f75fb+3                        afw,numpy,scons,sconsUtils,pybind11,scipy
obs_test                  a74c543b027b8f66dcb5a4fffc988e48cdd91d5b  16.0-1-ga74c543+4                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  15.0+26                                  ctrl_execute
pipe_base                 852da1389d92afd311a6f45a9017a973a3750a05  16.0-2-g852da13+4                        daf_persistence,log,pex_config,utils,afw,python_future,obs_test
ctrl_pool                 a91101e309adfc7ed5025ee9bd07fbb9d7e44ae9  16.0+6                                   python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               0c4e358dc36a966355d5d2e838b52c2f668d7a98  16.0-1-g0c4e358                          afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,python_future,afwdata
cp_pipe                   60afb23e41d70bc0a8625a4375dfe02416088242  16.0+6                                   pex_config,pipe_base,daf_base,log
coadd_chisquared          788a29304c8895415d18dbea573dbec0a3aca379  16.0+6                                   coadd_utils,numpy,scons,sconsUtils,python_future,pybind11,afwdata
meas_base                 4a515f935f875c74e1e60881fd68a39797dacf92  16.0-6-g4a515f9                          utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_extensions_simpleShape 854bb34999ebcf9fc05cd5bf295868a0864ca8b3  16.0-2-g854bb34+3                        scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_algorithms           2dd730412cd26b002c5b6482c477b612e5e32604  16.0-6-g2dd73041                         astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_shapeHSM  94f2621b832a8ec707102be377cc512245c864e3  16.0+6                                   meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_isr                    5c6f5eef7cb5c1a5e45a053954901cb4c28b3587  16.0-1-g5c6f5ee                          meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_astrom               1a325e74022390c8db15fd86dc6a6f1472bb468b  16.0-4-g1a325e7+3                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_modelfit             c37dbc231404a72790a32a79ddd39442533e490f  16.0-7-gc37dbc2                          afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
obs_ctio0m9               324726013e315847439e1d811718724ce1cb13b1  16.0-1-g3247260+4                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr
meas_extensions_psfex     f9715e7a08177e5efbdd17ab1fb62b05e980cdc9  16.0-4-gf9715e7                          afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_deblender            95bd2711a48c72efbac22a561dde227bf46d0844  16.0-2-g95bd271                          afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib,testdata_deblender
meas_extensions_astrometryNet 4be42a9c6029692fe52cd24d887fd463880cfe3f  16.0+6                                   afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               8372efd49791cdc88d50a7069d88b30ffb60ae38  16.0-1-g8372efd+4                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
meas_extensions_photometryKron 80120d7e2c94680bc497103be3ac21f66fbb2113  16.0-1-g80120d7                          meas_base,pybind11,meas_algorithms
ip_diffim                 cfd139665ddea6bb742ccf1b86cdace90c27f0e1  16.0-4-gcfd1396                          afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_convolved 86759d07ea7cd1281d58080ea7e48343c2bcba56  16.0+6                                   meas_algorithms,meas_extensions_photometryKron
pipe_tasks                08dccf7127909f6ef51c436267185e24c5058b5e  16.0-4-g08dccf71                         afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_lsstSim               3215b9bb50a43a1c32f577fef094c3966a0401be  16.0-1-g3215b9b+4                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils
obs_decam                 853f6623ac75fe5f13c2f4a5ae74d4020c504b31  16.0-2-g853f662                          utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
obs_sdss                  ec718de2842350bae93929894663eb115e55708e  16.0-2-gec718de                          pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log
obs_cfht                  891f9b3213141e2fab60c4073a3ba280eefeab8b  16.0-1-g891f9b3+4                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,testdata_cfht
obs_subaru                142a32ee0121a77e839e53d354db2c811342a10f  16.0-2-g142a32ee                         daf_persistence,obs_base,pipe_tasks,meas_astrom,pyfits,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              98efed3a62fa35d281f9f9565087def8197809b7  16.0-1-g98efed3                          ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+7                                   obs_lsstSim,obs_cfht,obs_decam,obs_subaru
meas_mosaic               8e4db6ed212f3dc8722ac02919bea87c753866bb  16.0-4-g8e4db6e                          sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,obs_subaru
obs_comCam                4ef91f377f46dffd6cd78a9a9aa94555c3e32b61  16.0-1-g4ef91f3+4                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
validation_data_cfht      d5cd87faf43f4e2f52a8945afc70d0d5fc35be7c  16.0+5                                   obs_cfht
validate_drp              0b0e9ded0f48dee108283dbfb124d7128d8c04b5  16.0-4-g0b0e9de+2                        python,python_future,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
synpipe                   682901a63752e934d568772693039876e0fe6bd5  16.0-1-g682901a+4                        astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
validation_data_decam     5fdc4fd1082845b36d3886d5724e4d8d3e74c041  16.0+5                                   obs_decam
jointcal                  21cc1d5d464f8b6bbef1984ac7be7ce04e788f8f  16.0-3-g21cc1d5+2                        scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+147                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ci_ctio0m9                c5ddfd5ad711b3fd39102627b604662a46ed28c2  16.0+5                                   obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+67                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_distrib              da316d8ed5fcfdc1ad1c8dd70c43df304f0dadda  16.0+7                                   lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
lsst_ci                   b670d9483baf6760b991711ee7d46cbf9ba3d786  16.0+6                                   lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
