# product                 SHA1                                      Version                       
BUILD=b3766
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  14.0                                     
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
testdata_decam            dd95a3b756cb1b6af5108f06ed7d2afa9202a39a  14.0                                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
pybind11                  ea7092a4090fd59ade4e396c01408907fd249ee9  2.2.3                                    
xpa                       eb35b1105c2a44557af660104f2807e2b28255dd  2.1.15.lsst3                             
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
cfitsio                   f3986278b6dc7e897628a72bea8a211b8e833524  3360.lsst5                               
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
pex_exceptions            988424033e172967ff5310548687587781bf0187  16.0-1-g9884240+2                        base,boost,pybind11,python,python_future
utils                     d6aeecefe409ad76c594a43fb762953f63ddc788  16.0-4-gd6aeece+2                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
geom                      9134ce50e424e8b12a063d33adc7e071e8d9b991  16.0-6-g9134ce5+1                        boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
daf_base                  50d071edccb46fc388ca6f676387ce40f81feca0  16.0-4-g50d071e+2                        utils,pex_exceptions,pybind11,python,numpy
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+2                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
verify                    0ee5b77afa3e0ec86e0d8326c80faace492b724c  16.0-1-g0ee5b77+2                        python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
pex_policy                16dcc352219a5fec1afeb87e19309b9793fd2ac1  16.0-1-g16dcc35+2                        daf_base,utils,python_future,pybind11,python
daf_persistence           3806c63f90834607b630fc774f9f267444510539  16.0-3-g3806c63+2                        log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                636dfb16b3b9161b76d6228b83a977dec0dcbac3  16.0-2-g636dfb1+1                        daf_base,pex_policy,numpy,utils,python_future,pybind11,python
ctrl_orca                 9633d822c601c422e950248b046d35adba9f08aa  16.0-1-g9633d82+5                        python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  15.0+30                                  python_future,ctrl_orca,pex_config,utils
afw                       f825f1c6c40e3f6380df211e171d5de35dc19d2c  16.0-26-gf825f1c6c                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_firefly           0e3a094dc8387bb495c563f043c98e724996df02  16.0-3-g0e3a094+3                        afw,log,firefly_client,python_future
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  15.0+30                                  ctrl_execute
display_matplotlib        cfd6c53fb2b2afaae4b6c783f7b86d332d41a7e9  16.0-3-gcfd6c53+8                        afw,matplotlib,python_future
obs_base                  f78d8dd9d0e8c687291fa8259817e9582e6d1730  16.0-9-gf78d8dd+2                        daf_base,log,pex_policy,daf_persistence,afw,astropy,utils
obs_test                  e3254b761bc060d3f4b3ee55bbedbecbd2c7ed3d  16.0-4-ge3254b7+2                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
skymap                    6923fb6b8408e027fad0eb8087df54e72790d311  16.0-3-g6923fb6+3                        numpy,sphgeom,afw,healpy
shapelet                  f0acd13e246ecb9c01539a9f8a569844a9f8d0f4  16.0-6-gf0acd13+2                        afw,numpy,scons,sconsUtils,pybind11,scipy
daf_butler                c333e838c5b3a453202b6cb15e67560420a06ee3  master-gc333e838c5+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,daf_persistence,afw
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+10                       afw,xpa,pybind11
pipe_base                 0b41441c3be140aa67f37ba2c0ebe467cafea8ff  16.0-10-g0b41441+5                       daf_butler,daf_persistence,log,pex_config,utils,afw,python_future,obs_test
coadd_utils               5dc86b7d486ca734b91f0e02ce3517490e47e655  16.0-3-g5dc86b7+13                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          839ba837ce4a9dc49a930c7af54f43f78ec67327  16.0-2-g839ba83+13                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
ctrl_pool                 14407aa59e34dacdd86751ba7ce03d6d70b98c3d  16.0-1-g14407aa+9                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
cp_pipe                   60afb23e41d70bc0a8625a4375dfe02416088242  16.0+24                                  pex_config,pipe_base,daf_base,log
meas_base                 f9130ea85f963096e628fc4193a9b70b4db4408e  16.0-11-gf9130ea+6                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           f74ee13d625222b15040b537944003bafa222532  16.0-11-gf74ee13d+2                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_psfex     3dac77708eff45f3963233e9fdf35f33ab569f98  16.0-7-g3dac777+7                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_deblender            be2f9569830244abcc30c42fb85102f409e37fac  16.0-6-gbe2f956+5                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_astrom               377a97613bb0b8983db5c9fbc7a21e7e88f5129e  16.0-9-g377a976+2                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
ip_isr                    19cf89a76aa5816fd68207a6332a2195273bd44b  16.0-6-g19cf89a                          meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+7                        scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
obs_ctio0m9               324726013e315847439e1d811718724ce1cb13b1  16.0-1-g3247260+24                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr
meas_extensions_photometryKron 9515088f98f36348b9b18834d95c9cd56051d472  16.0-3-g9515088+7                        meas_base,pybind11,meas_algorithms
meas_extensions_shapeHSM  db6403831200ce8d88f78ae34fec0ad6521fd412  16.0-4-gdb64038+13                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
meas_extensions_astrometryNet 347813efea3778e16147d63a132275d078525764  16.0-4-g347813e+7                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_modelfit             549e1598dbf584cb3a0ca2cacc0219d54f899ea4  16.0-10-g549e159+2                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_diffim                 4aca1734ef2b5856130496375cb6546b4dce3865  16.0-8-g4aca173+8                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_convolved 7f20f7744af9f8e893f40da821a7d5138c3c9209  16.0-2-g7f20f77+7                        meas_algorithms,meas_extensions_photometryKron
pipe_tasks                c30114dc28ea9ea2623e082634737d43ee1ed331  16.0-9-gc30114dc+5                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_monocam               379f3cef56948c0ddb1e3322774e956d3075ccb3  16.0-2-g379f3ce+2                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
obs_cfht                  d82908a437365592da9b5c7e9b9ce9acd08c56b7  16.0-2-gd82908a+21                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,testdata_cfht
obs_comCam                4ef91f377f46dffd6cd78a9a9aa94555c3e32b61  16.0-1-g4ef91f3+26                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_sdss                  44ea68fe555ac4e03ba8b0fffcd087cf5af1c151  16.0-3-g44ea68f+22                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
validation_data_cfht      d5cd87faf43f4e2f52a8945afc70d0d5fc35be7c  16.0+27                                  obs_cfht
obs_lsstSim               798650171ba8c30cb2f73445d2f3c862052de0ce  16.0-4-g7986501+10                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_subaru                c73b2dd1a018d91f659ac90f557ab4badff3c501  16.0-18-gc73b2dd1+4                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
meas_mosaic               ba863c0b97243918cb4b852b8f212a0f8eb5715b  16.0-8-gba863c0+8                        sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
synpipe                   7690030b7dc75ab983d9e9f9d17a2ce698989b58  16.0-4-g7690030+8                        astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_decam                 b463f2d0e3a4dfae71c28c26eab705c223af77be  16.0-4-gb463f2d+8                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
pipe_drivers              19f2ef8b673456e55fc4741512f6c9e9ae836d60  16.0-3-g19f2ef8+2                        ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+90                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  16.0-1-ge691f85+10                       obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+30                                  obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_decam     5fdc4fd1082845b36d3886d5724e4d8d3e74c041  16.0+27                                  obs_decam
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+169                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
validate_drp              ca0ebdfa7870129147615aebff6bec08202c8734  16.0-8-gca0ebdf+8                        python,python_future,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
jointcal                  e4eb5c16839fea3efe8f6adec7795245a85bfa68  16.0-11-ge4eb5c1+2                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              da316d8ed5fcfdc1ad1c8dd70c43df304f0dadda  16.0+32                                  lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
lsst_ci                   b670d9483baf6760b991711ee7d46cbf9ba3d786  16.0+31                                  lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
