# product                 SHA1                                      Version                       
BUILD=b3858
testdata_subaru           f61fcd2d64b7323c2f7aed34e3a45b2790a3a933  16.0                                     
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
doxygen                   75bf1144ea307806d65ecc1709226ca58866c1c4  1.8.13.lsst2                             
mpich                     39a8536fa6b7e33f4d775c6dc3b59a3d0bf04cb0  3.2.1                                    
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2                              python,numpy,astropy,astropy_helpers
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb                     numpy,scipy
galsim                    44d07677ff03b7dc52383c24bb2d86ed8a8f04ea  2.0.7.lsst2                              scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
scarlet                   fdfbe1c24037acfb2a9f7f87f3f505e4df92f041  lsst-dev-gfdfbe1c240+2                   pybind11,scipy,numpy,eigen,proxmin
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
flake8                    8f62c4f539d1d614f4c6808ce30f44e385ab8df9  3.5.0.lsst1                              python,python_mccabe,pycodestyle,pyflakes
pytest_flake8             e2c92a0aabc36f4155e42864a5e8d0e70f7444d9  1.0.1.lsst1                              python,pytest,flake8
pep8_naming               26693fcbc65f3b263b3efab1fd1467def49ee270  0.7.0.lsst1                              python,flake8
sconsUtils                920df9fdf5aae47b23c1d0a960053cd0191859d4  16.0-10-g920df9f                         scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+8                        sconsUtils
verify_metrics            16e3d1ca4a635d3a35cf7e63de994d8ed592e1fc  16.0-2-g16e3d1c+8                        sconsUtils
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+125                                 sconsUtils
astshim                   0febb12f172f6aa92958d4a456aa3fc7795f3087  16.0-2-g0febb12+12                       sconsUtils,ndarray,numpy,starlink_ast,pybind11
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+9                                   gsl,sconsUtils,fftw
base                      2cc461ccfc0cecc86fcd70d6fa40795b4070dd3f  16.0-4-g2cc461c+3                        sconsUtils,pybind11,python,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+49                    scons,sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+11                       base,sconsUtils,pybind11,doxygen
pex_exceptions            a3eb7471d14be2321ba7c432ab41031f935d22dc  16.0-4-ga3eb747+1                        base,boost,pybind11,python
utils                     5cf5345f76809800709e93a2faa41f7b1ea7961a  16.0-11-g5cf5345                         base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  23bbf3fb6edd089905abcd20c6ca2210e4454edc  16.0-8-g23bbf3f+1                        utils,pex_exceptions,pybind11,python,numpy,pyyaml
sims_utils                2aba68c2d73442d1ba539f9e019b48033b9fac5f  2.11.0.sims.rc1                          utils,python,python_future,palpy,astropy,healpy,sims_data
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5+15                       boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_photUtils            ba5b942a9359e7eceea918e8663e6225cfb49dfc  2.11.0.sims.rc1                          utils,sims_utils,python,throughputs,astropy
geom                      230e10e24db3d8aea844638d7593131379fcf83b  16.0-10-g230e10e+8                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
verify                    0ee5b77afa3e0ec86e0d8326c80faace492b724c  16.0-1-g0ee5b77+15                       python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.11.0.sims.rc1                          numpy,python,utils
pex_policy                404ea43d43b00bc6d085da84f02580eb1ddd4c69  16.0-3-g404ea43+7                        daf_base,utils,pybind11,python
sims_skybrightness        7ec41278affd08ffc905e4f4ab6ed154c3de1ce5  2.11.0.sims.rc1                          base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
daf_persistence           fd407c01d243806c03cec8b4e99189879f78b66a  16.0-8-gfd407c0                          log,pex_policy,astropy,pyyaml,pybind11,python
sims_skybrightness_pre    4c33f1b7a6cc07840924d2ba68f46bf180fb2d7b  2.11.0.sims.rc1                          numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
pex_config                d0f12351bd71195161ff13252898d5f6c9fc2d09  16.0-5-gd0f1235+4                        daf_base,pex_policy,numpy,utils,pybind11,python
sims_catalogs             1065295deb294d3b2660623b6df78c2e0eafd63b  2.11.0.sims.rc1                          daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
ctrl_orca                 2315192137f853c08cb8234cd89fa2ed3b64a930  16.0-2-g2315192+7                        python_future,utils,pex_config,daf_persistence,log
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  16.0+3                                   python_future,ctrl_orca,pex_config,utils
afw                       aa65a4573ae58c3f0e532ea3f38b40e18c2edfce  16.0-43-gaa65a4573+4                     daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
display_matplotlib        cfd6c53fb2b2afaae4b6c783f7b86d332d41a7e9  16.0-3-gcfd6c53+33                       afw,matplotlib,python_future
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e+35                       afw,xpa,pybind11
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  16.0+3                                   ctrl_execute
skymap                    13a27c568fe1a38c93be91724f76e1d111dadff8  16.0-4-g13a27c5+10                       numpy,sphgeom,afw,healpy
shapelet                  f0acd13e246ecb9c01539a9f8a569844a9f8d0f4  16.0-6-gf0acd13+27                       afw,numpy,scons,sconsUtils,pybind11,scipy
display_firefly           03cf288855deed6d7d3aedfddf06e06d647aa02c  16.0-4-g03cf288+24                       afw,log,firefly_client,python_future
daf_butler                c39853184bd451ba53dc16e7b5158f30c14eac01  master-gc39853184b+1                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,daf_persistence,afw
obs_base                  71e547aa8f146aac77eef9c2e76fe8f795c4545e  16.0-14-g71e547a+4                       daf_base,log,pex_policy,daf_persistence,afw,astropy,utils,daf_butler
obs_test                  a8e16550148fbc40156a0750d5bfc92966707cb7  16.0-7-ga8e1655+4                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 726f8f30fa14f9ca551270c4aa154cf44ddf5c93  16.0-12-g726f8f3+6                       daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
ctrl_pool                 bc759eca196902850c9b776dfedb826ace92e894  16.0-3-gbc759ec+6                        python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               8a0f11ad41700031c1f401767dc69b6fdc8006be  16.0-4-g8a0f11a+30                       afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
coadd_chisquared          839ba837ce4a9dc49a930c7af54f43f78ec67327  16.0-2-g839ba83+46                       coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
cp_pipe                   f77f4100a465b5ee726057b96e3eabece1d13b94  16.0-1-gf77f410+8                        pex_config,pipe_base,daf_base,log
meas_base                 d9b1b71a849cce3d94a38fc277cc4095d8016ff7  16.0-13-gd9b1b71+8                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           6a7bfb3b1a1aa5a3c7ece46c8b3bedbd1fa687c3  16.0-17-g6a7bfb3b+8                      astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_extensions_simpleShape b3f8a4bae7472527b6ae8c4180753443f1554f94  16.0-5-gb3f8a4b+40                       scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_deblender            4dec96c37e207122dcc113f5b58869c073e10ebe  16.0-8-g4dec96c+21                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
meas_modelfit             4c33ca5b14967f575013e96d8388459f82a495b3  16.0-13-g4c33ca5+8                       afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
meas_extensions_photometryKron 199125397726b0608dec446aca737462e6054dbf  16.0-5-g1991253+8                        meas_base,pybind11,meas_algorithms
meas_extensions_shapeHSM  fda48a7a1806872895ec1bfc22b61629ecc97b3a  16.0-6-gfda48a7+20                       meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
ip_diffim                 1dc09ba9060f6ff49d21fed9870c1407aad5a82e  16.0-12-g1dc09ba+2                       afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_astrom               5f6c0b13e4857c1d3d8c5362762a1e249b77f87d  16.0-13-g5f6c0b1+8                       geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
ip_isr                    5a5abec44bb46a2df38c0b89da1e912dc6517089  16.0-10-g5a5abec+4                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_extensions_psfex     c1446ddfc15a0720cfe4a2d65df8025a6a08ac4e  16.0-10-gc1446dd+8                       afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,scons,sconsUtils,pybind11,utils
meas_extensions_convolved ae186386385d2a635bea615618b8e50547629263  16.0-4-gae18638+8                        meas_algorithms,meas_extensions_photometryKron
meas_extensions_astrometryNet 316b3996ca21493e13a822bc4d503b4bdef04ce2  16.0-6-g316b399+8                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
obs_monocam               40f4cc0425a24cb24e795c0a208c1352c08c815b  16.0-4-g40f4cc0+4                        afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
pipe_tasks                95848a16010be41fcd5c1a50ef32be6d70a43723  16.0-18-g95848a16+3                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
obs_ctio0m9               4228645ae073ab7ab44d1c419885a307fec58cdf  16.0-4-g4228645+4                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,ip_isr
obs_cfht                  aec0f8bd2d105d26364b0d79531ef61bdd8269fd  16.0-4-gaec0f8b+13                       daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,testdata_cfht
obs_comCam                a6da2073881c2f00248dd67bf739f0ef16af5def  16.0-3-ga6da207+31                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
obs_lsstSim               d441495e5a870390068114088cc16dfce1f163bd  16.0-6-gd441495+5                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_decam                 0719369fd94781f99e8b92eac8e3932cf3e2ccf6  16.0-9-g0719369+5                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
sims_coordUtils           567e106573fa4239a4435782a881f3786cc9daf0  2.11.0.sims.rc1                          base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_catUtils             1f022a1088bedb4be5ead7b9ff2a6ce3a7da0d36  2.11.0.sims.rc1                          utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
pipe_drivers              f9cb114e452faccaf9ba344a2d3d2fa7488e20e7  16.0-6-gf9cb114+18                       ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
synpipe                   865efd93367cb878e3eed30b75b3b96f2e01a9c2  16.0-5-g865efd9+17                       astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
obs_subaru                c81496357444f8a994f3086dcaf726ae322e4390  16.0-25-gc8149635+1                      daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+75                                  obs_lsstSim,obs_cfht,obs_decam,obs_subaru
sims_alertsim             0146ec391ec87010bb3dae63a1f7fc0f84b045bf  2.11.0.sims.rc1                          sims_utils,sims_catalogs,sims_catUtils,python,pymssql,daf_persistence,astropy
obs_sdss                  71b33fa2385105c4a2a4daadafa5f9556f012580  16.0-5-g71b33fa+13                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
validate_drp              bad356f0fcb7c792298439d6fd02c4b47f4dab37  16.0-10-gbad356f+17                      python,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
jointcal                  0bdc215f8b19bacd62d52a124228710ed2d6c990  16.0-17-g0bdc215+9                       scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
meas_mosaic               0da0ee175659f4b5a7300423c3e2ffd425d9d409  16.0-13-g0da0ee1+12                      sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
sims_GalSimInterface      5ba2f9395829dd699a34c18c2db9d66fb11b840a  2.11.0.sims.rc1                          galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
sims_maf                  80722dc70f3d423b867df25ba5a34109b35ec3c8  2.11.0.sims.rc1                          base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  16.0+4                                   meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  16.0+4                                   obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_sims                 8f9e189509d4dd93efaa69e1ec3e0b3d3a619904  2.11.0.sims.rc1                          sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,sims_alertsim,ephem,sims_survey_fields
lsst_distrib              da316d8ed5fcfdc1ad1c8dd70c43df304f0dadda  16.0+71                                  lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
