# product                 SHA1                                      Version                       
BUILD=b4060
fftw                      30c2cc419e7200314efbef8d0c432ac11e9d41be  3.3.4.lsst2                              
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
pybind11                  d10a4638002010b28ebad440d9413a9f98165953  2.2.3.lsst2                              
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
gsl                       b299622f4fcae00c4f1bdddcf05ccc6551b39440  2.4                                      
doxygen                   524ee4ee18a8ea2be55a677f925dc1f92df1e323  1.8.13.lsst3                             
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
sims_skybrightness_data   f6dd53da85a24c7155bc28ab7476cf46ce1f4416  2017.05.05                               
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
throughputs               29ce4f573acba0ba1ac6e4b1afaa8c6c14b55836  2017.01.31-6-g29ce4f5                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  16.0                                     
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.3.4.lsst1                              
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
pyyaml                    3bcd4dccc5b99536f1d50e1a9026f982f74cb206  3.13                                     python,libyaml
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
scons                     c2c3bc3800787922db0db035bad0ab347047ba88  3.0.0.lsst1+3                            python
ndarray                   4efe0d171c211d5e266ddab6bcdee6b34f401e4f  1.5.2+1                                  boost,python,numpy,eigen,pybind11,fftw
matplotlib                1577d58593dcab1c7fc7a4bae30437297d8e71c5  2.2.2                                    python,numpy
scipy                     fed6564713e0334ccce262d64d8a85c828dc6c2d  1.1.0                                    python,numpy
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+1                           python,numpy,pykg_config,cfitsio,astropy
pytest                    e2a44db8088df514751154930bd648aede4d4c28  3.6.2.lsst2                              python,python_py
esutil                    dae48e722a28e0cf9585e2edafef9b520103e70f  0.6.2.5.lsst2+1                          python,numpy
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2+1                            python,numpy,astropy,astropy_helpers
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+10                    cfitsio,wcslib,gsl,numpy
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst                               scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+9                                  python,numpy,scipy
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+4                                  python,pytest,python_coverage
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+13                                 python,pytest
proxmin                   87d7c0f1bbe5eb4f5a6783e01f00c95cd12ddcfe  lsst-dev-g87d7c0f1bb+1                   numpy,scipy
pytest_forked             c5fda7b5f4bfa5927d31829ba3a5adb919645ef6  0.2.lsst4+5                              python,pytest
scarlet                   62a773d79d0faec776c78d7e7d6f370e3597f1f0  lsst-dev-g62a773d79d                     pybind11,scipy,numpy,eigen,proxmin
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+13                                 python,pytest
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+5                           python,pytest,pytest_forked,python_execnet
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5                                    python,python_mccabe,pycodestyle,pyflakes
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2                                    python,flake8
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4                                    python,pytest,flake8
sconsUtils                edfe9659e30797a970d6e8bc39e0787708ec6910  16.0-18-gedfe965                         scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf+23                       sconsUtils
astshim                   f92808934c903432245d509b0ef1ea73c4b0e30a  16.0-3-gf928089+3                        sconsUtils,ndarray,numpy,starlink_ast,pybind11
base                      2df868b9b7c36216440322cb75358efe5fea4aea  16.0-8-g2df868b+1                        sconsUtils,pybind11,python,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+133                                 sconsUtils
pex_exceptions            cc1f4bb640c444f6dbb348b7748fddec5d26203c  16.0-5-gcc1f4bb+1                        base,boost,pybind11,python
utils                     0a50484cacd0c1231aa1748dd2d4d005ebe49569  16.0-18-g0a50484+1                       base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
daf_base                  bdf36360456c87a763fee75798c42c74f8a330af  16.0-12-gbdf3636+3                       utils,pex_exceptions,pybind11,python,numpy,pyyaml
astro_metadata_translator cd94f095132d7cc8a1badd595f98206ab3931172  master-gcd94f09513+1                     scons,sconsUtils,pyyaml,astropy,daf_base
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  16.0-4-g5f3a788+26                       base,sconsUtils,pybind11,doxygen
geom                      fd1767437df33cb529f0e06d34ca240144c4f8b9  16.0-16-gfd17674+3                       boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+15                            numpy,python,utils
sims_almanac              fc139f71ae533a5e87e3b6bc44ceafc42af58163  master-gfc139f71ae+4                     base,numpy,astropy,scipy,utils
sims_downtimeModel        8a5a8d51cf28864ed11c288e505abe1d9e20a834  master-g8a5a8d51cf+4                     utils
sims_utils                2aba68c2d73442d1ba539f9e019b48033b9fac5f  2.11.0.sims+9                            utils,python,python_future,palpy,astropy,healpy,sims_data
log                       fc7ad86047093f74dd8ca335642327933b84762a  16.0-8-gfc7ad86                          boost,log4cxx,base,pybind11,python,sconsUtils,utils
pex_policy                4412fcdbe4731b804531ac122cfaa533b2d876b4  16.0-6-g4412fcd+3                        daf_base,utils,pybind11,python
pex_config                118c103b2092b22dfc0333887a79580d1cac6862  16.0-13-g118c103+3                       daf_base,pex_policy,numpy,utils,pybind11,python
daf_persistence           7c01f5cdf5342647f57f884bda4f6201d2c9d18a  16.0-17-g7c01f5c+3                       log,pex_policy,astropy,pyyaml,pybind11,python
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+4                     python,sims_utils,utils
sims_cloudModel           f3ce61a0aafdc34e611c1fc08968029070731495  master-gf3ce61a0aa+4                     utils,sims_utils
sims_photUtils            ba5b942a9359e7eceea918e8663e6225cfb49dfc  2.11.0.sims+9                            utils,sims_utils,python,throughputs,astropy
sims_seeingModel          17ae6903c6065f0cb068dd5ae12badd85a5ab5e1  master-g17ae6903c6+4                     utils,sims_utils,throughputs,sims_photUtils
sims_catalogs             182d3278dc65ec6babe03cb03447845321a42b2f  2.13.0.sims-1-g182d327+3                 daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
afw                       9e0d0724ee7dd51901d26c0dbd277557c39fad2f  16.0-83-g9e0d0724e                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+4                     python,ts_dateloc,utils
sims_skybrightness        7ec41278affd08ffc905e4f4ab6ed154c3de1ce5  2.11.0.sims+9                            base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
daf_butler                231448daca3ba602097141a85d59bdff489024be  master-g231448daca+3                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,daf_persistence,afw
obs_base                  d7987ad7aef52909dbbf7bf6a212c86581322b31  16.0-34-gd7987ad+4                       daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,daf_butler
obs_test                  8f68b0aaa282ba729d821a176f66e081c3300711  16.0-13-g8f68b0a+4                       afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
sims_skybrightness_pre    1063b10f471089dfb8a8eb736711c5b5bbd06e80  2.13.0.sims-4-g1063b10+2                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
sims_featureScheduler     81a68f6635f814e566f5431b4745dd97218c2679  master-g81a68f6635+1                     base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
skymap                    a33d1f2b1bd913cc288bb2a73e75dd910d7f41a9  16.0-11-ga33d1f2+6                       numpy,sphgeom,afw,daf_butler,healpy
pipe_base                 c7333cb67d9248973f51f7239c12997edaeaecd8  16.0-37-gc7333cb+3                       daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  16.0-8-gadf6c7a+2                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 0e05fd47eb2a4df60099c7e8d6cefb84ecfc5d98  16.0-21-g0e05fd4+7                       utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           31fb3001f31830c5ef78f277d19855fc9bcd06df  16.0-29-g31fb3001                        astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_deblender            bf5c1cbdd221fa6c3f239e3a73edbac1064ba5d2  16.0-15-gbf5c1cb+5                       afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_isr                    62d80609fb4cd045a91c3fd06bb6591a0abf87b5  16.0-22-g62d8060+5                       meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_astrom               3039b4f561c4fc5540510282ac9a2563a048eac3  16.0-26-g3039b4f                         geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
ip_diffim                 af5f65cb0c0e76dbae41bbcdcdf05e5d31303c99  16.0-23-gaf5f65c                         afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_astrometryNet e6233d703a7a60630b6c3efb598753dada7ef2f4  16.0-9-ge6233d7+6                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
pipe_tasks                8e97068c45c2d977671c8a692fb4678559ea5264  16.0-70-g8e97068c+1                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  690f13923dc94b02ad8106b1c6d0a0bbc58db9da  master-g690f13923d+2                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator
obs_lsstSim               8db803037e720087df02e4c5b4529ab5ef845f9e  16.0-12-g8db8030+7                       daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
sims_coordUtils           e935a0964df521171875a1c72686b24c37f1ee50  2.13.0.sims-1-ge935a09                   base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_catUtils             bbbbbf730ec6e9b82d39a1daf3c027b76d5e65bd  2.12.0.sims+18                           utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_maf                  c76bab9e3f9678c664d510b1d60274351adde2b2  2.13.0.sims-3-gc76bab9e+1                base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_alertsim             0146ec391ec87010bb3dae63a1f7fc0f84b045bf  2.5.0.sims+31                            sims_utils,sims_catalogs,sims_catUtils,python,pymssql,daf_persistence,astropy
sims_GalSimInterface      83b753dd372c12ea6115b16b9214379d352614e3  2.13.0.sims-1-g83b753d+2                 galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 6afa68f99e497cad4b155b31b3e1dd58f23f30e6  2.13.0.sims-2-g6afa68f                   sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,sims_alertsim,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
