# product                 SHA1                                      Version                       
BUILD=b3405
pybind11                  6f4b1f770b8936bc6486c1fa7907d3d5ef214f8e  2.1.1                                    
doxygen                   22c5b5aff338bc761f7173b4e63308d259b927c0  1.8.13.lsst1                             
mariadb                   14a0f555ff2b274aa51bcbfa804569545e4ed530  10.1.21.lsst2                            
lua                       da519a9056ff1866d790dd89bab2df80b1b4fe49  5.1.4.lsst1-2-gda519a9                   
antlr                     d81cf0cd80e0ed4ab73314e1062ce2396bbd0a0e  2.7.7.lsst1                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
libevent                  ab04e34f14107106ac2101d52a84488f0939590f  2.0.16.lsst2                             
python                    f329a2be145e9dc3957a25d3cd20595a1aaa5814  0.0.7                                    
libcurl                   7d074033c582db58e84f67fdaf33c26040a05065  7.53.1                                   
mariadbclient             1f63a41e6ba8e3e8a891503e5ae8aec88f4a7737  10.1.21.lsst2                            
xrootd                    b0c4ff29743f011cb5e8f7f2a5944fe33e7e0f6b  master-gb0c4ff2974                       
jemalloc                  20ffad636e721dab2fb2e7b4e8a1266ef8f1188f  5.0.1.lsst1                              
pytest                    78ee25278d11e66ff87b4e1f3b5b95fd52177067  3.2.0.lsst2                              python
sqlalchemy                af5a1cb44943d13994e80302426225e7069d8ed6  1.0.8.lsst3+4                            python
flask                     f44895ae1750d69ddd6116721d00ec24477cf064  0.12+1                                   python
boost                     18cc8bacfbd8ac16a414ce6acb450e85ee174ca5  1.60.lsst1+2                             python
pep8_naming               b6aae6642dff6400403e1b24945c6e157d30b7dc  0.4.1+1                                  python
pytest_forked             9b0f4b45bfa2a81a3569b7a8be29e73ffd59d3ac  0.2.lsst2                                python,pytest
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7                             apr,apr_util
python_mysqlclient        945460320056625993eb4e3de872c3f74db17537  1.3.7.lsst1+10                           python,mariadbclient
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+3                                  python,pytest
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+3                                  python,pytest
scisql                    a1d17d67429770fa7e175ed2af43234e9570d689  0.3.8.lsst1+2                            mariadb,python_mysqlclient,python
pytest_xdist              65af3e3ef3b42bb0eff575da4ee79c9b0fce4640  1.20.1.lsst2                             python,pytest,pytest_forked,python_execnet
flake8                    1dbac37b5a4210c753f7cadc257d02a7a55e337e  3.5.0+2                                  python,python_mccabe,pycodestyle,pyflakes,pep8_naming
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+2                                  python,pytest,flake8
sconsUtils                79b7e05cbca0b73cf005b9d4af46a5ccd14cc537  14.0-15-g79b7e05                         scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,doxygen
base                      7f6dd6b394bba8c4305053c87ee61f1a266b4dd6  14.0-8-g7f6dd6b+6                        sconsUtils,pybind11,python,python_future,doxygen
pex_exceptions            13ef8431462327919243776215728683288d33d2  14.0-1-g13ef843+9                        base,boost,pybind11,python,python_future
sphgeom                   110c6f4958a02f2268ffde0a7f5b5b35aa1c2c7e  12.1-4-g110c6f4+22                       base,sconsUtils,pybind11,doxygen
utils                     1f982c91e6eb8b37339e3d161c0573d17ca3d78e  14.0-8-g1f982c9+1                        base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
partition                 721d0e5f88ea91e921a5ef4abd4529579e6469a3  12.1-1-g721d0e5+40                       boost,sconsUtils,sphgeom
log                       a5af9b636d73f2906a075ec1af5b0aa748c4507d  14.0-2-ga5af9b6+9                        boost,log4cxx,base,pybind11,python,sconsUtils,utils
db                        5a74774918e1600d25d388733ea843dfe7b07b73  14.0+12                                  log,python,python_future,mariadbclient,python_mysqlclient,sconsUtils,sqlalchemy
qserv                     9760d33c5fb1e214e8d9db4792865bb70827f844  12.1-129-g9760d33c+1                     antlr,boost,db,doxygen,flask,jemalloc,libcurl,log,log4cxx,lua,mariadb,mysqlproxy,python_mysqlclient,partition,protobuf,pybind11,python,python_future,requests,scisql,scons,sphgeom,sqlalchemy,xrootd
qserv_testdata            0fcb2ffa959fb906bbec8fd3fe1dbafdba04d3cf  2016_08-4-g0fcb2ff+21                    python,python_future,pyyaml,qserv,scons,sconsUtils
qserv_distrib             76ecee9da3d174fe6e8e3ecfa52012c24ce259e0  2016_08-1-g76ecee9+111                   qserv,partition,qserv_testdata
