# product                 SHA1                                      Version                       
BUILD=b4340
eigen                     221959b4fc8e4e2496cfbc875b457c3cf0f153d7  3.3.4.lsst1-1-g221959b                   
sims_skybrightness_data   01a98f80e09179c96976f9ae830fc07c22bca67d  2017.05.05-1-g01a98f8                    
freetds                   158005830bde34bde7db91bbf1b812d67012f9e6  0.91.112.lsst2                           
starlink_ast              d6cc4e835a9437c4b59277a244e876fd49850cad  lsst-dev-gd6cc4e835a                     
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  master-gb4dcb135d7                       
testdata_deblender        76d7dc3446bdd13dbec01f3aa48771848b22ce3c  17.0.1                                   
obs_lsst_data             9e259a419934cd21b5ed92eeca51a9042ebe9d3e  master-g9e259a4199                       
throughputs               56bf14d810678f6bc9585db435968cdf8264619d  2019.07.02                               
sims_sed_library          bb8171e5dc4f77887b4dd14165df8f97fff51b8a  2017.01.24                               
cfitsio                   fc68e3c458900712f0b7938936ce70f46fa4ba7f  3360.lsst6                               
python                    85c3855c56fdbd3304bda946ee9f0899487c30f6  3.7                                      
sims_data                 ca5d0e022c7167ef0e7ee216efcfa9b9b9d9cae7  2018.05.08                               
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+15                                 python,pytest
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+7                           python,pytest,pytest_forked,python_execnet
astropy_helpers           c974185938af36d23b47ac12165a5256c8950145  3.0.2.lsst+3                             python,numpy
python_mccabe             e8cfd9666d2bd843504181099c3b0d1e69a4ef62  0.6.1+15                                 python,pytest
apr_util                  78a90a1243a24ee961222bffa4b07d9033307fe4  1.5.4.lsst1                              apr
pybind11                  1e6abe836db51192b96b5c2ad8a5a1f42a229333  2.2.4.lsst1+1                            python,numpy,eigen
scipy                     5722128f0573a5c8c70d4d13521152fc4aad04b9  1.2.1                                    python,numpy
sncosmo                   32d22753c0cc8cf28a27a23f44cfb86ad64e46b3  1.3.0.lsst2+3                            python,numpy,astropy,astropy_helpers
healpy                    02b84608a1f56d77bef1d41cf6abbe7189276879  1.10.3.lsst2+3                           python,numpy,pykg_config,cfitsio,astropy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+11                                 python,numpy,scipy
palpy                     8f3fcdb176c79aced1953296187ed79cdca82426  1.8.1+6                                  numpy,python
esutil                    abf0df1abcae853e92a92d303f1a652cd094b23f  0.6.2.5.lsst2-1-gabf0df1                 python,numpy
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+12                    cfitsio,wcslib,gsl,numpy
log4cxx                   758b5a6065f42f957adbbc00074a300dac6131bc  0.10.0.lsst7+1                           apr,apr_util
galsim                    fba72adaf5dfab2de7a9997a2cabc348de4cd31b  2.1.4.lsst+5                             scons,numpy,python_future,fftw,astropy,pybind11,eigen,coord
sims_maps                 4c12c2007f711be5db64520fd72451dbb6ef7c24  2017.05.08-3-g4c12c20+3                  numpy,python
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1+6                                  python,pytest,python_coverage
ndarray                   8273558ad0155a96a3a3b8be89882c96678e5f55  1.5.3                                    boost,python,numpy,eigen,pybind11,fftw
flake8                    1298ec5f4bac5e794a81816758b0fdfec29cb2fc  3.7.5+2                                  python,python_mccabe,pycodestyle,pyflakes
proxmin                   f7baf2a6dd8484a0f9097517890d03bb8b98e424  lsst-dev-gf7baf2a6dd                     numpy,scipy
autograd                  28954e82e0d76ec09f1970d8bd5e8518ed3e14fb  master-g28954e82e0                       numpy,scipy
scarlet                   49ceb85b3890701a10e3e5de2a8f2d8469859dc2  lsst-dev-g49ceb85b38                     pybind11,scipy,numpy,eigen,proxmin,autograd
pytest_flake8             14151febd0563b0059ef8d39ce2da1b8d0bd1f8c  1.0.4+2                                  python,pytest,flake8
pep8_naming               e968bca498880c9571dc943a0b9a825eeab1ac33  0.8.2+2                                  python,flake8
sconsUtils                4fc265629fc6f8090ca51ad87829ee7055339f76  17.0.1-2-g4fc2656                        scons,pytest,pytest_flake8,pep8_naming,pytest_xdist,pytest_session2file,pytest_cov,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  10.0+139                                 sconsUtils
base                      2df868b9b7c36216440322cb75358efe5fea4aea  17.0.1+6                                 sconsUtils,pybind11,python,doxygen
astshim                   f403422b54c5c483eb0984b6953cf6fb1e6a4bda  17.0.1-2-gf403422+1                      sconsUtils,ndarray,numpy,starlink_ast,pybind11
verify_metrics            faba3334ae443c991bfacd58b449f7c3bef18dac  17.0.1-4-gfaba333+4                      sconsUtils
pex_exceptions            8de6c91be5892726ab497ecc50d1374b797b5dbe  17.0.1-1-g8de6c91+12                     base,boost,pybind11,python
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  17.0.1+4                                 sconsUtils
sphgeom                   5f3a788d9c46c2fd337a6f4130d5c46487de6c53  17.0.1+6                                 base,sconsUtils,pybind11,doxygen
utils                     93e5d736743bd2d6e160b0b03c7e3ee651173c6a  17.0.1-2-g93e5d73+1                      base,pex_exceptions,boost,numpy,pybind11,python,python_psutil
geom                      b9095d252db4385b946a80cd5603e68bf4b1290a  17.0.1-1-gb9095d2+10                     boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
log                       114240f7da360dabd2a5027c4584d75167f115ce  17.0.1-1-g114240f+5                      boost,log4cxx,base,pybind11,python,sconsUtils,utils
sims_utils                90cfd6a0c222db15956c0289ffab7dcca3bfe876  2.13.0.sims-2-g90cfd6a+1                 utils,python,python_future,palpy,astropy,healpy,sims_data
sims_photUtils            60d0775ed284616510941a071a10ce69b6f69020  2.13.0.sims-1-g60d0775+9                 utils,sims_utils,python,throughputs,astropy
daf_base                  f8bf62cae3b23282177c5301bca0605583dfa019  17.0.1-4-gf8bf62c+1                      utils,pex_exceptions,pybind11,python,numpy,pyyaml
sims_survey_fields        1c3a41230679c4d6aa264953f1aaa77246c12316  2.6.0.sims+25                            numpy,python,utils
sims_almanac              fc139f71ae533a5e87e3b6bc44ceafc42af58163  master-gfc139f71ae+14                    base,numpy,astropy,scipy,utils
ts_dateloc                60a36c8d46cf5e93ce99006be98fed71e8f8e7ad  master-g60a36c8d46+16                    python,sims_utils,utils
sims_skybrightness        72b3e2ac653d6cc5f7bc8e80866b35280126beb6  2.13.0.sims-1-g72b3e2a+1                 base,numpy,matplotlib,ephem,sims_utils,sims_photUtils,utils,throughputs,sims_skybrightness_data,healpy,python_future
pex_policy                0001055b1b1fa2ef014b1339320c240b84edeec5  17.0.1-1-g0001055+1                      daf_base,utils,pybind11,python
astro_metadata_translator 05d1804a7fad7e4b806a890e3e034bc33b60c57c  master-g05d1804a7f+3                     scons,sconsUtils,pyyaml,astropy,daf_base
ts_observatory_model      3d307a5f454a4f538560db017b334a3e1e0295e6  master-g3d307a5f45+16                    python,ts_dateloc,utils
daf_persistence           5e4b7eaaff07baf724c43a67eea22ee864980889  17.0.1-2-g5e4b7ea+1                      log,pex_policy,astropy,pyyaml,pybind11,python
sims_skybrightness_pre    1d73e4b55d431e9eece2a5376cb5283250a93914  2.13.0.sims-7-g1d73e4b+1                 numpy,healpy,sims_utils,sims_survey_fields,ephem,sims_skybrightness
sims_catalogs             60469dd3e88a9f7e44a0fc008714b4592668da57  2.13.0.sims-3-g60469dd+11                daf_persistence,pymssql,python,sims_utils,sqlalchemy,utils
pex_config                54f2ebc1e698607b9a41dd8e3b459b2383212fdd  17.0.1-2-g54f2ebc+12                     daf_base,pex_policy,numpy,utils,pybind11,python
afw                       9c9a1f00de3be9de08549cec010144055384707c  17.0.1-34-g9c9a1f00d+1                   daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
sims_downtimeModel        0bec6a04497600aa71a01ebe8d9343335ed55342  master-g0bec6a0449+1                     utils,pex_config
sims_cloudModel           e759d156b897ea952fd1e15f7f2972866c556632  master-ge759d156b8+1                     utils,pex_config,sims_utils
sims_seeingModel          4cb10b5e674f79eb5808fb168a126855d7ab2195  master-g4cb10b5e67+1                     utils,pex_config,sims_utils,throughputs,sims_photUtils
dax_ppdb                  c7c87825dd1e55d67cd99a37b9c5262d78e89b13  17.0.1-7-gc7c8782+26                     afw,pex_config,python,pyyaml,scons,sconsUtils,sphgeom,sqlalchemy,utils
daf_butler                9ce3f1f8e3b3b978d0561b447d0942da467cc24a  17.0.1-32-g9ce3f1f+4                     sphgeom,sqlalchemy,numpy,scons,sconsUtils,utils,astro_metadata_translator,geom,base,daf_persistence,afw
skymap                    59d126d652567381e53073cce9a1845feaa2bbd1  17.0.1-4-g59d126d+19                     numpy,sphgeom,geom,afw,daf_butler,healpy
sims_featureScheduler     60e804484578a3a5611e25b852acdcc0f6dc248d  master-g60e8044845+1                     base,numpy,sims_utils,sims_skybrightness_pre,scipy,healpy,astropy,ephem,sims_seeingModel,sims_cloudModel,sims_downtimeModel,sims_survey_fields,sims_almanac,ts_observatory_model
obs_base                  a02730cb63ac593d6af614953cbfd1a0e1da3d95  17.0.1-21-ga02730c+4                     daf_base,log,daf_persistence,afw,astropy,utils,astro_metadata_translator,skymap,daf_butler
obs_test                  57d9af3675674f23e4db7691b494c7926351cf72  17.0.1-2-g57d9af3+7                      afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,obs_test_data,astropy
pipe_base                 3877d06061545e3ae801e5700cb4145e2d915d4b  17.0.1-5-g3877d06+11                     daf_butler,daf_persistence,log,pex_config,utils,afw,obs_test
coadd_utils               adf6c7a0965b302d00bd5d90db24082b6e73c19c  17.0.1+16                                afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
verify                    9c1f36fb927493f9612ac14f7aed38463d86163b  7.1-hsc-4-g9c1f36f+4                     python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,pex_config,pipe_base,dax_ppdb,verify_metrics
meas_base                 9a2b1cb2bf4fe8415cf0b9c55b0f4566edd034c8  17.0.1-8-g9a2b1cb+2                      utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           a38416e7f8c53a8a3c2cca4504aa2985a3f9b4d8  17.0.1-21-ga38416e7+1                    astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_deblender            5f4ed7e81f2173ca30b71812cdc639a0ff3d7047  17.0.1-1-g5f4ed7e+69                     afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,scarlet,matplotlib,testdata_deblender
ip_diffim                 6f60df345864c5f2f40589959ed7720aa83cc27e  17.0.1-14-g6f60df3+2                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,verify,afwdata,matplotlib
meas_astrom               cef2eafc7f76d3e46b776d7dde08bc405c973fce  17.0.1-11-gcef2eaf+2                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
ip_isr                    44c390713b8f451d25584d1702c528abf373962a  17.0.1-24-g44c3907+5                     meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11,afw,geom,utils,pex_exceptions
pipe_tasks                03367ae0e59e3a597d0cf580a02ecc7cd47be9ae  17.0.1-28-g03367ae0+2                    afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test,matplotlib
obs_lsst                  f0c4ae506e8e0a85789aebdd970d7e704c9c6e24  17.0.1-31-gf0c4ae5+8                     afw,daf_base,obs_base,pex_config,pex_policy,astropy,numpy,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data
obs_lsstSim               d1bf59077370f825df56100bdb099595f3552c71  17.0.1-3-gd1bf590+5                      daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
sims_coordUtils           9b0053eeda91c89cff83c307dfe33c3ec595165a  2.13.0.sims-3-g9b0053e+15                base,python,utils,geom,afw,sims_utils,obs_lsstSim
sims_catUtils             cb1fab61c26ac28fc08ded513df7c49a105253aa  2.13.0.sims-2-gcb1fab61+17               utils,sims_sed_library,sims_maps,sims_utils,sims_catalogs,sims_coordUtils,sims_photUtils,sims_data,palpy,python,pymssql,daf_persistence,sncosmo,astropy,sqlalchemy,obs_lsstSim
sims_maf                  70f3e8bb88bf3eda600f99e71474871f8bb0152f  2.13.0.sims-10-g70f3e8bb+11              base,numpy,matplotlib,scipy,sqlalchemy,ephem,palpy,healpy,sims_utils,sims_data,sims_catalogs,sims_photUtils,sims_coordUtils,sims_maps,sims_survey_fields,obs_lsstSim
sims_GalSimInterface      8ea0e4f467af90ad532b44c61ea1d0e8d7ffb6f6  2.13.0.sims-5-g8ea0e4f+1                 galsim,astropy,meas_astrom,afw,geom,sims_utils,sims_coordUtils,sims_catalogs,sims_catUtils,obs_lsstSim
lsst_sims                 ec5618e94d652677e20f0f9b7e5369bc61f71031  2.13.0.sims-3-gec5618e+18                sims_maf,sims_GalSimInterface,sims_catUtils,sims_catalogs,sims_sed_library,sims_maps,sims_skybrightness,sims_skybrightness_pre,sncosmo,ephem,sims_survey_fields,sims_featureScheduler,obs_lsst
