# product                 SHA1                                      Version                       
BUILD=b3005
cfitsio                   b56ecf282e296255677bc23bc742639d726270fa  3360.lsst4                               
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     f9ab3d1eb4897e8741c1f5b1fd23413ef5055c5d  3.2.5.lsst2                              
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
mariadbclient             ab9738f6e58fcd59008060fdfd96661bc8f584c8  10.1.21.lsst1                            
starlink_ast              a9f9e994b6d85b3e1a5d3408f9831af77ecee394  lsst-dev-ga9f9e994b6                     
doxygen                   323f9952c1e0db0fb8ebb0317f69d4019bd38d88  1.8.5.lsst1                              
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
meas_base                 927402adbf9370297c8cf6c9f952c2084f02cf93  13.0-27-g927402a                         python_future,utils,afw,coadd_utils,daf_base,geom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           c4ad422833732cd9c50c16cc06ac9cd4e4da9367  13.0-18-gc4ad422+5                       daf_base,daf_persistence,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,python_future,scons,sconsUtils,utils,pybind11
meas_astrom               94154427a1e5dbf7e918566b8840a406c0bd13cd  13.0-14-g9415442+31                      afw,log,meas_algorithms,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_astrometryNet 43362ee2f3ebe4d2e7b47e713be926b5811f4e8d  master-g43362ee2f3+45                    afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,wcslib,astrometry_net,numpy,python_future,matplotlib
ip_isr                    d4b2922030bc5995a5caab39466034589ce6685a  13.0-13-gd4b2922+20                      python_future,meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_deblender            0251d745fcb103d68e7396bddcfc348e5dad5e91  13.0-12-g0251d74+21                      afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib
ip_diffim                 3839dbbaa99d969e6e523940d6527fde20504db8  13.0-22-g3839dbb+21                      afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
pipe_tasks                c325bc5f916107f3ff54e5b16ffdd5fade3b5519  13.0-54-gc325bc5                         afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,python_future,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,geom,obs_test,matplotlib
obs_sdss                  507a745b07f6c8a26fd55f47db424bbc0a3b6af4  13.0-8-g507a745+23                       pex_policy,obs_base,afw,meas_algorithms,meas_astrom,python_mysqlclient,pipe_tasks,utils,log
dax_imgserv               f6431d2d06e60f049860e4e5231e949434b8736b  12.1-12-gf6431d2                         afw,base,boost,daf_base,db,doxygen,flask,log,python_mysqlclient,obs_sdss,scons,sconsUtils,skymap,sqlalchemy
dax_webserv               7b0e8f83938b904928713edae2cf72a9200708df  12.1-12-g7b0e8f8+4                       db,flask,dax_dbserv,dax_imgserv,dax_metaserv,python_mysqlclient
