# product                 SHA1                                      Version                       
BUILD=b3730
minuit2                   dae2fb72f087c8d6dd1c4e0cfe8a828920f3412e  5.34.14                                  
eigen                     c8ced58ce1fa144b84f38bd6a2da978d8242cb4c  3.2.10-1-gc8ced58                        
apr                       39b3212aa46217e4f485b02496381907da8b8d7a  1.5.2                                    
libyaml                   fe04f4f6ffde41f44bfec6c6950136b4d224c8c9  0.1.7                                    
python                    28a652d3d6b1665eb14b9465e11af08269e99fc6  0.0.8                                    
pybind11                  ea7092a4090fd59ade4e396c01408907fd249ee9  2.1.1.lsst2-1-gea7092a                   
astrometry_net            614c69fbd662f97a354ed1e69cc46b2c82f552a8  0.67.123ff3e.lsst1+8                     cfitsio,wcslib,gsl,numpy
mpi4py                    6dc1747acc237c28db2b50ad95dbbe8667395789  2.0.0+6                                  python,mpi
galsim                    abdd03de6cddf983d6c2a9d3075eb5bc8c131b4f  1.6.0.lsst2                              numpy,python_future,boost,fftw,tmv,astropy
lmfit                     0239b733156600f9ce4602ec7a1a266ee14856b0  0.9.3+8                                  python,numpy,scipy
pytest_session2file       d5df8ace7d62308a5a692defccb5fdb7d5605152  0.1.9+9                                  python,pytest
pytest_cov                14fe2eda5c806cbe1b7336a444eb2ed25e124e87  2.5.1                                    python,pytest,python_coverage
pytest_flake8             4e9fb1f6078679e3ce100be8f76e8662dc5d5685  0.9.1+8                                  python,pytest,flake8
pytest_xdist              a186ae77a9f6e991471d7f4003de959401946dcf  1.20.1.lsst4+1                           python,pytest,pytest_forked,python_execnet
sconsUtils                d93e90d9fce3aa05aa0571bdd09814aaf465396e  16.0-1-gd93e90d                          scons,python_future,pytest,pytest_flake8,pytest_xdist,pytest_session2file,pytest_cov,doxygen
jointcal_cholmod          48cb81d1452d66b6f52c02d3f3ec9ea99b564915  master-g48cb81d145+41                    scons,sconsUtils
psfex                     ee0c255054821e86103689bba663a75226793e5f  16.0+1                                   gsl,sconsUtils,fftw
verify_metrics            c1dfd1aab9d05da0f5bc9a125d7002ca8199e5b2  16.0+1                                   sconsUtils
base                      928b0412fba77ab7c10c1ee22d1759f8ff2d3440  16.0-1-g928b041                          sconsUtils,pybind11,python,python_future,doxygen
astrometry_net_data       eaffc02df2119a5f17862630057df8974f07ca23  8.0.0.0+37                               sconsUtils
astshim                   44ebaf53d3c058072606a737ac06e6928a08bcbe  16.0-1-g44ebaf5                          sconsUtils,ndarray,numpy,starlink_ast,pybind11
afwdata                   e3096bf6d57a7154f22a38a09eba35aa91b54a6e  16.0-1-ge3096bf                          sconsUtils
sphgeom                   8827b2cacb83c3dc99c175a198ffb5a04d0a6822  16.0-2-g8827b2c                          base,sconsUtils,pybind11,doxygen
pex_exceptions            988424033e172967ff5310548687587781bf0187  16.0-1-g9884240                          base,boost,pybind11,python,python_future
utils                     d6aeecefe409ad76c594a43fb762953f63ddc788  16.0-4-gd6aeece                          base,pex_exceptions,boost,numpy,pybind11,python,python_psutil,python_future
daf_base                  50d071edccb46fc388ca6f676387ce40f81feca0  16.0-4-g50d071e                          utils,pex_exceptions,pybind11,python,numpy
log                       ce273f51342984d75b2b47da0de60efb5eb2c326  16.0-1-gce273f5                          boost,log4cxx,base,pybind11,python,sconsUtils,utils
pex_policy                16dcc352219a5fec1afeb87e19309b9793fd2ac1  16.0-1-g16dcc35                          daf_base,utils,python_future,pybind11,python
geom                      0fa37f0839405c171049d48725bd751884ab4368  16.0-5-g0fa37f0                          boost,ndarray,sconsUtils,sphgeom,pex_exceptions,utils
verify                    f66bdf4c88a53f7fb18b6c36b3c213b979991e35  16.0+2                                   python_future,pyyaml,requests,numpy,astropy,sconsUtils,utils,pex_exceptions,log,pytest_flake8,verify_metrics
daf_persistence           3806c63f90834607b630fc774f9f267444510539  16.0-3-g3806c63                          log,pex_policy,astropy,pyyaml,pybind11,python
pex_config                943889dbcf50a4b53efdb5e2ec00b7a5bad5eefb  16.0-1-g943889d                          daf_base,pex_policy,numpy,utils,python_future,pybind11,python
ctrl_orca                 9633d822c601c422e950248b046d35adba9f08aa  16.0-1-g9633d82+2                        python_future,utils,pex_policy,pex_config,daf_persistence,log
ctrl_execute              c2b038a13c2772bc608ffd1cf80d146672464789  15.0+27                                  python_future,ctrl_orca,pex_config,utils
afw                       2da3753525ee4053d4280a1ea89aa75bbb85dbab  16.0-19-g2da375352                       daf_base,daf_persistence,pex_config,geom,log,ndarray,cfitsio,numpy,minuit2,eigen,gsl,fftw,sphgeom,utils,astropy,pybind11,astshim,matplotlib,afwdata
ctrl_platform_lsstvc      3865e40c38abb347490c64d33ab2e0120dfaaa35  15.0+27                                  ctrl_execute
display_matplotlib        d076f1fb4d29987d637edbb2680bc64a89bab192  16.0+11                                  afw,matplotlib,python_future
display_firefly           09241ba9a4f2c4e7521005d46a721973b7d106fd  16.0+11                                  afw,log,firefly_client,python_future
obs_base                  2664ab24dda85992bede613817d997946e095239  16.0-7-g2664ab2                          daf_base,log,pex_policy,daf_persistence,afw,astropy,utils
skymap                    4515a79c948cb60a510861fe871ab9a50330eca5  16.0-1-g4515a79+9                        numpy,sphgeom,afw,healpy
shapelet                  188214fa3d4a5e657d46cc3a1e7c02de33aa232c  16.0-5-g188214f                          afw,numpy,scons,sconsUtils,pybind11,scipy
display_ds9               9d5294e0e55208fb9c5d11dc0716d52959c879d6  16.0-2-g9d5294e                          afw,xpa,pybind11
obs_test                  c6a11d11b2c77559067094afe2f237badd3f361a  16.0-3-gc6a11d1+1                        afw,daf_base,obs_base,pex_config,pex_policy,numpy,utils,astropy
pipe_base                 44ca919fb8340ac62f1c737962e6302e57f81fef  16.0-6-g44ca919                          daf_persistence,log,pex_config,utils,afw,python_future,obs_test
cp_pipe                   60afb23e41d70bc0a8625a4375dfe02416088242  16.0+12                                  pex_config,pipe_base,daf_base,log
ctrl_pool                 a91101e309adfc7ed5025ee9bd07fbb9d7e44ae9  16.0+12                                  python_future,daf_persistence,pipe_base,log,utils,mpi4py
coadd_utils               5dc86b7d486ca734b91f0e02ce3517490e47e655  16.0-3-g5dc86b7+1                        afw,log,pybind11,numpy,pex_config,pipe_base,scons,sconsUtils,utils,afwdata
meas_base                 2ce35ffaf92f1b2c89ce410d255197baef9bdeb7  16.0-8-g2ce35ff+1                        utils,geom,afw,coadd_utils,daf_base,sphgeom,numpy,pex_config,pipe_base,pybind11,scons,sconsUtils
meas_algorithms           e62bbd2ae2268e5ef5ef4ad8e0e60bf159c01190  16.0-7-ge62bbd2a+1                       astshim,daf_base,daf_persistence,geom,afw,esutil,log,meas_base,obs_test,minuit2,numpy,pex_config,pex_exceptions,pex_policy,pipe_base,scons,sconsUtils,utils,pybind11
meas_astrom               1411911bde3b7e5f07afef367fb5482a0da92043  16.0-7-g1411911+1                        geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils,astrometry_net,numpy,matplotlib
meas_extensions_shapeHSM  db6403831200ce8d88f78ae34fec0ad6521fd412  16.0-4-gdb64038+1                        meas_base,meas_algorithms,galsim,afw,daf_base,numpy,pex_exceptions,pybind11,sconsUtils,utils
coadd_chisquared          839ba837ce4a9dc49a930c7af54f43f78ec67327  16.0-2-g839ba83+1                        coadd_utils,numpy,scons,sconsUtils,pybind11,afwdata
ip_isr                    30bbe864e9ccbe9294766121f8c535872f1c3307  16.0-3-g30bbe86+1                        meas_algorithms,numpy,pipe_base,scons,sconsUtils,pybind11
meas_deblender            4dc7b79ccb181742ad2d20338eed7b349d7a20dc  16.0-4-g4dc7b79+1                        afw,log,meas_algorithms,numpy,scons,sconsUtils,utils,pybind11,matplotlib,testdata_deblender
meas_extensions_psfex     ce2b4a7d752ab32ffa9c1517d8c66d082c26caa0  16.0-6-gce2b4a7+1                        afw,boost,daf_base,fftw,meas_algorithms,meas_base,numpy,psfex,python_future,scons,sconsUtils,pybind11,utils
meas_extensions_astrometryNet 06ec41f37ff203278fb371304e80031633e0bb4c  16.0-3-g06ec41f+1                        afw,log,meas_algorithms,meas_astrom,pex_config,pipe_base,utils,astropy,wcslib,astrometry_net,numpy,python_future,matplotlib
meas_extensions_simpleShape edb2a3ae8500b619a160e60095c676e06798e506  16.0-4-gedb2a3a+1                        scons,sconsUtils,base,numpy,pybind11,afw,meas_base,utils,pex_config,pex_exceptions
meas_modelfit             7a94e697921a6bf10fb89d9107d9a7fad72a73a8  16.0-8-g7a94e69+1                        afw,meas_algorithms,meas_base,numpy,log,scons,sconsUtils,shapelet,pybind11,matplotlib
ip_diffim                 b866ac2e3d42246e14f3d70cfca921c767c5fe90  16.0-5-gb866ac2+1                        afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,minuit2,numpy,pex_config,pex_policy,pipe_base,utils,lmfit,pybind11,afwdata,matplotlib
meas_extensions_photometryKron 934b51ea812940262b707cb40e7954e447097ef2  16.0-2-g934b51e+1                        meas_base,pybind11,meas_algorithms
obs_monocam               8372efd49791cdc88d50a7069d88b30ffb60ae38  16.0-1-g8372efd+12                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,meas_extensions_astrometryNet
meas_extensions_convolved dde69e373808d711942dd00663080b8c4cd66b10  16.0-1-gdde69e3+7                        meas_algorithms,meas_extensions_photometryKron
obs_ctio0m9               324726013e315847439e1d811718724ce1cb13b1  16.0-1-g3247260+12                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr
pipe_tasks                81851deb4baeda2d40be16fb8c8069f72fb36a42  16.0-5-g81851deb+2                       afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_astrom,meas_extensions_astrometryNet,meas_deblender,astrometry_net_data,ip_isr,ip_diffim,coadd_utils,coadd_chisquared,skymap,sphgeom,obs_test,matplotlib
synpipe                   568a3474962686805bbd778c56f0343e799f3bb4  16.0-2-g568a347+7                        astropy,daf_persistence,pex_config,afw,pipe_base,pipe_tasks
pipe_drivers              98efed3a62fa35d281f9f9565087def8197809b7  16.0-1-g98efed3+8                        ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks
obs_cfht                  d82908a437365592da9b5c7e9b9ce9acd08c56b7  16.0-2-gd82908a+7                        daf_persistence,obs_base,meas_algorithms,pipe_tasks,astropy,testdata_cfht
validation_data_cfht      d5cd87faf43f4e2f52a8945afc70d0d5fc35be7c  16.0+13                                  obs_cfht
obs_sdss                  44ea68fe555ac4e03ba8b0fffcd087cf5af1c151  16.0-3-g44ea68f+7                        pex_policy,obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,astropy
obs_lsstSim               e0a85130f9a459ef21f4e69c2666f856dbf836dc  16.0-3-ge0a8513+1                        daf_base,pex_policy,afw,daf_persistence,obs_base,meas_algorithms,ip_isr,pipe_tasks,pybind11,utils,astropy
obs_comCam                4ef91f377f46dffd6cd78a9a9aa94555c3e32b61  16.0-1-g4ef91f3+12                       afw,daf_base,obs_base,pex_config,pex_policy,python_future,numpy,utils,ip_isr,pipe_tasks
lsst_apps                 cc7d151676b57b3a582f0b44cdf1904dcab59a17  14.0+155                                 meas_deblender,meas_modelfit,pipe_tasks,obs_lsstSim,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
obs_subaru                7d3dc24fa70bb2e6d6fa5428d2ee109848648071  16.0-10-g7d3dc24f                        daf_persistence,obs_base,pipe_tasks,meas_astrom,astropy,sconsUtils,pybind11,numpy,astshim,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
obs_decam                 7124a3425b2f4f1bdb4b7b6ba5038eace3291d5d  16.0-3-g7124a34+1                        utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,pex_policy,ip_isr,testdata_decam
ci_ctio0m9                c5ddfd5ad711b3fd39102627b604662a46ed28c2  16.0+13                                  obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
lsst_obs                  89eebdb3ff7938827dae99c05efa0d84db0b2b2c  15.0+76                                  obs_cfht,obs_comCam,obs_ctio0m9,obs_decam,obs_lsstSim,obs_subaru,obs_test,obs_monocam,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
validate_drp              0b0e9ded0f48dee108283dbfb124d7128d8c04b5  16.0-4-g0b0e9de+11                       python,python_future,utils,daf_persistence,afw,pipe_base,verify,pyyaml,scipy,matplotlib,treecorr,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
testdata_jointcal         bdc2990a0900dce2fe1d785e8021982ed9845277  16.0+16                                  obs_lsstSim,obs_cfht,obs_decam,obs_subaru
validation_data_decam     5fdc4fd1082845b36d3886d5724e4d8d3e74c041  16.0+13                                  obs_decam
meas_mosaic               ed8029f3a53ad9eeab1eb2e9fb79aaeacded0966  16.0-6-ged8029f+1                        sconsUtils,pybind11,python,boost,gsl,afw,numpy,eigen,log,ndarray,pex_config,pipe_tasks,meas_astrom,meas_base,meas_algorithms,minuit2,astropy,obs_subaru
jointcal                  f89f2d9b3ea3d6a1b559383f5511f19b7e3d675a  16.0-6-gf89f2d9+1                        scons,sconsUtils,pybind11,eigen,boost,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,meas_extensions_astrometryNet,verify,verify_metrics,obs_cfht,testdata_jointcal
lsst_distrib              da316d8ed5fcfdc1ad1c8dd70c43df304f0dadda  16.0+16                                  lsst_apps,ctrl_execute,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,pipe_drivers,lsst_obs,synpipe,jointcal,verify,display_firefly,display_matplotlib,cp_pipe,validate_drp,meas_mosaic
lsst_ci                   b670d9483baf6760b991711ee7d46cbf9ba3d786  16.0+15                                  lsst_apps,lsst_distrib,testdata_subaru,testdata_cfht,testdata_decam,obs_subaru,obs_cfht,obs_decam,obs_lsstSim,obs_sdss,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
