# product                 SHA1                                      Version                       
BUILD=b4998
testdata_deblender        8af30cc6eeffc3554cc7b3aee2e66f46f21279de  20.0.0                                   
fgcm                      1707e9c10bd01419edc1bb73eca27017173629e1  lsst-dev-g1707e9c10b                     
alert_packet              e2bc8cbd00a5ca7ee72196eda2735950ac834604  master-ge2bc8cbd00                       
eigen                     fd995628f7aa5534ef73c13f6d9660d0cbe3e416  3.3.7.lsst2                              
proxmin                   f3c77c137e9a1d4aec2327fe20a00b737a9bff47  lsst-dev-gf3c77c137e                     
validation_data_cfht      489cb8a930413e6f5460b6c43db595a08b5853cb  20.0.0                                   
firefly_client            ae83af3b70c29dfa908b8bf06ddb593195c6c16e  lsst-dev-gae83af3b70                     
afwdata                   d1c39c2f883e254a0e8fcd080721619ca496e1d3  20.0.0                                   
validation_data_decam     6adf0a0eb9aaea4c9b0cf056bafa3f7be98785e6  20.0.0                                   
obs_lsst_data             62ccb5892d52e5b75f0b436c2600b091eb7ef257  20.0.0                                   
obs_subaru_data           81f4c9d68cf177131792b9b3154afa53b545b045  20.0.0                                   
obs_test_data             b4dcb135d7fe475262c0b982b6f574d74ef90754  19.0.0                                   
testdata_subaru           316d0cebfe4ba6035df57593a73b54c5a8fd0ac0  20.0.0-1-g316d0ce                        
testdata_jointcal         aafa04de12272748935336bc9c18f70618054d5d  20.0.0-2-gaafa04d                        
sconsUtils                c4fbba5115c247242fa884bc828940457baae49a  20.0.0-1-gc4fbba5                        
testdata_cfht             2bee09ef6fe206c85ef4c504c2f14afeef4acdd0  14.0                                     
geom                      ec03fae3b23bb6128565d447d3995199009b66ea  20.0.0-2-gec03fae+4                      sconsUtils,sphgeom,pex_exceptions,utils
pex_policy                3b2f90d2d5de21d5c31736b6a5652509379f35f3  20.0.0+4                                 daf_base,utils
daf_butler                ca9ed1bd9e916448911c5f43b85521774ce1e2eb  19.0.0-114-gca9ed1bd+1                   sphgeom,sconsUtils,utils
astro_metadata_translator 03ebef752875f9f588f645166a0ddca9ba410c91  0.1.0-12-g03ebef7+10                     sconsUtils,daf_base
pex_config                48a0200a5209fc7a150a6944e9ea4e437d4d2b57  20.0.0+4                                 daf_base
daf_persistence           bea9075146e63e413e218781ea1034888a172bcf  20.0.0+5                                 log,pex_policy
ctrl_orca                 a18918569f758cb2bbb1f2d69ddbb6439dc54a83  20.0.0+5                                 utils,pex_config,daf_persistence,log
afw                       de602ef961473a48aa591678ed0aaa87fdc2038f  20.0.0-4-gde602ef96+5                    daf_base,daf_persistence,pex_config,geom,log,sphgeom,utils,astshim,afwdata
skymap                    e110943ddfa4f7a04ff739b3c9eb73d4571d8233  20.0.0+11                                sphgeom,geom,afw,daf_butler
display_ds9               2b32d65e7ec24b526e9b433ec5d66a085732f01d  20.0.0+7                                 afw
display_matplotlib        06f596319d54ed350da1ab9b6fa0a2e029695f90  20.0.0+7                                 afw
cbp                       e319b44137a96ff988209d041d710a369e64a734  20.0.0-1-ge319b44+6                      geom,sphgeom,afw
display_firefly           d6714190a066a65907e516477fe740967449ecd6  20.0.0+7                                 afw,geom,log,firefly_client
pipe_base                 04cfba9ea007483fb6e4fdd454caebadbc383075  20.0.0-2-g04cfba9+5                      daf_butler,daf_persistence,log,pex_config,utils,afw
ctrl_execute              637769e54ab186bbaaec5c6c47ce9bf1a4a4265f  20.0.0+5                                 ctrl_orca,pex_config,utils
coadd_utils               8227491f6708ddf234dd8f04c47401542adc7b18  20.0.0+12                                afw,log,pex_config,pipe_base,sconsUtils,utils,afwdata
dax_apdb                  253301aa6cef94a1860a0adc84002e26b2a6a1a1  20.0.0-1-g253301a+6                      afw,pex_config,sconsUtils,sphgeom,utils
meas_base                 463f923abe731fa082e257bd2330c87f86233c19  20.0.0+12                                utils,geom,afw,coadd_utils,daf_base,sphgeom,pex_config,pipe_base,sconsUtils
shapelet                  cfc5f51f83a6add5a1b0b5929e4f97abf26e6c7d  20.0.0+7                                 afw,sconsUtils,geom
obs_base                  0a0a97df0da748c0368eda500e2b2daba447d1c2  20.0.0-18-g0a0a97d                       daf_base,log,daf_persistence,afw,utils,astro_metadata_translator,geom,daf_butler,pipe_base,skymap
ctrl_pool                 e404a01e6f1af9a754885946117f9ff954f82a6f  20.0.0+12                                daf_persistence,pipe_base,log,utils
verify                    44bc195f59af9c43de0474066df03eb8afd47fe0  20.0.0-1-g44bc195+11                     sconsUtils,utils,log,pex_config,daf_butler,pipe_base,dax_apdb,verify_metrics
ctrl_platform_lsstvc      ae98d27b2fb3dd9155f1277a5584699a51fc26e4  20.0.0+5                                 ctrl_execute
meas_extensions_simpleShape 9c54d0d45d64a81b6e1fe4dc8c1448be8fdef35d  20.0.0+12                                sconsUtils,base,afw,meas_base,utils,pex_config,pex_exceptions,geom
ctrl_mpexec               936b1ea1d0945c80d16afda3674a3dda99e3141c  20.0.0-4-g936b1ea+6                      daf_butler,log,pex_config,pipe_base
obs_test                  baebbfb635d709947b0f954d1120eab97d373b4d  20.0.0+15                                afw,daf_base,obs_base,pex_config,utils,obs_test_data,pipe_base
meas_algorithms           bdbfa7274f4c99412acc7966e33b8ae90125b07d  20.0.0-3-gbdbfa727+5                     astshim,daf_base,daf_persistence,geom,afw,log,meas_base,obs_test,pex_config,pex_exceptions,pipe_base,sconsUtils,utils
meas_extensions_scarlet   0542f41ae7590dcb5395becaf918d6bd030c42c8  20.0.0+15                                base,afw,log,scarlet,log,pex_config,pipe_base,meas_algorithms,testdata_deblender
meas_extensions_psfex     10df615c8f23760fc6fee733d395efa4abc01cbf  20.0.0-1-g10df615+11                     afw,daf_base,meas_algorithms,meas_base,psfex,sconsUtils,utils,geom
ap_association            7fd97fe2c80cd5fd114c248f783cf9f74385fffe  20.0.0-10-g7fd97fe+1                     afw,alert_packet,dax_apdb,meas_algorithms,meas_base,pex_config,pipe_base,verify
meas_deblender            fb03ce7518f4857fdc0365ae6e7aa7a12e754fd8  20.0.0+15                                afw,log,meas_algorithms,sconsUtils,utils,testdata_deblender
meas_extensions_photometryKron ca68e65fcabc1b968985300b227187c8754fc5be  20.0.0+12                                meas_base,meas_algorithms
meas_extensions_shapeHSM  5191324ed3f8dbb727a85d17e695c6a1a143bc61  20.0.0+12                                meas_base,meas_algorithms,geom,afw,daf_base,pex_exceptions,sconsUtils,utils
meas_modelfit             c567de5ed63f0559e16be5bd26185944fa7f9a40  20.0.0+12                                afw,meas_algorithms,meas_base,log,sconsUtils,shapelet,geom
meas_extensions_convolved c390c3c845068864752f1dd9b39b87f9ed5cf448  20.0.0+12                                meas_algorithms,meas_extensions_photometryKron,afw,geom,meas_base,utils,daf_base
meas_astrom               c96f8cbbf3fde07e620d09e3b609308a3ae3cfa9  20.0.0-1-gc96f8cb+14                     geom,sphgeom,afw,log,meas_algorithms,pex_config,pipe_base,utils
ip_isr                    e98722466eb4e9c04785687313a8e42416e3940b  20.0.0-4-ge987224+3                      meas_algorithms,pipe_base,sconsUtils,afw,geom,utils,pex_exceptions
ip_diffim                 596936ac2dfaa5bb67b1901c541fc28b08445b2a  20.0.0-1-g596936a+13                     afw,daf_base,daf_persistence,log,meas_algorithms,meas_base,meas_deblender,pex_config,pipe_base,utils,verify,geom,afwdata
obs_ctio0m9               65713022bd599d3f59ce8f345d2e48b3667547ba  20.0.0+12                                afw,daf_base,obs_base,pex_config,utils,ip_isr
pipe_tasks                1b4d8e16375362fb2a32ca3c5c5af64e10793e34  20.0.0-10-g1b4d8e16                      afw,daf_persistence,log,meas_base,pipe_base,pex_config,utils,obs_base,meas_algorithms,meas_extensions_scarlet,meas_astrom,meas_deblender,ip_isr,ip_diffim,coadd_utils,skymap,sphgeom,obs_test
obs_subaru                d2b1459d5b11976c4ceb494a0fb0ec5fb433a9f9  19.0.0-67-gd2b1459d                      daf_persistence,obs_base,pipe_tasks,meas_astrom,sconsUtils,astshim,astro_metadata_translator,obs_subaru_data,geom,daf_butler,meas_modelfit,meas_extensions_psfex,meas_extensions_shapeHSM,testdata_subaru
pipe_drivers              039c0b5d117cc3b8b1c92d6583cc34fd3dc56bc2  20.0.0+12                                ctrl_pool,afw,pex_exceptions,sphgeom,pex_config,pipe_base,pipe_tasks,astro_metadata_translator,geom
obs_decam                 6931302b54f296936dbeba8cee0eca9aefdef320  20.0.0-10-g6931302                       utils,daf_persistence,obs_base,afw,meas_algorithms,pipe_tasks,pipe_base,pex_exceptions,pex_config,ip_isr,astro_metadata_translator,obs_decam_data,geom,testdata_decam
obs_sdss                  631c6ba8ceb2c89b485f49cf055d12f50fdb9b55  20.0.0+12                                obs_base,afw,meas_algorithms,meas_astrom,pipe_tasks,utils,log,geom
obs_cfht                  38158d1c352e1d543462e80290bcfd231b4b671c  20.0.0+12                                daf_persistence,obs_base,meas_algorithms,meas_astrom,pipe_tasks,astro_metadata_translator,geom,testdata_cfht
ci_ctio0m9                e691f85275d625ba20023001eba35a0d18ce91ca  17.0+308                                 obs_ctio0m9,pipe_drivers,pipe_tasks,sconsUtils,afw,pipe_base,pex_config
synpipe                   3d1650172eeda82e2f7d64c2860513625779cc30  20.0.0+12                                daf_persistence,pex_config,afw,pipe_base,pipe_tasks
jointcal                  ef62271fe265c58e8ee2ac0eb7cb4f4f88891620  19.0.0-12-gef62271+1                     sconsUtils,eigen,afw,daf_persistence,obs_base,pex_exceptions,pex_config,meas_algorithms,pipe_tasks,jointcal_cholmod,verify,verify_metrics,obs_cfht,testdata_jointcal,obs_subaru,obs_decam,obs_cfht
obs_lsst                  51bddd3acb7740614686cd27530056ef70a2fe6a  19.0.0-74-g51bddd3                       afw,daf_base,obs_base,pex_config,utils,ip_isr,pipe_tasks,astro_metadata_translator,obs_lsst_data,daf_butler
ap_pipe_testdata          90fac640cbd21d23c00ccf215923e29048ede4b2  20.0.0+13                                obs_decam
cp_pipe                   c53c7b65681f94c8d573b0b28f92ac5b0b7fc46b  20.0.0-3-gc53c7b6+1                      pex_config,pipe_base,log,ip_isr,afw,meas_algorithms,pipe_drivers,pipe_tasks
fgcmcal                   e48a6ca1f32ea97fbce3ac2901a1183740e7feee  20.0.0-4-ge48a6ca+8                      sconsUtils,afw,daf_persistence,obs_base,pex_config,pipe_tasks,fgcm,jointcal,testdata_jointcal,obs_subaru
lsst_dm_stack_demo        51ec697d17ca47f39e79b59d1897267351ec0a5f  20.0.0+12                                utils,sconsUtils,obs_sdss
validate_drp              5b123b5b1b29601c855f1fff82a883f5c28978ed  20.0.0+13                                utils,daf_persistence,afw,pipe_base,verify,pipe_tasks,pipe_drivers,obs_cfht,obs_decam,obs_subaru
ap_pipe                   d4c88078a3f3fe3baeb36eefc55decb11ee0ad93  20.0.0-2-gd4c8807+9                      utils,pex_config,pipe_base,pipe_tasks,ap_association,ap_pipe_testdata
ap_verify_testdata        950faa2986e21ee6aae6f8c78afdfe73b085a6f3  20.0.0-3-g950faa2+11                     obs_lsst
lsst_obs                  9569ba20bd3ab20600da9162cd220cca1e594859  20.0.0+13                                obs_cfht,obs_ctio0m9,obs_decam,obs_lsst,obs_subaru,obs_test,obs_sdss,testdata_cfht,testdata_subaru,testdata_decam
lsst_apps                 b3c0038b24fdbb7d2fec4a9d1fafdb31beb6da64  20.0.0+13                                meas_deblender,meas_modelfit,pipe_tasks,ap_pipe,obs_sdss,obs_test,meas_extensions_simpleShape,display_ds9,meas_extensions_psfex
ap_verify                 9ece394db857956ded1499485822294e125bce88  20.0.0-5-g9ece394+3                      utils,afw,daf_persistence,pipe_tasks,verify,ap_pipe,ap_verify_testdata,ip_diffim,ap_association
lsst_distrib              0037e037a3ac81e14dde678e2612614c124b803d  20.0.0-1-g0037e03+3                      lsst_apps,ctrl_execute,ctrl_mpexec,ctrl_platform_lsstvc,meas_extensions_convolved,meas_extensions_shapeHSM,meas_extensions_photometryKron,meas_extensions_scarlet,pipe_drivers,lsst_obs,synpipe,cbp,jointcal,verify,ap_verify,display_firefly,display_matplotlib,cp_pipe,sdm_schemas,validate_drp,fgcmcal
lsst_ci                   c0a0911cc98a0cd7714e43e90f51bc751e5fb6f9  20.0.0+14                                lsst_apps,lsst_distrib,lsst_obs,lsst_dm_stack_demo,testdata_subaru,testdata_cfht,testdata_decam,validation_data_cfht,validation_data_decam,validate_drp,ci_ctio0m9
